source_headword	TR	example_TR
take	almak; götürmek	Bileti al.
talk	konuşmak; sohbet etmek	Dersten sonra konuşuruz.
tall	uzun; uzun boylu	Öğretmenim uzun boylu.
taxi	taksi	Taksi dışarıda.
tea	çay	Bu çay sıcak.
teach	öğretmek	İngilizce öğretirim.
teacher	öğretmen	Öğretmen gülümser.
team	takım; ekip	Takımımız bugün kazanır.
teenager	genç; ergen	Genç kitap okur.
telephone	telefon; aramak	Telefon masanın üstünde.
television	televizyon	Televizyon yeni.
tell	söylemek; anlatmak	Adını söyle.
ten	on	On kitabım var.
tennis	tenis	Bugün tenis oynarız.
terrible	korkunç; çok kötü	Hava korkunç.
test	test; sınav; sınamak	Test şimdi başlar.
text	metin; mesaj	Kısa bir mesaj gönder.
than	-den daha	On, ikiden büyüktür.
thank	teşekkür etmek	Öğretmene teşekkür et.
thanks	teşekkürler	Yardımın için teşekkürler.
that	o; şu	Şu kitap benim.
the	İngilizcede belirli artikel	Çay ılık.
theatre	tiyatro	Tiyatro istasyonun yanında.
their	onların	Onların evi büyük.
them	onları; onlara	Onları tanıyorum.
then	sonra; o zaman	Ye, sonra oku.
there	orada	Orada bir sandalye var.
they	onlar	Onlar okulda.
thing	şey; nesne	Bu nesne yararlı.
think	düşünmek	Ev hakkında düşünüyorum.
third	üçüncü	Bu üçüncü ders.
thirsty	susamış	Susadım.
thirteen	on üç	O on üç yaşında.
thirty	otuz	Kız kardeşim otuz yaşında.
this	bu	Bu bilet yeni.
thousand	bin	Bin kişi geldi.
three	üç	Üç kuş görüyorum.
through	içinden; aracılığıyla	Parktan geçiyoruz.
Thursday	perşembe	Perşembe günü buluşuruz.
ticket	bilet	Bilete ihtiyacım var.
time	zaman; saat	Saat kaç?
tired	yorgun	Yorgunum.
title	başlık	Başlığı oku.
to	-e; -a; için	Derse gidiyorum.
today	bugün	Bugün güneşli.
together	birlikte	Birlikte yemek yeriz.
toilet	tuvalet	Tuvalet temiz.
tomato	domates	Bu domates kırmızı.
tomorrow	yarın	Yarın görüşürüz.
tonight	bu gece	Bu gece okuruz.
too	de; da; çok	Ben de çay istiyorum.
tooth	diş	Dişim ağrıyor.
topic	konu	Bir konu seç.
tourist	turist	Turist fotoğraf çeker.
town	kasaba; şehir	Bu kasaba sakin.
traffic	trafik	Trafik yavaş.
train	tren	Tren gecikiyor.
travel	seyahat etmek; seyahat	Trenle seyahat ederiz.
tree	ağaç	Ağaç uzun.
trip	gezi; yolculuk	Gezi yarın başlar.
trousers	pantolon	Pantolonum siyah.
true	doğru; gerçek	Bu hikaye doğru.
try	denemek; tatmak	Bu çayı dene.
T-shirt	tişört	Tişört giyiyorum.
Tuesday	salı	Salı günü buluşuruz.
turn	dönmek; sıra	Burada sola dön.
TV	televizyon	Televizyonun sesi yüksek.
twelve	on iki	On iki kalemim var.
