source_headword	RU	example_RU
institute	институт	Институт открыл новую исследовательскую программу.
institution	учреждение	Учреждение изменило правила приема.
insurance	страховка	Ее страховка покрыла больничные расходы.
intended	целевой	Сообщение достигло целевой аудитории.
intense	напряженный	Дебаты очень быстро стали напряженными.
internal	внутренний	Компания начала внутреннюю проверку.
interpret	интерпретировать	Пожалуйста, тщательно интерпретируйте результаты.
interrupt	прерывать	Не прерывайте оратора сейчас.
investigation	расследование	Расследование выявило серьезные ошибки.
investment	инвестиция	Инвестиция создала множество рабочих мест.
joy	радость	Их успех принес большую радость.
judgement	суждение	Его суждение улучшилось с опытом.
junior	младший	Она присоединилась к команде в качестве младшего аналитика.
justice	правосудие	Семья потребовала справедливости после суда.
justify	обосновывать	Вы должны ясно обосновать это решение.
labour	труд	Проект требует квалифицированной рабочей силы.
landscape	пейзаж	Пейзаж изменился после бури.
largely	в значительной степени	План был в значительной степени успешным.
launch	запускать	Они запустят продукт завтра.
leadership	руководство	Сильное руководство помогло команде восстановиться.
league	лига	Наш клуб присоединился к региональной лиге.
lean	прислоняться	Не прислоняйтесь к мокрой стене.
licence	лицензия	Срок действия лицензии истекает в следующем месяце.
limited	ограниченный	У нас сегодня ограниченное время.
lively	оживленный	Встреча стала оживленной после обеда.
load	груз	Грузовик вез тяжелый груз.
loan	кредит	Банк одобрил кредит.
logical	логичный	Ее аргумент был ясным и логичным.
long-term	долгосрочный	Это долгосрочное решение.
loose	свободный	Ручка кажется болтающейся.
lord	лорд	Лорд владел несколькими деревнями.
lower	снижать	Они снижают цены зимой.
lung	легкое	Курение может повредить легкое.
maintain	поддерживать	Мы поддерживаем регулярный контакт.
majority	большинство	Большинство поддержало предложение.
mass	масса	Масса облаков закрыла небо.
massive	массивный	Землетрясение вызвало огромные разрушения.
master	мастер	Она стала мастером переговоров.
matching	подходящий	Он носил подходящие друг другу туфли и ремень.
maximum	максимальный	Комната достигла максимальной вместимости.
means	средство	Электронная почта является нашим основным средством связи.
measurement	измерение	Измерение было немного неверным.
melt	таять	Снег растает к полудню.
military	военный	Военная база закрылась в прошлом году.
mineral	минерал	Железо — важный минерал.
minimum	минимальный	Минимальный возраст составляет восемнадцать лет.
minister	министр	Министр ответил на сложные вопросы.
minor	незначительный	Авария вызвала незначительные повреждения.
minority	меньшинство	Меньшинство выступило против нового правила.
mission	миссия	Их миссия благополучно завершилась.
mixed	смешанный	Новости вызвали смешанную реакцию.
modify	изменять	Мы можем изменить дизайн позже.
