source_headword	BN	example_BN
institute	প্রতিষ্ঠান	প্রতিষ্ঠানটি একটি নতুন গবেষণা কর্মসূচি চালু করেছে।
institution	প্রতিষ্ঠান	প্রতিষ্ঠানটি তার ভর্তির নিয়ম পরিবর্তন করেছে।
insurance	বীমা	তার বীমা হাসপাতালের খরচ বহন করেছে।
intended	উদ্দিষ্ট	বার্তাটি তার উদ্দিষ্ট দর্শকদের কাছে পৌঁছেছে।
intense	তীব্র	বিতর্কটি খুব দ্রুত তীব্র হয়ে ওঠে।
internal	অভ্যন্তরীণ	কোম্পানিটি একটি অভ্যন্তরীণ পর্যালোচনা শুরু করেছে।
interpret	ব্যাখ্যা করা	অনুগ্রহ করে ফলাফলগুলি সাবধানে ব্যাখ্যা করুন।
interrupt	বাধা দেওয়া	বক্তাকে এখন বাধা দেবেন না।
investigation	তদন্ত	তদন্তে মারাত্মক ভুল প্রকাশ পেয়েছে।
investment	বিনিয়োগ	বিনিয়োগটি অনেক স্থানীয় কর্মসংস্থান সৃষ্টি করেছে।
joy	আনন্দ	তাদের সাফল্য দারুণ আনন্দ নিয়ে এসেছে।
judgement	বিচার	অভিজ্ঞতার সাথে তার বিচার ক্ষমতা উন্নত হয়েছে।
junior	জুনিয়র	তিনি একজন জুনিয়র বিশ্লেষক হিসেবে দলে যোগ দিয়েছেন।
justice	ন্যায়বিচার	বিচারের পর পরিবারটি ন্যায়বিচার দাবি করে।
justify	ন্যায্যতা প্রমাণ করা	আপনাকে অবশ্যই সেই সিদ্ধান্তটি স্পষ্টভাবে প্রমাণ করতে হবে।
labour	শ্রম	প্রকল্পটির জন্য দক্ষ শ্রমের প্রয়োজন।
landscape	দৃশ্যপট	ঝড়ের পর দৃশ্যপট পাল্টে যায়।
largely	অনেকাংশে	পরিকল্পনাটি অনেকাংশে সফল হয়েছিল।
launch	চালু করা	তারা আগামীকাল পণ্যটি চালু করবে।
leadership	নেতৃত্ব	শক্তিশালী নেতৃত্ব দলটিকে ঘুরে দাঁড়াতে সাহায্য করেছে।
league	লিগ	আমাদের ক্লাব একটি আঞ্চলিক লিগে যোগ দিয়েছে।
lean	হেলান দেওয়া	ভেজা দেয়ালে হেলান দেবেন না।
licence	লাইসেন্স	লাইসেন্সের মেয়াদ আগামী মাসে শেষ হবে।
limited	সীমিত	আজ আমাদের কাছে সীমিত সময় আছে।
lively	প্রাণবন্ত	দুপুরের খাবারের পর সভাটি প্রাণবন্ত হয়ে ওঠে।
load	বোঝা	ট্রাকটি ভারী বোঝা বহন করছিল।
loan	ঋণ	ব্যাংক ঋণ অনুমোদন করেছে।
logical	যৌক্তিক	তার যুক্তি স্পষ্ট এবং যৌক্তিক ছিল।
long-term	দীর্ঘমেয়াদী	এটি একটি দীর্ঘমেয়াদী সমাধান।
loose	আলগা	হাতলটি আলগা লাগছে।
lord	জমিদার	জমিদারের কয়েকটি গ্রাম ছিল।
lower	কমানো	তারা শীতকালে দাম কমিয়ে দেয়।
lung	ফুসফুস	ধূমপান ফুসফুসের ক্ষতি করতে পারে।
maintain	বজায় রাখা	আমরা নিয়মিত যোগাযোগ বজায় রাখি।
majority	সংখ্যাগরিষ্ঠ	সংখ্যাগরিষ্ঠ মানুষ প্রস্তাবটিকে সমর্থন করেছে।
mass	স্তূপ	মেঘের একটি স্তূপ আকাশ ঢেকে ফেলেছিল।
massive	ব্যাপক	ভূমিকম্পটি ব্যাপক ক্ষতি করেছে।
master	বিশেষজ্ঞ	তিনি আলোচনায় একজন বিশেষজ্ঞ হয়ে উঠেছিলেন।
matching	মানানসই	সে মানানসই জুতো এবং বেল্ট পরেছিল।
maximum	সর্বোচ্চ	ঘরটি সর্বোচ্চ ধারণক্ষমতায় পৌঁছেছে।
means	মাধ্যম	ইমেইল আমাদের যোগাযোগের প্রধান মাধ্যম।
measurement	পরিমাপ	পরিমাপটি সামান্য ভুল ছিল।
melt	গলে যাওয়া	দুপুরের মধ্যে বরফ গলে যাবে।
military	সামরিক	গত বছর সামরিক ঘাঁটি বন্ধ হয়ে গেছে।
mineral	খনিজ	লোহা একটি গুরুত্বপূর্ণ খনিজ।
minimum	ন্যূনতম	ন্যূনতম বয়স আঠারো।
minister	মন্ত্রী	মন্ত্রী কঠিন প্রশ্নের উত্তর দিয়েছেন।
minor	সামান্য	দুর্ঘটনায় সামান্য ক্ষতি হয়েছে।
minority	সংখ্যালঘু	সংখ্যালঘুরা নতুন নিয়মের বিরোধিতা করেছিল।
mission	অভিযান	তাদের অভিযান নিরাপদে শেষ হয়েছে।
mixed	মিশ্র	খবরটি মিশ্র প্রতিক্রিয়া পেয়েছে।
modify	পরিবর্তন করা	আমরা পরে নকশাটি পরিবর্তন করতে পারি।
monitor	পর্যবেক্ষণ করা	নার্স তার অবস্থা পর্যবেক্ষণ করবেন।
moral	নৈতিক	গল্পটিতে একটি নৈতিক শিক্ষা রয়েছে।
motor	মোটর	মোটরটি কোনো সতর্কতা ছাড়াই থেমে গেল।
mount	স্থাপন করা	তারা প্রবেশদ্বারের কাছে ক্যামেরা স্থাপন করে।
multiple	একাধিক	একাধিক কারণে দেরি হয়েছিল।
multiply	গুণ করা	সংখ্যাটিকে দশ দিয়ে গুণ করুন।
mysterious	রহস্যময়	বাইরে একটি রহস্যময় আলো দেখা গেল।
neat	পরিপাটি	তার ডেস্ক সবসময় পরিপাটি থাকে।
nerve	স্নায়ু	আঘাতটি একটি স্নায়ুর ক্ষতি করেছে।
nevertheless	তা সত্ত্বেও	কাজটি কঠিন ছিল; তা সত্ত্বেও, আমরা শেষ করেছি।
nightmare	দুঃস্বপ্ন	যাত্রাটি একটি দুঃস্বপ্নে পরিণত হয়েছিল।
notion	ধারণা	পরিবর্তন অসম্ভব এই ধারণাটি প্রত্যাখ্যান করুন।
numerous	অসংখ্য	অসংখ্য গবেষণা এই ধারণাটিকে সমর্থন করে।
obey	মেনে চলা	চালকদের অবশ্যই চিহ্নগুলো মেনে চলতে হবে।
objective	উদ্দেশ্য	আমাদের উদ্দেশ্য হলো বর্জ্য কমানো।
obligation	বাধ্যবাধকতা	শিশুদের রক্ষা করার বাধ্যবাধকতা পিতামাতার রয়েছে।
observation	পর্যবেক্ষণ	তার পর্যবেক্ষণ আলোচনাটিকে বদলে দিয়েছে।
observe	পর্যবেক্ষণ করা	বিজ্ঞানীরা প্রতি বসন্তে পাখিদের পর্যবেক্ষণ করেন।
obtain	অর্জন করা	আপনাকে অবশ্যই লিখিত অনুমতি অর্জন করতে হবে।
occasionally	মাঝে মাঝে	সে মাঝে মাঝে বাড়ি থেকে কাজ করে।
offence	অপমান	মন্তব্যটি চরম অপমানের কারণ হয়েছিল।
offend	অপমান করা	আমি কাউকে অপমান করতে চাইনি।
offensive	আপত্তিকর	পোস্টারটিতে আপত্তিকর ভাষা ছিল।
opening	শূন্যপদ	চাকরির শূন্যপদটি অনেক আবেদনকারীকে আকর্ষণ করেছিল।
operate	চালনা করা	মেশিনটি স্বয়ংক্রিয়ভাবে চালনা হতে পারে।
opponent	প্রতিপক্ষ	তার প্রতিপক্ষ নীতির সমালোচনা করেছিলেন।
oppose	বিরোধিতা করা	অনেক বাসিন্দা পরিকল্পনাটির বিরোধিতা করেন।
opposed	বিরোধী	দলগুলোর বিরোধী মতাদর্শ ছিল।
opposition	বিরোধিতা	প্রস্তাবটি তীব্র বিরোধিতার সম্মুখীন হয়েছিল।
organ	অঙ্গ	হৃদপিণ্ড একটি অত্যাবশ্যক অঙ্গ।
