simplified	RO	example_RO
哎	hei	Hei, ce te aduce aici?
唉	of	Of, am întârziat din nou.
爱护	a proteja; a avea grijă de	Trebuie să avem grijă de mediu.
爱惜	a prețui	Te rog să îți prețuiești timpul.
爱心	compasiune; bunătate	Ea este foarte grijulie.
安慰	a consola	Prietenul meu m-a consolat.
安装	a instala	Muncitorul instalează aparatul de aer condiționat.
岸	un mal	Barca se apropie încet de mal.
暗	întunecat	În cameră este foarte întuneric.
熬夜	a sta treaz până târziu	Faptul că stai treaz până târziu dăunează sănătății.
把握	o siguranță; o șansă	Nu sunt sigur că pot face bine acest lucru.
摆	a aranja	Te rog să aranjezi scaunele frumos.
办理	a rezolva; a procesa	Merg la bancă să rezolv niște treburi.
傍晚	seara; amurgul	Seara vom merge la plimbare.
包裹	un colet	Am primit un colet.
包含	a conține	Prețul include micul dejun.
包括	a include	Taxa include prânzul.
薄	subțire	Această carte este foarte subțire.
保持	a menține	Vă rog să păstrați liniștea.
保存	a păstra; a salva	Te rog să salvezi acest fișier.
保留	a rezerva; a păstra	Te rog să îmi rezervi un loc.
保险	o asigurare	Am cumpărat o asigurare de călătorie.
宝贝	o comoară	Aceasta este comoara mea.
宝贵	prețios	Timpul este foarte prețios.
报到	a se înregistra; a se prezenta	Studenții noi vin astăzi la școală să se înregistreze.
报道	un reportaj; a relata	Știrile au relatat această chestiune.
报告	un raport; a raporta	El ține un raport.
报社	o redacție de ziar	Ea lucrează la o redacție de ziar.
抱怨	a se plânge	El se plânge mereu că este prea mult de lucru.
悲观	pesimist	Nu fi prea pesimist.
背	spatele	El stă cu spatele la ușă.
背景	un fundal; un context	Te rog să îți prezinți pe scurt contextul.
被子	o pilotă	Pilota este foarte călduroasă.
本科	licență; student la licență	El este student la licență.
本领	o abilitate	A învățat o abilitate nouă.
本质	esența	Esența problemei este foarte simplă.
彼此	unul pe altul	Trebuie să ne respectăm unul pe altul.
比例	o proporție	Proporția dintre bărbați și femei este cam aceeași.
必然	inevitabil	Munca grea aduce inevitabil rezultate.
必要	necesar	Nu este nevoie să îți faci griji.
毕竟	la urma urmei	La urma urmei, el este încă un copil.
避免	a evita	Te rog să eviți întârzierea.
编辑	a edita; un editor	El este responsabil de editarea acestui articol.
鞭炮	petarde	De Sărbătoarea Primăverii, unii oameni aprind petarde.
便	atunci; apoi	După ce a mâncat, a mers la curs.
辩论	o dezbatere; a dezbate	Ei dezbat această întrebare.
标点	punctuația	Te rog să fii atent la punctuație.
标志	un semn; un simbol	Lumina roșie este un semn de oprire.
表达	a exprima	El și-a exprimat propria opinie.
表面	o suprafață	Suprafața mesei este foarte curată.
表明	a arăta; a indica	Rezultatul arată că el are dreptate.
表情	o expresie facială	Expresia ei este foarte serioasă.
表现	o performanță; a se comporta	El s-a descurcat foarte bine astăzi.
冰激凌	înghețată	Copiilor le place să mănânce înghețată.
病毒	un virus	Acest virus se răspândește foarte repede.
播放	a reda; a difuza	Te rog să redai acest cântec.
玻璃	sticlă	Paharul de sticlă s-a spart.
博物馆	un muzeu	În acest weekend mergem la muzeu.
脖子	gâtul	Mă doare puțin gâtul.
不断	continuu	Prețurile continuă să crească.
不见得	nu neapărat	Acesta nu este neapărat un lucru rău.
不耐烦	nerăbdător	După ce a așteptat mult timp, a devenit puțin nerăbdător.
不要紧	nu-i nimic	Nu-i nimic, nu contează.
补充	a completa	Aș dori să adaug o opinie.
不安	neliniștit	După ce a auzit vestea, s-a simțit neliniștită.
不得了	foarte grav	Această chestiune este cu adevărat gravă.
不然	altfel	Pleacă repede, altfel vei întârzia.
不如	ar fi mai bine	În loc să luăm un vehicul, ar fi mai bine să mergem pe jos.
不足	insuficient	Aici nu este suficientă apă.
布	o pânză	Această pânză este foarte moale.
步骤	un pas; o etapă	Te rog să operezi conform pașilor.
部门	un departament	Lucrez în departamentul de vânzări.
财产	o proprietate	Această casă este proprietatea lui.
彩虹	un curcubeu	După ploaie a apărut un curcubeu.
踩	a călca	Nu călca pe iarbă.
采访	a intervieva	Reporterul îl intervievează pe doctor.
采取	a adopta; a lua	Am adoptat o metodă nouă.
参考	a consulta	Te rog să consulți această carte.
参与	a participa	El participă activ la activități.
惭愧	rușinat	Mă simt rușinat de propria greșeală.
操场	un teren de sport	Elevii aleargă pe terenul de sport.
操心	a-și face griji	Nu îți face griji pentru mine.
册	un volum	Am cumpărat un volum de carte.
测验	un test	Mâine este un mic test.
曾经	odinioară; cândva	Am locuit cândva la Beijing.
叉子	o furculiță	Mănânc salată cu furculița.
差距	o diferență; un decalaj	Există un decalaj între orașe și zonele rurale.
插	a introduce	Pune, te rog, florile în vază.
拆	a demola; a desface	Muncitorii demolează casa veche.
产品	un produs	Acest produs este de foarte bună calitate.
产生	a produce; a apărea	Această problemă a produs un efect nou.
常识	bun-simț; cunoștințe generale	Acesta este bun-simț de bază.
长途	distanță lungă	Călătoria pe distanțe lungi este obositoare.
抄	a copia	Te rog să nu copiezi temele altora.
超级	super; foarte mare	Acesta este un supermarket.
朝	o dinastie	Dinastia Tang este foarte faimoasă.
潮湿	umed	Verile din sud sunt foarte umede.
吵	zgomotos	Afară este foarte zgomotos.
吵架	a se certa	Ei s-au certat din nou.
炒	a prăji rapid	Mama prăjește mâncarea.
车库	un garaj	Mașina este parcată în garaj.
车厢	un vagon	Acest vagon de tren este foarte liniștit.
彻底	temeinic	El a înțeles temeinic.
沉默	tăcut	El a rămas tăcut tot timpul.
趁	a profita de	Să plecăm cât încă nu s-a întunecat.
称	a cântări	Te rog să cântărești acest colet.
称呼	a se adresa; o formulă de adresare	Nu știu cum să mă adresez lui.
称赞	a lăuda	Profesorul i-a lăudat progresul.
成分	un ingredient; o componentă	Ingredientele acestui medicament sunt simple.
成果	un rezultat	Acest proiect a obținut rezultate.
成就	o realizare	El are multe realizări în carieră.
成立	a se înființa	Compania a fost înființată anul trecut.
成人	un adult	Biletele pentru adulți sunt mai scumpe decât biletele pentru copii.
成熟	matur; copt	Merele sunt deja coapte.
成语	o expresie idiomatică	Această expresie idiomatică este folosită des.
成长	a crește	Copilul crește încet.
