source_headword	TE	example_TE
clothes	బట్టలు	నా బట్టలు శుభ్రంగా ఉన్నాయి.
club	క్లబ్; సంఘం	ఆమె సంగీత క్లబ్‌కు వెళ్తుంది.
coat	కోటు	నా కోటు వెచ్చగా ఉంది.
coffee	కాఫీ	నేను ఉదయం కాఫీ తాగుతాను.
cold	చల్లని; చలి	నీరు చల్లగా ఉంది.
college	కాలేజీ	నా అక్క కాలేజీలో ఉంది.
colour	రంగు	నాకు ఇష్టమైన రంగు నీలం.
come	రా; రావు	దయచేసి ఇక్కడికి రా.
common	సాధారణ	ఈ పేరు సాధారణం.
company	కంపెనీ	నా అమ్మ ఒక కంపెనీలో పని చేస్తుంది.
compare	పోల్చు	ఈ రెండు చిత్రాలను పోల్చు.
complete	పూర్తి; పూర్తి చేయు	ఫారం పూర్తిగా ఉంది.
computer	కంప్యూటర్	ఈ కంప్యూటర్ కొత్తది.
concert	సంగీత కచేరీ	మేము ఈ రాత్రి సంగీత కచేరీకి వెళ్తాము.
conversation	సంభాషణ	మేము చిన్న సంభాషణ చేశాము.
cook	వండు; వంటవాడు	నేను ఇంట్లో రాత్రి భోజనం వండుతాను.
cooking	వంట	నాన్నతో వంట చేయడం నాకు ఇష్టం.
cool	చల్లని; బాగుంది	గది చల్లగా ఉంది.
correct	సరైన; సరిచేయు	నీ సమాధానం సరైనది.
cost	ధర; ఖర్చు అవు	దీని ధర ఎంత?
could modal	చేయగలిగేవాడు; చేయగలదు	నేను నీకు సహాయం చేయగలిగేవాడిని.
country	దేశం	కెనడా పెద్ద దేశం.
course	కోర్సు; పాఠ్యక్రమం	నేను ఆంగ్ల కోర్సు తీసుకుంటాను.
cousin	బంధువు	నా బంధువు నా దగ్గర నివసిస్తాడు.
cow	ఆవు	ఆవు గడ్డి తింటుంది.
cream	క్రీమ్	నేను కాఫీలో క్రీమ్ వేస్తాను.
create	సృష్టించు	వారు కొత్త ఆటను సృష్టిస్తారు.
culture	సంస్కృతి	మేము స్థానిక సంస్కృతి గురించి నేర్చుకుంటాము.
cup	కప్పు	ఈ కప్పు ఖాళీగా ఉంది.
