source_headword	KK	example_KK
stranger	бейтаныс адам	Бейтаныс адам жол сұрады.
strength	күш	Оның күші командаға көмектесті.
string	жіп	Қорапты жіппен байла.
strongly	қатты	Мен бұл идеямен қатты келіспеймін.
studio	студия	Суретші шағын студияда жұмыс істейді.
stuff	заттар	Заттарыңды сөреге қой.
substance	зат	Полиция оғаш зат тапты.
successfully	сәтті	Олар жобаны сәтті аяқтады.
sudden	кенеттен	Кенеттен шыққан шу бізді оятты.
suffer	зардап шегу	Көптеген өсімдіктер құрғақ ауа райында зардап шегеді.
suitable	қолайлы	Бұл куртка мектепке қолайлы.
summarize	қорытындылау	Мақаланы қорытындылай аласыз ба?
summary	қысқаша мазмұны	Бүгін кешке қысқаша мазмұнын жаз.
supply	қор	Қалаға таза су қоры қажет.
supporter	қолдаушы	Әр қолдаушы қатты қуанды.
surely	сөзсіз	Біз мұны сөзсіз шеше аламыз.
surface	беті	Оның беті суық әрі тегіс болып көрінді.
survive	аман қалу	Бұл жануарлар суық қыста аман қалады.
switch	өшіру/қосу	Ас үйдегі жарықты өшір.
symptom	белгі	Жөтел белгі болуы мүмкін.
tail	құйрық	Иттің ұзын құйрығы бар.
talent	талант	Оның музыкаға деген таланты бар.
talented	талантты	Ол талантты жас актер.
tape	таспа	Қорапты жабу үшін таспаны пайдалан.
tax	салық	Бұл салықты барлығы төлеуі тиіс.
technical	техникалық	Бізде техникалық мәселе болды.
technique	әдіс	Бұл әдіс уақытты үнемдейді.
tend	бейім болу	Балалар тез үйренуге бейім.
tent	шатыр	Біз кішкентай шатырда ұйықтадық.
theirs	олардікі	Көк велосипедтер олардікі.
theme	тақырып	Кештің жағажай тақырыбы болды.
theory	теория	Оның теориясы мәселені түсіндіреді.
therefore	сондықтан	Жаңбыр жауды, сондықтан біз іште қалдық.
though	дегенмен	Шаршаса да, ол жұмысын жалғастырды.
throat	тамақ	Бүгін таңертең тамағым ауырып тұр.
throughout	бойы	Адамдар кеш бойы биледі.
tight	тар	Бұл аяқ киім тым тар сияқты.
till	дейін	Мен оралғанға дейін осында күт.
tin	консерві банкісі	Бұршақ консервісін аш.
tiny	кішкентай	Жақын жерге кішкентай құс қонды.
toe	бақай	Мен кеше бақайымды ауыртып алдым.
tongue	тіл	Ол шайға тілін күйдіріп алды.
total	жалпы	Жалпы құны төмен болды.
totally	толығымен	Мен сіздің алаңдаушылығыңызды толығымен түсінемін.
trade	сауда	Халықаралық сауда жұмыс орындарын құрайды.
translate	аудару	Мына сөйлемді аударыңызшы.
translation	аударма	Аударма табиғи естіледі.
treat	қарау	Барлығына құрметпен қара.
treatment	емдеу	Науқасқа бүгін ем қажет.
trend	тенденция	Бұл тенденция бүкіл әлемде өсіп келеді.
trick	фокус	Карточкамен жасалған фокус мені таң қалдырды.
truth	шындық	Шындықты айтыңызшы.
tube	түтікше	Түтікшені жайлап қысыңыз.
typically	әдетте	Студенттер әдетте тоғызға дейін келеді.
tyre	шина	Көлікке жаңа шина қажет.
ugly	ұсқынсыз	Қабырғаның түсі ұсқынсыз көрінеді.
unable	қабілетсіз	Ол жауап бере алмады.
