source_headword	HI	example_HI
toss	उछालना	उसने चाबियाँ मेज पर उछाल दीं।
total	कुल होना	मरम्मत का खर्च उम्मीद से ज्यादा हो गया।
toxic	ज़हरीला	ज़हरीले धुएं ने सभी को बाहर जाने पर मजबूर कर दिया।
trademark	ट्रेडमार्क	लोगो कंपनी का ट्रेडमार्क बन गया।
trail	पगडंडी	पगडंडी जंगल से होकर जाती थी।
trailer	ट्रेलर	ट्रेलर में फिल्म का अंत दिखाया गया था।
transaction	लेन-देन	लेन-देन मेरे बैंक स्टेटमेंट पर दिखाई दिया।
transcript	ट्रांसक्रिप्ट	छात्र ने आधिकारिक ट्रांसक्रिप्ट का अनुरोध किया।
transformation	परिवर्तन	शहर में एक बड़ा परिवर्तन देखा गया।
transit	पारगमन	पारगमन के दौरान पार्सल क्षतिग्रस्त हो गया था।
transmission	संचरण	डेटा का संचरण सुरक्षित था।
transparency	पारदर्शिता	रिपोर्ट में अधिक पारदर्शिता की मांग की गई।
transparent	पारदर्शी	प्रक्रिया सभी के लिए पारदर्शी होनी चाहिए।
trauma	आघात	दुर्घटना ने गहरा आघात छोड़ा।
treaty	संधि	देशों ने शांति संधि पर हस्ताक्षर किए।
tremendous	ज़बरदस्त	टीम ने ज़बरदस्त प्रगति की।
tribal	आदिवासी	संग्रहालय ने आदिवासी कला प्रदर्शित की।
tribunal	न्यायाधिकरण	न्यायाधिकरण ने पूरे सप्ताह सबूत सुने।
tribute	श्रद्धांजलि	संगीत कार्यक्रम उनके लिए एक श्रद्धांजलि थी।
trio	तिकड़ी	तिकड़ी ने उत्सव में प्रदर्शन किया।
triumph	जीत	यह जीत एक व्यक्तिगत जीत थी।
trophy	ट्रॉफी	कप्तान ने गर्व से ट्रॉफी उठाई।
troubled	संकटग्रस्त	संकटग्रस्त कंपनी को नए नेतृत्व की आवश्यकता थी।
trustee	ट्रस्टी	ट्रस्टी छात्रवृत्ति कोष का प्रबंधन करता है।
tuition	ट्यूशन फीस	इस साल उनकी ट्यूशन फीस बढ़ गई।
turnout	उपस्थिति	मतदाताओं की उपस्थिति उम्मीद से अधिक थी।
turnover	टर्नओवर	बदलावों के बाद कर्मचारियों का टर्नओवर कम हो गया।
twist	घुमाना	उसने घुमाकर ढक्कन खोल दिया।
undergraduate	स्नातक छात्र	स्नातक छात्र एक शोध परियोजना में शामिल हुआ।
underlying	अंतर्निहित	रिपोर्ट ने अंतर्निहित कारणों को समझाया।
undermine	कमज़ोर करना	घोटाले ने जनता के विश्वास को कमज़ोर कर दिया।
undoubtedly	निस्संदेह	वह निस्संदेह सर्वश्रेष्ठ उम्मीदवार हैं।
unify	एकजुट करना	योजना का उद्देश्य टीमों को एकजुट करना है।
unprecedented	अभूतपूर्व	तूफान ने अभूतपूर्व तबाही मचाई।
unveil	अनावरण करना	कंपनी कल डिजाइन का अनावरण करेगी।
upcoming	आगामी	आगामी चुनाव ने जनता का ध्यान आकर्षित किया।
upgrade	अपग्रेड करना	हमने कल रात सॉफ़्टवेयर को अपग्रेड किया।
uphold	कायम रखना	हम मूल निर्णय को कायम रखते हैं।
utility	उपयोगिता	अपार्टमेंट में सभी उपयोगिता लागत शामिल हैं।
utilize	उपयोग करना	टीम ने उपलब्ध डेटा का उपयोग किया।
utterly	पूरी तरह से	स्पष्टीकरण पूरी तरह से भ्रामक था।
vacuum	शून्यता	नेतृत्व में शून्यता ने तनाव पैदा कर दिया।
vague	अस्पष्ट	उसका जवाब अस्पष्ट और कमजोर था।
validity	वैधता	अध्ययन ने परीक्षण की वैधता पर सवाल उठाया।
vanish	गायब होना	फ़ाइल फ़ोल्डर से गायब हो गई।
variable	चर	कीमत एक महत्वपूर्ण चर है।
varied	विविध	पाठ्यक्रम विविध कार्य प्रदान करता है।
vein	नस	नर्स को जल्दी से नस मिल गई।
venture	उद्यम	नए उद्यम ने निवेशकों को आकर्षित किया।
verbal	मौखिक	वे एक मौखिक समझौते पर पहुँचे।
verdict	फैसला	जूरी ने अपना फैसला सुनाया।
verify	सत्यापित करना	कृपया अपना ईमेल पता सत्यापित करें।
verse	पद्य	उसने कविता से एक पद्य का उद्धरण दिया।
versus	बनाम	बहस निजता बनाम सुरक्षा थी।
vessel	पोत	पोत समुद्र के पार अनाज ले गया।
veteran	वयोवृद्ध	वयोवृद्ध ने नए कर्मचारियों को प्रशिक्षित किया।
viable	व्यावहारिक	यह प्रस्ताव आर्थिक रूप से व्यावहारिक है।
vibrant	जीवंत	शहर में एक जीवंत कला परिदृश्य है।
vice	बुराई	लालच उसकी सबसे बड़ी बुराई थी।
vicious	क्रूर	इस क्रूर हमले ने शहर को चौंका दिया।
villager	ग्रामीण	एक ग्रामीण ने हमें नदी तक का रास्ता दिखाया।
violate	उल्लंघन करना	कंपनी सुरक्षा नियमों का उल्लंघन कर सकती है।
violation	उल्लंघन	निरीक्षक ने एक गंभीर उल्लंघन की सूचना दी।
virtue	गुण	धैर्य एक महत्वपूर्ण गुण है।
vocal	मुखर	वह निर्णय को लेकर मुखर थी।
vow	कसम खाना	उसने काम पूरा करने की कसम खाई।
vulnerability	भेद्यता	ऑडिट में एक सुरक्षा भेद्यता का पता चला।
vulnerable	असुरक्षित	अत्यधिक गर्मी के दौरान बच्चे असुरक्षित होते हैं।
ward	वार्ड	मरीज को दूसरे वार्ड में भेज दिया गया।
warehouse	गोदाम	गोदाम में स्पेयर पार्ट्स रखे जाते हैं।
warfare	युद्ध	आधुनिक युद्ध तकनीक पर निर्भर करता है।
warrant	वारंट	पुलिस ने सर्च वारंट दिखाया।
warrior	योद्धा	योद्धा ने गाँव की रक्षा की।
weaken	कमज़ोर करना	चोट ने उसकी पकड़ को कमज़ोर कर दिया।
weave	बुनना	उसने टोकरियाँ बुनना सीखा।
weed	खरपतवार	पत्थरों के बीच एक खरपतवार उग आई।
well	कुआँ	गाँव का कुआँ सूख गया।
well-being	भलाई	भलाई के लिए नींद बहुत ज़रूरी है।
whatsoever	बिल्कुल	उसने बिल्कुल कोई दिलचस्पी नहीं दिखाई।
whereby	जिसके तहत	कानून ने एक ऐसी प्रणाली बनाई जिसके तहत परिवार अपील कर सकते थे।
whilst	जबकि	वह काम करती थी जबकि उसने आराम किया।
whip	ज़ोर से हिलाना	हवा झंडों को ज़ोर से फहरा सकती है।
wholly	पूरी तरह से	यह निर्णय पूरी तरह से अप्रत्याशित था।
widen	चौड़ा करना	शहर की योजना सड़क को चौड़ा करने की है।
widow	विधवा	विधवा स्कूल के पास रहती है।
width	चौड़ाई	दरवाजे की चौड़ाई नापें।
willingness	तत्परता	उसकी मदद करने की तत्परता ने सभी को प्रभावित किया।
wipe	पोंछना	एक कपड़े से स्क्रीन को पोंछ लें।
wit	हाज़िरजवाबी	उनकी हाज़िरजवाबी ने भाषण को जीवंत बना दिया।
withdrawal	वापसी	धन की वापसी ने परियोजना में देरी की।
workout	कसरत	कसरत चालीस मिनट तक चली।
worship	पूजा	लोग भोर में पूजा के लिए एकत्र हुए।
worthwhile	सार्थक	यात्रा सार्थक थी।
worthy	योग्य	यह दान समर्थन के योग्य है।
yell	चिल्लाना	कर्मचारियों पर मत चिल्लाओ।
