source_headword	ET	example_ET
heal	paranema	Puhkus aitab kehal paraneda.
healthcare	tervishoid	Tervishoiukulud tõusid sel aastal.
helmet	kiiver	Kandke rattal kiivrit.
hence	seetõttu	Seetõttu me muutsime ajakava.
herb	ürt	Basiilik on kasulik ürt.
hidden	peidetud	Võti oli mati alla peidetud.
highway	maantee	Maantee suleti pärast lumesadu.
hilarious	naljakas	Film oli naljakas.
hip	puus	Ta vigastas trennis puusa.
historian	ajaloolane	Ajaloolane uuris vanu kirju.
homeless	kodutu	Varjupaik aitab kodutuid peresid.
honesty	ausus	Ausus loob usaldust.
hook	konks	Riputa mantel konksu otsa.
hopefully	loodetavasti	Loodetavasti saabub rong varsti.
hunger	nälg	Nälg võib mõjutada keskendumist.
hypothesis	hüpotees	Eksperiment testis hüpoteesi.
icon	ikoon	Rakenduse ikoon muutus täna.
ID	isikutunnistus	Näidake vastuvõtus oma isikutunnistust.
identical	identne	Kaksikud kandsid identseid jakke.
illusion	illusioon	Peegel loob illusiooni.
immigration	immigratsioon	Immigratsioonipoliitika muutus eelmisel aastal.
immune	immuunne	Vaktsineerimine võib muuta inimesed immuunseks.
implement	rakendama	Kool hakkab poliitikat rakendama.
implication	vihje	Vihje oli selge.
incentive	stiimul	Boonus andis töötajatele stiimuli.
incorporate	kaasama	Kaasake toitudesse rohkem köögivilju.
incorrect	vale	Vastus oli vale.
independence	iseseisvus	Riik tähistas iseseisvust.
index	indeks	Vaadake teema kohta indeksist.
indication	märk	Naeratus oli kergenduse märk.
inevitable	vältimatu	Mõningane viivitus oli vältimatu.
inevitably	vältimatult	Vältimatult tõusid hinnad pärast puudujääki.
infer	järeldama	Me saame vastuse kontekstist järeldada.
inflation	inflatsioon	Inflatsioon tõstis toiduainete hindu.
info	info	Veebisait loetleb kasulikku infot.
infrastructure	infrastruktuur	Torm kahjustas kohalikku infrastruktuuri.
inhabitant	elanik	Iga elanik sai puhast vett.
inherit	pärima	Ta pärib peremaja.
ink	tint	Printer vajab musta tinti.
innovation	innovatsioon	Innovatsioon viib tööstust edasi.
innovative	uuenduslik	Ettevõte tõi turule uuendusliku toote.
input	panus	Juhataja palus panust.
insert	sisestama	Sisestage kaart masinasse.
inspector	inspektor	Inspektor kontrollis hoonet.
installation	paigaldamine	Paigaldamine võttis kaks tundi.
