source_headword	TR	example_TR
prey	av	Baykuşlar gece avlanırlar.
privatization	özelleştirme	Özelleştirme demiryolu sistemini değiştirdi.
privilege	ayrıcalık	Eğitim bir ayrıcalık olmamalıdır.
probe	soruşturma	Soruşturma ciddi hataları ortaya çıkardı.
problematic	sorunlu	Anlaşma sorunlu olmaya devam ediyor.
proceedings	davalar	Mahkeme işlemleri pazartesi günü başladı.
proceeds	gelir	Gelirler yerel okulları destekleyecek.
processing	işleme	Görüntü işleme zaman alır.
processor	işlemci	İşlemci test sırasında arızalandı.
proclaim	ilan etmek	Liderler zaferi çok erken ilan ediyorlar.
productive	üretken	Toplantı üretkendi.
productivity	üretkenlik	Üretkenlik eğitimden sonra arttı.
profitable	kârlı	Dükkan bu yıl kârlı hale geldi.
profound	derin	Konuşmanın derin bir etkisi oldu.
projection	tahmin	Tahminler istikrarlı bir büyüme gösteriyor.
prominent	önde gelen	Önde gelen bir bilim insanı oldu.
pronounced	belirgin	Aksanı daha belirgin hale geldi.
propaganda	propaganda	Kampanya internette propaganda kullandı.
proposition	teklif	Teklif riskli bir önermedir.
prosecute	dava açmak	Yetkililer ciddi dolandırıcılık vakalarına dava açar.
prosecution	savcılık	Savcılık yeni kanıtlar sundu.
prosecutor	savcı	Savcı tanığı sorguladı.
prospective	olası	Aday öğrenciler kampüsü gezdi.
prosperity	refah	Ticaret bölgeye refah getirdi.
protective	koruyucu	Koruyucu eldiven takmıştı.
protocol	protokol	Protokol yazılı onay gerektirir.
province	eyalet	Eyalet ulaşıma yatırım yaptı.
provincial	eyalet	Eyalet yetkilileri planı duyurdu.
provision	hüküm	Sözleşme bir güvenlik hükmü içeriyor.
provoke	kışkırtmak	Konuşma güçlü tepkileri kışkırtabilir.
psychiatric	psikiyatrik	Hastane bir psikiyatri ünitesi açtı.
pulse	nabız	Hemşire nabzını kontrol etti.
pump	pompa	Pompa suyu yukarı taşır.
punch	yumruk	Öfkeyle yumruk attı.
query	sorgu	Sorgunuzu desteğe gönderin.
quest	arayış	Adalet arayışları devam etti.
quota	kota	Ekip satış kotasını doldurdu.
radar	radar	Fırtına radarda göründü.
radical	köklü	Grup köklü reformlar önerdi.
rage	öfke	Öfkesi çabucak dindi.
raid	baskın	Polis şafak baskını düzenledi.
rally	miting	Destekçiler şehir merkezindeki mitinge katıldı.
ranking	sıralama	Üniversite sıralamasını yükseltti.
rape	tecavüz	Tecavüz vakaları dikkatli bir soruşturma gerektirir.
ratio	oran	Sınıfın düşük bir öğretmen oranı var.
rational	mantıklı	Kararı mantıklıydı.
ray	ışın	İçeri bir güneş ışını girdi.
readily	kolaylıkla	Teklifi kolaylıkla kabul etti.
realization	idrak	Bu idrak planlarını değiştirdi.
realm	alan	Bu soru başka bir alana aittir.
rear	arka	Bugün arka girişi kullanın.
reasoning	akıl yürütme	Akıl yürütmesi açıktı.
reassure	içini rahatlatmak	Doktor içini rahatlatmaya çalıştı.
rebel	isyancı	İsyancı lider yakalanmaktan kurtuldu.
rebellion	isyan	İsyan müzakerelerden sonra sona erdi.
recipient	alıcı	Alıcı formu imzaladı.
reconstruction	yeniden inşa	Selden sonra yeniden inşa başladı.
recount1	anlatmak	Olayları açıkça anlatabiliyor.
referendum	referandum	Referandum ülkeyi ikiye böldü.
reflection	düşünme	Makalenin daha derin bir düşünmeye ihtiyacı vardı.
