source_headword	CS	example_CS
prey	kořist	Sovy loví kořist v noci.
privatization	privatizace	Privatizace změnila železniční systém.
privilege	privilegium	Vzdělání by nemělo být privilegium.
probe	vyšetřování	Vyšetřování odhalilo vážné chyby.
problematic	problematický	Dohoda zůstává problematická.
proceedings	řízení	Soudní řízení začalo v pondělí.
proceeds	výtěžek	Výtěžek podpoří místní školy.
processing	zpracování	Zpracování obrazu zabere čas.
processor	procesor	Procesor selhal během testování.
proclaim	prohlásit	Lídři prohlašují vítězství příliš brzy.
productive	produktivní	Schůzka byla produktivní.
productivity	produktivita	Produktivita se zlepšila po školení.
profitable	ziskový	Obchod se letos stal ziskovým.
profound	hluboký	Projev měl hluboký dopad.
projection	projekce	Projekce ukazuje stálý růst.
prominent	významný	Stala se významnou vědkyní.
pronounced	výrazný	Jeho přízvuk se stal výraznějším.
propaganda	propaganda	Kampaň využívala propagandu online.
proposition	návrh	Návrh je riskantní záležitost.
prosecute	stíhat	Úředníci stíhají vážné případy podvodů.
prosecution	obžaloba	Obžaloba předložila nové důkazy.
prosecutor	státní zástupce	Státní zástupce vyslýchal svědka.
prospective	potenciální	Potenciální studenti si prohlédli kampus.
prosperity	prosperita	Obchod přinesl regionu prosperitu.
protective	ochranný	Měla na sobě ochranné rukavice.
protocol	protokol	Protokol vyžaduje písemné schválení.
province	provincie	Provincie investovala do dopravy.
provincial	provinční	Provinční úředníci oznámili plán.
provision	ustanovení	Smlouva zahrnuje bezpečnostní ustanovení.
provoke	vyvolat	Projev může vyvolat silné reakce.
psychiatric	psychiatrický	Nemocnice otevřela psychiatrické oddělení.
pulse	puls	Zdravotní sestra mu zkontrolovala puls.
pump	čerpadlo	Čerpadlo přesouvá vodu nahoru.
punch	rána	V hněvu dal ránu pěstí.
query	dotaz	Zašlete svůj dotaz na podporu.
quest	hledání	Jejich hledání spravedlnosti pokračovalo.
quota	kvóta	Tým splnil svou prodejní kvótu.
radar	radar	Bouře se objevila na radaru.
radical	radikální	Skupina navrhla radikální reformy.
rage	vztek	Jeho vztek rychle opadl.
raid	zátah	Policie provedla ranní zátah.
rally	shromáždění	Příznivci se připojili ke shromáždění v centru.
ranking	hodnocení	Univerzita si vylepšila své hodnocení.
rape	znásilnění	Případy znásilnění vyžadují pečlivé vyšetřování.
ratio	poměr	Třída má nízký poměr učitelů.
rational	racionální	Její rozhodnutí bylo racionální.
ray	paprsek	Dovnitř pronikl sluneční paprsek.
readily	ochotně	Ochotně nabídku přijal.
realization	uvědomění	Uvědomění změnilo její plány.
realm	sféra	Tato otázka patří do jiné sféry.
rear	zadní	Dnes použijte zadní vchod.
reasoning	uvažování	Jeho uvažování bylo jasné.
reassure	uklidnit	Doktor se ji snažil uklidnit.
rebel	rebel	Vůdce rebelů unikl zajetí.
rebellion	vzpoura	Vzpoura skončila po jednáních.
recipient	příjemce	Příjemce podepsal formulář.
reconstruction	rekonstrukce	Rekonstrukce začala po povodni.
recount1	líčit	Dokáže události jasně vylíčit.
referendum	referendum	Referendum rozdělilo zemi.
reflection	zamyšlení	Esej potřebovala hlubší zamyšlení.
reform	reforma	Reforma zlepšila veřejné služby.
refuge	útočiště	Rodina hledala útočiště v zahraničí.
refusal	odmítnutí	Její odmítnutí překvapilo výbor.
regain	získat zpět	Tvrdě pracoval, aby získal zpět důvěru.
regardless	bez ohledu	Pokračovali bez ohledu na kritiku.
regime	režim	Režim omezil svobodu slova.
regulator	regulátor	Regulátor udělil společnosti pokutu.
regulatory	regulační	Regulační schválení trvalo měsíce.
rehabilitation	rehabilitace	Rehabilitace mu pomohla znovu chodit.
reign	vláda	Králova vláda trvala desetiletí.
rejection	odmítnutí	Odmítnutí zasáhlo její sebevědomí.
relevance	relevance	Údaje mají omezenou relevanci.
reliability	spolehlivost	Ve záchranných systémech záleží na spolehlivosti.
reluctant	neochotný	Byl neochotný mluvit.
