source_headword	TE	example_TE
ability	సామర్థ్యం	ఆమె ఈత కొట్టే సామర్థ్యం స్పష్టంగా ఉంది.
able	చేయగల	అతను ఈ రోజు రావచ్చు.
abroad	విదేశంలో	ఆమె విదేశంలో చదవాలనుకుంటుంది.
accept	అంగీకరించు	దయచేసి ఈ చిన్న బహుమతిని అంగీకరించు.
accident	ప్రమాదం	ప్రమాదం పాఠశాల దగ్గర జరిగింది.
according to	ప్రకారం	నివేదిక ప్రకారం, వర్షం రాబోతోంది.
achieve	సాధించు	నీవు నీ లక్ష్యాన్ని సాధించగలవు.
act	నటించు; చర్య	అతను నాటకంలో నటించగలడు.
active	చురుకైన	ఆమె ప్రతి రోజు చురుకుగా ఉంటుంది.
actually	నిజానికి	నిజానికి, నాకు ఇంకా సమయం కావాలి.
advantage	ప్రయోజనం	ఈ ప్రణాళికకు ఒక ప్రయోజనం ఉంది.
adventure	సాహసం	వారి ప్రయాణం ఒక సాహసం.
advertise	ప్రకటన చేయు	వారు కొత్త ఉద్యోగాన్ని ప్రకటన చేస్తున్నారు.
advertisement	ప్రకటన	నేను ఒక ప్రకటన చూశాను.
advertising	ప్రకటనల పని	ప్రకటనల పని ఆహారాన్ని అమ్మడంలో సహాయపడుతుంది.
affect	ప్రభావితం చేయు	నిద్ర నీ ఆరోగ్యాన్ని ప్రభావితం చేయవచ్చు.
against	వ్యతిరేకంగా; ఆనుకుని	గోడకు ఆనుకుని నిలబడవద్దు.
ah	ఆహా	ఆహా, ఇప్పుడు నాకు అర్థమైంది.
airline	విమానయాన సంస్థ	విమానయాన సంస్థ చాలా రద్దీగా ఉంది.
alive	బతికున్న	చిన్న చేప బతికే ఉంది.
all right	సరే	ఇప్పుడు అన్నీ సరే.
allow	అనుమతించు	వారు ఇక్కడ కుక్కలను అనుమతిస్తారు.
almost	దాదాపు	మేము దాదాపు సిద్ధంగా ఉన్నాము.
alone	ఒంటరిగా	ఆమె ఒంటరిగా జీవిస్తుంది.
along	వెంట	ఈ రహదారి వెంట నడువు.
already	ఇప్పటికే	నాకు సమాధానం ఇప్పటికే తెలుసు.
alternative	ప్రత్యామ్నాయం	ఈ రైలు ఒక ప్రత్యామ్నాయం.
although	అయినప్పటికీ	ఆలస్యమైనప్పటికీ, మనం ఉండవచ్చు.
among	మధ్య	అతను చెట్ల మధ్య నిలబడ్డాడు.
amount	పరిమాణం	పరిమాణం చాలా చిన్నది.
ancient	ప్రాచీన	ఈ ప్రాచీన గోడ ప్రసిద్ధి చెందింది.
ankle	చీలమండ	ఈ రోజు నా చీలమండ నొప్పిగా ఉంది.
anybody	ఎవరైనా	దీనికి ఎవరైనా సమాధానం చెప్పగలరా?
any more	ఇకపై	నాకు ఇకపై అవసరం లేదు.
anyway	ఏమైనప్పటికీ	ఏమైనప్పటికీ, మనం ఇప్పుడు ప్రారంభించవచ్చు.
anywhere	ఎక్కడైనా	నీకు నచ్చిన చోట ఎక్కడైనా కూర్చో.
app	యాప్	ఈ యాప్ ఉపయోగకరంగా ఉంది.
appear	కనిపించు	ఆమె పేరు ఇక్కడ కనిపిస్తుంది.
appearance	రూపం	అతని రూపం భిన్నంగా ఉంది.
apply	దరఖాస్తు చేయు	ఈ రోజే ఉద్యోగానికి దరఖాస్తు చేయు.
architect	వాస్తుశిల్పి	వాస్తుశిల్పి దగ్గర ఒక ప్రణాళిక ఉంది.
architecture	వాస్తుశిల్పం	నాకు ఆధునిక వాస్తుశిల్పం ఇష్టం.
argue	వాదించు	నీ అక్కతో వాదించవద్దు.
argument	వాదన	వాదన చిన్నదిగా ఉంది.
army	సైన్యం	సైన్యం పెద్దది.
arrange	ఏర్పాటు చేయు	దయచేసి సమావేశాన్ని ఏర్పాటు చేయు.
arrangement	ఏర్పాటు	ఆ ఏర్పాటు బాగా పనిచేస్తుంది.
asleep	నిద్రలో	శిశువు నిద్రలో ఉంది.
assistant	సహాయకుడు	సహాయకుడు నాకు సహాయం చేశాడు.
athlete	క్రీడాకారుడు	క్రీడాకారుడు వేగంగా పరుగెడతాడు.
attack	దాడి; దాడి చేయు	కుక్క దాడి చేయవచ్చు.
attend	హాజరు అవు	నేను ఈ రోజు తరగతికి హాజరవుతున్నాను.
attention	శ్రద్ధ	దయచేసి ఇప్పుడు శ్రద్ధ పెట్టు.
attractive	ఆకర్షణీయమైన	తోట ఆకర్షణీయంగా ఉంది.
