source_headword	SI	example_SI
machine	යන්ත්‍රය; මැෂිම	මෙම යන්ත්‍රය කෝපි සාදයි.
magazine	සඟරාව	ඇය සංගීත සඟරාවක් කියවයි.
main	ප්‍රධාන	මෙය ප්‍රධාන දොරයි.
make	සෑදීම; කිරීම	මම ගෙදර දවල් ආහාරය සාදමි.
man	පුරුෂයා; මිනිසා	ඒ පුරුෂයා මගේ ගුරුවරයාය.
many	බොහෝ	මෙහි බොහෝ සිසුන් සිටිති.
map	සිතියම	සිතියම බලන්න.
March	මාර්තු මාසය	මගේ උපන් දිනය මාර්තු මාසයේය.
market	වෙළඳපොළ	අපි වෙළඳපොළෙන් පලතුරු මිලදී ගනිමු.
married	විවාහක	මගේ අක්කා විවාහකය.
May	මැයි මාසය	පාසල මැයි මාසයේ අවසන් වේ.
maybe	සමහරවිට; විය හැක	සමහරවිට අද වැසි වැටේ.
me	මට; මාව	කරුණාකර මට උදව් කරන්න.
meal	ආහාර වේල	මෙම ආහාර වේල උණුසුම්ය.
mean	අර්ථය දක්වන්න	මෙම ලකුණෙන් කුමක් අදහස් වේද?
meaning	අර්ථය	මෙහි අර්ථය කුමක්ද?
meat	මස්	මම රාත්‍රී ආහාරයට මස් කමි.
meet	හමුවීම	අපි පාසලෙන් පසු හමුවෙමු.
meeting	රැස්වීම	රැස්වීම දැන් ආරම්භ වේ.
member	සාමාජිකයා	ඇය සමාජයේ සාමාජිකාවකි.
menu	මෙනුව	කරුණාකර මෙනුව කියවන්න.
message	පණිවිඩය	මම කෙටි පණිවිඩයක් යවමි.
metre	මීටරය	එක් මීටරයක් ඉදිරියට යන්න.
midnight	මධ්‍යම රාත්‍රිය	දුම්රිය මධ්‍යම රාත්‍රියේ පිටත් වේ.
mile	මයිලය	අපි එක් මයිලයක් ඇවිද්දෙමු.
milk	කිරි	මම උදේ ආහාරය සමඟ කිරි බොමි.
million	මිලියනය	මෙහි මිලියනයක් මිනිසුන් සිටිති.
minute1	මිනිත්තුව	කරුණාකර එක් මිනිත්තුවක් රැඳී සිටින්න.
miss	මතක් වීම; අතපසු වීම	මට පරණ පාසල මතක් වේ.
mistake	වැරැද්ද	මෙම පිළිතුරේ වැරැද්දක් ඇත.
model	ආකෘතිය	මෙය කුඩා ආකෘතියකි.
modern	නවීන	මෙම කුස්සිය නවීනය.
moment	මොහොත	කරුණාකර මොහොතක් රැඳී සිටින්න.
Monday	සඳුදා	අපි සඳුදා වැඩ ආරම්භ කරමු.
money	මුදල්	මට ටිකක් මුදල් අවශ්‍යයි.
month	මාසය	ජූනි උණුසුම් මාසයකි.
more	තවත්; වැඩි	මට තවත් කාලය අවශ්‍යයි.
morning	උදෑසන	මම උදෑසන ඉගෙන ගනිමි.
most	බොහෝමයක්; වැඩිම	බොහෝමයක් සිසුන් සංගීතයට කැමතිය.
mother	අම්මා	මගේ අම්මා අද වැඩ කරයි.
mountain	කන්ද	මෙම කන්ද උසය.
mouse	මීයා	මීයා පුටුව යට සිටී.
mouth	කට	කරුණාකර ඔබේ කට විවෘත කරන්න.
move	ගෙනයන්න; චලනය වන්න	පුටුව මෙහි ගෙනයන්න.
movie	චිත්‍රපටය	අපි අද රෑ චිත්‍රපටයක් බලමු.
much	බොහෝ; කොපමණ	මෙය කොපමණ මිලද?
mum	අම්මා	මගේ අම්මා ගෙදර සිටී.
museum	කෞතුකාගාරය	කෞතුකාගාරය දහයට විවෘත වේ.
music	සංගීතය	මම සංගීතයට සවන් දෙමි.
must modal	අනිවාර්යයෙන් කළ යුතුය	ඔබ මෙහි නවතින්න ඕනෑය.
my	මගේ	මෙය මගේ පොතයි.
name	නම	ඔබේ නම මෙහි ලියන්න.
natural	ස්වාභාවික	මෙම පලතුරු යුෂ ස්වාභාවිකය.
near	අසල	බැංකුව මෙහි අසලය.
need	අවශ්‍ය වීම	මට පෑනක් අවශ්‍යයි.
negative	ඍණාත්මක	මෙම පිළිතුර ඍණාත්මකය.
neighbour	අසල්වැසියා	මගේ අසල්වැසියා මිත්‍රශීලීය.
never	කවදාවත් නැත	මම කවදාවත් කෝපි නොබොමි.
new	නව; අලුත්	මෙම දුරකථනය අලුත්ය.
news	පුවත්	අද පුවත් හොඳයි.
newspaper	පුවත්පත	ඔහු පුවත්පත කියවයි.
next	ඊළඟ	ඊළඟ බස් රථය ප්‍රමාදයි.
next to	අසල; ළඟ	මගේ අසල ඉඳගන්න.
nice	හොඳ; ලස්සන	මෙම කාමරය ලස්සනයි.
night	රාත්‍රිය	මම රාත්‍රියේ නිදමි.
nine	නවය	මෙහි සිසුන් නව දෙනෙක් සිටිති.
nineteen	දහනවය	ඇය දහනව වියේය.
ninety	අනූව	මගේ සීයා අනූ වියේය.
no	නැත; එපා	නැත ස්තුතියි.
no one	කිසිවෙක් නැත	කාමරයේ කිසිවෙක් නැත.
nobody	කිසිවෙක් නැත	ගෙදර කිසිවෙක් නැත.
north	උතුර	ස්ථානය මෙහි උතුරේය.
nose	නාසය	මගේ නාසය සීතලයි.
not	නැත	මම වෙහෙස නැත.
note	සටහන	දැන් සටහනක් ලියන්න.
nothing	කිසිවක් නැත	පෙට්ටියේ කිසිවක් නැත.
November	නොවැම්බර් මාසය	මගේ පාඨමාලාව නොවැම්බර් මාසයේ ආරම්භ වේ.
now	දැන්	දැන් මෙහි එන්න.
number	අංකය; සංඛ්‍යාව	අංකය මෙහි ලියන්න.
nurse	හෙදිය	හෙදිය කරුණාවන්තය.
object	වස්තුව	වස්තුව මේසය මත තබන්න.
o’clock	ට	පන්තිය නවයට ආරම්භ වේ.
October	ඔක්තෝබර් මාසය	අපි ඔක්තෝබර් මාසයේ ගමන් කරමු.
of	ගේ; ක	මෙය තේ කෝප්පයකි.
off	නිවා	විදුලි බල්බය නිවා දමන්න.
office	කාර්යාලය	මගේ කාර්යාලය කුඩාය.
often	බොහෝ විට	මම බොහෝ විට පාසලට ඇවිදිමි.
oh	ඔහ්	ඔහ් මට දැන් තේරේ.
OK	හරි	මෙය හරිද?
old	පරණ; වයසක	මෙම නිවස පරණය.
on	මත	පොත මේසය මත ඇත.
once	එක් වරක්	මම සතියකට එක් වරක් අමතමි.
one	එක	මට එක් සහෝදරියක් සිටී.
onion	ලූනු	එක් ලූනු ගෙඩියක් කපන්න.
online	අන්තර්ජාලයේ	මම අන්තර්ජාලයේ ඉගෙන ගනිමි.
only	පමණක්	මට එක් බෑගයක් පමණක් ඇත.
open	විවෘත කරන්න	කරුණාකර ජනේලය විවෘත කරන්න.
opinion	අදහස	ඔබේ අදහස කුමක්ද?
opposite	විරුද්ධ; ඉදිරිපිට	වෙළඳසැල බැංකුව ඉදිරිපිටය.
or	හෝ	තේ හෝ කෝපි?
orange	දොඩම්; තැඹිලි	මෙම දොඩම් ගෙඩිය මිහිරිය.
order	ඇණවුම; ඇණවුම් කරන්න	මම සූප් ඇණවුම් කරමි.
other	වෙනත්	වෙනත් දොර භාවිතා කරන්න.
our	අපේ	මෙය අපේ පන්තියයි.
out	පිටත	ආහාරයෙන් පසු පිටතට යන්න.
outside	පිටත	ළමයින් පිටත සෙල්ලම් කරති.
over	ඉහළින්; හරහා	ගුවන් යානය නගරය ඉහළින් පියාසර කරයි.
own	තමන්ගේ	මට තමන්ගේ කාමරයක් ඇත.
page	පිටුව	දහවන පිටුව විවෘත කරන්න.
paint	වර්ණ ගාන්න; චිත්‍ර ඇඳීම	බිත්තිය නිල් වර්ණයෙන් ගාන්න.
painting	චිත්‍රය	මෙම චිත්‍රය ලස්සනයි.
pair	ජෝඩුව	මට මේස් ජෝඩුවක් අවශ්‍යයි.
paper	කඩදාසි	මෙම කඩදාසියේ ලියන්න.
paragraph	ඡේදය	පළමු ඡේදය කියවන්න.
parent	දෙමාපියන්; භාරකරු	දෙමාපියෙක් පිටත රැඳී සිටී.
park	උද්‍යානය; නවත්වන්න	අපි ස්ථානය අසල වාහනය නවත්වමු.
part	කොටස	මෙම කොටස පහසුය.
partner	සහකරු	සහකරු සමඟ වැඩ කරන්න.
party	සාදය	සාදය හතට ආරම්භ වේ.
passport	ගමන් බලපත්‍රය	කරුණාකර ගමන් බලපත්‍රය පෙන්වන්න.
past	ගත වූ; පසු	දැන් හය හමාරයි.
pay	ගෙවන්න	මම කාඩ්පතෙන් ගෙවමි.
pen	පෑන	මෙම පෑන නිල්ය.
pencil	පැන්සල	මම පැන්සලෙන් ලියමි.
people	මිනිසුන්	මෙහි බොහෝ මිනිසුන් සිටිති.
pepper	මිරිස් කුඩු; ගම්මිරිස්	සූප් එකට ගම්මිරිස් දමන්න.
perfect	පරිපූර්ණ	ඔබේ පිළිතුර පරිපූර්ණයි.
period	කාලය; පාඩම් වේලාව	මෙම පාඩම් වේලාව කෙටියි.
person	පුද්ගලයා	පුද්ගලයෙක් රැඳී සිටී.
personal	පුද්ගලික	මෙය මගේ පුද්ගලික දුරකථනයයි.
phone	දුරකථනය	මගේ දුරකථනය බෑගයේ ඇත.
photo	ඡායාරූපය	මෙහි ඡායාරූපයක් ගන්න.
photograph	ඡායාරූපය	මෙම ඡායාරූපය පරණයි.
phrase	වාක්‍ය ඛණ්ඩය	කරුණාකර මෙම වාක්‍ය ඛණ්ඩය නැවත කියන්න.
piano	පියානෝව	ඇය පියානෝව වාදනය කරයි.
picture	පින්තූරය	මෙම පින්තූරය බලන්න.
piece	කැබැල්ල	කේක් කැබැල්ලක් ගන්න.
pig	ඌරා	ඌරා ගොවිපොළේ සිටී.
pink	රෝස	ඇගේ බෑගය රෝස පාටයි.
place	ස්ථානය	මෙම ස්ථානය නිහඬය.
plan	සැලැස්ම	අපට සැලැස්මක් අවශ්‍යයි.
plane	ගුවන් යානය	ගුවන් යානය ප්‍රමාදයෙන් ආවේය.
plant	ශාකය; පැළය	අද පැළයට ජලය දමන්න.
play	සෙල්ලම් කරන්න	ළමයින් උද්‍යානයේ සෙල්ලම් කරති.
player	ක්‍රීඩකයා	ක්‍රීඩකයා වේගයෙන් දුවයි.
please	කරුණාකර	කරුණාකර මෙහි ඉඳගන්න.
point	ලක්ෂ්‍යය; කරුණ	මෙම කරුණ වැදගත්ය.
police	පොලිසිය	පොලිසිය පිටත සිටී.
policeman	පොලිස් නිලධාරියා	පොලිස් නිලධාරියා අපට උදව් කරයි.
pool	පිහිනුම් තටාකය	පිහිනුම් තටාකය සීතලයි.
poor	දුප්පත්	දුප්පත් දරුවා බඩගිනිය.
popular	ජනප්‍රිය	මෙම ගීතය ජනප්‍රියයි.
positive	ධනාත්මක	මෙය ධනාත්මක ප්‍රතිඵලයකි.
possible	හැකි	අද මෙය හැකිද?
post	පළ කිරීම; ලිපිය	මම ඇගේ අන්තර්ජාල පළ කිරීම කියවමි.
potato	අල	මම අල ගෙඩියක් කමි.
pound	පවුම	එහි මිල පවුමකි.
practice	පුහුණුව	පුහුණුව දිනපතා උදව් කරයි.
practise	පුහුණු වන්න	මම දිනපතා ඉංග්‍රීසි පුහුණු වෙමි.
prefer	වඩා කැමති වීම	මම තේට වඩා කැමතිය.
prepare	සූදානම් කරන්න	අද රෑ ඔබේ බෑගය සූදානම් කරන්න.
present	සිටින; තෑග්ග	ඇය අද පන්තියේ සිටී.
pretty	ලස්සන	මෙම උද්‍යානය ලස්සනයි.
price	මිල	මිල අඩුය.
probably	බොහෝ විට	ඇය බොහෝ විට දනී.
problem	ගැටලුව	මෙම ගැටලුව කුඩාය.
product	නිෂ්පාදනය	මෙම නිෂ්පාදනය අලුත්ය.
programme	වැඩසටහන	වැඩසටහන දැන් ආරම්භ වේ.
project	ව්‍යාපෘතිය	අපේ ව්‍යාපෘතිය සූදානම්ය.
purple	දම්	මෙම කමිසය දම් පාටයි.
put	තබන්න	පොත මෙහි තබන්න.
quarter	හතරෙන් එක; පහළොස් මිනිත්තු	දැන් දෙකයි පහළොවයි.
question	ප්‍රශ්නය	ප්‍රශ්නයක් අසන්න.
quick	ඉක්මන්	මෙය ඉක්මන් පරීක්ෂණයකි.
quickly	ඉක්මනින්	කරුණාකර ඉක්මනින් ඇවිදින්න.
quiet	නිහඬ	පුස්තකාලය නිහඬය.
quite	තරමක්	මෙම කාමරය තරමක් කුඩාය.
radio	ගුවන්විදුලිය	ගුවන්විදුලිය ශබ්දය වැඩිය.
rain	වැසි	දැන් වැසි පටන් ගනී.
read	කියවන්න	මෙම වාක්‍යය කියවන්න.
reader	පාඨකයා	පාඨකයා මෙම කතාවට කැමතිය.
reading	කියවීම	කියවීම මට ඉගෙනීමට උදව් කරයි.
ready	සූදානම්	රාත්‍රී ආහාරය සූදානම්ය.
real	සැබෑ	මෙය සැබෑ ගැටලුවකි.
really	ඇත්තටම	මට මෙම ගීතය ඇත්තටම කැමතිය.
reason	හේතුව	මට හේතුව කියන්න.
red	රතු	දොර රතු පාටයි.
relax	විවේක ගන්න	වැඩෙන් පසු විවේක ගන්න.
remember	මතක තබා ගන්න	ඔබේ ගමන් බලපත්‍රය මතක තබා ගන්න.
repeat	නැවත කියන්න	කරුණාකර වාක්‍යය නැවත කියන්න.
report	වාර්තාව	අද රෑ වාර්තාව කියවන්න.
restaurant	ආපනශාලාව	ආපනශාලාවේ බොහෝ මිනිසුන් සිටිති.
result	ප්‍රතිඵලය	ප්‍රතිඵලය හොඳයි.
return	ආපසු දෙන්න; ආපසු යන්න	හෙට පොත ආපසු දෙන්න.
rice	බත්; හාල්	මම දවල්ට බත් කමි.
rich	ධනවත්	මෙම නගරය ධනවත්ය.
ride	පදින්න	මම බයිසිකලයක් පදිමි.
right	නිවැරදි; දකුණ	මෙහි දකුණට හැරෙන්න.
river	ගඟ	ගඟ පළලය.
road	මාර්ගය	මෙම මාර්ගය දිගුය.
room	කාමරය	මගේ කාමරය පිරිසිදුයි.
routine	දිනචර්යාව	මගේ උදෑසන දිනචර්යාව පහසුය.
rule	නීතිය	නීතිය කියවන්න.
run	දුවන්න	ඔහු උද්‍යානයේ දුවයි.
sad	දුකින්	දරුවා දුකින් සිටී.
salad	සලාදය	මම සලාදය කමි.
salt	ලුණු	සූප් එකට ලුණු දමන්න.
same	එකම	අපි එකම පන්තියේ සිටිමු.
sandwich	සැන්ඩ්විච්	මම සැන්ඩ්විච් එකක් කමි.
Saturday	සෙනසුරාදා	අපි සෙනසුරාදා හමුවෙමු.
say	කියන්න	කරුණාකර නම කියන්න.
school	පාසල	පාසල අටට ආරම්භ වේ.
science	විද්‍යාව	මම විද්‍යාව ඉගෙන ගනිමි.
scientist	විද්‍යාඥයා	විද්‍යාඥයා පරීක්ෂණයක් කරයි.
sea	මුහුද	මුහුද නිල්ය.
second1 (unit of time)	තත්පරය	එක් තත්පරයක් රැඳී සිටින්න.
section	කොටස	මෙම කොටස කියවන්න.
see	දකින්න	මට කන්ද දකින්න පුළුවන්.
sell	විකුණන්න	ඇය පලතුරු විකුණයි.
send	යවන්න	මම පණිවිඩය යවමි.
sentence	වාක්‍යය	මෙම වාක්‍යය කෙටියි.
September	සැප්තැම්බර් මාසය	පන්තිය සැප්තැම්බර් මාසයේ ආරම්භ වේ.
seven	හත	මට පෑන් හතක් ඇත.
seventeen	දහහත	ඔහු දහහත වියේය.
seventy	හැත්තෑව	මගේ ආච්චි හැත්තෑ වියේය.
share	බෙදා ගන්න	කරුණාකර ආහාරය බෙදා ගන්න.
she	ඇය	ඇය මගේ සහෝදරියය.
sheep	බැටළුවා	බැටළුවා ගොවිපොළේ සිටී.
shirt	කමිසය	මෙම කමිසය සුදුය.
shoe	සපත්තුව	මගේ සපත්තුව අලුත්ය.
shop	වෙළඳසැල	වෙළඳසැල දැන් විවෘතය.
shopping	මිලදී ගැනීම	අපි අද මිලදී ගැනීමට යමු.
short	කෙටි	මෙම කතාව කෙටියි.
should modal	කළ යුතුය	ඔබ දැන් යා යුතුය.
show	පෙන්වන්න	කරුණාකර ටිකට්පත පෙන්වන්න.
shower	නාන කාමර ශවර් එක	ශවර් එක උණුසුම්ය.
sick	අසනීප	මම අද අසනීපයි.
similar	සමාන	මෙම පින්තූර දෙක සමානය.
sing	ගායනා කරන්න	ඇය හොඳින් ගායනා කරයි.
singer	ගායකයා; ගායිකාව	ගායකයා වේදිකාවේ සිටී.
sister	සහෝදරිය	මගේ සහෝදරිය පාසලේ සිටී.
sit	ඉඳගන්න	කරුණාකර මෙහි ඉඳගන්න.
situation	තත්ත්වය	තත්ත්වය හොඳයි.
six	හය	සිසුන් හය දෙනෙක් ආවෝය.
sixteen	දහසය	ඔහු දහසය වියේය.
sixty	හැට	මෙහි හැට දෙනෙක් සිටිති.
skill	කුසලතාව	මෙම කුසලතාව ප්‍රයෝජනවත්ය.
skirt	සාය	ඇගේ සාය නිල්ය.
sleep	නිදා ගන්න	දරුවා රාත්‍රියේ නිදයි.
slow	මන්දගාමී	බස් රථය මන්දගාමීය.
small	කුඩා	මෙම බෑගය කුඩාය.
snake	සර්පයා	සර්පයා තණකොළ තුළ සිටී.
snow	හිම	අද හිම වැටේ.
so	ඒ නිසා; ඉතා	මම වෙහෙසයි ඒ නිසා ඉඳගනිමි.
some	සමහර; ටිකක්	මට ටිකක් ජලය දෙන්න.
somebody	කෙනෙක්	කෙනෙක් දොර ළඟ සිටී.
someone	කෙනෙක්	කෙනෙක් මට අමතයි.
something	යමක්	මට යමක් අවශ්‍යයි.
sometimes	සමහර අවස්ථාවල	මම සමහර අවස්ථාවල බස් රථය ගනිමි.
son	පුතා	ඇගේ පුතා කුඩාය.
song	ගීතය	මෙම ගීතය ලස්සනයි.
soon	ඉක්මනින්	අපි ඉක්මනින් ආරම්භ කරමු.
sorry	සමාවන්න	සමාවන්න මම ප්‍රමාදයි.
sound	ශබ්දය	ශබ්දය උස්ය.
soup	සූප්	සූප් උණුසුම්ය.
south	දකුණ	උද්‍යානය දකුණට ඇත.
space	ඉඩ; අභ්‍යවකාශය	මෙම කාමරයේ ඉඩ ඇත.
speak	කතා කරන්න	කරුණාකර සෙමින් කතා කරන්න.
special	විශේෂ	අද විශේෂ දිනයකි.
spell	අක්ෂර කියන්න	ඔබේ නම අක්ෂරයෙන් කියන්න.
spelling	අක්ෂර වින්‍යාසය	අක්ෂර වින්‍යාසය නිවැරදිය.
spend	වැය කරන්න	මම පවුම් පහක් වැය කරමි.
sport	ක්‍රීඩාව	මට ක්‍රීඩා කැමතිය.
spring	වසන්තය	වසන්තයේ මල් පිපේ.
stand	හිටගෙන සිටින්න	කරුණාකර මෙහි හිටගෙන සිටින්න.
star	තරුව	අහසේ තරුවක් ඇත.
start	ආරම්භ කරන්න	පන්තිය දැන් ආරම්භ වේ.
statement	ප්‍රකාශය	මෙම ප්‍රකාශය කෙටියි.
station	ස්ථානය	ස්ථානය අසලය.
stay	රැඳී සිටින්න	අද රෑ මෙහි රැඳී සිටින්න.
still	තවමත්	ඇය තවමත් ගෙදර සිටී.
stop	නවත්වන්න; නවතින්න	බස් රථය මෙහි නවතී.
story	කතාව	කතාව රසවත්ය.
street	වීදිය	වීදිය කාර්යබහුලය.
strong	ශක්තිමත්	ඔහු ශක්තිමත්ය.
student	ශිෂ්‍යයා	ශිෂ්‍යයා පොත කියවයි.
study	අධ්‍යයනය; ඉගෙන ගන්න	මම රාත්‍රියේ ඉගෙන ගනිමි.
style	ශෛලිය	මට මෙම ශෛලිය කැමතිය.
subject	විෂය	මගේ ප්‍රියතම විෂය විද්‍යාවයි.
success	සාර්ථකත්වය	සාර්ථකත්වය වැදගත්ය.
sugar	සීනි	තේට සීනි දමන්න.
summer	ගිම්හානය	ගිම්හානයේ දවස් දිගය.
sun	හිරු	හිරු බබළයි.
Sunday	ඉරිදා	අපි ඉරිදා විවේක ගනිමු.
supermarket	සුපිරි වෙළඳසැල	සුපිරි වෙළඳසැල විශාලය.
sure	නිසැක	මම නිසැකය.
sweater	ස්වෙටරය	මෙම ස්වෙටරය උණුසුම්ය.
swim	පිහිනන්න	මම තටාකයේ පිහිනමි.
swimming	පිහිනීම	පිහිනීම හොඳ ව්‍යායාමයකි.
table	මේසය	යතුරු මේසය මත ඇත.
