source_headword	LO	example_LO
institute	ສະຖາບັນ	ສະຖາບັນໄດ້ເປີດໂຄງການຄົ້ນຄວ້າໃໝ່.
institution	ສະຖາບັນ	ສະຖາບັນໄດ້ປ່ຽນແປງກົດລະບຽບການເຂົ້າຮຽນ.
insurance	ປະກັນໄພ	ປະກັນໄພຂອງນາງໄດ້ກວມເອົາຄ່າໂຮງໝໍ.
intended	ທີ່ຕັ້ງໃຈໄວ້	ຂໍ້ຄວາມໄດ້ໄປຮອດຜູ້ຊົມທີ່ຕັ້ງໃຈໄວ້.
intense	ຮຸນແຮງ	ການໂຕ້ວາທີໄດ້ກາຍເປັນເລື່ອງຮຸນແຮງຢ່າງໄວວາ.
internal	ພາຍໃນ	ບໍລິສັດໄດ້ເລີ່ມການທົບທວນພາຍໃນ.
interpret	ຕີຄວາມ	ກະລຸນາຕີຄວາມໝາຍຜົນໄດ້ຮັບຢ່າງລະມັດລະວັງ.
interrupt	ຂັດຈັງຫວະ	ຢ່າຂັດຈັງຫວະຜູ້ເວົ້າໃນຕອນນີ້.
investigation	ການສືບສວນ	ການສືບສວນໄດ້ເປີດເຜີຍຄວາມຜິດພາດທີ່ຮ້າຍແຮງ.
investment	ການລົງທຶນ	ການລົງທຶນໄດ້ສ້າງວຽກເຮັດງານທໍາໃນທ້ອງຖິ່ນຫຼາຍຢ່າງ.
joy	ຄວາມສຸກ	ຄວາມສຳເລັດຂອງພວກເຂົາໄດ້ນຳເອົາຄວາມສຸກອັນຍິ່ງໃຫຍ່ມາໃຫ້.
judgement	ການຕັດສິນໃຈ	ການຕັດສິນໃຈຂອງລາວດີຂຶ້ນຕາມປະສົບການ.
junior	ຜູ້ນ້ອຍ	ນາງໄດ້ເຂົ້າຮ່ວມທີມງານໃນຖານະນັກວິເຄາະຜູ້ນ້ອຍ.
justice	ຍຸຕິທຳ	ຄອບຄົວໄດ້ຮຽກຮ້ອງຄວາມຍຸຕິທຳຫຼັງຈາກການທົດລອງ.
justify	ອະທິບາຍເຫດຜົນ	ທ່ານຕ້ອງອະທິບາຍເຫດຜົນການຕັດສິນໃຈນັ້ນໃຫ້ຊັດເຈນ.
labour	ແຮງງານ	ໂຄງການຕ້ອງການແຮງງານທີ່ມີສີມື.
landscape	ພູມສັນຖານ	ພູມສັນຖານມີການປ່ຽນແປງຫຼັງຈາກພາຍຸ.
largely	ສ່ວນໃຫຍ່	ແຜນການດັ່ງກ່າວສ່ວນໃຫຍ່ແມ່ນປະສົບຜົນສຳເລັດ.
launch	ເປີດຕົວ	ພວກເຂົາຈະເປີດຕົວຜະລິດຕະພັນໃນມື້ອື່ນ.
leadership	ຄວາມເປັນຜູ້ນຳ	ຄວາມເປັນຜູ້ນຳທີ່ເຂັ້ມແຂງໄດ້ຊ່ວຍໃຫ້ທີມງານຟື້ນຕົວ.
league	ລີກ	ສະໂມສອນຂອງພວກເຮົາໄດ້ເຂົ້າຮ່ວມລີກພາກພື້ນ.
lean	ອີງ	ຢ່າອີງໃສ່ຝາທີ່ປຽກ.
licence	ໃບອະນຸຍາດ	ໃບອະນຸຍາດຈະໝົດອາຍຸໃນເດືອນໜ້າ.
limited	ຈຳກັດ	ພວກເຮົາມີເວລາຈຳກັດໃນມື້ນີ້.
lively	ມີຊີວິດຊີວາ	ກອງປະຊຸມໄດ້ກາຍເປັນທີ່ມີຊີວິດຊີວາຫຼັງຈາກອາຫານທ່ຽງ.
load	ນ້ຳໜັກ	ລົດບັນທຸກໄດ້ແບກນ້ຳໜັກຫຼາຍ.
loan	ເງິນກູ້	ທະນາຄານໄດ້ອະນຸມັດເງິນກູ້.
logical	ສົມເຫດສົມຜົນ	ຂໍ້ໂຕ້ແຍ້ງຂອງນາງແມ່ນຈະແຈ້ງແລະສົມເຫດສົມຜົນ.
long-term	ໄລຍະຍາວ	ນີ້ແມ່ນວິທີແກ້ໄຂໄລຍະຍາວ.
loose	ຫຼົມ	ມືຈັບຮູ້ສຶກຫຼົມ.
lord	ເຈົ້ານາຍ	ເຈົ້ານາຍເປັນເຈົ້າຂອງຫຼາຍບ້ານ.
lower	ຫຼຸດ	ພວກເຂົາຫຼຸດລາຄາໃນຊ່ວງລະດູໜາວ.
lung	ປອດ	ການສູບຢາສາມາດທໍາລາຍປອດໄດ້.
maintain	ຮັກສາ	ພວກເຮົາຮັກສາການຕິດຕໍ່ເປັນປົກກະຕິ.
majority	ສ່ວນໃຫຍ່	ສຽງສ່ວນໃຫຍ່ສະໜັບສະໜູນຂໍ້ສະເໜີດັ່ງກ່າວ.
mass	ມວນ	ມວນເມກໄດ້ປົກຄຸມທ້ອງຟ້າ.
massive	ໃຫຍ່ຫຼວງ	ແຜ່ນດິນໄຫວໄດ້ສ້າງຄວາມເສຍຫາຍຢ່າງໃຫຍ່ຫຼວງ.
master	ຜູ້ຊ່ຽວຊານ	ນາງໄດ້ກາຍເປັນຜູ້ຊ່ຽວຊານດ້ານການເຈລະຈາ.
matching	ເຂົ້າກັນ	ລາວໃສ່ເກີບແລະສາຍແອວທີ່ເຂົ້າກັນ.
maximum	ສູງສຸດ	ຫ້ອງບັນລຸຄວາມຈຸສູງສຸດແລ້ວ.
means	ວິທີການ	ອີເມລແມ່ນວິທີການຕິດຕໍ່ຕົ້ນຕໍຂອງພວກເຮົາ.
measurement	ການວັດແທກ	ການວັດແທກຜິດພາດເລັກນ້ອຍ.
melt	ລະລາຍ	ຫິມະຈະລະລາຍໃນຕອນທ່ຽງ.
military	ທະຫານ	ຖານທັບທະຫານໄດ້ປິດລົງໃນປີກາຍນີ້.
mineral	ແຮ່ທາດ	ເຫຼັກແມ່ນແຮ່ທາດທີ່ສຳຄັນ.
minimum	ຕ່ຳສຸດ	ອາຍຸຕ່ຳສຸດແມ່ນສິບແປດປີ.
minister	ລັດຖະມົນຕີ	ລັດຖະມົນຕີໄດ້ຕອບຄຳຖາມທີ່ຫຍຸ້ງຍາກ.
minor	ເລັກນ້ອຍ	ອຸບັດຕິເຫດເຮັດໃຫ້ເກີດຄວາມເສຍຫາຍເລັກນ້ອຍ.
minority	ຄົນສ່ວນນ້ອຍ	ຄົນສ່ວນນ້ອຍຄັດຄ້ານກົດລະບຽບໃໝ່.
mission	ພາລະກິດ	ພາລະກິດຂອງພວກເຂົາສິ້ນສຸດລົງຢ່າງປອດໄພ.
mixed	ປະສົມ	ຂ່າວໄດ້ຮັບປະຕິກິລິຍາແບບປະສົມປະສານ.
modify	ດັດແປງ	ພວກເຮົາສາມາດດັດແປງການອອກແບບໃນພາຍຫຼັງໄດ້.
monitor	ຕິດຕາມ	ພະຍາບານຈະຕິດຕາມອາການຂອງລາວ.
moral	ທາງດ້ານສິນທຳ	ເລື່ອງນີ້ມີບົດຮຽນທາງດ້ານສິນທຳ.
motor	ມໍເຕີ	ມໍເຕີຢຸດໂດຍບໍ່ມີການເຕືອນ.
mount	ຕິດຕັ້ງ	ພວກເຂົາຕິດຕັ້ງກ້ອງຖ່າຍຮູບຢູ່ໃກ້ກັບທາງເຂົ້າ.
multiple	ຫຼາຍ	ປັດໄຈຫຼາຍຢ່າງເຮັດໃຫ້ເກີດຄວາມລ່າຊ້າ.
multiply	ຄູນ	ຄູນຕົວເລກດ້ວຍສິບ.
mysterious	ລຶກລັບ	ມີແສງລຶກລັບປະກົດຂຶ້ນຢູ່ທາງນອກ.
neat	ເປັນລະບຽບ	ໂຕະຂອງນາງເປັນລະບຽບສະເໝີ.
nerve	ເສັ້ນປະສາດ	ການບາດເຈັບເຮັດໃຫ້ເສັ້ນປະສາດເສຍຫາຍ.
nevertheless	ເຖິງຢ່າງໃດກໍ່ຕາມ	ວຽກງານນັ້ນຍາກ, ເຖິງຢ່າງໃດກໍ່ຕາມ, ພວກເຮົາກໍ່ເຮັດສຳເລັດ.
nightmare	ຝັນຮ້າຍ	ການເດີນທາງກາຍເປັນຝັນຮ້າຍ.
notion	ຄວາມຄິດ	ປະຕິເສດຄວາມຄິດທີ່ວ່າການປ່ຽນແປງເປັນໄປບໍ່ໄດ້.
numerous	ຫຼາຍຫຼວງ	ມີການສຶກສາຫຼາຍຫຼວງສະໜັບສະໜູນແນວຄວາມຄິດນີ້.
obey	ເຊື່ອຟັງ	ຄົນຂັບລົດຕ້ອງເຊື່ອຟັງປ້າຍຈະລາຈອນ.
objective	ຈຸດປະສົງ	ຈຸດປະສົງຂອງພວກເຮົາແມ່ນເພື່ອຫຼຸດຜ່ອນສິ່ງເສດເຫຼືອ.
obligation	ພັນທະ	ພໍ່ແມ່ມີພັນທະໃນການປົກປ້ອງລູກ.
observation	ການສັງເກດ	ການສັງເກດຂອງລາວເຮັດໃຫ້ການສົນທະນາປ່ຽນໄປ.
observe	ສັງເກດ	ນັກວິທະຍາສາດສັງເກດເບິ່ງນົກໃນທຸກໆລະດູໃບໄມ້ປົ່ງ.
obtain	ໄດ້ຮັບ	ທ່ານຕ້ອງໄດ້ຮັບການອະນຸຍາດເປັນລາຍລັກອັກສອນ.
occasionally	ເປັນບາງໂອກາດ	ບາງຄັ້ງນາງກໍ່ເຮັດວຽກຈາກເຮືອນ.
offence	ການກະທຳຜິດ	ຄຳເຫັນນັ້ນເຮັດໃຫ້ເກີດຄວາມຂຸ່ນເຄືອງຢ່າງໜັກ.
offend	ເຮັດໃຫ້ຂຸ່ນເຄືອງ	ຂ້ອຍບໍ່ໄດ້ຕັ້ງໃຈເຮັດໃຫ້ໃຜຂຸ່ນເຄືອງ.
offensive	ທີ່ເຮັດໃຫ້ຂຸ່ນເຄືອງ	ໂປສເຕີມີພາສາທີ່ເຮັດໃຫ້ຂຸ່ນເຄືອງ.
opening	ຕຳແໜ່ງຫວ່າງ	ຕຳແໜ່ງງານວ່າງໄດ້ດຶງດູດຜູ້ສະໝັກຫຼາຍຄົນ.
operate	ເຮັດວຽກ	ເຄື່ອງຈັກສາມາດເຮັດວຽກໄດ້ໂດຍອັດຕະໂນມັດ.
opponent	ຄູ່ແຂ່ງ	ຄູ່ແຂ່ງຂອງນາງໄດ້ວິພາກວິຈານນະໂຍບາຍນັ້ນ.
oppose	ຄັດຄ້ານ	ປະຊາຊົນຫຼາຍຄົນຄັດຄ້ານແຜນການດັ່ງກ່າວ.
opposed	ທີ່ກົງກັນຂ້າມ	ກຸ່ມຕ່າງໆມີຄວາມຄິດເຫັນທີ່ກົງກັນຂ້າມກັນ.
opposition	ການຄັດຄ້ານ	ຂໍ້ສະເໜີດັ່ງກ່າວປະເຊີນກັບການຄັດຄ້ານຢ່າງໜັກ.
organ	ອະໄວຍະວະ	ຫົວໃຈແມ່ນອະໄວຍະວະທີ່ສຳຄັນ.
origin	ຕົ້ນກຳເນີດ	ຕົ້ນກຳເນີດຂອງໄຟຍັງບໍ່ຮູ້ຈັກ.
otherwise	ຖ້າບໍ່ດັ່ງນັ້ນ	ອອກໄປດຽວນີ້;ຖ້າບໍ່ດັ່ງນັ້ນເຈົ້າຈະຊ້າ.
outcome	ຜົນໄດ້ຮັບ	ຜົນໄດ້ຮັບເຮັດໃຫ້ທຸກຄົນແປກໃຈ.
outer	ດ້ານນອກ	ຝາດ້ານນອກຕ້ອງການສ້ອມແປງ.
outline	ໂຄງຮ່າງ	ກະລຸນາສະຫຼຸບໂຄງຮ່າງເຫດຜົນຫຼັກຂອງທ່ານ.
overall	ໂດຍລວມ	ຜົນໄດ້ຮັບໂດຍລວມແມ່ນໃນແງ່ບວກ.
owe	ເປັນໜີ້	ຂ້ອຍເປັນໜີ້ຄຳຂໍໂທດເຈົ້າ.
pace	ຄວາມໄວ	ຍ່າງໃນຈັງຫວະທີ່ສະໝ່ຳສະເໝີ.
panel	ຄະນະກຳມະການ	ຄະນະກຳມະການໄດ້ສົນທະນາກ່ຽວກັບນະໂຍບາຍສະພາບອາກາດ.
parliament	ລັດຖະສະພາ	ລັດຖະສະພາໄດ້ອະນຸມັດກົດໝາຍໃໝ່.
participant	ຜູ້ເຂົ້າຮ່ວມ	ຜູ້ເຂົ້າຮ່ວມແຕ່ລະຄົນໄດ້ເຊັນແບບຟອມ.
partly	ສ່ວນໜຶ່ງ	ຄວາມລ່າຊ້າສ່ວນໜຶ່ງແມ່ນຄວາມຜິດຂອງພວກເຮົາ.
passage	ບົດຄວາມ	ອ່ານບົດຄວາມກ່ອນທີ່ຈະຕອບ.
pension1	ເງິນບຳນານ	ເງິນບຳນານຂອງລາວສະໜັບສະໜູນລາວຫຼັງຈາກກິນເບ້ຍບຳນານ.
permanent	ຖາວອນ	ພວກເຂົາຕ້ອງການວິທີແກ້ໄຂແບບຖາວອນ.
permit	ອະນຸຍາດ	ກົດລະບຽບອະນຸຍາດໃຫ້ຢ້ຽມຢາມໄລຍະສັ້ນ.
perspective	ມຸມມອງ	ພະຍາຍາມເຂົ້າໃຈມຸມມອງຂອງນາງ.
phase	ໄລຍະ	ໂຄງການໄດ້ກ້າວເຂົ້າສູ່ໄລຍະສຸດທ້າຍ.
phenomenon	ປະກົດການ	ປະກົດການນີ້ເກີດຂຶ້ນໃນຫຼາຍວັດທະນະທຳ.
philosophy	ປັດຊະຍາ	ປັດຊະຍາຂອງນາງໃຫ້ຄຸນຄ່າແກ່ການປະຕິບັດຕົວຈິງ.
pile	ກອງ	ກອງເຈ້ຍປົກຄຸມໜ້າໂຕະ.
pitch	ສະໜາມ	ທີມງານໄດ້ກະກຽມສະໜາມຢ່າງລະມັດລະວັງ.
plain	ຊັດເຈນ	ຄຳແນະນຳແມ່ນຊັດເຈນແລະກົງໄປກົງມາ.
pointed	ແຫຼມຄົມ	ລາວໄດ້ໃຫ້ຂໍ້ສັງເກດທີ່ແຫຼມຄົມ.
popularity	ຄວາມນິຍົມ	ນັກຮ້ອງໄດ້ຮັບຄວາມນິຍົມທາງອອນລາຍ.
pose	ສ້າງ	ຄຳຖາມອາດຈະສ້າງບັນຫາ.
possess	ມີ	ນັກຮຽນໜ້ອຍຄົນທີ່ມີທັກສະນັ້ນ.
potential	ທ່າແຮງ	ແນວຄວາມຄິດມີທ່າແຮງທີ່ແທ້ຈິງ.
praise	ຄຳຍ້ອງຍໍ	ຄູໄດ້ໃຫ້ຄຳຍ້ອງຍໍດ້ວຍຄວາມຈິງໃຈ.
pregnant	ຖືພາ	ນາງຖືພາໄດ້ຫົກເດືອນ.
preparation	ການກະກຽມ	ການກະກຽມທີ່ດີຊ່ວຍຫຼຸດຜ່ອນຄວາມກົດດັນ.
presence	ການປະກົດຕົວ	ການປະກົດຕົວຂອງລາວໄດ້ປ່ຽນແປງບັນຍາກາດ.
preserve	ອະນຸລັກ	ພວກເຮົາຕ້ອງອະນຸລັກອາຄານປະຫວັດສາດນີ້.
prime	ຕົ້ນຕໍ	ສາເຫດຕົ້ນຕໍແມ່ນການວາງແຜນທີ່ບໍ່ດີ.
principle	ຫຼັກການ	ການຕັດສິນໃຈໄດ້ປະຕິບັດຕາມຫຼັກການທີ່ຊັດເຈນ.
priority	ບຸລິມະສິດ	ຄວາມປອດໄພແມ່ນບຸລິມະສິດທຳອິດຂອງພວກເຮົາ.
privacy	ຄວາມເປັນສ່ວນຕົວ	ລູກຄ້າຄາດຫວັງຄວາມເປັນສ່ວນຕົວທາງອອນລາຍ.
procedure	ຂັ້ນຕອນ	ຂັ້ນຕອນນີ້ໃຊ້ເວລາສາມສິບນາທີ.
proof	ຫຼັກຖານ	ພວກເຮົາຕ້ອງການຫຼັກຖານກ່ອນການດຳເນີນການ.
proposal	ຂໍ້ສະເໜີ	ຂໍ້ສະເໜີຕ້ອງການລາຍລະອຽດເພີ່ມເຕີມ.
propose	ສະເໜີ	ຂ້ອຍສະເໜີວິທີແກ້ໄຂທີ່ແຕກຕ່າງກັນ.
prospect	ໂອກາດ	ໂອກາດຂອງຄວາມລົ້ມເຫຼວເຮັດໃຫ້ພວກເຂົາເປັນຫ່ວງ.
protection	ການປົກປ້ອງ	ໝວກກັນກະທົບໃຫ້ການປົກປ້ອງພື້ນຖານ.
psychologist	ນັກຈິດຕະວິທະຍາ	ນັກຈິດຕະວິທະຍາໄດ້ອະທິບາຍຜົນການທົດສອບ.
psychology	ຈິດຕະວິທະຍາ	ນາງຮຽນຈິດຕະວິທະຍາຢູ່ມະຫາວິທະຍາໄລ.
publication	ສິ່ງພິມ	ສິ່ງພິມດັ່ງກ່າວໄດ້ຮັບຄວາມສົນໃຈຈາກສາທາລະນະຊົນ.
pupil	ນັກຮຽນ	ນັກຮຽນແຕ່ລະຄົນໄດ້ຮັບປຶ້ມແບບຮຽນໃໝ່.
purchase	ຊື້	ພວກເຂົາຊື້ເຄື່ອງໃຊ້ທຸກໆເດືອນ.
pure	ບໍລິສຸດ	ນ້ຳນັ້ນບໍລິສຸດແລະເຢັນ.
pursue	ດຳເນີນ	ລາວຈະດຳເນີນອາຊີບແພດ.
rank	ຊັ້ນ	ນາງມີຕຳແໜ່ງອາວຸໂສ.
rapid	ວ່ອງໄວ	ປະເທດໄດ້ເຫັນການເຕີບໂຕຢ່າງວ່ອງໄວ.
rapidly	ຢ່າງວ່ອງໄວ	ລາຄາເພີ່ມຂຶ້ນຢ່າງວ່ອງໄວໃນປີນີ້.
raw	ດິບ	ພໍ່ຄົວໄດ້ກະກຽມຜັກດິບ.
realistic	ເປັນໄປໄດ້ຈິງ	ກຳນົດເວລາທີ່ເປັນໄປໄດ້ຈິງ.
reasonable	ສົມເຫດສົມຜົນ	ນັ້ນເບິ່ງຄືວ່າເປັນຄຳຮ້ອງຂໍທີ່ສົມເຫດສົມຜົນ.
recall	ຈື່ຈຳ	ຂ້ອຍຈື່ຈຳຄຳເວົ້າທີ່ແນ່ນອນຂອງລາວໄດ້.
recover	ຟື້ນຕົວ	ນາງຈະຟື້ນຕົວຫຼັງຈາກການປິ່ນປົວ.
reduction	ການຫຼຸດລົງ	ການຫຼຸດລົງໄດ້ປະຢັດເງິນ.
regard	ຖືວ່າ	ຫຼາຍຄົນຖືວ່ານາງມີຄວາມຊື່ສັດ.
regional	ລະດັບພາກ	ຫ້ອງການລະດັບພາກປິດໃນມື້ນີ້.
register	ລົງທະບຽນ	ກະລຸນາລົງທະບຽນກ່ອນກອງປະຊຸມ.
regret	ເສຍໃຈ	ຂ້ອຍເສຍໃຈກັບການຕັດສິນໃຈກ່ອນໜ້ານີ້ຂອງຂ້ອຍ.
regulation	ລະບຽບການ	ລະບຽບການໃໝ່ສົ່ງຜົນກະທົບຕໍ່ຜູ້ຂັບຂີ່ທຸກຄົນ.
relatively	ຄ່ອນຂ້າງ	ການສອບເສັງແມ່ນຄ່ອນຂ້າງງ່າຍ.
relevant	ທີ່ກ່ຽວຂ້ອງ	ເລືອກສະເພາະລາຍລະອຽດທີ່ກ່ຽວຂ້ອງ.
relief	ຄວາມໂລ່ງໃຈ	ຂ່າວນີ້ໄດ້ນຳເອົາຄວາມໂລ່ງໃຈຢ່າງຫຼວງຫຼາຍມາໃຫ້.
rely	ເພິ່ງພາອາໄສ	ເດັກນ້ອຍເພິ່ງພາອາໄສການສະໜັບສະໜູນຈາກຜູ້ໃຫຍ່.
remark	ຄໍາເຫັນ	ຄໍາເຫັນຂອງລາວໄດ້ເຮັດໃຫ້ການສົນທະນາສິ້ນສຸດລົງ.
representative	ຕົວແທນ	ຕົວແທນໄດ້ພົບປະກັບຄົນງານໃນທ້ອງຖິ່ນ.
reputation	ຊື່ສຽງ	ໂຮງແຮມມີຊື່ສຽງດີ.
requirement	ຄວາມຕ້ອງການ	ປະສົບການແມ່ນຄວາມຕ້ອງການພື້ນຖານ.
rescue	ຊ່ວຍເຫຼືອ	ພວກເຂົາເຈົ້າຊ່ວຍເຫຼືອປະຊາຊົນຈາກນ້ໍາຖ້ວມ.
reserve	ຈອງ	ພວກເຮົາຈອງບ່ອນນັ່ງສໍາລັບແຂກ.
resident	ຜູ້ຢູ່ອາໄສ	ຜູ້ຢູ່ອາໄສແຕ່ລະຄົນໄດ້ຮັບແຈ້ງການ.
resist	ຕ້ານທານ	ພະຍາຍາມຕ້ານທານກັບຄວາມກົດດັນ.
