source_headword	CS	example_CS
absolutely	naprosto	Naprosto s tebou souhlasím.
academic	akademický	Akademický rok začíná v září.
access	přístup	Studenti potřebují přístup do knihovny.
accommodation	ubytování	Rezervovali jsme ubytování blízko stanice.
account	účet	Otevřela si nový bankovní účet.
achievement	úspěch	Dokončení kurzu byl velký úspěch.
ad	reklama	Reklama ukazovala nový telefon.
addition	doplněk	Bazén je užitečný doplněk.
admire	obdivovat	Obdivuji její klidný přístup.
admit	přiznat	Přiznal svou chybu.
advanced	pokročilý	Tohle je pokročilý kurz angličtiny.
advise	radit	Lékaři radí pravidelný pohyb.
afford	dovolit si	Nemůžeme si dovolit taxi.
aged	ve věku	Kurz je pro děti ve věku deseti let.
agent	agent	Cestovní agent změnil naše letenky.
agreement	dohoda	Dnes dosáhli dohody.
ahead	před námi	Silnice před námi je volná.
aim	usilovat	Usilujeme o brzké dokončení.
alarm	budík	Budík zazvonil v šest.
album	album	Toto album má deset písní.
alcohol	alkohol	Hotel nepodává alkohol.
alcoholic	alkoholický	Tento nápoj není alkoholický.
amazed	ohromený	Byla ohromená výsledkem.
ambition	ambice	Jeho ambicí je stát se pilotem.
ambitious	ambiciózní	Má ambiciózní plán.
analyse	analyzovat	Musíme analyzovat výsledky.
analysis	analýza	Její analýza byla jasná a pečlivá.
announce	oznámit	Vítěze oznámí zítra.
announcement	oznámení	Oznámení všechny překvapilo.
annoy	otravovat	Hlasitá hudba může otravovat sousedy.
annoyed	naštvaný	Po zpoždění vypadal naštvaně.
annoying	otravný	Ten zvuk je opravdu otravný.
apart	od sebe	Domy jsou dva metry od sebe.
apologize	omluvit se	Omlouvám se za zpoždění.
application	žádost	Vyplňte žádost online.
appointment	schůzka	Zítra mám schůzku u zubaře.
appreciate	oceňovat	Oceňuji tvoji pomoc.
approximately	přibližně	Chůze trvá přibližně dvacet minut.
arrest	zatknout	Policie zatkla řidiče.
arrival	příjezd	Náš příjezd byl pozdější, než se čekalo.
assignment	úkol	Úkol se odevzdává v pátek.
assist	pomáhat	Zdravotní sestry pomáhají lékaři.
atmosphere	atmosféra	Kavárna má uvolněnou atmosféru.
attach	připojit	Připoj soubor ke svému e-mailu.
attitude	postoj	Její postoj se po schůzce změnil.
attract	přitahovat	Jasné květiny přitahují včely.
attraction	atrakce	Hrad je oblíbená atrakce.
