simplified	PL	example_PL
挨	wytrzymać	Wytrzymał całą noc i w końcu doczekał świtu
癌症	rak	Wczesne wykrycie raka jest bardzo ważne
暧昧	niejednoznaczny	Jego odpowiedź była bardzo niejednoznaczna
爱不释手	nie móc się oderwać	Ona nie mogła się oderwać od tej książki
爱戴	kochać i szanować	Ten nauczyciel jest głęboko kochany i szanowany przez uczniów
安宁	spokojny	Noce tutaj są bardzo spokojne
安详	pogodny	Wyraz twarzy starszej osoby był bardzo pogodny
安置	przesiedlić	Rząd przesiedlił ludzi dotkniętych katastrofą
按摩	masaż	Zarezerwowałem masaż
暗示	zasugerować	Ona zasugerowała mi, żebym już nie pytał
案件	sprawa	Policja bada tę sprawę
案例	przypadek	Ten przypadek jest bardzo reprezentatywny
昂贵	kosztowny	To urządzenie jest bardzo kosztowne
凹凸	nierówny	Nawierzchnia tej drogi jest nierówna
熬	przetrwać	Przetrwał trzy trudne dni i dopiero wtedy skończył raport
奥秘	tajemnica	Naukowiec chce odkryć tę tajemnicę
巴不得	nie móc się doczekać	Nie mogę się doczekać, żeby od razu wyruszyć
巴结	podlizywać się	On nie chce podlizywać się przełożonym
扒	trzymać się	Dziecko trzymało się drzwi i patrzyło na zewnątrz
疤	blizna	Na jego ramieniu jest blizna
拔苗助长	szkodzić przez pośpiech	Zmuszanie dziecka do nauki w ten sposób tylko szkodzi przez pośpiech
把关	sprawdzić	Tę umowę musi sprawdzić prawnik
把手	klamka	Klamka drzwi jest zepsuta
罢工	strajk	Robotnicy postanowili jutro rozpocząć strajk
霸道	apodyktyczny	On mówi w bardzo apodyktyczny sposób
掰	przełamać	Ona przełamała chleb na dwie połowy
摆脱	pozbyć się	W końcu pozbył się złego nawyku
拜访	odwiedzić	W weekend odwiedzimy nauczyciela
拜年	składać życzenia noworoczne	Podczas Święta Wiosny odwiedzamy dziadków, żeby złożyć im życzenia noworoczne
拜托	powierzyć	Tę sprawę powierzam tobie
败坏	szkodzić	Takie zachowanie szkodzi reputacji firmy
斑	plama	Na kocie jest czarna plama
颁布	ogłosić	Nowe przepisy zostaną ogłoszone w przyszłym tygodniu
颁发	wręczyć	Szkoła wręczyła dyplomy wybitnym uczniom
版本	wersja	To oprogramowanie ma nową wersję
伴侣	towarzysz	Ona traktuje psa jak swojego towarzysza
伴随	towarzyszyć	Sukcesowi często towarzyszy presja
半途而废	porzucić w połowie	Nie można porzucić badań w połowie
扮演	grać	On gra lekarza w filmie
榜样	wzór	Rodzice są wzorem dla dzieci
绑架	porwanie	Policja zapobiegła porwaniu
磅	funt	To pudło waży dwadzieścia funtów
包庇	ukrywać	Nikt nie może ukrywać przestępstwa
包袱	ciężar	Po odłożeniu ciężaru poczuł się znacznie lżej
包围	otoczyć	Reporterzy otoczyli aktora
包装	opakowanie	Opakowanie tego prezentu jest bardzo ładne
保管	przechowywać	Te dokumenty są przechowywane przeze mnie
保密	zachować poufność	Treść spotkania musi pozostać poufna
保姆	niania	Oni zatrudnili nianię
保守	konserwatywny	Jego poglądy są dość konserwatywne
保卫	bronić	Żołnierze bronią granicy
保养	konserwacja	Ten samochód wymaga regularnej konserwacji
保障	chronić	Prawo chroni prawa obywateli
保重	dbać o siebie	Proszę dbaj o siebie, gdy jesteś poza domem
饱和	nasycenie	Ten rynek jest już bliski nasycenia
饱经沧桑	wiele przeżyć	Ta starsza osoba wiele w życiu przeszła
报酬	wynagrodzenie	Otrzymał rozsądne wynagrodzenie
报仇	zemścić się	On nie chce się mścić, chce tylko zacząć od nowa
报答	odwdzięczyć się	Odwdzięczę się za twoją pomoc czynami
报复	zemsta	Zemsta tylko pogłębi konflikt
报警	wezwać policję	Po odkryciu pożaru trzeba natychmiast wezwać policję
报销	zwrot kosztów	Koszty podróży można rozliczyć do zwrotu
抱负	ambicja	Od dzieciństwa miał wielkie ambicje
暴力	przemoc	Sprzeciwiamy się każdej formie przemocy
暴露	ujawnić się	Ten problem stopniowo się ujawnił
曝光	ujawnienie	Po ujawnieniu tego zdjęcia sprawa zwróciła uwagę
爆发	wybuchnąć	Wulkan nagle wybuchnął
爆炸	eksplozja	W laboratorium doszło do eksplozji
卑鄙	podły	Takie podłe postępowanie budzi gniew
悲哀	smutny	Po usłyszeniu tej wiadomości poczuł się bardzo smutny
悲惨	tragiczny	To był tragiczny okres historii
北极	Arktyka	Naukowcy prowadzą badania w Arktyce
备份	kopia zapasowa	Najpierw zrób kopię zapasową ważnych plików
备忘录	notatka	Ona zapisała najważniejsze punkty w notatce
背叛	zdrada	On nie mógł zaakceptować zdrady przyjaciela
背诵	recytować	Uczniowie recytują tekst
被动	bierny	W negocjacjach nie możemy być zbyt bierni
被告	oskarżony	Oskarżony zaprzeczył wszystkim zarzutom
贝壳	muszla	Dziecko zbierało muszle nad morzem
奔波	biegać wszędzie	On biega wszędzie z powodu pracy
奔驰	pędzić	Samochód pędził autostradą
本能	instynkt	Ochrona dziecka jest instynktem rodziców
本钱	kapitał	Do prowadzenia biznesu potrzebny jest kapitał
本人	osobiście	Ja osobiście jestem gotów wziąć odpowiedzialność
本身	sam w sobie	Z samym planem nie ma problemu
本事	zdolności	On ma duże zdolności
笨拙	niezgrabny	Jego ruchy są trochę niezgrabne
崩溃	awaria	System nagle uległ awarii
甭	nie trzeba	Nie trzeba się tym martwić
蹦	podskakiwać	Szczeniak podskakiwał po trawie
迸发	wybuchnąć	Oklaski wybuchły z tłumu
逼迫	zmuszać	Oni zmusili go do podpisania umowy
鼻涕	katar	Dziecko jest przeziębione i cały czas ma katar
比方	na przykład	Na przykład możemy najpierw spróbować przez miesiąc
比喻	metafora	Ta metafora jest bardzo obrazowa
比重	udział	Udział sektora usług jest coraz większy
鄙视	gardzić	Nie gardź wysiłkiem innych ludzi
弊病	wada	Ten system ma sporo wad
弊端	mankament	Nowy plan rozwiązał mankamenty starego systemu
臂	ramię	Jego prawe ramię zostało zranione
闭塞	odizolowany	Transport w tej górskiej wiosce był kiedyś bardzo odizolowany
编织	robić na drutach	Babcia robi sweter na drutach
边疆	pogranicze	Wielu żołnierzy strzeże pogranicza ojczyzny
边界	granica	Oba kraje ponownie wyznaczyły granicę
边境	strefa graniczna	W strefach granicznych wzmocniono kontrole bezpieczeństwa
边缘	krawędź	Kubek stoi na krawędzi stołu
鞭策	mobilizować	Słowa nauczyciela zawsze mnie mobilizowały
扁	płaski	To pudełko jest szerokie i płaskie
贬低	umniejszać	Nie umniejszaj lekkomyślnie wysiłków innych ludzi
贬义	znaczenie pejoratywne	To słowo ma tutaj znaczenie pejoratywne
便利	wygodny	Metro sprawia, że podróżowanie jest wygodniejsze
便条	notatka	Zostawił notatkę na stole
便于	ułatwiać	Ten projekt ułatwia korzystanie starszym osobom
变故	nieszczęśliwe zdarzenie	W rodzinie nagle wydarzyło się nieszczęśliwe zdarzenie
变迁	przemiany	Przemiany miasta bardzo go poruszyły
变质	zepsuć się	Mleko zepsuje się, jeśli będzie stało zbyt długo
辨认	rozpoznać	Policja poprosiła go o rozpoznanie osoby na zdjęciu
辩护	bronić	Adwokat bronił oskarżonego
辩解	usprawiedliwiać	On próbował usprawiedliwiać swój błąd
辩证	dialektyczny	Powinniśmy spojrzeć na ten problem dialektycznie
辫子	warkocz	Mała dziewczynka ma dwa warkocze
遍布	występować wszędzie	Ta roślina występuje w całym kraju
标本	okaz	W muzeum wystawiono okazy zwierząt
标记	znak	Proszę robić znaki obok ważnych akapitów
标题	tytuł	Tytuł tego artykułu jest bardzo atrakcyjny
表决	głosować	Przedstawiciele będą głosować nad propozycją
表态	zająć stanowisko	On jeszcze publicznie nie zajął stanowiska
表彰	wyróżnić	Firma wyróżniła najlepszych pracowników
憋	powstrzymywać	On powstrzymywał śmiech i nic nie mówił
别墅	willa	Oni kupili willę na przedmieściach
别致	oryginalny	Wystrój tej kawiarni jest bardzo oryginalny
别扭	niezręczny	To zdanie brzmi trochę niezręcznie
濒临	na skraju	To zwierzę jest na skraju wyginięcia
冰雹	grad	Wczoraj po południu spadł silny grad
丙	grupa C	Mecz grupy C zaczyna się po południu
并非	wcale nie	Sprawy wcale nie są takie, jak myślisz
并列	ex aequo	Te dwa projekty zajęły pierwsze miejsce ex aequo
剥削	wyzysk	W dawnym społeczeństwie istniał poważny wyzysk
拨	wybrać numer	Proszę wybrać ten numer telefonu
播种	siać	Rolnicy zaczynają siać wiosną
波浪	fala	Na morzu podniosły się ogromne fale
波涛	wielkie fale	Łódź płynęła naprzód wśród wielkich fal
伯母	ciotka	W weekend odwiedzę ciotkę
博大精深	rozległy i głęboki	Chińska kultura jest rozległa i głęboka
博览会	targi	Międzynarodowe targi przyciągnęły wiele firm
搏斗	walczyć	Policja walczyła z przestępcą
薄弱	słaby	Jego podstawy gramatyki są dość słabe
不顾	nie zważając	On wbiegł do środka, nie zważając na niebezpieczeństwo
不愧	zasługiwać	On naprawdę zasługuje na miano doświadczonego eksperta
