source_headword	ML	example_ML
institute	ഇൻസ്റ്റിറ്റ്യൂട്ട്	ഇൻസ്റ്റിറ്റ്യൂട്ട് ഒരു പുതിയ ഗവേഷണ പരിപാടി ആരംഭിച്ചു.
institution	സ്ഥാപനം	സ്ഥാപനം അതിൻ്റെ പ്രവേശന നിയമങ്ങൾ മാറ്റി.
insurance	ഇൻഷുറൻസ്	അവളുടെ ഇൻഷുറൻസ് ആശുപത്രി ചെലവുകൾ വഹിച്ചു.
intended	ഉദ്ദേശിച്ച	സന്ദേശം അതിൻ്റെ ഉദ്ദേശിച്ച പ്രേക്ഷകരിലെത്തി.
intense	തീവ്രമായ	സംവാദം വളരെ വേഗം തീവ്രമായി.
internal	ആന്തരിക	കമ്പനി ഒരു ആന്തരിക അവലോകനം ആരംഭിച്ചു.
interpret	വ്യാഖ്യാനിക്കുക	ഫലങ്ങൾ ശ്രദ്ധാപൂർവ്വം വ്യാഖ്യാനിക്കുക.
interrupt	തടസ്സപ്പെടുത്തുക	ഇപ്പോൾ സംസാരിക്കുന്നയാളെ തടസ്സപ്പെടുത്തരുത്.
investigation	അന്വേഷണം	അന്വേഷണം ഗുരുതരമായ തെറ്റുകൾ വെളിപ്പെടുത്തി.
investment	നിക്ഷേപം	നിക്ഷേപം ധാരാളം പ്രാദേശിക തൊഴിലുകൾ സൃഷ്ടിച്ചു.
joy	സന്തോഷം	അവരുടെ വിജയം വലിയ സന്തോഷം നൽകി.
judgement	വിധി	അനുഭവത്തിലൂടെ അവൻ്റെ വിധിന്യായ ശേഷി മെച്ചപ്പെട്ടു.
junior	ജൂനിയർ	അവൾ ഒരു ജൂനിയർ അനലിസ്റ്റായി ടീമിൽ ചേർന്നു.
justice	നീതി	വിചാരണയ്ക്ക് ശേഷം കുടുംബം നീതി ആവശ്യപ്പെട്ടു.
justify	ന്യായീകരിക്കുക	ആ തീരുമാനം നിങ്ങൾ വ്യക്തമായി ന്യായീകരിക്കണം.
labour	അദ്ധ്വാനം	പദ്ധതിക്ക് വിദഗ്ദ്ധരായ തൊഴിലാളികളെ ആവശ്യമുണ്ട്.
