source_headword	TE	example_TE
incur	భరించు	జాప్యం వల్ల అదనపు ఖర్చులు భరించాల్సి రావచ్చు.
indicator	సూచిక	నిరుద్యోగం అనేది ఒక ఆర్థిక సూచిక.
indictment	నేరారోపణ	నేరారోపణలో మూడు ఆరోపణలు ఉన్నాయి.
indigenous	స్థానిక	స్థానిక మొక్కలు ఇక్కడ బాగా పెరుగుతాయి.
induce	కలిగించు	ఈ మందు నిద్రను కలిగిస్తుంది.
indulge	మునిగిపోవు	ఆమె ఖరీదైన అలవాట్లలో మునిగిపోదు.
inequality	అసమానత	ఆదాయ అసమానత ఒక ప్రధాన సమస్యగా మిగిలిపోయింది.
infamous	అపఖ్యాతి పాలైన	ఆ జైలు ప్రపంచవ్యాప్తంగా అపఖ్యాతి పాలైంది.
infant	పసిబిడ్డ	పసిబిడ్డ మంచంలో నిద్రపోయింది.
infect	సంక్రమించు	ఈ వైరస్ ఆరోగ్యకరమైన కణాలకు సంక్రమించగలదు.
inflict	గురిచేయు	జంతువులకు నొప్పి కలిగించవద్దు.
influential	ప్రభావవంతమైన	ఆమె ఒక ప్రభావవంతమైన న్యాయ పండితురాలు.
inherent	అంతర్గత	డిజైన్‌లో అంతర్గత నష్టాలు ఉన్నాయి.
inhibit	నిరోధించు	భయం నిజాయితీ గల చర్చను నిరోధించవచ్చు.
initiate	ప్రారంభించు	మేనేజర్ సమీక్షను ప్రారంభిస్తారు.
inject	ఎక్కించు	నర్సు వ్యాక్సిన్‌ను ఎక్కిస్తుంది.
injection	ఇంజెక్షన్	ఇంజెక్షన్ నొప్పిని తగ్గించింది.
injustice	అన్యాయం	తీర్పు స్పష్టమైన అన్యాయాన్ని బహిర్గతం చేసింది.
inmate	ఖైదీ	ఖైదీ న్యాయ సలహా కోరాడు.
insertion	చేర్చడం	ఫారమ్‌లో ఒక వచనాన్ని చేర్చాలి.
insider	లోపలి వ్యక్తి	లోపలి వ్యక్తి నివేదికను లీక్ చేశాడు.
inspect	తనిఖీ చేయు	అధికారులు ప్రతి సంవత్సరం వంతెనను తనిఖీ చేస్తారు.
inspection	తనిఖీ	తనిఖీలో తీవ్రమైన నష్టం ఉన్నట్లు తేలింది.
inspiration	ప్రేరణ	ఆమె ప్రసంగం నాకు ప్రేరణ ఇచ్చింది.
instinct	సహజ ప్రవృత్తి	అతని మొదటి సహజ ప్రవృత్తి సహాయం చేయడమే.
institutional	సంస్థాగత	సంస్థాగత నియమాలు నిర్ణయాన్ని రూపొందించాయి.
instruct	సూచించు	మాన్యువల్ కొత్త సిబ్బందికి సూచిస్తుంది.
instrumental	కీలకమైన	చర్చలలో ఆమె సలహా కీలకంగా వ్యవహరించింది.
insufficient	సరిపోని	ఆరోపణలకు సాక్ష్యం సరిపోలేదు.
insult	అవమానం	అతని అవమానం సంభాషణను ముగించింది.
intact	చెక్కుచెదరకుండా	పురాతన గోడ చెక్కుచెదరకుండా ఉంది.
intake	తీసుకోవడం	చక్కెర తీసుకోవడం మితంగా ఉండాలి.
integral	అంతర్భాగమైన	బృందానికి నమ్మకం అనేది అంతర్భాగం.
integrated	సమగ్ర	పాఠశాల సమగ్ర మద్దతును అందిస్తుంది.
integration	ఏకీకరణ	ఏకీకరణ మొత్తం వ్యవస్థను మెరుగుపరిచింది.
integrity	నిజాయితీ	న్యాయమూర్తి గొప్ప నిజాయితీని కనబరిచారు.
intensify	తీవ్రమవు	తుఫాను రాత్రికి తీవ్రమవ్వొచ్చు.
intensity	తీవ్రత	శిక్షణ తీవ్రత పెరిగింది.
intensive	తీవ్రమైన	వారు తీవ్రమైన భాషా శిక్షణను పూర్తి చేశారు.
intent	ఉద్దేశం	అతని ఉద్దేశ్యాన్ని నిరూపించడం కష్టం.
interactive	ఇంటరాక్టివ్	మ్యూజియంలో ఇంటరాక్టివ్ డిస్‌ప్లేలు ఉన్నాయి.
interface	ఇంటర్‌ఫేస్	ఇంటర్‌ఫేస్ నావిగేట్ చేయడానికి సులభంగా ఉంటుంది.
interfere	జోక్యం చేసుకోను	విచారణలో జోక్యం చేసుకోకండి.
interference	అంతరాయం	సిగ్నల్ అంతరాయం కాల్‌కు విఘాతం కలిగించింది.
interim	మధ్యంతర	రేపు మధ్యంతర నివేదిక వస్తుంది.
interior	లోపలి	లోపలి గోడలకు పెయింట్ వేయాలి.
intermediate	మధ్యస్థ	ఆమె మధ్యస్థ తరగతిలో చేరింది.
intervene	జోక్యం చేసుకోను	పోలీసులు త్వరగా జోక్యం చేసుకోవాల్సి వచ్చింది.
intervention	జోక్యం	ముందస్తు జోక్యం రోగికి సహాయపడింది.
intimate	ఆత్మీయమైన	వారు ఒక ఆత్మీయమైన కుటుంబ వేడుకను నిర్వహించారు.
intriguing	ఆసక్తికరమైన	డేటా ఒక ఆసక్తికరమైన నమూనాను వెల్లడించింది.
investigator	దర్యాప్తుదారు	దర్యాప్తుదారు ప్రతి సాక్షిని ఇంటర్వ్యూ చేశాడు.
invisible	కనిపించని	ఈ గ్యాస్ కనిపించదు మరియు ప్రమాదకరమైనది.
invoke	ప్రస్తావించు	న్యాయవాది గత ఉదాహరణలను ప్రస్తావించడానికి ప్రయత్నించాడు.
involvement	ప్రమేయం	అతని ప్రమేయం అస్పష్టంగానే ఉంది.
ironic	వ్యంగ్యమైన	ఆ వ్యంగ్యమైన వ్యాఖ్య అందరినీ నవ్వించింది.
