source_headword	HI	example_HI
rock (music)	रॉक संगीत	मुझे रॉक संगीत पसंद है.
role	भूमिका	उसकी भूमिका महत्वपूर्ण है.
roof	छत	छत की मरम्मत चाहिए.
round	गोल	मेज़ गोल है.
route	मार्ग	यह मार्ग छोटा है.
rubbish	कचरा	कचरा बाहर ले जाओ.
rude	असभ्य	यह टिप्पणी असभ्य थी.
runner	धावक	धावक थका हुआ दिखता है.
running	दौड़ना	दौड़ना मुझे स्वस्थ रखता है.
sadly	दुख की बात है	दुख की बात है, हमने ट्रेन छोड़ दी.
safe	सुरक्षित	यह सड़क सुरक्षित लगती है.
sail	नाव चलाना	शनिवार को हम नाव चलाएँगे.
sailing	नौकायन	नौकायन यहाँ लोकप्रिय है.
salary	वेतन	उसका वेतन अब अधिक है.
sale	बिक्री	बिक्री कल शुरू होती है.
sauce	चटनी	चावल में चटनी डालो.
save	सहेजना; बचाना	अपना काम अभी सहेजो.
scared	डरा हुआ	बच्चा डरा हुआ है.
scary	डरावना	यह कहानी डरावनी है.
scene	दृश्य	अंतिम दृश्य मज़ेदार था.
schedule	कार्यक्रम	आज कार्यक्रम जाँचो.
score	स्कोर; अंक	स्कोर क्या है?
screen	स्क्रीन	स्क्रीन को सावधानी से साफ करो.
search	खोजना	इंटरनेट पर चित्र खोजो.
season	मौसम; अवधि	गर्मी व्यस्त मौसम है.
seat	सीट	कृपया यह सीट लो.
second1 (next after the first)	दूसरा	दूसरा, अपने हाथ धोओ.
secondly	दूसरे	दूसरे, उत्तर जाँचो.
secret	रहस्य	यह रहस्य सुरक्षित रखो.
secretary	सचिव	सचिव ने आज फोन किया.
seem	लगना	तुम थके हुए लगते हो.
sense	अर्थ; समझ	इस योजना में समझ है.
separate	अलग	कागज़ अलग रखो.
series	श्रृंखला	यह श्रृंखला लोकप्रिय है.
serious	गंभीर	यह समस्या गंभीर है.
serve	परोसना	दोपहर का भोजन दोपहर में परोसा जाता है.
service	सेवा	सेवा तेज़ थी.
several	कई	कई विद्यार्थी जल्दी आए.
shake	हिलाना	पहले बोतल हिलाओ.
shall modal	क्या हम	क्या हम अब शुरू करें?
