source_headword	SV	example_SV
rock (music)	rockmusik	Jag lyssnar gärna på rockmusik.
role	en roll	Hennes roll är viktig.
roof	ett tak	Taket behöver lagas.
round	rund	Det här bordet är runt.
route	en rutt	Den här rutten är kortare.
rubbish	skräp	Ställ ut skräpet.
rude	oartig	Den kommentaren var oartig.
runner	en löpare	Löparen ser trött ut.
running	löpning	Löpning hjälper mig att må bra.
sadly	tyvärr	Tyvärr missade vi tåget.
safe	säker	Den här gatan verkar säker.
sail	segla	Vi seglar på lördag.
sailing	segling	Segling är populärt här.
salary	en lön	Hans lön är högre nu.
sale	en rea	Rean börjar i morgon.
sauce	en sås	Tillsätt såsen till riset.
save	spara	Spara ditt arbete nu.
scared	rädd	Barnet är rädd.
scary	läskig	Den här berättelsen är läskig.
scene	en scen	Den sista scenen var rolig.
schedule	ett schema	Kontrollera schemat i dag.
score	ett resultat	Vad är resultatet?
screen	en skärm	Rengör skärmen försiktigt.
search	söka	Sök efter bilder på nätet.
season	en årstid	Sommaren är en hektisk årstid.
seat	en plats	Sätt dig på den här platsen.
second1 (next after the first)	andra	För det andra, tvätta händerna.
secondly	för det andra	För det andra, kontrollera svaret.
secret	en hemlighet	Bevara den här hemligheten.
secretary	en sekreterare	Sekreteraren ringde i dag.
seem	verka	Du verkar trött.
sense	en mening	Den här planen har mening.
separate	separat	Håll papperen separata.
series	en serie	Den här serien är populär.
serious	allvarlig	Det här problemet är allvarligt.
serve	servera	De serverar lunch vid tolv.
service	en service	Servicen var snabb.
several	flera	Flera elever kom tidigt.
shake	skaka	Skaka flaskan först.
shall modal	ska	Ska vi börja nu?
shape	en form	Rita en fyrkantig form.
sheet	ett lakan	Lägg lakanet på sängen.
ship	ett fartyg	Fartyget avgick i dag.
shoulder	en axel	Min axel gör ont.
shout	ropa	Ropa inte i klassrummet.
shut	stänga	Stäng fönstret, tack.
side	en sida	Sitt på den här sidan.
sign	en skylt	Läs skylten noga.
silver	silver	Silver är en ljus metall.
simple	enkel	Den här övningen är enkel.
since	sedan	Jag har väntat sedan lunch.
singing	sång	Sång hjälper mig att koppla av.
single	enkel	Jag köpte en enkel biljett.
sir	herr	Herrn, er väska är klar.
site	en webbplats	Den här webbplatsen är säker.
size	en storlek	Vilken storlek behöver du?
ski	åka skidor	Vi åker skidor på vintern.
skiing	skidåkning	Skidåkning är roligt på vintern.
skin	en hud	Hennes hud är torr.
sky	en himmel	Himlen är klar.
slowly	långsamt	Gå långsamt på isen.
smartphone	en smarttelefon	Min smarttelefon är ny.
smell	en lukt	Soppan luktar gott.
smile	ett leende	Le mot kameran.
smoke	rök	Röken fyllde rummet.
smoking	rökning	Rökning är förbjuden.
soap	tvål	Använd tvål och vatten.
soccer	fotboll	Fotboll är populärt här.
social	social	Det här är ett socialt evenemang.
society	ett samhälle	Samhället förändras med tiden.
sock	en strumpa	En strumpa saknas.
soft	mjuk	Den här filten är mjuk.
soldier	en soldat	Soldaten kom hem.
solution	en lösning	Vi hittade en lösning.
solve	lösa	Lös det här pusslet.
somewhere	någonstans	Lägg det någonstans säkert.
sort	ett slag	Vilket slag vill du ha?
source	en källa	Kontrollera källan först.
speaker	en talare; en högtalare	Talaren var tydlig.
specific	specifik	Jag behöver ett specifikt svar.
speech	ett tal	Hennes tal var kort.
speed	en hastighet	Sänk hastigheten här.
spider	en spindel	Det finns en spindel på väggen.
spoon	en sked	Använd en sked till soppan.
square	fyrkantig	Rita en fyrkantig låda.
stage	en scen	Bandet står på scenen.
stair	ett trappsteg	Trappsteget är trasigt.
stamp	ett frimärke	Sätt frimärket på brevet.
state	ange	Ange ditt namn tydligt.
steal	stjäla	Stjäl inte pengar.
step	ett steg	Ta ett steg framåt.
stomach	en mage	Min mage gör ont.
stone	en sten	Stenen är tung.
store	en butik	Butiken stänger tidigt.
storm	en storm	En storm kommer.
straight	rakt	Gå rakt hem.
strange	konstig	Det här ljudet är konstigt.
strategy	en strategi	Vi behöver en strategi.
stress	stress	Arbete kan orsaka stress.
structure	en struktur	Den här strukturen är stark.
stupid	dum	Det var ett dumt misstag.
succeed	lyckas	Du kan lyckas här.
successful	framgångsrik	Hon blev framgångsrik.
such	sådan	Sådan hjälp är nyttig.
suddenly	plötsligt	Plötsligt sprang hunden iväg.
suggest	föreslå	Jag föreslår en kort paus.
suggestion	ett förslag	Ditt förslag är nyttigt.
suit	en kostym	Den här kostymen är dyr.
support	stödja	Vi stödjer vårt lag.
suppose	anta	Jag antar att du har rätt.
surprise	en överraskning	Överraskningen gjorde henne glad.
surprised	förvånad	Hon var förvånad i dag.
surprising	överraskande	Resultatet var överraskande.
survey	en enkät	Fyll i enkäten.
sweet	söt	Det här teet är sött.
symbol	en symbol	Den här symbolen betyder fara.
system	ett system	Systemet fungerar bra.
tablet	en surfplatta	Min surfplatta ligger på skrivbordet.
target	ett mål	Träffa målet försiktigt.
task	en uppgift	Den här uppgiften är lätt.
taste	en smak	Smaka på soppan först.
teaching	undervisning	Undervisning är svårt arbete.
technology	teknik	Tekniken förändras snabbt.
teenage	tonårs-	Min tonårsbror studerar hårt.
temperature	en temperatur	Temperaturen är låg.
term	en termin	Den här terminen slutar snart.
themselves	sig själva	De lagade middagen själva.
thick	tjock	Den här boken är tjock.
thief	en tjuv	Tjuven sprang iväg.
thin	tunn	Papperet är tunt.
thinking	tänkande	Tänkande tar tid.
thought	en tanke	Jag hade en konstig tanke.
throw	kasta	Kasta bollen försiktigt.
tidy	prydlig	Håll ditt rum prydligt.
tie	knyta	Knyt dina skor nu.
tip	dricks	Lämna dricks för servicen.
