source_headword	HY	example_HY
abolish	վերացնել	Օրենքը կվերացնի հին վճարը։
abortion	աբորտ	Աբորտը մնում է զգայուն բժշկական խնդիր։
absence	բացակայություն	Նրա բացակայությունը հետաձգեց վերջնական որոշումը։
absent	բացակա	Երկու անդամ բացակայում էին դասից։
absurd	աբսուրդ	Պնդումը բոլորին աբսուրդ թվաց։
abundance	առատություն	Հովտում ջրի առատություն կա։
abuse	չարաշահում	Զեկույցում նկարագրվում էին աշխատավայրում չարաշահումները։
academy	ակադեմիա	Ակադեմիան կրթում է երիտասարդ երաժիշտներին։
accelerate	արագացնել	Նոր ֆինանսավորումը կարագացնի հետազոտությունը։
acceptance	ընդունում	Քննադատության նրա ընդունումը տպավորեց ինձ։
accessible	հասանելի	Թանգարանը հասանելի է անվասայլակներով օգտվողներին։
accomplishment	նվաճում	Գիրքն ավարտելը իսկական նվաճում էր։
accordance	համապատասխանություն	Աշխատանքը կատարվել է քաղաքականության համապատասխան։
accordingly	համապատասխանաբար	Ապացույցները փոխվեցին, և մենք գործեցինք համապատասխանաբար։
accountability	հաշվետվողականություն	Քաղաքականությունը բարձրացնում է ղեկավարների հաշվետվողականությունը։
accountable	պատասխանատու	Ղեկավարները պատասխանատու են անվտանգության համար։
accumulate	կուտակվել	Էկրանի հետևում կարող է փոշի կուտակվել։
accumulation	կուտակում	Տվյալների կուտակումը ամիսներ տևեց։
accusation	մեղադրանք	Մեղադրանքը ցնցեց կոմիտեին։
accused	մեղադրյալ	Մեղադրյալը ներկայացավ դատարան։
acquisition	ձեռքբերում	Այս ձեռքբերումը արագորեն ընդլայնեց ընկերությունը։
acre	ակր	Ֆերման զբաղեցնում է մեկ ակր տարածք։
activation	ակտիվացում	Քարտի ակտիվացումը մի քանի րոպե է տևում։
activist	ակտիվիստ	Ակտիվիստը ելույթ ունեցավ հանրահավաքում։
acute	սուր	Վազելուց հետո նա սուր ցավ զգաց։
adaptation	ադապտացիա	Ադապտացիան փոխեց վեպի ավարտը։
adhere	հետևել	Աշխատակիցները պետք է հետևեն անվտանգության կանոններին։
adjacent	կից	Հյուրանոցը կից է կայարանին։
adjustment	ճշգրտում	Փոքր ճշգրտումը լուծեց խնդիրը։
administer	կիրառել	Բուժքույրերը ուշադիր կիրառում են պատվաստանյութը։
administrative	վարչական	Վարչական անձնակազմը զբաղվում է ձևաթղթերով։
administrator	ադմինիստրատոր	Ադմինիստրատորը վերականգնեց իմ գաղտնաբառը։
admission	մուտք	Թանգարանի մուտքն անվճար է։
adolescent	դեռահաս	Դեռահասը լրացուցիչ աջակցության կարիք ուներ։
adoption	որդեգրում	Որդեգրումը երեխային կայուն տուն տվեց։
adverse	անբարենպաստ	Դեղամիջոցը անբարենպաստ ազդեցություններ առաջացրեց։
advocate	պաշտպան	Պաշտպանը պաշտպանում էր վարձակալների իրավունքները։
aesthetic	էսթետիկ	Սենյակը հանգիստ էսթետիկ ոճ ունի։
affection	քնքշություն	Նա քնքշություն դրսևորեց իր ընտանիքի հանդեպ։
aftermath	հետևանք	Փոթորկի հետևանքները ծանր էին։
aggression	ագրեսիա	Ուսուցիչը դասամիջոցին ագրեսիա նկատեց։
agricultural	գյուղատնտեսական	Այս տարի գյուղատնտեսական արտահանումն աճել է։
aide	օգնական	Օգնականը կազմակերպեց նախարարի գրաֆիկը։
albeit	թեկուզ	Ծրագիրն աշխատեց, թեկուզ դանդաղ։
alert	զգուշացնել	Խնդրում ենք անմիջապես զգուշացնել անձնակազմին։
align	հավասարեցնել	Սլաքները հավասարվում են ճանապարհին։
alignment	հավասարեցում	Անիվների հավասարեցումը բարելավեց մեքենայի կառավարումը։
alike	նման	Երկվորյակները հանգստյան օրերին նման են հագնվում։
allegation	մեղադրանք	Մեղադրանքը հայտնվեց թերթում։
allege	պնդել	Նրանք պնդում են, որ միջոցները կորել են։
allegedly	իբր	Վարորդն իբր անտեսել է նախազգուշացումը։
alliance	դաշինք	Կուսակցությունները ժամանակավոր դաշինք կազմեցին։
allocate	հատկացնել	Քաղաքը գումար կհատկացնի դպրոցների համար։
allocation	հատկացում	Տեղերի հատկացումը անարդար էր։
