source_headword	ML	example_ML
ability	കഴിവ്	അവളുടെ കഴിവ് വ്യക്തമാണ്.
able	കഴിവുള്ള	അവൻ സഹായിക്കാൻ കഴിവുള്ളവനാണ്.
abroad	വിദേശത്ത്	അവൾ വിദേശത്ത് പഠിക്കുന്നു.
accept	സ്വീകരിക്കുക	ദയവായി ഈ ക്ഷണം സ്വീകരിക്കൂ.
accident	അപകടം	ഇന്നലെ ചെറിയ അപകടം ഉണ്ടായി.
according to	അനുസരിച്ച്	റിപ്പോർട്ട് അനുസരിച്ച് പദ്ധതി തയ്യാറാണ്.
achieve	നേടുക	അവൾ ലക്ഷ്യം നേടും.
act	പ്രവർത്തിക്കുക; അഭിനയിക്കുക	അവൻ വേഗം പ്രവർത്തിച്ചു.
active	സജീവമായ	അവൾ വളരെ സജീവമാണ്.
actually	വാസ്തവത്തിൽ	വാസ്തവത്തിൽ ഉത്തരമിതാണ്.
advantage	നേട്ടം	ഈ നിയമത്തിന് ഒരു നേട്ടമുണ്ട്.
adventure	സാഹസികത	അവർ പുതിയ സാഹസികത തുടങ്ങി.
advertise	പരസ്യം ചെയ്യുക	അവർ പുതിയ കട പരസ്യം ചെയ്യുന്നു.
advertisement	പരസ്യം	ആ പരസ്യം നിറമുള്ളതാണ്.
advertising	പരസ്യപ്രവർത്തനം	പരസ്യപ്രവർത്തനം ചെലവേറിയതാണ്.
affect	ബാധിക്കുക	കാലാവസ്ഥ യാത്രയെ ബാധിക്കും.
against	എതിരായി	അവർ തീരുമാനത്തിന് എതിരായി നിന്നു.
ah	ആഹാ	ആഹാ, ഇപ്പോൾ മനസ്സിലായി.
airline	വിമാനക്കമ്പനി	ഈ വിമാനക്കമ്പനി വിലകുറവാണ്.
alive	ജീവിച്ചിരിക്കുന്ന	ചെടി ഇപ്പോഴും ജീവിച്ചിരിക്കുന്നു.
all right	ശരി	എല്ലാം ശരിയാണ്.
allow	അനുവദിക്കുക	അവർ നായയെ അകത്ത് അനുവദിച്ചു.
almost	ഏകദേശം	ജോലി ഏകദേശം തീർന്നു.
alone	ഒറ്റയ്ക്ക്	അവൻ വീട്ടിൽ ഒറ്റയ്ക്കാണ്.
along	കൂടെ; വഴിയിലൂടെ	അവൾ നദിക്കരയിലൂടെ നടന്നു.
already	ഇതിനകം	ഭക്ഷണം ഇതിനകം തയ്യാറായി.
alternative	പകരമായ മാർഗം	മറ്റൊരു പകരമായ മാർഗം ഉണ്ട്.
although	എങ്കിലും	മഴയാണെങ്കിലും ഞങ്ങൾ പോയി.
among	ഇടയിൽ	കുട്ടികൾ മരങ്ങൾക്കിടയിൽ കളിച്ചു.
amount	അളവ്	വെള്ളത്തിന്റെ അളവ് കുറവാണ്.
ancient	പുരാതനമായ	ഇത് പുരാതനമായ ക്ഷേത്രമാണ്.
ankle	കണങ്കാൽ	അവളുടെ കണങ്കാൽ വേദനിക്കുന്നു.
anybody	ആരെങ്കിലും	ഇവിടെ ആരെങ്കിലും ഉണ്ടോ?
any more	ഇനി	ഞാൻ ഇനി കാത്തിരിക്കില്ല.
anyway	എങ്കിലും	എങ്കിലും നമുക്ക് തുടങ്ങാം.
anywhere	എവിടെയും	നീ എവിടെയും ഇരിക്കാം.
app	ആപ്പ്	ഈ ആപ്പ് ഉപകാരപ്രദമാണ്.
appear	പ്രത്യക്ഷപ്പെടുക	താരം വേദിയിൽ പ്രത്യക്ഷപ്പെട്ടു.
appearance	രൂപം	അവളുടെ രൂപം മാറി.
apply	അപേക്ഷിക്കുക; പ്രയോഗിക്കുക	ഈ ജോലിക്ക് അപേക്ഷിക്കൂ.
