source_headword	LO	example_LO
absolutely	ຢ່າງແນ່ນອນ	ຂ້ອຍເຫັນດີກັບເຈົ້າຢ່າງແນ່ນອນ.
academic	ທາງວິຊາການ	ປີການສຶກສາເລີ່ມໃນເດືອນກັນຍາ.
access	ການເຂົ້າເຖິງ	ນັກຮຽນຕ້ອງການການເຂົ້າເຖິງຫ້ອງສະໝຸດ.
accommodation	ທີ່ພັກ	ພວກເຮົາຈອງທີ່ພັກໃກ້ສະຖານີ.
account	ບັນຊີ	ນາງເປີດບັນຊີທະນາຄານໃໝ່.
achievement	ຄວາມສຳເລັດ	ການຈົບຫຼັກສູດເປັນຄວາມສຳເລັດໃຫຍ່.
ad	ໂຄສະນາ	ໂຄສະນາສະແດງໂທລະສັບໃໝ່.
addition	ການເພີ່ມເຕີມ	ສະລອຍນ້ຳເປັນການເພີ່ມເຕີມທີ່ມີປະໂຫຍດ.
admire	ຊົມເຊີຍ	ຂ້ອຍຊົມເຊີຍທ່າທີສະຫງົບຂອງນາງ.
admit	ຍອມຮັບ	ລາວຍອມຮັບຄວາມຜິດຂອງລາວ.
advanced	ຂັ້ນສູງ	ນີ້ແມ່ນຫ້ອງຮຽນອັງກິດຂັ້ນສູງ.
advise	ແນະນຳ	ແພດແນະນຳໃຫ້ອອກກຳລັງກາຍສະເໝີ.
afford	ມີກຳລັງຈ່າຍ	ພວກເຮົາບໍ່ມີກຳລັງຈ່າຍຄ່າແທັກຊີ.
aged	ອາຍຸ	ຫຼັກສູດນີ້ສຳລັບເດັກອາຍຸສິບປີ.
agent	ຕົວແທນ	ຕົວແທນທ່ອງທ່ຽວປ່ຽນປີ້ໃຫ້ພວກເຮົາ.
agreement	ຂໍ້ຕົກລົງ	ພວກເຂົາບັນລຸຂໍ້ຕົກລົງມື້ນີ້.
ahead	ຂ້າງໜ້າ	ຖະໜົນຂ້າງໜ້າໂລ່ງດີ.
aim	ຕັ້ງເປົ້າໝາຍ	ພວກເຮົາຕັ້ງເປົ້າໝາຍໃຫ້ສຳເລັດໄວ.
alarm	ໂມງປຸກ	ໂມງປຸກດັງເວລາຫົກໂມງ.
album	ອັລບັ້ມ	ອັລບັ້ມນີ້ມີເພງສິບເພງ.
alcohol	ເຫຼົ້າ	ໂຮງແຮມບໍ່ເສີບເຫຼົ້າ.
alcoholic	ມີແອລກໍຮໍ	ເຄື່ອງດື່ມນີ້ບໍ່ມີແອລກໍຮໍ.
amazed	ປະຫຼາດໃຈຫຼາຍ	ນາງປະຫຼາດໃຈຫຼາຍກັບຜົນນັ້ນ.
ambition	ຄວາມທະເຍີທະຍານ	ຄວາມທະເຍີທະຍານຂອງລາວຄືການເປັນນັກບິນ.
ambitious	ມີຄວາມທະເຍີທະຍານ	ນາງມີແຜນທີ່ທະເຍີທະຍານ.
analyse	ວິເຄາະ	ພວກເຮົາຕ້ອງວິເຄາະຜົນ.
analysis	ການວິເຄາະ	ການວິເຄາະຂອງນາງຊັດເຈນແລະຮອບຄອບ.
