source_headword	HU	example_HU
abolish	eltöröl	A törvény el fogja törölni a régi díjat.
abortion	abortusz	Az abortusz továbbra is kényes orvosi kérdés.
absence	hiányzás	Távolléte késleltette a végső döntést.
absent	hiányzó	Két tag hiányzott az óráról.
absurd	abszurd	Az állítás mindenkinek abszurdnak hangzott.
abundance	bőség	A völgyben bőségesen van víz.
abuse	visszaélés	A jelentés munkahelyi visszaélésekről számolt be.
academy	akadémia	Az akadémia fiatal zenészeket képez.
accelerate	felgyorsít	Az új támogatás felgyorsítja a kutatást.
acceptance	elfogadás	A kritika elfogadása lenyűgözött.
accessible	akadálymentes	A múzeum kerekesszékkel is megközelíthető.
accomplishment	teljesítmény	A könyv befejezése igazi teljesítmény volt.
accordance	összhang	A munkát az irányelvekkel összhangban végezték.
accordingly	ennek megfelelően	A bizonyítékok megváltoztak, és mi ennek megfelelően cselekedtünk.
accountability	elszámoltathatóság	Az irányelv növeli a vezetők elszámoltathatóságát.
accountable	felelős	A vezetők felelősek a biztonságért.
accumulate	felhalmozódik	A por felhalmozódhat a képernyő mögött.
accumulation	felhalmozódás	Az adatok felhalmozódása hónapokig tartott.
accusation	vád	A vád megdöbbentette a bizottságot.
accused	vádlott	A vádlott megjelent a bíróságon.
acquisition	felvásárlás	A felvásárlás gyorsan bővítette a céget.
acre	hold	A farm egy holdon terül el.
activation	aktiválás	A kártya aktiválása perceket vesz igénybe.
activist	aktivista	Az aktivista felszólalt a nagygyűlésen.
acute	éles	Éles fájdalmat érzett futás után.
adaptation	adaptáció	Az adaptáció megváltoztatta a regény végét.
adhere	betart	A személyzetnek be kell tartania a biztonsági szabályokat.
adjacent	szomszédos	A szálloda az állomás mellett van.
adjustment	beállítás	Egy kis beállítás megoldotta a problémát.
administer	bead	Az ápolók gondosan adják be a vakcinát.
administrative	adminisztratív	Az adminisztratív személyzet kezeli az űrlapokat.
administrator	rendszergazda	A rendszergazda visszaállította a jelszavamat.
admission	belépés	A belépés a múzeumba ingyenes.
adolescent	serdülő	A serdülőnek extra támogatásra volt szüksége.
adoption	örökbefogadás	Az örökbefogadás stabil otthont adott a gyermeknek.
adverse	kedvezőtlen	A gyógyszer káros hatásokat okozott.
advocate	szószóló	A szószóló megvédte a bérlők jogait.
aesthetic	esztétikus	A szoba nyugodt esztétikai stílusú.
affection	szeretet	Szeretetet mutatott a családja iránt.
aftermath	utóhatás	A vihar utóhatása nehéz volt.
aggression	agresszió	A tanár agressziót vett észre szünetben.
agricultural	mezőgazdasági	A mezőgazdasági export idén nőtt.
aide	segítő	A segítő megszervezte a miniszter beosztását.
albeit	habár	A terv működött, habár lassan.
alert	figyelmeztet	Kérem, azonnal figyelmeztesse a személyzetet.
align	igazít	A nyilak egyvonalban vannak az úttal.
alignment	beállítás	A futómű-beállítás javította az autó kezelhetőségét.
alike	egyformán	Az ikrek hétvégén egyformán öltözködnek.
allegation	állítás	Az állítás megjelent az újságban.
allege	állít	Azt állítják, hogy a pénzeszközök elvesztek.
allegedly	állítólag	A sofőr állítólag figyelmen kívül hagyta a figyelmeztetést.
alliance	szövetség	A pártok ideiglenes szövetséget kötöttek.
allocate	kioszt	A város pénzt fog kiutalni az iskoláknak.
allocation	elosztás	A helyek elosztása igazságtalan volt.
allowance	zsebpénz	A zsebpénze fedezi az ebédet és az utazást.
ally	szövetséges	Kanada közeli szövetséges lett.
aluminium	alumínium	A keret alumíniumból készült.
amateur	amatőr	Egy amatőr fotós készítette a képet.
ambassador	nagykövet	A nagykövet találkozott a helyi diákokkal.
amend	módosít	A parlament megszavazta a törvény módosítását.
amendment	módosítás	A módosítás egy bekezdést változtatott meg.
amid	közepette	A beszéd a növekvő feszültség közepette hangzott el.
analogy	analógia	A tanár egy egyszerű analógiát használt.
anchor	horgony	A hajó horgonyt vetett a sziget közelében.
angel	angyal	A gyerek angyaljelmezt viselt.
anonymous	névtelen	A panasz névtelen volt.
apparatus	berendezés	A laboratóriumi berendezést meg kell tisztítani.
appealing	vonzó	Az ajánlat vonzónak tűnik a diákok számára.
appetite	étvágy	A testmozgás növelte az étvágyát.
applaud	tapsol	A közönség hangosan kezdett tapsolni.
applicable	érvényes	A kedvezmény ma érvényes.
appoint	kinevez	Az igazgatóság kinevez egy igazgatót.
appreciation	elismerés	Kifejezte elismerését a segítségükért.
arbitrary	önkényes	A határidő önkényesnek tűnt a személyzet számára.
architectural	építészeti	A város védi építészeti örökségét.
archive	archívum	Az archívum régi fényképeket tárol.
arena	aréna	A vita a nyilvánosság elé került.
arguably	vitathatóan	Valószínűleg ez a legjobb regénye.
arm	felfegyverez	Az őrök fel fogják fegyverezni a konvojt.
array	választék	A bolt a szerszámok széles választékát kínálja.
articulate	megfogalmaz	Képes világosan megfogalmazni összetett ötleteket.
ash	hamu	A tűz után hamu borította az autót.
aspiration	törekvés	Az a törekvése, hogy sebész legyen.
aspire	törekszik	Sok diák törekszik külföldi tanulmányokra.
assassination	merénylet	A merénylet megváltoztatta az ország politikáját.
assault	támadás	A támadás az állomás közelében történt.
assemble	összeszerel	A munkások kézzel szerelik össze a bútorokat.
assembly	gyűlés	Az iskolai gyűlés kilenckor kezdődik.
assert	érvényesít	Megpróbálta érvényesíteni a tekintélyét.
assertion	állítás	Az állítása meglepte a testületet.
assurance	biztosíték	A menedzser támogatásáról biztosította őt.
asylum	menedékjog	A család menedékjogot kért a határon.
atrocity	kegyetlenség	A film egy háborús kegyetlenségről szólt.
attain	elér	Kevés futó éri el ezt a sebességet.
attendance	részvétel	A részvétel javult a bejelentés után.
attorney	ügyvéd	Az ügyvéd kikérdezte a tanút.
attribute	tulajdonít	A tudósok a növekedést a szennyezésnek tulajdonítják.
audit	könyvvizsgálat	A könyvvizsgálat több hibát is talált.
authentic	hiteles	Az étterem autentikus regionális ételeket szolgál fel.
authorize	engedélyez	Csak a menedzserek engedélyezhetik a visszatérítést.
auto	autó	Az autóipar gyorsan megváltozott.
autonomy	autonómia	A régió nagyobb autonómiát akar.
availability	elérhetőség	Az ülések elérhetősége korlátozott.
await	vár	Több üzenet vár a válaszodra.
backdrop	háttér	A hegyek drámai hátteret alkottak.
backing	támogatás	A javaslat támogatást kapott a szavazóktól.
backup	biztonsági másolat	A rendszer naponta készít biztonsági másolatot.
bail	óvadék	A bíró délben állapította meg az óvadékot.
ballot	szavazólap	Minden szavazó kapott egy szavazólapot.
banner	transzparens	A transzparens a bejárat felett lógott.
bare	csupasz	A szobának csupasz falai voltak.
barrel	hordó	A hordó tele volt vízzel.
bass1	basszus	A basszus mélyen és melegen szólt.
battlefield	csatatér	A régi csatatér emlékművé vált.
bay	öböl	A falu egy csendes öböl mellett fekszik.
beam	gerenda	Egy acélgerenda tartja a tetőt.
beast	fenevad	A történet egy vad fenevadat ír le.
behalf	képviselet	A csapata nevében beszélt.
beloved	szeretett	A szeretett tanár ma ment nyugdíjba.
bench	pad	Egy fapadon ültek.
benchmark	mérce	A teszt iparági mércévé vált.
beneath	alatt	A dokumentumok a mappa alatt voltak.
beneficiary	kedvezményezett	A fia volt a fő kedvezményezett.
betray	elárul	Ne áruld el a barátod bizalmát.
bind	kötelez	A megállapodás mindkét vállalatot kötelezni fogja.
biography	életrajz	Az életrajzából sok példány kelt el.
bishop	püspök	A püspök meglátogatta a falusi templomot.
bizarre	bizarr	A filmnek bizarr vége volt.
blade	penge	A penge elvágta a kötelet.
blast	robbanás	A robbanás betörte a közeli ablakokat.
bleed	vérzik	A vágás erősen vérezni kezdett.
blend	kever	Keverd simára a szószt.
bless	megáld	A pap meg fogja áldani a házat.
blessing	áldás	A támogatás megléte áldás volt.
boast	dicsekszik	Szeret a pénzzel dicsekedni.
bonus	bónusz	Az alkalmazottak ünnepi bónuszt kaptak.
boom	fellendülés	A város építőipari fellendülést tapasztalt.
bounce	pattan	A labda nagyon magasra tud pattanni.
boundary	határ	A folyó jelöli a határt.
bow1	meghajlás	A színész mélyen meghajolt.
breach	megsértés	A biztonsági rés személyes adatokat fedett fel.
breakdown	lebontás	A jelentés tartalmazza a költségek lebontását.
breakthrough	áttörés	A felfedezés komoly áttörés volt.
breed	szaporodik	Ezek a madarak tavasszal szaporodnak.
broadband	szélessáv	Az irodának gyorsabb szélessávra van szüksége.
browser	böngésző	Bejelentkezés előtt frissítse a böngészőjét.
brutal	brutális	A támadás brutális és hirtelen volt.
buck	dollár	A jegy tíz dollárba kerül.
buddy	haver	A haverja kint várt.
buffer	puffer	A fák zajcsillapító puffert hoznak létre.
bulk	nagy mennyiség	Nagy mennyiségben vettek rizst.
burden	teher	Az adósság súlyos teherré vált.
bureaucracy	bürokrácia	A bürokrácia késleltette az engedélyt.
burial	temetés	A temetés hajnalban zajlott.
burst	szétreped	A cső nyomás alatt szétrepedhet.
cabinet	kabinet	A kabinet jóváhagyta a tervet.
calculation	számítás	A számítás több percet vett igénybe.
canvas	vászon	A művész egy nagy vászonra festett.
capability	képesség	Az eszköz vezeték nélküli képességgel rendelkezik.
capitalism	kapitalizmus	A kapitalizmus alakította a modern gazdaságot.
capitalist	kapitalista	A kapitalista rendszer jutalmazza a magánbefektetéseket.
cargo	rakomány	A hajó orvosi rakományt szállított.
carriage	vagon	A vasúti kocsi majdnem üres volt.
carve	farag	Óvatosan fogja kifaragni a fát.
casino	kaszinó	A kaszinó a szálloda közelében nyílt meg.
casualty	áldozat	A baleset egy áldozatot követelt.
catalogue	katalógus	A katalógus minden terméket felsorol.
cater	ellát	Az étterem nagy rendezvényeket is el tud látni.
cattle	szarvasmarha	A szarvasmarhák a folyó közelében legelésztek.
caution	óvatosság	Legyen óvatos a jeges utakon.
cautious	óvatos	A befektetők ezen a héten óvatosak maradnak.
cease	beszüntet	A gyár hamarosan beszünteti a termelést.
cemetery	temető	A temető a tengerre néz.
chamber	terem	A terem csendes volt a szavazás alatt.
chaos	káosz	A késés káoszt okozott a repülőtéren.
characterize	jellemez	A szakértők kockázatosnak jellemzik a tervet.
charm	báj	A városnak régi világot idéző bája van.
charter	alapokmány	Az alapokmány védi az alapvető jogokat.
chronic	krónikus	Krónikus hátfájásban szenved.
chunk	darab	Vágd a sajtot egy nagy darabba.
circulate	köröztet	Kérjük, ma küldje körbe a napirendet.
circulation	példányszám	Az újság példányszáma meredeken visszaesett.
citizenship	állampolgárság	Francia állampolgárságért folyamodott.
civic	polgári	A polgári vezetők részt vettek az ülésen.
civilian	civil	Több civil otthon megsérült.
clarity	világosság	A diagram világosabbá tette a jelentést.
clash	összecsapás	Az összecsapás a felvonulás után kezdődött.
classification	besorolás	A besorolás a mérettől függ.
cling	tapad	A nedves ruhák a bőrhöz tapadnak.
clinical	klinikai	A klinikai vizsgálat a jövő hónapban kezdődik.
closure	lezárás	A család lezárást akart az ügy után.
cluster	csoport	A közelben egy csoport ház állt.
coalition	koalíció	A koalíció elvesztette többségét.
coastal	tengerparti	A tengerparti falvak felkészültek az áradásra.
cocktail	koktél	Egy gyümölcskoktélt rendelt.
cognitive	kognitív	A kognitív készségek gyakorlással javulnak.
coincide	egybeesik	A fesztivál egybe fog esni a diplomaosztóval.
collaborate	együttműködik	A csapatok együttműködnek a szoftveren.
collaboration	együttműködés	Együttműködésük erős eredményeket hozott.
collective	kollektív	A döntés egy kollektív erőfeszítés volt.
collision	ütközés	Az ütközés elzárta az autópályát.
colonial	gyarmati	Az épület gyarmati építészeti stílusú.
columnist	cikkíró	A cikkíró kritizálta az irányelvet.
combat	harc	A katonák harcra képezték ki magukat.
commence	kezdődik	A ceremónia délben kezdődik.
commentary	közvetítés	A mérkőzés közvetítése élénk volt.
commentator	kommentátor	A kommentátor elmagyarázta a döntést.
commerce	kereskedelem	Az online kereskedelem gyorsan nőtt.
commissioner	biztos	A biztos új szabályokat jelentett be.
commodity	áru	A búza fontos áru.
communist	kommunista	A kommunista párt ülést tartott.
companion	társ	A kutyája hűséges társ.
comparable	összehasonlítható	A két város mérete összehasonlítható.
compassion	együttérzés	Az ápoló nagy együttérzést mutatott.
compel	késztet	A bizonyíték válaszra késztethet.
compelling	meggyőző	A dokumentumfilm meggyőző érveket hozott fel.
compensate	kárpótol	A cég kárpótolja az érintett ügyfeleket.
compensation	kompenzáció	A munkások tisztességes kompenzációt követeltek.
competence	kompetencia	A teszt a szakmai kompetenciát méri.
competent	hozzáértő	Ő egy hozzáértő mérnök.
compile	összeállít	A kutatók kórházakból állítanak össze adatokat.
complement	kiegészít	A bor kiegészíti az étkezést.
complexity	bonyolultság	A projekt váratlan bonyolultsággal rendelkezik.
compliance	megfelelés	Az ellenőrzés a jogi megfelelést vizsgálta.
complication	komplikáció	A műtét során egy komplikáció lépett fel.
comply	eleget tesz	A cégeknek eleget kell tenniük az előírásoknak.
composition	kompozíció	A kompozíció hegedűt és zongorát tartalmaz.
compromise	kompromisszum	A kompromisszum mindkét felet kielégítette.
compute	kiszámít	A program ki tudja számítani a végösszeget.
conceal	elrejt	Megpróbálta elrejteni a kárt.
concede	elismer	A miniszter nem volt hajlandó elismerni a vereséget.
conceive	kigondol	Nem tudtak jobb tervet kigondolni.
conception	felfogás	A film megváltoztatta a történelemfelfogásomat.
concession	engedmény	A cég egy engedményt ajánlott fel.
condemn	elítél	A vezetők nyilvánosan elítélik a támadást.
confer	adományoz	A díj presztízst fog adományozni.
confession	vallomás	A vallomása meglepte a bíróságot.
configuration	konfiguráció	A konfiguráció szabályozza a hálózati hozzáférést.
confine	korlátoz	A szabályok a kutyákat erre a területre korlátozzák.
confirmation	visszaigazolás	Megkaptuk a visszaigazolást e-mailben.
confront	szembesül	Úgy döntött, hogy szembesül a problémával.
confrontation	konfrontáció	A konfrontáció erőszak nélkül ért véget.
congratulate	gratulál	Felhívtam a nővéremet, hogy gratuláljak.
congregation	gyülekezet	A gyülekezet együtt énekelt.
congressional	kongresszusi	A kongresszusi meghallgatás órákig tartott.
conquer	meghódít	A csapat reméli, hogy meghódítja a piacot.
conscience	lelkiismeret	A lelkiismerete nem engedte a hazugságot.
consciousness	eszmélet	A baleset hatással volt az eszméletére.
consecutive	egymást követő	Három egymást követő meccset nyert.
consensus	konszenzus	A bizottság gyorsan konszenzusra jutott.
consent	beleegyezés	Írásbeli beleegyezés szükséges.
