simplified	TA	example_TA
哎	கவனத்தை ஈர்க்கும் இடைச்சொல்	ஏய், நீ எப்படி வந்தாய்?
唉	நெடுங்குரல் இடைச்சொல்	ஆஹ், நான் மீண்டும் தாமதமாகிவிட்டேன்.
爱护	அன்புடன் பாதுகாத்தல்	நாம் சுற்றுச்சூழலை அன்புடன் பாதுகாக்க வேண்டும்.
爱惜	மதித்து காக்குதல்	தயவு செய்து உங்கள் நேரத்தை மதித்து காக்குங்கள்.
爱心	கருணை மனம்	அவளுக்கு கருணை மனம் அதிகம்.
安慰	ஆறுதல் கூறுதல்	நண்பன் எனக்கு ஆறுதல் கூறினான்.
安装	நிறுவுதல்	தொழிலாளர் குளிரூட்டியை நிறுவிக் கொண்டிருக்கிறார்.
岸	கரை	படகு மெதுவாக கரையை அணுகுகிறது.
暗	இருள்	அறையில் மிகவும் இருள்.
熬夜	இரவு விழித்திருத்தல்	இரவு விழித்திருப்பது உடலுக்கு நல்லதல்ல.
把握	நிச்சயம்	இந்த வேலையை நன்றாகச் செய்ய முடியும் என்ற நிச்சயம் எனக்கு இல்லை.
摆	ஒழுங்காக வைப்பது	தயவு செய்து நாற்காலிகளை ஒழுங்காக வையுங்கள்.
办理	செயல்முறை செய்து முடித்தல்	நான் வங்கிக்கு சென்று சில வணிகச் செயல்முறைகளை செய்து முடிக்கிறேன்.
傍晚	மாலை நேரம்	மாலை நேரத்தில் நாம் நடைப்பயிற்சிக்கு போவோம்.
包裹	பொதி	எனக்கு ஒரு பொதி கிடைத்தது.
包含	உள்ளடக்குதல்	விலையில் காலை உணவு உள்ளடங்கியுள்ளது.
包括	உள்ளடங்குதல்	கட்டணத்தில் மதிய உணவு உள்ளடங்குகிறது.
薄	மெல்லிய	இந்த புத்தகம் மிகவும் மெல்லியது.
保持	பராமரித்தல்	தயவு செய்து அமைதியை பராமரியுங்கள்.
保存	சேமித்தல்	தயவு செய்து இந்த கோப்பை சேமியுங்கள்.
保留	ஒதுக்கி வைத்தல்	தயவு செய்து எனக்காக ஒரு இருக்கையை ஒதுக்கி வையுங்கள்.
保险	காப்பீடு	நான் பயணக் காப்பீடு வாங்கினேன்.
宝贝	பொக்கிஷம்	இது என் பொக்கிஷம்.
宝贵	மிக மதிப்புமிக்க	நேரம் மிக மதிப்புமிக்கது.
报到	பதிவு செய்ய வருதல்	புதிய மாணவர்கள் இன்று பள்ளிக்கு பதிவு செய்ய வருகின்றனர்.
报道	செய்தியாக அறிவித்தல்	செய்தி இந்த விஷயத்தை அறிவித்தது.
报告	அறிக்கை வழங்குதல்	அவர் அறிக்கை வழங்கிக் கொண்டிருக்கிறார்.
报社	செய்தித்தாள் அலுவலகம்	அவள் செய்தித்தாள் அலுவலகத்தில் வேலை செய்கிறாள்.
抱怨	முறையிடுதல்	வேலை அதிகம் என்று அவர் எப்போதும் முறையிடுகிறார்.
悲观	நம்பிக்கையற்ற	இவ்வளவு நம்பிக்கையற்றவராக இருக்காதே.
背	முதுகு	அவர் கதவுக்கு முதுகை காட்டி அமர்ந்திருக்கிறார்.
背景	பின்னணி	தயவு செய்து உங்கள் பின்னணியைச் சுருக்கமாக அறிமுகப்படுத்துங்கள்.
被子	போர்வை	போர்வை மிகவும் சூடாக உள்ளது.
本科	இளங்கலை	அவர் இளங்கலை மாணவர்.
本领	திறமை	அவர் ஒரு புதிய திறமையை கற்றுக்கொண்டார்.
本质	சாரம்	பிரச்சினையின் சாரம் மிகவும் எளியது.
彼此	ஒருவருக்கொருவர்	நாம் ஒருவருக்கொருவர் மரியாதை செய்ய வேண்டும்.
比例	விகிதம்	ஆண்கள் பெண்கள் விகிதம் கிட்டத்தட்ட சமம்.
必然	தவிர்க்க முடியாமல்	கடின உழைப்பு தவிர்க்க முடியாமல் பலன் தரும்.
必要	தேவை	கவலைப்பட தேவையில்லை.
毕竟	எப்படியாயினும்	எப்படியாயினும் அவர் இன்னும் ஒரு குழந்தைதான்.
避免	தவிர்த்தல்	தயவு செய்து தாமதத்தை தவிர்க்கவும்.
编辑	திருத்துதல்	இந்த கட்டுரையை திருத்துவதற்கு அவர் பொறுப்பு.
鞭炮	பட்டாசு	வசந்தப் பண்டிகையில் சிலர் பட்டாசு வெடிக்கிறார்கள்.
便	உடனே	அவர் உணவு முடித்தவுடன் உடனே வகுப்புக்கு சென்றார்.
辩论	விவாதித்தல்	அவர்கள் இந்த கேள்வியை விவாதித்து வருகின்றனர்.
标点	நிறுத்துக்குறி	தயவு செய்து நிறுத்துக்குறிகளை கவனியுங்கள்.
标志	அடையாளம்	சிவப்பு விளக்கு நிற்க வேண்டிய அடையாளம்.
表达	வெளிப்படுத்துதல்	அவர் தனது கருத்தை வெளிப்படுத்தினார்.
表面	மேற்பரப்பு	மேசையின் மேற்பரப்பு மிகவும் சுத்தமாக உள்ளது.
表明	தெளிவாக காட்டுதல்	முடிவு அவர் சரி என்பதை தெளிவாக காட்டுகிறது.
表情	முகபாவம்	அவளுடைய முகபாவம் மிகவும் தீவிரமாக இருந்தது.
表现	செயல்பாடு	அவர் இன்று மிகவும் நன்றாக செயல்பட்டார்.
冰激凌	ஐஸ்கிரீம்	குழந்தைகள் ஐஸ்கிரீம் சாப்பிட விரும்புகிறார்கள்.
病毒	வைரஸ்	இந்த வகை வைரஸ் மிக வேகமாக பரவுகிறது.
播放	இயக்குதல்	தயவு செய்து இந்த பாடலை இயக்குங்கள்.
玻璃	கண்ணாடி	கண்ணாடிக் கோப்பை உடைந்தது.
博物馆	அருங்காட்சியகம்	நாம் வார இறுதியில் அருங்காட்சியகத்திற்கு போகிறோம்.
脖子	கழுத்து	என் கழுத்து கொஞ்சம் வலிக்கிறது.
不断	தொடர்ந்து	விலைகள் தொடர்ந்து உயர்கின்றன.
不见得	அவசியமில்லை	இது அவசியம் கெட்ட விஷயம் அல்ல.
不耐烦	பொறுமையின்மை	நீண்ட நேரம் காத்திருந்ததால், அவர் கொஞ்சம் பொறுமையிழந்தார்.
不要紧	பரவாயில்லை	பரவாயில்லை, அது பெரிய விஷயம் இல்லை.
补充	சேர்த்துக் கூறுதல்	நான் ஒரு கருத்தை சேர்த்துக் கூற விரும்புகிறேன்.
不安	அமைதியின்மை	இந்த செய்தியை கேட்ட பிறகு அவள் அமைதியிழந்தாள்.
不得了	மிகக் கடுமையான	இந்த விஷயம் உண்மையில் மிகவும் கடுமையானது.
不然	இல்லையெனில்	விரைவாக புறப்படு, இல்லையெனில் தாமதமாகிவிடும்.
不如	விட மேல்	வாகனத்தில் செல்வதை விட நடப்பது மேல்.
不足	போதாமை	இங்குள்ள தண்ணீர் போதவில்லை.
布	துணி	இந்த துணி மிகவும் மென்மையாக உள்ளது.
步骤	படி	தயவு செய்து படிகளின் படி செயல்படுங்கள்.
部门	துறை	நான் விற்பனைத் துறையில் வேலை செய்கிறேன்.
财产	சொத்து	இந்த வீடு அவரது சொத்து.
彩虹	வானவில்	மழைக்குப் பிறகு வானவில் தோன்றியது.
踩	மிதித்தல்	புல்வெளியை மிதிக்காதீர்கள்.
采访	நேர்காணல் செய்தல்	செய்தியாளர் மருத்துவரை நேர்காணல் செய்கிறார்.
采取	ஏற்றுக்கொள்வது	நாம் ஒரு புதிய முறையை ஏற்றுக்கொண்டோம்.
参考	குறிப்பாகப் பார்க்குதல்	தயவு செய்து இந்த புத்தகத்தை குறிப்பாகப் பாருங்கள்.
参与	பங்கேற்பது	அவர் செயல்பாடுகளில் சுறுசுறுப்பாக பங்கேற்கிறார்.
惭愧	வெட்கம்	என் தவறுக்காக எனக்கு வெட்கமாக உள்ளது.
操场	விளையாட்டு மைதானம்	மாணவர்கள் விளையாட்டு மைதானத்தில் ஓடுகிறார்கள்.
