source_headword	TH	example_TH
abandon	ละทิ้ง	พวกเขาละทิ้งแผนเมื่อวาน.
absolute	สมบูรณ์	เราต้องการความซื่อสัตย์สมบูรณ์ที่นี่.
acceptable	ยอมรับได้	คำตอบของเขายอมรับได้.
accompany	ไปกับ	พี่ชายของเธอไปส่งเธอกลับบ้าน.
accurate	แม่นยำ	รายงานนั้นดูแม่นยำ.
accuse	กล่าวหา	พวกเขากล่าวหาเขาว่าโกหก.
acknowledge	ยอมรับ	กรุณายอมรับความผิดพลาด.
acquire	ได้รับ	เธอได้รับทักษะใหม่อย่างรวดเร็ว.
actual	จริง	ต้นทุนจริงต่ำกว่า.
adapt	ปรับตัว	เราปรับตัวกับการเปลี่ยนแปลง.
additional	เพิ่มเติม	ความช่วยเหลือเพิ่มเติมมาถึงวันนี้.
administration	ฝ่ายบริหาร	ฝ่ายบริหารเปลี่ยนนโยบาย.
adopt	นำมาใช้	พวกเขานำวิธีใหม่มาใช้.
advance	ความคืบหน้า	เรามีความคืบหน้าเล็กน้อย.
affair	เรื่องราว	เรื่องราวนั้นทำลายความไว้วางใจของสาธารณะ.
afterwards	หลังจากนั้น	หลังจากนั้นทุกคนรู้สึกสงบ.
agency	หน่วยงาน	หน่วยงานนั้นจ้างนักแปลสามคน.
agenda	วาระ	ความปลอดภัยอยู่ในวาระ.
aggressive	ก้าวร้าว	น้ำเสียงของเขาฟังก้าวร้าว.
aid	ความช่วยเหลือ	ความช่วยเหลือทางการแพทย์มาถึงอย่างรวดเร็ว.
aircraft	อากาศยาน	อากาศยานลงจอดอย่างปลอดภัย.
alter	เปลี่ยนแปลง	อย่าเปลี่ยนแปลงข้อตกลง.
anger	ความโกรธ	ความโกรธของเขาทำให้ทุกคนประหลาดใจ.
angle	มุม	ลองมุมกล้องอีกมุม.
anniversary	วันครบรอบ	วันครบรอบของพวกเขาคือพรุ่งนี้.
annual	ประจำปี	การประชุมประจำปีเริ่มวันจันทร์.
anxious	กังวล	เธอกังวลก่อนผ่าตัด.
apparent	ชัดเจน	ความผิดหวังของเขาชัดเจน.
apparently	ดูเหมือนว่า	ดูเหมือนว่ารถไฟจะมาช้า.
appeal	การอุทธรณ์	การตัดสินนั้นอาจมีการอุทธรณ์.
approach	วิธีการ	วิธีการของเธอแก้ปัญหาได้.
appropriate	เหมาะสม	เลือกคำตอบที่เหมาะสม.
approval	การอนุมัติ	โครงการต้องการการอนุมัติ.
approve	อนุมัติ	คณะกรรมการอนุมัติงบประมาณ.
arise	เกิดขึ้น	ปัญหาอาจเกิดขึ้นภายหลัง.
armed	ติดอาวุธ	ยามติดอาวุธยืนอยู่ข้างนอก.
arms	อาวุธ	พวกเขาวางอาวุธลง.
artificial	เทียม	ดอกไม้ดูเหมือนของเทียม.
artistic	ทางศิลปะ	เธอมีพรสวรรค์ทางศิลปะ.
ashamed	ละอายใจ	เขารู้สึกละอายใจภายหลัง.
aspect	แง่มุม	พิจารณาทุกแง่มุมอย่างรอบคอบ.
assess	ประเมิน	เราต้องประเมินความเสียหาย.
assessment	การประเมิน	การประเมินใช้เวลาสองชั่วโมง.
associate	เชื่อมโยง	ผู้คนเชื่อมโยงควันกับอันตราย.
associated	เกี่ยวข้อง	ความเครียดเกี่ยวข้องกับความเจ็บป่วย.
association	สมาคม	สมาคมสนับสนุนศิลปินหนุ่มสาว.
assume	สมมติ	ฉันสมมติว่าคุณเห็นด้วย.
attempt	ความพยายาม	ความพยายามครั้งแรกของเขาล้มเหลว.
bacteria	แบคทีเรีย	แบคทีเรียแพร่กระจายได้รวดเร็ว.
barrier	อุปสรรค	ภาษาเป็นอุปสรรค.
basically	โดยพื้นฐาน	โดยพื้นฐานเราต้องการเวลาเพิ่ม.
bear (deal with)	ทน	ฉันทนเสียงนี้ไม่ได้.
beg	อ้อนวอน	กรุณาอ้อนวอนขอความช่วยเหลือ.
being	สิ่งมีชีวิต	สิ่งมีชีวิตทุกชนิดต้องการน้ำ.
bent	งอ	แท่งโลหะงอ.
bet	พนัน	ฉันพนันว่าเขารู้.
beyond	เลยไป	หมู่บ้านอยู่เลยแม่น้ำไป.
bitter	ขม	ยามีรสขม.
blame	โทษ	อย่าโทษคนขับ.
blind	ตาบอด	เขาตาบอดตั้งแต่อายุน้อย.
bond	สายสัมพันธ์	ความไว้วางใจสร้างสายสัมพันธ์ที่แข็งแรง.
breast	หน้าอก	เธอรู้สึกเจ็บที่หน้าอก.
brief	สั้น	ตอบให้สั้น.
broad	กว้าง	แม่น้ำที่นี่กว้าง.
broadcast	ออกอากาศ	สุนทรพจน์ถูกออกอากาศสด.
budget	งบประมาณ	งบประมาณตึงมาก.
bullet	กระสุน	กระสุนโดนกำแพง.
bunch	พวง	เธอถือกุญแจหนึ่งพวง.
bush	พุ่มไม้	นกซ่อนอยู่ในพุ่มไม้.
cable	สายเคเบิล	สายเคเบิลเสีย.
calculate	คำนวณ	คำนวณต้นทุนรวม.
cancel	ยกเลิก	พวกเขายกเลิกการประชุม.
cancer	มะเร็ง	การรักษามะเร็งอาจยาก.
capable	มีความสามารถ	เธอมีความสามารถมากกว่านี้.
capacity	ความจุ	ห้องโถงเต็มความจุแล้ว.
capture	จับภาพ	ภาพถ่ายจับบรรยากาศไว้ได้.
cast	นักแสดง	นักแสดงพร้อมแล้ว.
cell	เซลล์	แต่ละเซลล์มีข้อมูล.
chairman	ประธาน	ประธานเปิดการประชุม.
characteristic	ลักษณะ	ความอดทนเป็นลักษณะหลักของเธอ.
chief	หัวหน้า	วิศวกรหัวหน้ามาถึงช้า.
circumstance	สถานการณ์	พิจารณาแต่ละสถานการณ์อย่างรอบคอบ.
cite	อ้างอิง	กรุณาอ้างอิงแหล่งที่มา.
citizen	พลเมือง	พลเมืองทุกคนสามารถลงคะแนนได้.
civil	สงบ	การประท้วงยังสงบ.
classic	คลาสสิก	ภาพยนตร์เรื่องนี้เป็นงานคลาสสิก.
closely	อย่างใกล้ชิด	ดูขั้นตอนอย่างใกล้ชิด.
collapse	พังถล่ม	สะพานเก่าอาจพังถล่ม.
combination	การผสมผสาน	การผสมผสานนั้นใช้ได้ดี.
comfort	การปลอบใจ	คำพูดของเธอให้การปลอบใจ.
command	คำสั่ง	นายทหารให้คำสั่ง.
commission	คณะกรรมาธิการ	คณะกรรมาธิการทบทวนคดี.
commitment	ความมุ่งมั่น	งานนี้ต้องการความมุ่งมั่น.
committee	คณะกรรมการ	คณะกรรมการประชุมทุกสัปดาห์.
commonly	โดยทั่วไป	พืชชนิดนี้ปลูกกันโดยทั่วไป.
complicated	ซับซ้อน	คำแนะนำซับซ้อน.
component	ส่วนประกอบ	ส่วนประกอบหนึ่งเสีย.
concentration	สมาธิ	เสียงรบกวนทำลายสมาธิของฉัน.
concept	แนวคิด	แนวคิดนั้นเรียบง่าย.
concern	ความกังวล	ความปลอดภัยเป็นความกังวลหลักของเรา.
concerned	กังวล	พ่อแม่กังวลอย่างมาก.
conduct	ดำเนินการ	พวกเขาดำเนินการวิจัยในท้องถิ่น.
confidence	ความมั่นใจ	การฝึกฝนสร้างความมั่นใจ.
conflict	ความขัดแย้ง	ความขัดแย้งกินเวลาหลายปี.
confusing	น่าสับสน	แผนที่น่าสับสน.
conscious	มีสติ	เธอยังคงมีสติ.
conservative	อนุรักษนิยม	ความคิดเห็นของเขาเป็นอนุรักษนิยม.
