source_headword	ID	example_ID
toss	melempar	Dia melempar kunci ke atas meja.
total	berjumlah	Perbaikannya berjumlah lebih dari yang diharapkan.
toxic	beracun	Asap beracun itu memaksa semua orang keluar.
trademark	merek dagang	Logo itu menjadi merek dagang perusahaan tersebut.
trail	jalan setapak	Jalan setapak itu mengarah ke dalam hutan.
trailer	cuplikan	Cuplikan itu menunjukkan akhir film tersebut.
transaction	transaksi	Transaksi tersebut muncul di mutasi bank saya.
transcript	transkrip	Mahasiswa itu meminta transkrip resmi.
transformation	transformasi	Kota itu melihat transformasi besar.
transit	transit	Paket tersebut rusak selama transit.
transmission	transmisi	Transmisi datanya aman.
transparency	transparansi	Laporan tersebut menuntut transparansi yang lebih besar.
transparent	transparan	Prosesnya harus transparan bagi semua orang.
trauma	trauma	Kecelakaan itu meninggalkan trauma yang mendalam.
treaty	perjanjian	Negara-negara tersebut menandatangani perjanjian damai.
tremendous	luar biasa	Tim membuat kemajuan yang luar biasa.
tribal	suku	Museum itu memamerkan seni suku.
tribunal	pengadilan	Pengadilan mendengarkan bukti sepanjang minggu.
tribute	penghormatan	Konser tersebut adalah penghormatan untuknya.
trio	trio	Trio itu tampil di festival.
triumph	kemenangan	Kemenangan itu adalah pencapaian pribadi.
trophy	piala	Kapten mengangkat piala itu dengan bangga.
troubled	bermasalah	Perusahaan yang bermasalah itu membutuhkan kepemimpinan baru.
trustee	wali amanat	Wali amanat mengelola dana beasiswa tersebut.
tuition	uang kuliah	Uang kuliahnya naik tahun ini.
turnout	jumlah peserta	Jumlah pemilih yang datang lebih tinggi dari yang diharapkan.
turnover	pergantian	Pergantian staf turun setelah perubahan tersebut.
twist	memutar	Dia memutar tutupnya hingga terbuka.
undergraduate	mahasiswa sarjana	Mahasiswa sarjana itu bergabung dengan proyek penelitian.
underlying	yang mendasari	Laporan itu menjelaskan penyebab yang mendasarinya.
undermine	merusak	Skandal itu merusak kepercayaan publik.
undoubtedly	tidak diragukan lagi	Dia tidak diragukan lagi adalah kandidat terbaik.
unify	menyatukan	Rencana tersebut bertujuan untuk menyatukan tim.
unprecedented	belum pernah terjadi sebelumnya	Badai itu menyebabkan kerusakan yang belum pernah terjadi sebelumnya.
unveil	mengungkap	Perusahaan akan mengungkap desainnya besok.
upcoming	mendatang	Pemilihan mendatang menarik perhatian publik.
upgrade	meningkatkan	Kami meningkatkan perangkat lunak tadi malam.
uphold	menegakkan	Kami menegakkan keputusan awal.
