source_headword	ML	example_ML
absorb	ആഗിരണം ചെയ്യുക	ടവൽ വേഗത്തിൽ വെള്ളം ആഗിരണം ചെയ്യുന്നു.
abstract	അമൂർത്തമായ	പ്രഭാഷണത്തിൽ അമൂർത്തമായ ആശയങ്ങൾ ചർച്ച ചെയ്തു.
accent	ഉച്ചാരണം	അവളുടെ ഉച്ചാരണം മനസ്സിലാക്കാൻ എളുപ്പമാണ്.
accidentally	അബദ്ധത്തിൽ	ഞാൻ അബദ്ധത്തിൽ ഫയൽ മായ്ച്ചു.
accommodate	ഉൾക്കൊള്ളുക	ഹോട്ടലിന് വലിയ കുടുംബങ്ങൾക്ക് താമസമൊരുക്കാൻ കഴിയും.
accomplish	പൂർത്തിയാക്കുക	അവൾ ജൂണിന് മുമ്പ് തന്റെ ലക്ഷ്യം നേടി.
accountant	അക്കൗണ്ടന്റ്	അക്കൗണ്ടൻ്റ് ഇൻവോയ്സ് പരിശോധിച്ചു.
accuracy	കൃത്യത	ഈ പരീക്ഷ വായനയുടെ കൃത്യത അളക്കുന്നു.
accurately	കൃത്യമായി	മാപ്പ് വഴി കൃത്യമായി കാണിക്കുന്നു.
acid	ആസിഡ്	ആസിഡ് ലോഹ പ്രതലത്തിന് കേടുവരുത്തി.
activate	സജീവമാക്കുക	അലാറം സജീവമാക്കാൻ ബട്ടൺ അമർത്തുക.
addiction	ആസക്തി	അവൻ്റെ ആസക്തി അവൻ്റെ ജോലിയെ ബാധിച്ചു.
additionally	കൂടാതെ	കൂടാതെ, നമുക്ക് കൂടുതൽ കസേരകൾ ആവശ്യമാണ്.
adequate	പര്യാപ്തമായ	മുറിയിൽ മതിയായ വെളിച്ചമുണ്ട്.
adequately	പര്യാപ്തമായി	റിപ്പോർട്ട് പ്രശ്നം വേണ്ടത്ര വിശദീകരിച്ചു.
adjust	ക്രമീകരിക്കുക	വാഹനമോടിക്കുന്നതിന് മുമ്പ് സീറ്റ് ക്രമീകരിക്കുക.
affordable	താങ്ങാനാവുന്ന	ഈ അപ്പാർട്ട്മെൻ്റ് വിദ്യാർത്ഥികൾക്ക് താങ്ങാനാവുന്നതാണ്.
