source_headword	MS	example_MS
ability	kebolehan; kemampuan	Kebolehannya berenang jelas.
able	boleh; mampu	Dia boleh datang hari ini.
abroad	luar negara	Dia mahu belajar di luar negara.
accept	menerima; terima	Sila terima hadiah kecil ini.
accident	kemalangan	Kemalangan itu berlaku dekat sekolah.
according to	menurut; berdasarkan	Menurut laporan itu, hujan akan datang.
achieve	mencapai; berjaya mencapai	Anda boleh mencapai matlamat anda.
act	berlakon; bertindak	Dia boleh berlakon dalam drama.
active	aktif; cergas	Dia aktif setiap hari.
actually	sebenarnya	Sebenarnya, saya perlukan lebih masa.
advantage	kelebihan; manfaat	Rancangan ini ada kelebihan.
adventure	pengembaraan	Perjalanan mereka satu pengembaraan.
advertise	mengiklankan; mengumumkan	Mereka mengiklankan kerja baharu itu.
advertisement	iklan	Saya melihat satu iklan.
advertising	pengiklanan	Pengiklanan membantu menjual makanan.
affect	menjejaskan; mempengaruhi	Tidur boleh mempengaruhi kesihatan anda.
against	menentang; bersandar pada	Jangan bersandar pada dinding.
ah	ah; oh	Oh, sekarang saya faham.
airline	syarikat penerbangan	Syarikat penerbangan itu sangat sibuk.
alive	hidup; masih hidup	Ikan kecil itu masih hidup.
all right	baik; okey	Semuanya okey sekarang.
allow	membenarkan; mengizinkan	Mereka membenarkan anjing di sini.
almost	hampir	Kami hampir bersedia.
alone	seorang diri; sendirian	Dia tinggal seorang diri.
along	sepanjang; menyusuri	Berjalanlah menyusuri jalan ini.
already	sudah	Saya sudah tahu jawapannya.
alternative	pilihan lain; alternatif	Kereta api ini pilihan lain.
although	walaupun	Walaupun sudah lewat, kami boleh tinggal.
among	antara; dalam kalangan	Dia berdiri antara pokok-pokok.
amount	jumlah; amaun	Jumlah itu terlalu kecil.
ancient	kuno; purba	Tembok kuno ini terkenal.
ankle	buku lali	Buku lali saya sakit hari ini.
anybody	sesiapa; siapa-siapa	Ada sesiapa boleh menjawab ini?
any more	lagi; lebih lagi	Saya tidak perlukan lagi.
anyway	bagaimanapun; apa pun	Bagaimanapun, kita boleh mula sekarang.
anywhere	di mana-mana; mana-mana	Duduklah di mana-mana yang anda suka.
app	aplikasi; app	Aplikasi ini berguna.
appear	muncul; kelihatan	Namanya akan muncul di sini.
appearance	penampilan; rupa	Penampilannya berbeza.
apply	memohon; menggunakan	Mohon kerja itu hari ini.
architect	arkitek	Arkitek itu ada rancangan.
architecture	seni bina	Saya suka seni bina moden.
argue	berhujah; bertengkar	Jangan bertengkar dengan adik perempuan anda.
argument	hujah; pertengkaran	Pertengkaran itu singkat.
army	tentera	Tentera itu besar.
arrange	mengatur; menyusun	Sila atur mesyuarat itu.
arrangement	susunan; aturan	Aturan itu berfungsi dengan baik.
asleep	tidur; sedang tidur	Bayi itu sedang tidur.
assistant	pembantu	Pembantu itu menolong saya.
athlete	atlet	Atlet itu berlari laju.
