source_headword	IT	example_IT
toss	lanciare	Ha lanciato le chiavi sul tavolo.
total	ammontare a	Le riparazioni ammontano a più del previsto.
toxic	tossico	Il fumo tossico ha costretto tutti a uscire.
trademark	il marchio registrato	Il logo è diventato il marchio registrato dell'azienda.
trail	il sentiero	Il sentiero conduceva attraverso la foresta.
trailer	il trailer	Il trailer ha mostrato il finale del film.
transaction	la transazione	La transazione è apparsa sull'estratto conto bancario.
transcript	il certificato di studio	Lo studente ha richiesto un certificato di studio ufficiale.
transformation	la trasformazione	La città ha subito una grande trasformazione.
transit	il transito	Il pacco è stato danneggiato durante il transito.
transmission	la trasmissione	La trasmissione dei dati era sicura.
transparency	la trasparenza	Il rapporto richiedeva una maggiore trasparenza.
transparent	trasparente	Il processo dovrebbe essere trasparente per tutti.
trauma	il trauma	L'incidente ha lasciato un trauma profondo.
treaty	il trattato	I paesi hanno firmato un trattato di pace.
tremendous	enorme	La squadra ha fatto enormi progressi.
tribal	tribale	Il museo ha esposto arte tribale.
tribunal	il tribunale	Il tribunale ha ascoltato le prove per tutta la settimana.
tribute	il tributo	Il concerto era un tributo a lei.
trio	il trio	Il trio si è esibito al festival.
triumph	il trionfo	La vittoria è stata un trionfo personale.
trophy	il trofeo	Il capitano ha sollevato il trofeo con orgoglio.
troubled	in difficoltà	L'azienda in difficoltà aveva bisogno di una nuova leadership.
trustee	l'amministratore fiduciario	L'amministratore fiduciario gestisce il fondo per le borse di studio.
tuition	le tasse scolastiche	Le sue tasse scolastiche sono aumentate quest'anno.
turnout	l'affluenza	L'affluenza alle urne è stata più alta del previsto.
turnover	il turnover	Il turnover del personale è diminuito dopo i cambiamenti.
twist	svitare	Ha girato il coperchio per aprirlo.
undergraduate	lo studente universitario	Lo studente universitario si è unito a un progetto di ricerca.
underlying	sottostante	Il rapporto ha spiegato le cause di fondo.
undermine	minare	Lo scandalo ha minato la fiducia del pubblico.
undoubtedly	indubbiamente	Lei è indubbiamente la migliore candidata.
unify	unificare	Il piano mira a unificare le squadre.
unprecedented	senza precedenti	La tempesta ha causato danni senza precedenti.
unveil	svelare	L'azienda svelerà il design domani.
upcoming	imminente	Le imminenti elezioni hanno attirato l'attenzione del pubblico.
upgrade	aggiornare	Abbiamo aggiornato il software ieri sera.
uphold	sostenere	Confermiamo la decisione originale.
utility	le utenze	L'appartamento include tutte le spese per le utenze.
utilize	utilizzare	La squadra ha utilizzato i dati disponibili.
utterly	completamente	La spiegazione era completamente confusa.
vacuum	il vuoto	Il vuoto di leadership ha creato tensione.
vague	vago	La sua risposta è stata vaga e debole.
validity	la validità	Lo studio ha messo in dubbio la validità del test.
vanish	svanire	Il file è scomparso dalla cartella.
variable	la variabile	Il prezzo è una variabile importante.
varied	vario	Il corso offre compiti vari.
vein	la vena	L'infermiera ha trovato rapidamente una vena.
venture	l'impresa	La nuova impresa ha attratto gli investitori.
verbal	verbale	Hanno raggiunto un accordo verbale.
verdict	il verdetto	La giuria ha emesso il suo verdetto.
verify	verificare	Si prega di verificare il proprio indirizzo email.
verse	il verso	Ha citato un verso della poesia.
versus	contro	Il dibattito era privacy contro sicurezza.
vessel	la nave	La nave trasportava grano attraverso il mare.
veteran	il veterano	Il veterano ha formato il nuovo personale.
viable	fattibile	La proposta è finanziariamente sostenibile.
vibrant	vivace	La città ha una vivace scena artistica.
vice	il vizio	L'avidità era il suo vizio più grande.
vicious	brutale	L'attacco brutale ha scioccato la città.
villager	l'abitante del villaggio	Un paesano ci ha guidato fino al fiume.
violate	violare	L'azienda potrebbe violare le regole di sicurezza.
violation	la violazione	L'ispettore ha segnalato una grave violazione.
virtue	la virtù	La pazienza è una virtù importante.
vocal	esplicito	È stata esplicita riguardo alla decisione.
vow	giurare	Ha giurato di finire il lavoro.
vulnerability	la vulnerabilità	L'audit ha rivelato una vulnerabilità di sicurezza.
vulnerable	vulnerabile	I bambini sono vulnerabili durante il caldo estremo.
ward	il reparto	Il paziente è stato spostato in un altro reparto.
warehouse	il magazzino	Il magazzino conserva pezzi di ricambio.
warfare	la guerra	La guerra moderna si basa sulla tecnologia.
warrant	il mandato	La polizia ha mostrato un mandato di perquisizione.
warrior	il guerriero	Il guerriero ha protetto il villaggio.
weaken	indebolire	L'infortunio ha indebolito la sua presa.
weave	intrecciare	Ha imparato a intrecciare cesti.
weed	l'erbaccia	Un'erbaccia è cresciuta tra le pietre.
well	il pozzo	Il pozzo del villaggio si è prosciugato.
well-being	il benessere	Il sonno è vitale per il benessere.
whatsoever	affatto	Non ha mostrato alcun interesse in assoluto.
whereby	per cui	La legge ha creato un sistema per cui le famiglie potevano fare appello.
whilst	mentre	Lei lavorava mentre lui si riposava.
whip	sferzare	Il vento può sferzare le bandiere.
wholly	completamente	La decisione era completamente inaspettata.
widen	allargare	La città intende allargare la strada.
widow	la vedova	La vedova vive vicino alla scuola.
width	la larghezza	Misura la larghezza della porta.
willingness	la disponibilità	La sua disponibilità ad aiutare ha impressionato tutti.
wipe	pulire	Pulisci lo schermo con un panno.
wit	l'arguzia	La sua arguzia ha reso il discorso vivace.
withdrawal	il ritiro	Il ritiro dei finanziamenti ha ritardato il progetto.
workout	l'allenamento	L'allenamento è durato quaranta minuti.
worship	il culto	Le persone si sono radunate per il culto all'alba.
worthwhile	che vale la pena	Il viaggio è valso la pena.
worthy	degno	L'ente di beneficenza è degno di supporto.
yell	urlare	Non urlare contro il personale.
yield	il rendimento	Il rendimento della fattoria è migliorato in questa stagione.
youngster	il giovanotto	Il giovane ha fatto molte domande.
