source_headword	NE	example_NE
prey	शिकार	उल्लुहरूले राती शिकार गर्छन्।
privatization	निजीकरण	निजीकरणले रेल प्रणाली परिवर्तन गर्‍यो।
privilege	विशेषाधिकार	शिक्षा विशेषाधिकार हुनु हुँदैन।
probe	अनुसन्धान	अनुसन्धानले गम्भीर त्रुटिहरू प्रकट गर्‍यो।
problematic	समस्याग्रस्त	सम्झौता समस्याग्रस्त नै छ।
proceedings	कारबाही	अदालती कारबाही सोमबार सुरु भयो।
proceeds	आम्दानी	आम्दानीले स्थानीय विद्यालयहरूलाई सहयोग गर्नेछ।
processing	प्रशोधन	तस्बिर प्रशोधन गर्न समय लाग्छ।
processor	प्रोसेसर	परीक्षणको क्रममा प्रोसेसर असफल भयो।
proclaim	घोषणा गर्नु	नेताहरूले धेरै चाँडै विजयको घोषणा गर्छन्।
productive	फलदायी	बैठक फलदायी भयो।
productivity	उत्पादकत्व	तालिमपछि उत्पादकत्व सुधारियो।
profitable	लाभदायक	पसल यस वर्ष लाभदायक भयो।
profound	गहिरो	भाषणले गहिरो प्रभाव पार्यो।
projection	प्रक्षेपण	प्रक्षेपणले स्थिर वृद्धि देखाउँछ।
prominent	प्रमुख	उनी एक प्रमुख वैज्ञानिक बनिन्।
pronounced	स्पष्ट	उसको उच्चारण थप स्पष्ट भयो।
propaganda	प्रचार	अभियानले अनलाइन प्रचार प्रयोग गर्‍यो।
proposition	प्रस्ताव	यो प्रस्ताव जोखिमपूर्ण प्रस्ताव हो।
prosecute	मुद्दा चलाउनु	अधिकारीहरूले गम्भीर धोखाधडीका मुद्दाहरू चलाउँछन्।
prosecution	अभियोजन पक्ष	अभियोजन पक्षले नयाँ प्रमाण पेश गर्‍यो।
prosecutor	अभियोजक	अभियोजकले साक्षीलाई प्रश्न गरे।
prospective	सम्भावित	सम्भावित विद्यार्थीहरूले क्याम्पसको भ्रमण गरे।
prosperity	समृद्धि	व्यापारले यस क्षेत्रमा समृद्धि ल्यायो।
protective	सुरक्षात्मक	उनले सुरक्षात्मक पञ्जा लगाइन्।
protocol	प्रोटोकल	प्रोटोकललाई लिखित स्वीकृति चाहिन्छ।
province	प्रदेश	प्रदेशले यातायातमा लगानी गर्‍यो।
provincial	प्रान्तीय	प्रान्तीय अधिकारीहरूले योजना घोषणा गरे।
provision	प्रावधान	सम्झौतामा सुरक्षा प्रावधान समावेश छ।
provoke	उक्साउनु	भाषणले कडा प्रतिक्रियाहरू उक्साउन सक्छ।
psychiatric	मनोचिकित्सा	अस्पतालले मनोचिकित्सा एकाइ खोल्यो।
pulse	नाडी	नर्सले उसको नाडी जाँच गरिन्।
pump	पम्प	पम्पले पानी माथि तान्छ।
punch	मुक्का	उसले रिसमा मुक्का हान्यो।
query	प्रश्न	आफ्नो प्रश्न समर्थन टोलीलाई पठाउनुहोस्।
quest	खोज	उनीहरूको न्यायको खोज जारी रह्यो।
quota	कोटा	टोलीले आफ्नो बिक्री कोटा पूरा गर्‍यो।
radar	राडार	आँधी राडारमा देखा पर्यो।
radical	आमूल	समूहले आमूल सुधार प्रस्ताव गर्‍यो।
rage	रिस	उसको रिस चाँडै हरायो।
raid	छापा	प्रहरीले बिहानै छापा मार्यो।
rally	र्याली	समर्थकहरू सहरमा र्यालीमा सामेल भए।
ranking	र्याङ्किङ	विश्वविद्यालयले आफ्नो र्याङ्किङ सुधार गर्‍यो।
rape	बलात्कार	बलात्कारका मुद्दाहरूमा सावधानीपूर्वक अनुसन्धान आवश्यक छ।
ratio	अनुपात	कक्षामा शिक्षक अनुपात कम छ।
rational	तर्कसंगत	उनको निर्णय तर्कसंगत थियो।
ray	किरण	घामको किरण भित्र पस्यो।
readily	सजिलै	उसले सजिलै प्रस्ताव स्वीकार गर्‍यो।
realization	अनुभूति	अनुभूतिले उनको योजनाहरू परिवर्तन गर्‍यो।
realm	दायरा	यो प्रश्न अर्को दायराको हो।
rear	पछाडि	आज पछाडिको ढोका प्रयोग गर्नुहोस्।
reasoning	तर्क	उसको तर्क स्पष्ट थियो।
reassure	आश्वस्त पार्नु	डाक्टरले उनलाई आश्वस्त पार्ने प्रयास गरे।
rebel	विद्रोही	विद्रोही नेता पक्राउ पर्नबाट उम्के।
rebellion	विद्रोह	वार्तापछि विद्रोह समाप्त भयो।
recipient	प्राप्तकर्ता	प्राप्तकर्ताले फारममा हस्ताक्षर गरे।
reconstruction	पुनर्निर्माण	बाढीपछि पुनर्निर्माण सुरु भयो।
recount1	सुनाउनु	उनले घटनाहरू स्पष्ट रूपमा सुनाउन सक्छिन्।
referendum	जनमत संग्रह	जनमत संग्रहले देशलाई विभाजित गर्‍यो।
reflection	चिन्तन	निबन्धलाई गहिरो चिन्तन आवश्यक थियो।
reform	सुधार	सुधारले सार्वजनिक सेवाहरूमा सुधार गर्‍यो।
refuge	शरण	परिवारले विदेशमा शरण खोजे।
refusal	अस्वीकार	उनको अस्वीकारले समितिलाई छक्क पार्यो।
regain	पुन: प्राप्त गर्नु	उसले विश्वास पुन: प्राप्त गर्न कडा परिश्रम गर्‍यो।
regardless	वास्ता नगरी	उनीहरूले आलोचनाको वास्ता नगरी जारी राखे।
regime	शासन	शासनले वाक स्वतन्त्रतालाई प्रतिबन्धित गर्‍यो।
regulator	नियामक	नियामकले कम्पनीलाई जरिवाना गर्‍यो।
regulatory	नियामक	नियामक स्वीकृति लिन महिनौं लाग्यो।
