source_headword	ET	example_ET
stranger	võõras	Võõras küsis teed.
strength	tugevus	Tema jõud aitas meeskonda.
string	nöör	Seo karp nööriga kinni.
strongly	tugevalt	Olen sellele ideele kindlalt vastu.
studio	stuudio	Kunstnik töötab väikeses stuudios.
stuff	asjad	Pane oma asjad riiulile.
substance	aine	Politsei leidis kummalise aine.
successfully	edukalt	Nad lõpetasid projekti edukalt.
sudden	äkiline	Äkiline müra äratas meid.
suffer	kannatama	Paljud taimed kannatavad kuiva ilmaga.
suitable	sobiv	See jope sobib kooli.
summarize	kokku võtma	Kas saad artikli kokku võtta?
summary	kokkuvõte	Kirjuta täna õhtul lühike kokkuvõte.
supply	varu	Linn vajab puhta vee varu.
supporter	toetaja	Iga toetaja hõiskas valjult.
surely	kindlasti	Kindlasti suudame selle lahendada.
surface	pind	Pind tundus külm ja sile.
survive	ellu jääma	Need loomad jäävad külmadel talvedel ellu.
switch	lülitama	Lülita köögituli välja.
symptom	sümptom	Köha võib olla sümptom.
tail	saba	Koeral on pikk saba.
talent	anne	Tal on muusika peale annet.
talented	andekas	Ta on andekas noor näitleja.
tape	teip	Kasuta karbi sulgemiseks teipi.
tax	maks	Kõik peavad seda maksu maksma.
technical	tehniline	Meil oli tehniline probleem.
technique	tehnika	See tehnika säästab aega.
tend	kippuma	Lapsed kipuvad kiiresti õppima.
tent	telk	Me magasime väikeses telgis.
theirs	nende oma	Sinised jalgrattad on nende omad.
theme	teema	Peol oli rannateema.
theory	teooria	Tema teooria selgitab probleemi.
therefore	seetõttu	Sadas, seetõttu jäime sisse.
though	kuigi	Kuigi ta oli väsinud, jätkas ta töötamist.
throat	kurk	Mul kurk valutab täna hommikul.
throughout	läbi	Inimesed tantsisid kogu õhtu.
tight	kitsas	Need kingad tunduvad liiga kitsad.
till	kuni	Oota siin, kuni ma tagasi tulen.
tin	purk	Ava oapurk.
tiny	tilluke	Läheduses maandus tilluke lind.
toe	varvas	Ma tegin eile oma varbale haiget.
tongue	keel	Ta kõrvetas teega oma keelt.
total	kogu	Kogumaksumus oli madal.
totally	täielikult	Ma mõistan sinu muret täielikult.
trade	kaubandus	Rahvusvaheline kaubandus loob töökohti.
translate	tõlkima	Palun tõlgi see lause.
translation	tõlge	Tõlge kõlab loomulikult.
treat	kohtlema	Kohtle kõiki austusega.
treatment	ravi	Patsient vajab täna ravi.
trend	trend	See trend kasvab kogu maailmas.
trick	trikk	See kaarditrikk üllatas mind.
truth	tõde	Palun räägi tõtt.
tube	tuub	Pigista tuubi õrnalt.
typically	tavaliselt	Õpilased saabuvad tavaliselt enne üheksat.
tyre	rehv	Auto vajab uut rehvi.
ugly	inetu	See seinavärv näeb inetu välja.
unable	võimetu	Ta ei suutnud vastata.
uncomfortable	ebamugav	See tool on ebamugav.
underwear	aluspesu	Paki reisiks puhas aluspesu.
unemployed	töötu	Ta oli kaks kuud töötu.
unemployment	tööpuudus	Tööpuudus tõusis talvel.
unfair	ebaõiglane	Otsus tundus ebaõiglane.
union	ametiühing	Ametiühing nõudis ohutumat tööd.
unless	kui just ei	Ära lahku, kui ma just ei helista.
unlike	erinevalt	Erinevalt Tomist armastab Ana talve.
unlikely	ebatõenäoline	Lumi on sel nädalal ebatõenäoline.
unnecessary	mittevajalik	Lisakotid pole vajalikud.
unpleasant	ebameeldiv	Toas oli ebameeldiv lõhn.
update	uuendama	Ma pean oma telefoni uuendama.
upon	peal	Elas kord kuningas.
upset	ärritunud	Ta oli pärast kõnet ärritunud.
used1	kasutatud	Seda ruumi kasutatakse koosolekuteks.
used2	harjunud	Olen varajaste hommikutega harjunud.
valuable	väärtuslik	See käekell on väärtuslik.
value	väärtus	Maja kaotas eelmisel aastal väärtust.
various	mitmesugused	Proovisime mitmesuguseid kohalikke toite.
version	versioon	See versioon töötab paremini.
victim	ohver	Ohver helistas politseisse.
viewer	vaataja	Üks vaataja esitas küsimuse.
violent	vägivaldne	Film oli liiga vägivaldne.
volunteer	vabatahtlik	Ma olen raamatukogus vabatahtlik.
vote	hääletama	Pea meeles homme hääletada.
warn	hoiatama	Ma püüdsin teda hoiatada.
warning	hoiatus	Hoiatus ilmus ekraanile.
waste	raiskama	Ära raiska puhast vett.
weapon	relv	Nuga muutus relvaks.
weigh	kaaluma	Kaalu jahu hoolikalt.
western	lääne	Nad vaatasid vesternit.
whatever	mis iganes	Vali, mis iganes sulle meeldib.
whenever	millal iganes	Helista, millal iganes vajad abi.
whether	kas	Ma ei tea, kas ta nõustub.
wing	tiib	Lind vigastas ühte tiiba.
within	jooksul	Palun vasta kahe päeva jooksul.
wonder	imestama	Huvitav, mis juhtus.
wool	vill	See mantel on tehtud villast.
worldwide	ülemaailmselt	Laul sai ülemaailmselt populaarseks.
worth	väärt	Seda raamatut on väärt lugeda.
written	kirjalik	Palun saada kirjalikud juhised.
yard	hoov	Lapsed mängisid hoovis.
youth	noored	Noorteklubid toetavad kohalikke teismelisi.
