source_headword	JA	example_JA
ability	能力;才能	彼女の泳ぐ能力は明らかです。
able	できる;能力がある	彼は今日来られます。
abroad	海外で;海外へ	彼女は海外で勉強したいです。
accept	受け入れる	この小さな贈り物を受け入れてください。
accident	事故	事故は学校の近くで起きました。
according to	によると;に従って	報告によると雨が来ます。
achieve	達成する	目標を達成できます。
act	行動する;演じる;行為	彼は劇で演じられます。
active	活発な;活動的な	彼女は毎日活動的です。
actually	実は;実際に	実はもっと時間が必要です。
advantage	利点;有利な点	この計画には利点があります。
adventure	冒険	その旅行は冒険でした。
advertise	宣伝する;広告を出す	彼らは新しい仕事を宣伝します。
advertisement	広告	広告を見ました。
advertising	広告;広告業	広告は食べ物を売る助けになります。
affect	影響する	睡眠は健康に影響します。
against	反対して;寄りかかって	壁に寄りかからないでください。
ah	ああ;あっ	ああ、今分かりました。
airline	航空会社	その航空会社はとても忙しいです。
alive	生きている	小さな魚は生きています。
all right	大丈夫;よい	今は全部大丈夫です。
allow	許す;認める	ここでは犬が許されています。
almost	ほとんど;もう少しで	私たちはほとんど準備できました。
alone	一人で;単独で	彼女は一人で住んでいます。
along	沿って	この道に沿って歩いてください。
already	すでに;もう	私はもう答えを知っています。
alternative	代わりの選択;代替案	この電車は代替案です。
although	けれども;にもかかわらず	遅いけれども残れます。
among	の中に;の間に	彼は木々の中に立っていました。
amount	量;金額	量が少なすぎます。
ancient	古代の;古い	この古い壁は有名です。
ankle	足首	今日は足首が痛いです。
anybody	誰か;誰でも	誰か答えられますか。
any more	これ以上;もう	もう何も要りません。
anyway	とにかく;いずれにしても	とにかく始められます。
anywhere	どこでも;どこか	どこかに座ってください。
app	アプリ	このアプリは役に立ちます。
appear	現れる;表示される	彼女の名前がここに表示されます。
appearance	外見;見た目	彼の見た目は違います。
apply	申し込む;適用する	今日その仕事に申し込んでください。
architect	建築家	建築家には計画があります。
architecture	建築;建築学	私は現代建築が好きです。
argue	言い争う;議論する	妹とけんかしないでください。
argument	口論;議論;論点	その口論は短かったです。
army	軍隊	その軍隊は大きいです。
arrange	手配する;整える	会議を手配してください。
arrangement	取り決め;配置	この取り決めはうまくいきます。
asleep	眠っている	赤ちゃんは眠っています。
assistant	助手;アシスタント	助手が私を助けました。
athlete	選手;アスリート	その選手は速く走ります。
attack	攻撃する;攻撃	犬が攻撃するかもしれません。
attend	出席する;参加する	今日は授業に出席します。
attention	注意;注意力	注意してください。
attractive	魅力的な	その庭は魅力的です。
audience	観客;聴衆	観客は静かでした。
author	作者;著者	作者はこの本を書きました。
available	利用できる;手に入る	食べ物は今利用できます。
average	平均の;平均	平均の結果は良かったです。
avoid	避ける	交通量の多い道を避けてください。
award	賞;授与する	彼女は賞を受けました。
awful	ひどい;恐ろしい	天気はひどかったです。
background	背景	写真には暗い背景があります。
badly	悪く;ひどく	彼は今日下手にプレーしました。
bar	バー;カウンター	ホテルのバーで会いました。
baseball	野球	野球はここで人気です。
based	基づいた	映画は本に基づいています。
basketball	バスケットボール	放課後にバスケットボールをします。
bean	豆	この豆は緑色です。
bear (animal)	熊	熊は森に住んでいます。
beat	打つ;負かす	私たちのチームは彼らを負かせます。
beef	牛肉	夕食に牛肉を食べました。
behave	振る舞う	授業ではよく振る舞ってください。
behaviour	行動;振る舞い	彼の振る舞いは丁寧でした。
belong	属する;所有物である	この靴は私のものです。
belt	ベルト	彼のベルトは黒いです。
benefit	利益;利点	運動には本当の利点があります。
billion	十億	十億はとても大きな数です。
bin	ごみ箱	紙をごみ箱に入れてください。
biology	生物学	生物学は私の一番得意な科目です。
birth	誕生;出生	彼女の誕生は五月でした。
biscuit	ビスケット;クッキー	彼女はビスケットを食べます。
bit	少し;小片	もう少し時間が必要です。
blank	空白;空の	空白に名前を書いてください。
blood	血;血液	血は赤いです。
blow	吹く	風が強く吹くことがあります。
board	板;黒板	これを黒板に書いてください。
boil	沸かす;沸騰する	まず水を沸かしてください。
bone	骨	犬には骨があります。
borrow	借りる	あなたのペンを借りてもいいですか。
boss	上司;ボス	私の上司は親切です。
bottom	底;下部	下に署名してください。
bowl	ボウル;鉢	ボウルはいっぱいです。
brain	脳	脳には休みが必要です。
