simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
爱情	szerelem; romantikus szerelem	Ez egy megható szerelmi történet.	o iubire; o dragoste romantică	Aceasta este o poveste de dragoste emoționantă.	любов; романтична любов	Това е трогателна любовна история.	ljubav; romantična ljubav	Ovo je dirljiva ljubavna priča.
安排	terv; elrendezés	Milyen terveid vannak erre a hétvégére?	un plan; o organizare	Ce planuri ai pentru acest weekend?	план; организация	Какви планове имаш за този уикенд?	plan; dogovor	Kakve planove imaš za ovaj vikend?
安全	biztonság; biztonságos	Kérem, vigyázzon a biztonságra.	siguranță; sigur	Vă rog, aveți grijă.	безопасност; безопасен	Моля, внимавайте.	sigurnost; siguran	Molim vas, budite oprezni.
按时	időben	Időben befejeztem a feladatot.	la timp	Am terminat sarcina la timp.	навреме	Завърших задачата навреме.	na vrijeme	Završio sam zadatak na vrijeme.
按照	szerint; alapján	Ez a terv nagyon jó, kövesd csak.	conform; potrivit	Planul acesta este foarte bun, urmează-l.	според; съгласно	Този план е много добър, следвай го.	prema; u skladu s	Ovaj je plan jako dobar, samo ga slijedi.
百分之	százalék	A feladat nyolcvan százaléka elkészült.	la sută; procent	Optzeci la sută din sarcină este terminată.	процент	Осемдесет процента от задачата са завършени.	postotak; posto	Osamdeset posto zadatka je dovršeno.
棒	nagyszerű; remek	Nagyszerűen írod a karaktereket!	excelent; grozav	Scrisul tău este grozav!	страхотен; отличен	Пишеш йероглифите страхотно!	odličan; sjajan	Tvoji su znakovi sjajno napisani!
包子	töltött gőzgombóc	Ennek az étteremnek a baozi gombócai nagyon finomak.	un baozi; o chiflă chinezească umplută	Chiflele baozi de la acest restaurant au un gust foarte bun.	баодзъ; пълнена парна питка	Баодзъ в този ресторант са много вкусни.	baozi; punjeno pecivo na pari	Baozi u ovom restoranu imaju jako dobar okus.
保护	megvédeni; védelem	Az embereknek védeniük kell a környezetet.	a proteja; protecție	Oamenii ar trebui să protejeze mediul.	защитавам; защита	Хората трябва да защитават околната среда.	štititi; zaštita	Ljudi bi trebali štititi okoliš.
保证	garantálni; megígérni	Megígérem, ezentúl nem fogok késni.	a garanta; a promite	Promit că nu voi mai întârzia.	гарантирам; обещавам	Обещавам, че повече няма да закъснявам.	jamčiti; obećati	Obećavam da više neću kasniti.
