source_headword	HR	example_HR
abolish	ukinuti	Zakon će ukinuti staru naknadu.
abortion	pobačaj	Pobačaj ostaje osjetljivo medicinsko pitanje.
absence	odsutnost	Njezina odsutnost odgodila je konačnu odluku.
absent	odsutan	Dva člana bila su odsutna s nastave.
absurd	apsurdan	Tvrdnja je svima zvučala apsurdno.
abundance	obilje	Dolina ima obilje vode.
abuse	zlostavljanje	Izvješće je opisalo zlostavljanje na radnom mjestu.
academy	akademija	Akademija obučava mlade glazbenike.
accelerate	ubrzati	Nova sredstva će ubrzati istraživanje.
acceptance	prihvaćanje	Njegovo prihvaćanje kritike me impresioniralo.
accessible	pristupačan	Muzej je pristupačan korisnicima invalidskih kolica.
accomplishment	postignuće	Završetak knjige bio je pravo postignuće.
accordance	u skladu	Posao je obavljen u skladu s politikom.
accordingly	sukladno tome	Dokazi su se promijenili i mi smo postupili sukladno tome.
accountability	odgovornost	Politika povećava odgovornost menadžera.
accountable	odgovoran	Menadžeri su odgovorni za sigurnost.
accumulate	nakupljati	Prašina se može nakupljati iza ekrana.
accumulation	nakupljanje	Nakupljanje podataka trajalo je mjesecima.
accusation	optužba	Optužba je šokirala odbor.
accused	optuženi	Optuženi se pojavio na sudu.
acquisition	akvizicija	Akvizicija je brzo proširila tvrtku.
acre	jutro	Farma obuhvaća jedno jutro.
activation	aktivacija	Aktivacija kartice traje nekoliko minuta.
activist	aktivist	Aktivist je govorio na skupu.
acute	akutan	Osjetila je akutnu bol nakon trčanja.
adaptation	adaptacija	Adaptacija je promijenila kraj romana.
adhere	pridržavati se	Osoblje se mora pridržavati sigurnosnih pravila.
adjacent	susjedni	Hotel je susjedan kolodvoru.
adjustment	prilagodba	Mala prilagodba je riješila problem.
administer	primijeniti	Medicinske sestre pažljivo primjenjuju cjepivo.
administrative	administrativni	Administrativno osoblje rješava obrasce.
administrator	administrator	Administrator je poništio moju lozinku.
admission	ulaznica	Ulaz u muzej je besplatan.
adolescent	adolescent	Adolescentu je trebala dodatna podrška.
adoption	posvajanje	Posvajanje je djetetu pružilo stabilan dom.
adverse	štetan	Lijek je izazvao štetne učinke.
advocate	zagovornik	Zagovornik je branio prava stanara.
aesthetic	estetski	Soba ima miran estetski stil.
affection	naklonost	Pokazala je naklonost prema svojoj obitelji.
aftermath	posljedica	Posljedice oluje bile su teške.
aggression	agresija	Učitelj je primijetio agresiju tijekom odmora.
agricultural	poljoprivredni	Poljoprivredni izvoz porastao je ove godine.
aide	pomoćnik	Pomoćnik je organizirao raspored ministra.
albeit	iako	Plan je uspio, iako polako.
alert	upozoriti	Molimo odmah upozorite osoblje.
align	poravnati	Strelice se poravnavaju s cestom.
alignment	centriranje	Centriranje kotača poboljšalo je upravljivost automobila.
alike	jednako	Blizanci se vikendom oblače jednako.
allegation	navod	Navod se pojavio u novinama.
allege	tvrditi	Tvrde da su sredstva izgubljena.
