source_headword	PT-BR	example_PT-BR
take	tomar; pegar; levar	Pegue o ingresso.
talk	falar; conversar	A gente conversa depois da aula.
tall	alto; alta	Meu professor é alto.
taxi	o táxi	O táxi está lá fora.
tea	o chá	Este chá está quente.
teach	ensinar	Eu ensino inglês.
teacher	o professor; a professora	A professora sorri.
team	o time; a equipe	Nosso time vence hoje.
teenager	o adolescente; a adolescente	O adolescente lê um livro.
telephone	o telefone; telefonar	O telefone está na mesa.
television	a televisão	A televisão é nova.
tell	dizer; contar	Diga seu nome.
ten	dez	Eu tenho dez livros.
tennis	o tênis	A gente joga tênis hoje.
terrible	terrível; muito ruim	O tempo está terrível.
test	o teste; a prova; testar	A prova começa agora.
text	o texto; a mensagem; enviar mensagem	Envie uma mensagem curta.
than	do que	Dez é maior do que dois.
thank	agradecer	Agradeça ao professor.
thanks	obrigado; obrigada	Obrigado pela ajuda.
that	esse; essa; aquele; aquela	Aquele livro é meu.
the	o; a; os; as	O chá está morno.
theatre	o teatro	O teatro fica perto da estação.
their	dele; dela; deles; delas	A casa deles é grande.
them	eles; elas; os; as	Eu conheço eles.
then	então; depois	Coma e depois leia.
there	lá; ali; há	Há uma cadeira ali.
they	eles; elas	Eles estão na escola.
thing	a coisa	Esta coisa é útil.
think	pensar	Eu penso na casa.
third	terceiro; terceira	Esta é a terceira aula.
thirsty	com sede	Estou com sede.
thirteen	treze	Ele tem treze anos.
thirty	trinta	Minha irmã tem trinta anos.
this	este; esta	Este ingresso é novo.
thousand	mil	Mil pessoas vieram.
three	três	Eu vejo três pássaros.
through	por; através de	A gente passa pelo parque.
Thursday	a quinta-feira	A gente se encontra na quinta-feira.
ticket	o ingresso; a passagem	Eu preciso de um ingresso.
time	o tempo; a hora	Que horas são?
tired	cansado; cansada	Estou cansado.
title	o título	Leia o título.
to	para; a; marcador de infinitivo	Eu vou para a aula.
today	hoje	Hoje está ensolarado.
together	juntos; juntas	A gente come junto.
toilet	o banheiro	O banheiro está limpo.
tomato	o tomate	Este tomate é vermelho.
tomorrow	amanhã	Até amanhã.
tonight	hoje à noite	A gente lê hoje à noite.
too	também; demais	Eu também quero chá.
tooth	o dente	Meu dente dói.
topic	o tópico; o assunto	Escolha um assunto.
tourist	o turista; a turista	O turista tira fotos.
town	a cidade; a vila	Esta cidade é tranquila.
traffic	o trânsito	O trânsito está lento.
train	o trem	O trem está atrasado.
travel	viajar; a viagem	A gente viaja de trem.
tree	a árvore	A árvore é alta.
trip	a viagem	A viagem começa amanhã.
trousers	a calça	Minha calça é preta.
true	verdadeiro; certo	Esta história é verdadeira.
try	tentar; experimentar	Experimente este chá.
T-shirt	a camiseta	Eu estou usando uma camiseta.
Tuesday	a terça-feira	A gente se encontra na terça-feira.
turn	virar; a vez	Vire à esquerda aqui.
TV	a TV; a televisão	O volume da televisão está alto.
twelve	doze	Eu tenho doze canetas.
twenty	vinte	Há vinte alunos aqui.
twice	duas vezes	Eu nado duas vezes por semana.
two	dois; duas	Duas pessoas esperam.
type	o tipo; digitar	Que tipo de música você quer?
umbrella	o guarda-chuva	Pegue o guarda-chuva.
uncle	o tio	Meu tio é gentil.
under	embaixo de; sob	A bolsa está embaixo da mesa.
understand	entender	Eu entendo a pergunta.
university	a universidade	A universidade fica perto.
until	até	Espere até as cinco.
up	para cima; levantar	Levante agora.
upstairs	no andar de cima	Meu quarto fica no andar de cima.
us	nós; nos	Por favor, ajude a gente.
use	usar; o uso	Use esta caneta.
useful	útil	Este mapa é útil.
usually	geralmente	Eu geralmente vou para casa a pé.
vacation	as férias	Nossas férias começam amanhã.
vegetable	o legume; a verdura	A cenoura é um legume.
very	muito	O quarto está muito quieto.
video	o vídeo	Assista a este vídeo.
village	a vila; o povoado	A vila é pequena.
visit	visitar; a visita	A gente visita nossa tia.
visitor	o visitante; a visitante	O visitante espera lá fora.
wait	esperar	Por favor, espere aqui.
waiter	o garçom; a garçonete	O garçom traz chá.
wake	acordar; despertar	Eu acordo cedo.
walk	andar; caminhar; a caminhada	A gente vai caminhando para a escola.
wall	a parede	A parede é branca.
want	querer; precisar	Eu quero água.
warm	quente; morno	O quarto está morno.
wash	lavar	Lave as mãos.
watch	assistir; observar; o relógio	Eu assisto televisão.
water	a água; regar	Beba um pouco de água.
way	o caminho; o jeito	Este caminho é curto.
we	nós; a gente	A gente aprende inglês.
wear	vestir; usar	Eu estou usando uma jaqueta.
weather	o tempo; o clima	O tempo está frio.
website	o site	Este site é útil.
Wednesday	a quarta-feira	A aula começa na quarta-feira.
week	a semana	Esta semana está cheia.
weekend	o fim de semana	O fim de semana começa amanhã.
welcome	bem-vindo; bem-vinda; receber	Bem-vindo à nossa sala.
well	bem	Ela canta bem.
west	o oeste	O sol se põe no oeste.
what	o que; qual	O que é isto?
when	quando	Quando você estuda?
where	onde	Onde fica a estação?
which	qual; quais	Qual bolsa é sua?
white	branco; branca	A parede é branca.
who	quem	Quem é este?
why	por que	Por que você se atrasou?
wife	a esposa	A esposa dele é professora.
will modal	marcador de futuro do inglês; vai	Eu vou ajudar você.
win	vencer; ganhar	Nosso time pode vencer.
window	a janela	Abra a janela.
wine	o vinho	Este vinho é tinto.
winter	o inverno	O inverno aqui é frio.
with	com	Venha comigo.
without	sem	Chá sem açúcar é bom.
woman	a mulher	A mulher lê um livro.
wonderful	maravilhoso; maravilhosa	A vista é maravilhosa.
word	a palavra	Escreva uma palavra.
work	trabalhar; o trabalho	Eu trabalho em casa.
worker	o trabalhador; a trabalhadora; o funcionário	O funcionário está ocupado.
world	o mundo	O mundo é grande.
would modal	condicional; gostaria	Eu gostaria de chá.
write	escrever	Escreva seu nome.
writer	o escritor; a escritora	A escritora mora aqui.
writing	a escrita; a letra	A letra dela é clara.
wrong	errado; errada	Esta resposta está errada.
yeah	sim	Sim, eu posso vir.
year	o ano	Este ano é bom.
yellow	amarelo; amarela	A banana é amarela.
yes	sim	Sim, eu entendi.
yesterday	ontem	Eu liguei ontem.
you	você; vocês	Você é meu amigo.
young	jovem; novo	O professor é jovem.
your	seu; sua; seus; suas	Sua bolsa está aqui.
yourself	você mesmo; você mesma	Pegue o chá você mesmo.
