source_headword	BG	example_BG
abandon	изоставям	Вчера изоставиха плана.
absolute	абсолютен	Нуждаем се от абсолютна честност.
acceptable	приемлив	Отговорът му беше приемлив.
accompany	придружавам	Брат ѝ я придружи до вкъщи.
accurate	точен	Докладът е точен.
accuse	обвинявам	Обвиниха го в лъжа.
acknowledge	признавам	Моля, признай грешката.
acquire	придобивам	Тя бързо придоби нови умения.
actual	действителен	Действителната цена беше по-ниска.
adapt	приспособявам се	Приспособихме се към промяната.
additional	допълнителен	Днес пристигна допълнителна помощ.
administration	администрация	Администрацията промени правилата.
adopt	приемам	Приеха нов метод.
advance	напредък	Постигнахме малък напредък.
affair	случай	Този случай навреди на общественото доверие.
afterwards	след това	След това всички се успокоиха.
agency	агенция	Агенцията нае трима преводачи.
agenda	дневен ред	Сигурността е в дневния ред.
aggressive	агресивен	Тонът му звучеше агресивно.
aid	помощ	Медицинската помощ пристигна бързо.
aircraft	самолет	Самолетът кацна безопасно.
alter	променям	Не променяй договора.
anger	гняв	Гневът му изненада всички.
angle	ъгъл	Опитай друг ъгъл на камерата.
anniversary	годишнина	Годишнината им е утре.
annual	годишен	Годишната среща започва в понеделник.
anxious	тревожен	Преди операцията беше тревожна.
apparent	очевиден	Разочарованието му беше очевидно.
apparently	очевидно	Очевидно влакът закъснява.
appeal	обжалване	Решението може да доведе до обжалване.
approach	подход	Нейният подход реши проблема.
appropriate	подходящ	Избери подходящ отговор.
approval	одобрение	Проектът се нуждае от одобрение.
approve	одобрявам	Съветът одобри бюджета.
arise	възниквам	Проблеми могат да възникнат по-късно.
armed	въоръжен	Въоръжени пазачи стояха отвън.
arms	оръжия	Те оставиха оръжията.
artificial	изкуствен	Цветята изглеждаха изкуствени.
artistic	артистичен	Той има артистичен талант.
ashamed	засрамен	По-късно се почувства засрамен.
aspect	аспект	Обмисли внимателно всеки аспект.
assess	оценявам	Трябва да оценим щетите.
assessment	оценка	Оценката продължи два часа.
associate	свързвам	Хората свързват дима с опасност.
associated	свързан	Стресът е свързан с болест.
association	асоциация	Асоциацията подкрепя млади артисти.
assume	предполагам	Предполагам, че си съгласен.
attempt	опит	Първият му опит се провали.
bacteria	бактерии	Бактериите могат да се разпространяват бързо.
barrier	бариера	Езикът беше бариера.
basically	по същество	По същество ни трябва повече време.
bear (deal with)	понасям	Не мога да понеса този шум.
beg	моля се	Той се молеше за помощ.
being	същество	Всяко същество се нуждае от вода.
bent	огънат	Металният прът беше огънат.
bet	залагам	Обзалагам се, че той знае.
beyond	отвъд	Селото е отвъд реката.
bitter	горчив	Лекарството имаше горчив вкус.
blame	обвинявам	Не обвинявай шофьора.
blind	сляп	Той ослепя на младини.
bond	връзка	Доверието създава силна връзка.
breast	гърда	Тя почувства болка в гърдата.
brief	кратък	Дръж отговора кратък.
broad	широк	Реката тук е широка.
broadcast	излъчвам	Речта беше излъчена на живо.
budget	бюджет	Бюджетът е много ограничен.
bullet	куршум	Куршумът удари стената.
bunch	връзка	Тя носеше връзка ключове.
