source_headword	SR	example_SR
strengthen	ојачати	Нова политика ће ојачати онлајн безбедност.
strictly	строго	Улазнице су строго ограничене на две по особи.
striking	упадљив	Слика има упадљиве боје.
stroke	потез	Повукла је један потез преко папира.
stunning	запањујући	Поглед на планину био је запањујући.
subsequent	накнадни	Накнадни састанак је потврдио буџет.
subsequently	накнадно	Пут је затворен; накнадно се саобраћај одвијао успорено.
suburb	предграђе	Они живе у мирном предграђу.
suffering	патња	Лек му је ублажио патњу.
sufficient	довољан	Тим има довољно времена.
sufficiently	довољно	Соба је довољно топла.
super	супер	Нови таблет је супер брз.
surgeon	хирург	Хирург је поправио оштећено колено.
survival	преживљавање	Чиста вода је битна за преживљавање.
survivor	преживели	Преживели је описао поплаву.
suspend	обуставити	Школа би могла да обустави излет.
sustainable	одржив	Фарма користи одрживе методе.
swallow	прогутати	Прогутајте таблету са водом.
sympathetic	саосећајан	Менаџер је био саосећајан према њеном проблему.
tackle	ухватити се у коштац	Морамо се ухватити у коштац са стамбеним проблемом.
tag	етикета	Торба је имала етикету са ценом.
tap	славина	Затворила је славину.
technological	технолошки	Технолошке промене утичу на свако радно место.
teens	тинејџери	Многи тинејџери свакодневно користе друштвене мреже.
temple	храм	Храм се налазио близу реке.
temporarily	привремено	Канцеларија је привремено затворена.
tendency	склоност	Он има склоност ка кашњењу.
tension	напетост	Напетост је расла током расправе.
terms	услови	Услови уговора су били јасни.
terribly	ужасно	Дете је било ужасно узнемирено.
terrify	престравити	Гласни звукови престрављују пса.
territory	територија	Мапа приказује нову територију.
terror	терор	Терор се проширио након напада.
terrorism	тероризам	Тероризам прети јавној безбедности.
terrorist	терориста	Полиција је јуче ухапсила терористу.
testing	тестирање	Тестирање производа почиње у понедељак.
textbook	уџбеник	Заборавила је уџбеник из биологије.
theft	крађа	Крађа се повећала у том подручју.
therapist	терапеут	Терапеут му је помогао да управља анксиозношћу.
thesis	теза	Њена теза испитује онлајн учење.
thorough	темељан	Темељан преглед није пронашао грешке.
thoroughly	темељно	Темељно очистите рану.
thumb	палац	Подигао је палац у знак одобравања.
timing	тајминг	Тајминг позива је био савршен.
tissue	марамица	Обрисала је чашу марамицом.
ton	тона	Камион је превозио тону песка.
tonne	тона	Пошиљка је била тешка једну тону.
tournament	турнир	Тениски турнир почиње сутра.
trace	ући у траг	Научници могу да уђу у траг извору вируса.
trading	трговање	Трговање акцијама је престало у подне.
tragedy	трагедија	Несрећа је била страшна трагедија.
tragic	трагичан	Судар је имао трагичне последице.
trait	особина	Стрпљење је корисна особина.
transmit	пренети	Комарци могу да пренесу болест.
transportation	превоз	Јавни превоз је данас пун.
trap	замка	Кутија може безбедно да ухвати инсекте.
treasure	благо	Стари ковчег је скривао благо.
tribe	племе	Племе је штитило своје традиције.
trigger	покренути	Дим може да покрене аларм.
trillion	билион	Дуг је достигао билион долара.
troop	трупа	Трупа је кренула према граници.
tsunami	цунами	Цунами је уништио обалске домове.
ultimate	коначан	Коначни циљ је мир.
unacceptable	неприхватљив	Кашњење је путницима било неприхватљиво.
uncertainty	несигурност	Несигурност је учинила инвеститоре нервознима.
undergo	проћи	Пацијент ће сутра проћи кроз операцију.
undertake	предузети	Тим ће предузети анкету.
unfold	одвијати се	Драма је полако почела да се одвија.
unfortunate	несрећан	Грешка је била несрећна, али поправљива.
unite	ујединити	Лидери су покушали да уједине странку.
unity	јединство	Говор је позвао на национално јединство.
universal	универзалан	Апликација користи универзалан дизајн.
urgent	хитан	Болница је примила хитан позив.
usage	употреба	Водич објашњава исправну употребу.
useless	бескористан	Покварени пуњач је бескористан.
valid	важећи	Ваш пасош је још увек важећи.
variation	варијација	Постоји велика варијација у ценама.
vertical	вертикалан	Графикон има вертикалну осу.
viewpoint	гледиште	Њено гледиште се променило након дебате.
visa	виза	Пријавио се за студентску визу.
visible	видљив	Знак је видљив одавде.
voluntary	добровољан	Курс укључује добровољне радионице.
voting	гласање	Превремено гласање почиње следеће недеље.
wander	лутати	Туристи лутају кроз стару пијацу.
warming	загревање	Глобално загревање утиче на ниво мора.
weekly	недељни	Тим одржава недељни састанак.
weird	чудан	Бука је звучала чудно.
welfare	социјална помоћ	Програм подржава дечју социјалну помоћ.
wheat	пшеница	Пољопривредник узгаја пшеницу.
whoever	ко год	Ко год стигне први, требало би да сачека напољу.
widespread	раширен	Олуја је изазвала раширену штету.
wisdom	мудрост	Њена бака је поделила практичну мудрост.
withdraw	повући	Одлучио је да повуче своју пријаву.
workforce	радна снага	Радној снази су потребне нове вештине.
workplace	радно место	Радно место има јасна безбедносна правила.
workshop	радионица	Радионица почиње у десет.
worm	црв	Црв се кретао по земљи.
wrist	зглоб	Повредила је зглоб.
