source_headword	TE	example_TE
institute	సంస్థ	సంస్థ ఒక కొత్త పరిశోధన కార్యక్రమాన్ని ప్రారంభించింది.
institution	సంస్థ	సంస్థ తన ప్రవేశ నిబంధనలను మార్చింది.
insurance	బీమా	ఆమె బీమా ఆసుపత్రి ఖర్చులను కవర్ చేసింది.
intended	ఉద్దేశించిన	సందేశం దాని ఉద్దేశించిన ప్రేక్షకులను చేరుకుంది.
intense	తీవ్రమైన	చర్చ చాలా త్వరగా తీవ్రమైంది.
internal	అంతర్గత	కంపెనీ అంతర్గత సమీక్షను ప్రారంభించింది.
interpret	వివరించు	దయచేసి ఫలితాలను జాగ్రత్తగా వివరించండి.
interrupt	అంతరాయం కలిగించు	ఇప్పుడు మాట్లాడుతున్న వ్యక్తికి అంతరాయం కలిగించవద్దు.
investigation	దర్యాప్తు	దర్యాప్తు తీవ్రమైన తప్పులను వెల్లడించింది.
investment	పెట్టుబడి	పెట్టుబడి అనేక స్థానిక ఉద్యోగాలను సృష్టించింది.
joy	సంతోషం	వారి విజయం గొప్ప సంతోషాన్ని తెచ్చింది.
judgement	తీర్పు	అనుభవంతో అతని తీర్పు మెరుగుపడింది.
junior	జూనియర్	ఆమె జూనియర్ అనలిస్ట్‌గా బృందంలో చేరింది.
justice	న్యాయం	విచారణ తర్వాత ఆ కుటుంబం న్యాయం కావాలని డిమాండ్ చేసింది.
justify	సమర్థించు	మీరు ఆ నిర్ణయాన్ని స్పష్టంగా సమర్థించుకోవాలి.
labour	శ్రమ	ఈ ప్రాజెక్టుకు నైపుణ్యం కలిగిన శ్రమ అవసరం.
landscape	ప్రకృత్తి దృశ్యం	తుఫాను తర్వాత ప్రకృతి దృశ్యం మారిపోయింది.
largely	ఎక్కువగా	ప్రణాళిక ఎక్కువగా విజయవంతమైంది.
launch	ప్రారంభించు	వారు రేపు ఉత్పత్తిని ప్రారంభిస్తారు.
leadership	నాయకత్వం	బలమైన నాయకత్వం జట్టు కోలుకోవడానికి సహాయపడింది.
league	లీగ్	మా క్లబ్ ప్రాంతీయ లీగ్‌లో చేరింది.
lean	ఆనుకొను	తడి గోడకు ఆనుకోకండి.
licence	లైసెన్స్	లైసెన్స్ వచ్చే నెలతో ముగుస్తుంది.
limited	పరిమిత	ఈ రోజు మనకు పరిమిత సమయం ఉంది.
lively	ఉత్సాహభరితమైన	భోజనం తర్వాత సమావేశం ఉత్సాహభరితంగా మారింది.
load	భారం	ట్రక్కు భారీ భారాన్ని మోసుకెళ్లింది.
loan	రుణం	బ్యాంకు రుణాన్ని ఆమోదించింది.
logical	తార్కిక	ఆమె వాదన స్పష్టంగా మరియు తార్కికంగా ఉంది.
long-term	దీర్ఘకాలిక	ఇది ఒక దీర్ఘకాలిక పరిష్కారం.
loose	వదులుగా	హ్యాండిల్ వదులుగా అనిపిస్తుంది.
lord	ప్రభువు	ప్రభువుకు అనేక గ్రామాలు ఉన్నాయి.
lower	తగ్గించు	వారు శీతాకాలంలో ధరలను తగ్గిస్తారు.
lung	ఊపిరితిత్తి	ధూమపానం ఊపిరితిత్తిని దెబ్బతీస్తుంది.
maintain	నిర్వహించు	మేము క్రమం తప్పకుండా పరిచయాన్ని నిర్వహిస్తాము.
majority	మెజారిటీ	మెజారిటీ ఈ ప్రతిపాదనకు మద్దతు ఇచ్చారు.
mass	ద్రవ్యరాశి	మేఘాల సమూహం ఆకాశాన్ని కప్పేసింది.
massive	భారీ	భూకంపం భారీ నష్టాన్ని కలిగించింది.
master	నిపుణుడు	ఆమె చర్చల్లో నిపుణురాలిగా మారింది.
matching	సరిపోలే	అతను సరిపోలే బూట్లు మరియు బెల్ట్ ధరించాడు.
maximum	గరిష్ట	గది గరిష్ట సామర్థ్యానికి చేరుకుంది.
means	సాధనం	ఇమెయిల్ మా ప్రధాన పరిచయ సాధనం.
measurement	కొలత	కొలత కొద్దిగా తప్పుగా ఉంది.
melt	కరుగు	మధ్యాహ్నానికి మంచు కరుగుతుంది.
military	సైనిక	సైనిక స్థావరం గత సంవత్సరం మూసివేయబడింది.
mineral	ఖనిజం	ఇనుము ఒక ముఖ్యమైన ఖనిజం.
minimum	కనీస	కనీస వయస్సు పద్దెనిమిది.
minister	మంత్రి	మంత్రి కష్టమైన ప్రశ్నలకు సమాధానమిచ్చారు.
minor	చిన్న	ప్రమాదం చిన్న నష్టాన్ని కలిగించింది.
minority	మైనారిటీ	ఒక మైనారిటీ కొత్త నిబంధనను వ్యతిరేకించింది.
mission	మిషన్	వారి మిషన్ సురక్షితంగా ముగిసింది.
mixed	మిశ్రమ	వార్తలకు మిశ్రమ స్పందనలు వచ్చాయి.
modify	సవరించు	మనం డిజైన్‌ను తర్వాత సవరించవచ్చు.
monitor	పర్యవేక్షించు	నర్సు అతని పరిస్థితిని పర్యవేక్షిస్తుంది.
moral	నైతిక	ఈ కథలో నైతిక పాఠం ఉంది.
motor	మోటారు	మోటారు ఎటువంటి హెచ్చరిక లేకుండా ఆగిపోయింది.
mount	అమర్చు	వారు ప్రవేశద్వారం దగ్గర కెమెరాలను అమర్చుతారు.
multiple	బహుళ	బహుళ కారణాల వల్ల ఆలస్యం జరిగింది.
multiply	గుణించు	ఆ సంఖ్యను పది తో గుణించండి.
mysterious	రహస్యమైన	బయట ఒక రహస్యమైన కాంతి కనిపించింది.
neat	శుభ్రమైన	ఆమె డెస్క్ ఎప్పుడూ శుభ్రంగా ఉంటుంది.
nerve	నరం	గాయం నరాన్ని దెబ్బతీసింది.
nevertheless	అయినప్పటికీ	పని కష్టంగా ఉంది; అయినప్పటికీ, మేము పూర్తి చేసాము.
nightmare	పీడకల	ఆ ప్రయాణం పీడకలగా మారింది.
notion	భావన	మార్పు అసాధ్యం అనే భావనను తిరస్కరించండి.
numerous	అనేక	అనేక అధ్యయనాలు ఈ ఆలోచనను సమర్థిస్తున్నాయి.
obey	పాటించు	డ్రైవర్లు తప్పనిసరిగా సంకేతాలను పాటించాలి.
objective	లక్ష్యం	మా లక్ష్యం వ్యర్థాలను తగ్గించడం.
obligation	బాధ్యత	పిల్లలను రక్షించే బాధ్యత తల్లిదండ్రులపై ఉంది.
observation	పరిశీలన	అతని పరిశీలన చర్చను మార్చేసింది.
observe	గమనించు	శాస్త్రవేత్తలు ప్రతి వసంతకాలంలో పక్షులను గమనిస్తారు.
obtain	పొందు	మీరు తప్పక వ్రాతపూర్వక అనుమతిని పొందాలి.
occasionally	అప్పుడప్పుడు	ఆమె అప్పుడప్పుడు ఇంటి నుండి పని చేస్తుంది.
offence	నేరం	ఆ వ్యాఖ్య తీవ్రమైన మనస్తాపం కలిగించింది.
offend	నొప్పించు	ఎవరినీ నొప్పించాలనేది నా ఉద్దేశ్యం కాదు.
offensive	అభ్యంతరకరమైన	పోస్టర్‌లో అభ్యంతరకరమైన భాష ఉంది.
opening	ఖాళీ	ఉద్యోగ ఖాళీ చాలా మంది దరఖాస్తుదారులను ఆకర్షించింది.
operate	పనిచేయు	యంత్రం స్వయంచాలకంగా పనిచేయగలదు.
opponent	ప్రత్యర్థి	ఆమె ప్రత్యర్థి విధానాన్ని విమర్శించారు.
oppose	వ్యతిరేకించు	చాలా మంది నివాసితులు ఈ పథకాన్ని వ్యతిరేకిస్తున్నారు.
opposed	వ్యతిరేక	సమూహాలు వ్యతిరేక అభిప్రాయాలను కలిగి ఉన్నాయి.
opposition	వ్యతిరేకత	ఈ ప్రతిపాదనకు తీవ్ర వ్యతిరేకత ఎదురైంది.
organ	అవయవం	గుండె ఒక ముఖ్యమైన అవయవం.
origin	మూలం	అగ్ని ప్రమాదం యొక్క మూలం తెలియదు.
otherwise	లేకపోతే	ఇప్పుడే బయలుదేరండి; లేకపోతే, మీరు ఆలస్యం అవుతారు.
outcome	ఫలితం	ఆ ఫలితం అందరినీ ఆశ్చర్యపరిచింది.
outer	బయటి	బయటి గోడకు మరమ్మతులు అవసరం.
outline	రూపురేఖలు	దయచేసి మీ ప్రధాన వాదనను సంగ్రహంగా చెప్పండి.
overall	మొత్తం	మొత్తం ఫలితం సానుకూలంగా ఉంది.
owe	రుణపడి ఉండు	నేను మీకు క్షమాపణ చెప్పాలి.
pace	వేగం	స్థిరమైన వేగంతో నడవండి.
panel	ప్యానెల్	ప్యానెల్ వాతావరణ విధానం గురించి చర్చించింది.
parliament	పార్లమెంటు	పార్లమెంటు కొత్త చట్టాన్ని ఆమోదించింది.
participant	పాల్గొనే వ్యక్తి	పాల్గొనే ప్రతి ఒక్కరూ ఫారమ్‌పై సంతకం చేశారు.
partly	పాక్షికంగా	ఆలస్యానికి పాక్షికంగా మాదే తప్పు.
passage	పేరా	సమాధానం ఇచ్చే ముందు పేరాను చదవండి.
pension1	పెన్షన్	పదవీ విరమణ తర్వాత అతని పెన్షన్ అతనికి మద్దతు ఇస్తుంది.
permanent	శాశ్వత	వారికి శాశ్వత పరిష్కారం కావాలి.
permit	అనుమతించు	నిబంధనలు చిన్న సందర్శనలను అనుమతిస్తాయి.
perspective	దృక్పథం	ఆమె దృక్పథాన్ని అర్థం చేసుకోవడానికి ప్రయత్నించండి.
phase	దశ	ప్రాజెక్ట్ చివరి దశకు చేరుకుంది.
phenomenon	దృగ్విషయం	ఈ దృగ్విషయం అనేక సంస్కృతులలో జరుగుతుంది.
philosophy	తత్వశాస్త్రం	ఆమె తత్వశాస్త్రం ఆచరణాత్మక చర్యకు విలువనిస్తుంది.
pile	కుప్ప	కాగితాల కుప్ప డెస్క్‌ను కప్పేసింది.
pitch	మైదానం	జట్టు మైదానాన్ని జాగ్రత్తగా సిద్ధం చేసింది.
plain	స్పష్టమైన	సూచనలు స్పష్టంగా మరియు నేరుగా ఉన్నాయి.
pointed	పదునైన	అతను ఒక పదునైన వ్యాఖ్య చేశాడు.
popularity	ప్రజాదరణ	గాయకుడు ఆన్‌లైన్‌లో ప్రజాదరణ పొందాడు.
pose	కల్పించు	ప్రశ్న ఒక సమస్యను కలిగించవచ్చు.
possess	కలిగి ఉండు	కొద్దిమంది విద్యార్థులు ఆ నైపుణ్యాన్ని కలిగి ఉన్నారు.
potential	సామర్థ్యం	ఆలోచనకు నిజమైన సామర్థ్యం ఉంది.
