source_headword	ES	example_ES
toss	lanzar	Lanzó las llaves sobre la mesa.
total	sumar	Las reparaciones suman más de lo esperado.
toxic	tóxico	El humo tóxico obligó a todos a salir.
trademark	la marca registrada	El logotipo se convirtió en la marca registrada de la empresa.
trail	el sendero	El sendero conducía a través del bosque.
trailer	el tráiler	El tráiler mostró el final de la película.
transaction	la transacción	La transacción apareció en mi extracto bancario.
transcript	el expediente académico	El estudiante solicitó un expediente académico oficial.
transformation	la transformación	La ciudad experimentó una gran transformación.
transit	el tránsito	El paquete se dañó durante el tránsito.
transmission	la transmisión	La transmisión de datos fue segura.
transparency	la transparencia	El informe pedía una mayor transparencia.
transparent	transparente	El proceso debería ser transparente para todos.
trauma	el trauma	El accidente dejó un trauma profundo.
treaty	el tratado	Los países firmaron un tratado de paz.
tremendous	tremendo	El equipo hizo un progreso tremendo.
tribal	tribal	El museo exhibió arte tribal.
tribunal	el tribunal	El tribunal escuchó pruebas toda la semana.
tribute	el homenaje	El concierto fue un homenaje a ella.
trio	el trío	El trío actuó en el festival.
triumph	el triunfo	La victoria fue un triunfo personal.
trophy	el trofeo	El capitán levantó el trofeo con orgullo.
troubled	problemático	La empresa en problemas necesitaba un nuevo liderazgo.
trustee	el administrador	El administrador gestiona el fondo de becas.
tuition	la matrícula	Su matrícula aumentó este año.
turnout	la participación	La participación de los votantes fue mayor de lo esperado.
turnover	la rotación	La rotación de personal cayó después de los cambios.
twist	girar	Ella giró la tapa para abrirla.
undergraduate	el estudiante universitario	El estudiante universitario se unió a un proyecto de investigación.
underlying	subyacente	El informe explicó las causas subyacentes.
undermine	socavar	El escándalo socavó la confianza pública.
undoubtedly	indudablemente	Ella es indudablemente la mejor candidata.
unify	unificar	El plan tiene como objetivo unificar a los equipos.
unprecedented	sin precedentes	La tormenta causó daños sin precedentes.
unveil	revelar	La empresa revelará el diseño mañana.
upcoming	próximo	Las próximas elecciones llamaron la atención del público.
upgrade	actualizar	Actualizamos el software anoche.
uphold	mantener	Mantenemos la decisión original.
utility	los servicios públicos	El apartamento incluye todos los gastos de servicios públicos.
utilize	utilizar	El equipo utilizó los datos disponibles.
utterly	completamente	La explicación fue completamente confusa.
vacuum	el vacío	El vacío de liderazgo creó tensión.
vague	vago	Su respuesta fue vaga y débil.
validity	la validez	El estudio cuestionó la validez de la prueba.
vanish	desaparecer	El archivo desapareció de la carpeta.
variable	la variable	El precio es una variable importante.
varied	variado	El curso ofrece tareas variadas.
vein	la vena	La enfermera encontró una vena rápidamente.
venture	el emprendimiento	El nuevo emprendimiento atrajo a los inversores.
verbal	verbal	Llegaron a un acuerdo verbal.
verdict	el veredicto	El jurado emitió su veredicto.
verify	verificar	Por favor, verifica tu dirección de correo electrónico.
verse	el verso	Ella citó un verso del poema.
versus	contra	El debate fue privacidad contra seguridad.
vessel	la embarcación	La embarcación transportaba grano por el mar.
veteran	el veterano	El veterano capacitó al nuevo personal.
viable	viable	La propuesta es financieramente viable.
vibrant	vibrante	La ciudad tiene una escena artística vibrante.
vice	el vicio	La codicia era su mayor vicio.
vicious	brutal	El ataque brutal conmocionó a la ciudad.
villager	el aldeano	Un aldeano nos guió hasta el río.
violate	violar	La empresa puede violar las normas de seguridad.
violation	la infracción	El inspector reportó una infracción grave.
virtue	la virtud	La paciencia es una virtud importante.
vocal	franco	Ella fue franca sobre la decisión.
vow	jurar	Juró terminar el trabajo.
vulnerability	la vulnerabilidad	La auditoría reveló una vulnerabilidad de seguridad.
vulnerable	vulnerable	Los niños son vulnerables durante el calor extremo.
ward	la sala	El paciente fue trasladado a otra sala.
warehouse	el almacén	El almacén guarda piezas de repuesto.
warfare	la guerra	La guerra moderna depende de la tecnología.
warrant	la orden	La policía mostró una orden de registro.
warrior	el guerrero	El guerrero protegió la aldea.
weaken	debilitar	La lesión debilitó su agarre.
weave	tejer	Ella aprendió a tejer canastas.
weed	la mala hierba	Una mala hierba creció entre las piedras.
well	el pozo	El pozo del pueblo se secó.
well-being	el bienestar	Dormir es vital para el bienestar.
whatsoever	en absoluto	No mostró ningún interés en absoluto.
whereby	por el cual	La ley creó un sistema por el cual las familias podían apelar.
whilst	mientras	Ella trabajaba mientras él descansaba.
whip	azotar	El viento puede azotar las banderas.
wholly	totalmente	La decisión fue totalmente inesperada.
widen	ensanchar	La ciudad planea ensanchar la carretera.
widow	la viuda	La viuda vive cerca de la escuela.
width	el ancho	Mide el ancho de la puerta.
willingness	la disposición	Su disposición a ayudar impresionó a todos.
wipe	limpiar	Limpia la pantalla con un paño.
wit	el ingenio	Su ingenio hizo que el discurso fuera animado.
withdrawal	la retirada	La retirada de fondos retrasó el proyecto.
workout	el entrenamiento	El entrenamiento duró cuarenta minutos.
worship	el culto	La gente se reunió para el culto al amanecer.
worthwhile	que vale la pena	El viaje valió la pena.
worthy	digno	La organización benéfica es digna de apoyo.
yell	gritar	No le grites al personal.
yield	el rendimiento	El rendimiento de la granja mejoró esta temporada.
youngster	el joven	El joven hizo muchas preguntas.
