source_headword	IT	example_IT
strengthen	rafforzare	La nuova politica rafforzerà la sicurezza online.
strictly	rigorosamente	I biglietti sono rigorosamente limitati a due a persona.
striking	sorprendente	Il dipinto ha colori sorprendenti.
stroke	il tratto	Lei ha dipinto un tratto sul foglio.
stunning	mozzafiato	La vista sulle montagne era mozzafiato.
subsequent	successivo	La riunione successiva ha confermato il budget.
subsequently	successivamente	La strada ha chiuso; successivamente, il traffico si è mosso lentamente.
suburb	la periferia	Vivono in una periferia tranquilla.
suffering	la sofferenza	La medicina ha ridotto la sua sofferenza.
sufficient	sufficiente	La squadra ha tempo sufficiente.
sufficiently	sufficientemente	La stanza è sufficientemente calda.
super	super	Il nuovo tablet è super veloce.
surgeon	il chirurgo	Il chirurgo ha riparato il ginocchio danneggiato.
survival	la sopravvivenza	L'acqua pulita è essenziale per la sopravvivenza.
survivor	il sopravvissuto	Il sopravvissuto ha descritto l'inondazione.
suspend	sospendere	La scuola potrebbe sospendere la gita.
sustainable	sostenibile	La fattoria usa metodi sostenibili.
swallow	ingoiare	Ingoia la compressa con acqua.
sympathetic	comprensivo	Il direttore è stato comprensivo verso il suo problema.
tackle	affrontare	Dobbiamo affrontare il problema degli alloggi.
tag	l'etichetta	La borsa aveva un'etichetta del prezzo.
tap	il rubinetto	Lei ha chiuso il rubinetto.
technological	tecnologico	Il cambiamento tecnologico influisce su ogni luogo di lavoro.
teens	gli adolescenti	Molti adolescenti usano i social media ogni giorno.
temple	il tempio	Il tempio sorgeva vicino al fiume.
temporarily	temporaneamente	L'ufficio è temporaneamente chiuso.
tendency	la tendenza	Ha la tendenza ad arrivare in ritardo.
tension	la tensione	La tensione è salita durante la discussione.
terms	i termini	I termini del contratto erano chiari.
terribly	terribilmente	Il bambino era terribilmente sconvolto.
terrify	terrorizzare	I rumori forti terrorizzano il cane.
territory	il territorio	La mappa mostra il nuovo territorio.
terror	il terrore	Il terrore si è diffuso dopo l'attacco.
terrorism	il terrorismo	Il terrorismo minaccia la sicurezza pubblica.
terrorist	il terrorista	La polizia ha arrestato il terrorista ieri.
testing	il collaudo	Il collaudo del prodotto inizia lunedì.
textbook	il libro di testo	Ha dimenticato il suo libro di testo di biologia.
theft	il furto	Il furto è aumentato nella zona.
therapist	il terapista	Il terapista lo ha aiutato a gestire l'ansia.
thesis	la tesi	La sua tesi esamina l'apprendimento online.
thorough	accurato	Una revisione accurata non ha trovato errori.
thoroughly	accuratamente	Pulisci accuratamente la ferita.
thumb	il pollice	Ha alzato il pollice per segnalare approvazione.
timing	il tempismo	Il tempismo della chiamata era perfetto.
tissue	il fazzoletto di carta	Ha asciugato il bicchiere con un fazzoletto di carta.
ton	la tonnellata	Il camion trasportava una tonnellata di sabbia.
tonne	la tonnellata	La spedizione pesava una tonnellata.
tournament	il torneo	Il torneo di tennis inizia domani.
trace	rintracciare	Gli scienziati possono rintracciare la fonte del virus.
trading	il commercio	Il commercio di azioni si è fermato a mezzogiorno.
tragedy	la tragedia	L'incidente è stato una terribile tragedia.
tragic	tragico	Lo scontro ha avuto conseguenze tragiche.
trait	il tratto	La pazienza è un tratto utile.
transmit	trasmettere	Le zanzare possono trasmettere malattie.
transportation	il trasporto	Il trasporto pubblico è affollato oggi.
trap	intrappolare	La scatola può intrappolare gli insetti in modo sicuro.
treasure	il tesoro	Il vecchio forziere conteneva un tesoro.
tribe	la tribù	La tribù ha protetto le sue tradizioni.
trigger	innescare	Il fumo può innescare l'allarme.
trillion	il bilione	Il debito ha raggiunto un bilione di dollari.
troop	la truppa	La truppa si è mossa verso il confine.
