source_headword	FR	example_FR
abolish	abolir	La loi abolira l'ancienne taxe.
abortion	l'avortement	L'avortement reste une question médicale sensible.
absence	l'absence	Son absence a retardé la décision finale.
absent	absent	Deux membres étaient absents du cours.
absurd	absurde	L'affirmation a paru absurde à tout le monde.
abundance	l'abondance	La vallée a une abondance d'eau.
abuse	l'abus	Le rapport décrivait des abus sur le lieu de travail.
academy	l'académie	L'académie forme de jeunes musiciens.
accelerate	accélérer	Le nouveau financement accélérera la recherche.
acceptance	l'acceptation	Son acceptation de la critique m'a impressionné.
accessible	accessible	Le musée est accessible aux personnes en fauteuil roulant.
accomplishment	l'accomplissement	Finir le livre a été un véritable accomplissement.
accordance	la conformité	Le travail a été fait en conformité avec la politique.
accordingly	en conséquence	Les preuves ont changé et nous avons agi en conséquence.
accountability	la responsabilité	La politique accroît la responsabilité des cadres.
accountable	responsable	Les cadres sont responsables de la sécurité.
accumulate	accumuler	La poussière peut s'accumuler derrière l'écran.
accumulation	l'accumulation	L'accumulation de données a pris des mois.
accusation	l'accusation	L'accusation a choqué le comité.
accused	l'accusé	L'accusé a comparu au tribunal.
acquisition	l'acquisition	L'acquisition a développé l'entreprise rapidement.
acre	l'acre	La ferme couvre un acre.
activation	l'activation	L'activation de la carte prend des minutes.
activist	le militant	Le militant a pris la parole lors du rassemblement.
acute	aigu	Elle a ressenti une douleur aiguë après avoir couru.
adaptation	l'adaptation	L'adaptation a changé la fin du roman.
adhere	adhérer	Le personnel doit adhérer aux règles de sécurité.
adjacent	adjacent	L'hôtel est adjacent à la gare.
adjustment	l'ajustement	Un petit ajustement a réglé le problème.
administer	administrer	Les infirmières administrent le vaccin avec précaution.
administrative	administratif	Le personnel administratif gère les formulaires.
administrator	l'administrateur	L'administrateur a réinitialisé mon mot de passe.
admission	l'entrée	L'entrée au musée est gratuite.
adolescent	l'adolescent	L'adolescent avait besoin d'un soutien supplémentaire.
adoption	l'adoption	L'adoption a donné à l'enfant un foyer stable.
adverse	indésirable	Le médicament a provoqué des effets indésirables.
advocate	le défenseur	Le défenseur a défendu les droits des locataires.
aesthetic	esthétique	La pièce a un style esthétique calme.
affection	l'affection	Elle a montré de l'affection pour sa famille.
aftermath	les conséquences	Les conséquences de la tempête ont été difficiles.
aggression	l'agression	Le professeur a remarqué de l'agression pendant la récréation.
agricultural	agricole	Les exportations agricoles ont augmenté cette année.
aide	l'assistant	L'assistant a organisé le calendrier du ministre.
albeit	bien que	Le plan a fonctionné, bien que lentement.
alert	alerter	Veuillez alerter le personnel immédiatement.
align	aligner	Les flèches s'alignent avec la route.
alignment	l'alignement	L'alignement des roues a amélioré la maniabilité de la voiture.
alike	pareil	Les jumeaux s'habillent pareil le week-end.
allegation	l'allégation	L'allégation est parue dans le journal.
allege	alléguer	Ils allèguent que les fonds ont été perdus.
allegedly	prétendument	Le conducteur a prétendument ignoré l'avertissement.
alliance	l'alliance	Les partis ont formé une alliance temporaire.
allocate	allouer	La ville allouera de l'argent pour les écoles.
allocation	la répartition	La répartition des sièges était injuste.
allowance	l'argent de poche	Son argent de poche couvre le déjeuner et les transports.
ally	l'allié	Le Canada est devenu un allié proche.
aluminium	l'aluminium	Le cadre est fait en aluminium.
amateur	amateur	Un photographe amateur a pris la photo.
ambassador	l'ambassadeur	L'ambassadeur a rencontré des étudiants locaux.
amend	amender	Le parlement a voté pour amender la loi.
