simplified	ET	example_ET	IS	example_IS
爱情	armastus; romantiline armastus	See on liigutav armastuslugu.	ást; rómantísk ást	Þetta er áhrifamikil ástarsaga.
安排	korraldama; plaanima	Millised plaanid sul selleks nädalavahetuseks on?	skipuleggja; raða	Hvaða áætlanir hefurðu fyrir þessa helgi?
安全	ohutu; turvaline; turvalisus	Palun ole ettevaatlik.	öruggur; öryggi	Vinsamlegast farðu varlega.
按时	õigel ajal; tähtajaks	Lõpetasin ülesande õigel ajal.	á réttum tíma; fyrir frest	Ég lauk verkefninu á réttum tíma.
按照	järgi; vastavalt	See plaan on väga hea, tegutse selle järgi.	samkvæmt; eftir	Þessi áætlun er mjög góð, fylgdu henni bara.
百分之	protsent	Kaheksakümmend protsenti ülesandest on tehtud.	prósent	Áttatíu prósent af verkefninu eru lokið.
棒	suurepärane; väga hea	Sinu käekiri on suurepärane!	frábær; mjög góður	Rithöndin þín er frábær!
包子	aurutatud täidisega kukkel	Selle restorani täidetud kuklid maitsevad väga hästi.	gufusoðin fyllt bolla	Gufusoðnu fylltu bollurnar á þessum veitingastað bragðast mjög vel.
保护	kaitsma	Inimesed peaksid keskkonda kaitsma.	vernda	Fólk ætti að vernda umhverfið.
保证	garantii; tagama; lubama	Luban, et ma ei hiline enam.	trygging; tryggja; lofa	Ég lofa að ég kem ekki of seint aftur.
报名	registreeruma; registreerimine	Milliseid dokumente on registreerimiseks vaja?	skrá sig; skráning	Hvaða gögn þarf fyrir skráninguna?
抱	süles hoidma; kallistama	Ta võttis lapse sülle.	halda á; faðma	Hann tók barnið í fangið.
抱歉	vabandust; kahetsema	Vabandust, et lasin sul nii kaua oodata.	fyrirgefðu; afsökun	Fyrirgefðu að ég lét þig bíða svona lengi.
倍	korda; kordne	Meie kooli välistudengite arv on eelmise aastaga võrreldes kahekordistunud.	sinnum; -faldur	Fjöldi erlendra nemenda í skólanum okkar hefur tvöfaldast miðað við síðasta ár.
本来	algselt; esialgu	Pidin etendust vaatama minema, aga äkki tuli midagi vahele.	upphaflega; í fyrstu	Ég ætlaði að horfa á sýninguna, en eitthvað kom skyndilega upp.
笨	rumal; taipamatu	Sa ei ole rumal, sul on lihtsalt vaja rohkem pingutada.	heimskur; kjánalegur	Þú ert ekki heimskur, þú þarft bara að leggja meira á þig.
比如	näiteks; nagu	Mul on palju hobisid, näiteks ujumine ja lugemine.	til dæmis; svo sem	Ég á mörg áhugamál, til dæmis sund og lestur.
毕业	lõpetama; lõpetamine	Ma käin sel aastal kolmandal kursusel ja lõpetan järgmisel aastal.	útskrifast; útskrift	Ég er á þriðja ári í ár og útskrifast á næsta ári.
遍	kord	Ta kordas seda asja.	skipti; einu sinni	Hann endurtók málið.
标准	standard; norm; korrektne	Sinu mandariini keel on väga korrektne.	staðall; viðmið	Þú talar mjög staðlaða mandarínsku.
表格	vorm; tabel	Palun kirjuta oma nimi vormile.	eyðublað; tafla	Vinsamlegast skrifaðu nafnið þitt á eyðublaðið.
表示	väljendama; näitama; ütlema	Palun tänage teda.	tjá; sýna; segja	Vinsamlegast þakkaðu honum.
表演	esinema; etendus	Mida te kavatsete esitada?	koma fram; sýning	Hvaða atriði ætlið þið að sýna?
表扬	kiitma	Direktor kiidab teda sageli.	hrósa	Skólastjórinn hrósar honum oft.
饼干	küpsis	Ostsin küpsiseid, sööme natuke.	kex; smákaka	Ég keypti kex, fáum okkur smá.
并且	lisaks; pealegi	Ta on väga tark ja töötab väga kõvasti.	auk þess; þar að auki	Hún er mjög klár og vinnur þar að auki mjög vel.
博士	doktor; doktorikraad	Lubage tutvustada, see on doktor Li.	doktor; doktorspróf	Leyfið mér að kynna, þetta er doktor Li.
不过	aga; siiski	Ta on suurepärane, aga ei vasta ettevõtte värbamistingimustele.	en; þó	Hann er framúrskarandi, en uppfyllir ekki ráðningarskilyrði fyrirtækisins.
不得不	pidama; olema sunnitud	Väljas sajab kõvasti, seega pean koju jääma.	verða að; eiga ekki annarra kosta völ	Það rignir mikið úti, svo ég verð að vera heima.
不管	ükskõik; hoolimata	Ükskõik milline ilm on, pean mäkke ronima.	sama hvað; óháð	Sama hvernig veðrið er, ég verð að klífa fjallið.
不仅	mitte ainult	Ma ei ole selles linnas mitte ainult käinud, vaid käinud seal mitu korda.	ekki aðeins	Ég hef ekki aðeins komið til þessarar borgar, heldur oft.
部分	osa; lõik	Artikli kõige olulisem osa on kolmas lõik.	hluti; kafli	Mikilvægasti hluti greinarinnar er þriðja málsgreinin.
擦	pühkima; kustutama	Ma pesin aknad puhtaks.	þurrka; stroka út	Ég hef þrifið gluggana.
猜	arvama; ära arvama	Arva, mis sünnipäevakingi ma sulle valmistasin?	giska	Gettu hvaða afmælisgjöf ég útbjó handa þér.
材料	materjal; dokumendid	Milliseid dokumente on registreerimiseks vaja?	efni; skjöl	Hvaða gögn þarf fyrir skráninguna?
参观	külastama; vaatama	Tahan nädalavahetusel Suurt Hiina müüri külastada.	heimsækja; skoða	Ég vil heimsækja Kínamúrinn um helgina.
餐厅	restoran; söögisaal	Kooli lähedal avati uus restoran.	veitingastaður; matsalur	Nýr veitingastaður opnaði nálægt skólanum.
厕所	tualett; käimla	Meeste tualett on esimesel korrusel.	salerni	Karlasalernið er á fyrstu hæð.
差不多	peaaegu; umbes	Ma tõusen iga päev umbes kell seitse.	næstum; um það bil	Ég fer á fætur um klukkan sjö á hverjum degi.
尝	maitsma; proovima	Tule ja maitse minu tehtud toite. Kuidas maitseb?	smakka; prófa	Komdu og smakkaðu matinn sem ég eldaði. Hvernig bragðast hann?
长城	Suur Hiina müür	Tahan nädalavahetusel Suurt Hiina müüri külastada.	Kínamúrinn	Ég vil heimsækja Kínamúrinn um helgina.
长江	Jangtse jõgi	Jangtse jõgi on Hiina suurim jõgi.	Jangtsefljót	Jangtsefljót er stærsta fljót Kína.
场	loendussõna sündmuste kohta; väli; koht	See vihm tuli täpselt õigel ajal.	mælieining fyrir viðburði; völlur; staður	Þessi rigning kom á alveg réttum tíma.
超过	ületama	Siit väljub iga päev üle kolmesaja lennu.	fara fram úr; vera meira en	Meira en þrjú hundruð flug fara héðan á hverjum degi.
乘坐	sõitma; sõidukiga minema	Tere tulemast sellele lennule.	ferðast með; fara með	Velkomin um borð í þetta flug.
成功	edu; õnnestuma	Pingutus on edu tagatis.	árangur; takast	Áreynsla er trygging fyrir árangri.
成为	saama; muutuma	Olen lapsest saadik tahtnud politseinikuks saada.	verða; breytast í	Mig hefur langað að verða lögreglumaður frá því ég var lítill.
诚实	aus; ausus	Ausad inimesed väärivad meie austust.	heiðarlegur; heiðarleiki	Heiðarlegt fólk á skilið virðingu okkar.
吃惊	üllatunud olema	Ta oli uudist kuuldes üllatunud.	verða hissa	Hann varð hissa þegar hann heyrði fréttirnar.
重新	uuesti; taas	Ta kordas seda asja.	aftur; upp á nýtt	Hann endurtók málið.
抽烟	suitsetama	Vabandust, haiglas ei tohi suitsetada.	reykja	Fyrirgefðu, það má ekki reykja á sjúkrahúsinu.
出差	töölähetusse minema	Isa on olnud töölähetuses üle kuu aja.	fara í vinnuferð	Pabbi hefur verið í vinnuferð í meira en mánuð.
出发	teele asuma; välja sõitma	Asusin Pekingist teele Shanghai poole.	leggja af stað	Ég lagði af stað frá Peking til Sjanghæ.
出生	sündima	Ma sündisin väikeses linnas.	fæðast	Ég fæddist í litlum bæ.
出现	ilmuma; tekkima	Meie töös on tekkinud palju probleeme.	birtast; koma upp	Mörg vandamál hafa komið upp í vinnunni okkar.
厨房	köök	Puuviljanuga on köögis.	eldhús	Ávaxtahnífurinn er í eldhúsinu.
传真	faks	Palun saada mulle faks.	fax	Vinsamlegast sendu mér fax.
窗户	aken	Ma pesin aknad puhtaks.	gluggi	Ég hef þrifið gluggana.
词语	sõna; väljend	Palun kasuta neid sõnu mõne lause tegemiseks.	orð; hugtak	Vinsamlegast notaðu þessi orð til að búa til nokkrar setningar.
从来	alati; mitte kunagi varem	Ma ei ole teda kunagi näinud.	alltaf; aldrei áður	Ég hef aldrei séð hann.
粗心	hooletu; mõtlematu	Sa oled nii hooletu.	kærulaus; hugsunarlaus	Þú ert svo kærulaus.
存	hoiustama; talletama	Panin raha panka hoiule.	leggja inn; geyma	Ég lagði peningana inn í banka.
错误	viga; eksimus	Aitäh, et juhtisid tähelepanu minu veale.	villa; mistök	Takk fyrir að benda á mistökin mín.
答案	vastus; lahendus	Sinu vastus on õige.	svar; lausn	Svarið þitt er rétt.
打扮	end sättima; riietuma	Ta sättis end lihtsalt valmis ja läks välja.	snyrta sig; klæða sig upp	Hún snyrti sig einfaldlega og fór út.
打扰	häirima; tülitama	Vabandust, et sind korraks tülitan.	trufla; ónáða	Afsakaðu að ég trufla þig augnablik.
打印	printima; välja trükkima	Need materjalid on välja prinditud.	prenta	Þessi gögn hafa verið prentuð.
打招呼	tervitama	Ta tervitas mind naeratades.	heilsa	Hann heilsaði mér með brosi.
打折	allahindlust tegema	Enne kevadpüha on kaubanduskeskustes allahindlused.	gefa afslátt	Fyrir vorhátíðina eru afslættir í verslunarmiðstöðvum.
打针	süsti tegema; süsti saama	Poeg kardab väga süste.	gefa sprautu; fá sprautu	Sonurinn er mjög hræddur við sprautur.
大概	arvatavasti; umbes	Ta arvatavasti ei tule.	líklega; um það bil	Hann kemur líklega ekki.
大使馆	saatkond	Lähen homme saatkonda viisat taotlema.	sendiráð	Ég fer í sendiráðið á morgun til að sækja um vegabréfsáritun.
大约	umbes	Ta on umbes kolmekümneaastane.	um það bil	Hann er um það bil þrítugur.
大夫	arst	Doktor Li, kas te olete homme hommikul haiglas?	læknir	Læknir Li, verður þú á sjúkrahúsinu í fyrramálið?
戴	kandma; ette panema	Ta kannab musti prille.	bera; setja upp	Hann er með svört gleraugu.
当	olema; töötama kellena	Tahan arstiks saada.	vera; starfa sem	Ég vil verða læknir.
当时	sel ajal; tol hetkel	Ma ei mäleta tolleaegset olukorda.	þá; á þeim tíma	Ég man ekki aðstæðurnar á þeim tíma.
刀	nuga	Puuviljanuga on köögis.	hnífur	Ávaxtahnífurinn er í eldhúsinu.
导游	giid; ekskursiooni juhtima	Minu vanem õde on giid.	fararstjóri; leiðsögumaður	Eldri systir mín er fararstjóri.
倒	kukkuma; ümber ajama	Tugev tuul ajas puu ümber.	falla; fella	Sterkur vindur felldi tréð.
到处	igal pool	Pargis on igal pool lilli.	alls staðar	Það eru blóm alls staðar í garðinum.
到底	lõppude lõpuks; täpselt	Mida see lause täpselt tähendab?	eiginlega; nákvæmlega	Hvað merkir þessi setning eiginlega?
道歉	vabandama; vabandust paluma	Ma olen temalt juba vabandust palunud.	biðjast afsökunar	Ég hef þegar beðist afsökunar við hann.
得	pidama; vaja olema	Mul on homme eksam, seega pean vara magama minema.	verða að; þurfa	Ég er með próf á morgun, svo ég þarf að fara snemma að sofa.
得意	uhke; rahul	Kõik on töö edu üle väga uhked.	stoltur; ánægður	Allir eru mjög stoltir af árangri vinnunnar.
登机牌	pardakaart	Palun võtke pardakaart ja valmistuge lennukile minema.	brottfararspjald	Vinsamlegast taktu brottfararspjaldið og búðu þig undir að fara um borð.
等	ja nii edasi; jne	Laual on puuvilju, näiteks õunu ja banaane.	og svo framvegis	Á borðinu eru ávextir eins og epli og bananar.
低	madal	Kõrgemale, praegu on liiga madal.	lágur	Hærra, þetta er of lágt núna.
底	põhi	Tassi põhi on puhas.	botn	Botninn á bollanum er hreinn.
地点	koht; asukoht	Koosoleku koht on kolmanda korruse koosolekuruumis.	staður; staðsetning	Fundarstaðurinn er í fundarherberginu á þriðju hæð.
地球	Maa; planeet	Suurem osa Maa pinnast on ookean.	Jörðin; pláneta	Stærsti hluti yfirborðs Jarðar er haf.
地址	aadress	Palun kirjuta oma aadress üles.	heimilisfang	Vinsamlegast skrifaðu heimilisfangið þitt.
掉	kukkuma; maha pillama	Võti kukkus maha.	detta; missa	Lykillinn datt á gólfið.
调查	uurimine; uurima	Politsei uurib asja.	rannsókn; rannsaka	Lögreglan er að rannsaka málið.
丢	kaotama	Kaotasid koolikoti ära?	týna; missa	Týndirðu skólatöskunni þinni?
动作	liigutus; tegevus	Las ma õpetan sulle tantsimist, liigutused on väga lihtsad.	hreyfing; athöfn	Leyfðu mér að kenna þér að dansa, hreyfingarnar eru mjög einfaldar.
