hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
5001:物体	物体	物体	වස්තුව; භෞතික දේ	මේ වස්තුව ජලයේ සෙමින් ගිලුණා.	பொருள்; உடல்பொருள்	இந்த பொருள் நீரில் மெதுவாக மூழ்கியது.
5005:喜剧	喜剧	喜剧	හාස්‍ය නාට්‍ය; හාස්‍ය චිත්‍රපටය	මේ හාස්‍ය චිත්‍රපටය බලලා කාමරයේ සියලු දෙනාම හිනා වුණා.	நகைச்சுவை நாடகம்; காமெடி	இந்த நகைச்சுவை படத்தை பார்த்து அறையில் இருந்த எல்லோரும் சிரித்தனர்.
5006:喜事	喜事	喜事	සතුටුදායක සිදුවීම; මංගල කටයුත්ත	මංගල කටයුත්තක් නිසා පවුලේ හැමෝම එක්වුණා.	மகிழ்ச்சியான நிகழ்வு; மங்கள நிகழ்வு	மகிழ்ச்சியான நிகழ்வு இருந்ததால் குடும்பமெல்லாம் கூடியது.
5007:洗漱	洗漱	洗漱	මුහුණ සෝදා දත් මැදීම; පිරිසිදු වීම	සෑම උදෑසනකම ඔහු මුලින්ම මුහුණ සෝදා දත් මදිනවා.	முகம் கழுவி பல் துலக்குதல்	ஒவ்வொரு காலையிலும் அவர் முதலில் முகம் கழுவி பல் துலக்குகிறார்.
5011:戏曲	戏曲	戏曲	සම්ප්‍රදායික චීන ඔපෙරාව; ජන රඟහල	සීයාට සම්ප්‍රදායික චීන ඔපෙරාව අහන්න ඉතා කැමතියි.	பாரம்பரிய சீன ஓபரா; பாரம்பரிய நாடகம்	தாத்தாவுக்கு பாரம்பரிய சீன ஓபராவைக் கேட்க மிகவும் பிடிக்கும்.
5014:下功夫	下功夫	下功夫	මහන්සි දැරීම; උත්සාහය යෙදීම	මේ කුසලතාව ඉගෙනගන්න බොහෝ මහන්සි දැරිය යුතුයි.	முயற்சி செலுத்துதல்; கடினமாக உழைத்தல்	இந்த திறனை கற்க நிறைய முயற்சி செலுத்த வேண்டும்.
5015:下单	下单	下单	ඇණවුම් කිරීම; වෙන්කර ගැනීම	පාරිභෝගිකයා යෙදුම තුළම ඉක්මනින් ඇණවුමක් කළා.	ஆர்டர் செய்தல்; கொள்முதல் பதிவு செய்தல்	வாடிக்கையாளர் செயலியில் உடனே ஆர்டர் செய்தார்.
5017:下线	下线	下线	නොබැඳි වීම; නතර කිරීම	මේ සේවාව මාසය අවසානයේ නතර කරනු ඇත.	ஆஃப்லைனாகுதல்; நிறுத்தப்படுதல்	இந்த சேவை மாத இறுதியில் நிறுத்தப்படும்.
5018:下旬	下旬	下旬	මාසයේ අවසාන දින දහය; මාස අවසානය	සම්මන්ත්‍රණය මේ මාසයේ අවසාන දින දහය තුළ පැවැත්වේ.	மாதத்தின் கடைசி பத்து நாட்கள்	மாநாடு இந்த மாதத்தின் கடைசி பத்து நாட்களுக்குள் நடைபெறும்.
5023:显	显	显	පෙනෙන්නට වීම; පැහැදිලි වීම	මේ වර්ණය කාමරය තවත් විශාල ලෙස පෙන්වයි.	தோன்றுதல்; வெளிப்படுதல்	இந்த நிறம் அறையை இன்னும் பெரியதாகத் தோன்றச் செய்கிறது.
5024:险	险	险	අනතුරුදායක; ටිකෙන් බේරුණු	මේ කඳු මාර්ගය අනතුරුදායක නිසා සෙමින් ධාවනය කරන්න.	ஆபத்தான; நெருக்கடியாக	இந்த மலைச் சாலை ஆபத்தானது, மெதுவாக ஓட்டுங்கள்.
5026:限	限	限	සීමා කිරීම; සීමාවක් තැබීම	මෙම සැලැස්ම සහභාගීවන්නන් පනස් දෙනෙකුට සීමා කරයි.	வரையறுத்தல்; கட்டுப்படுத்தல்	இந்த திட்டம் பங்கேற்பாளர்களின் எண்ணிக்கையை ஐம்பது பேராக வரையறுக்கிறது.
5027:线	线	线	රේඛාව; නූල	සිතියමේ රතු රේඛාව බස් මාර්ගය පෙන්වයි.	கோடு; நூல்	வரைபடத்தில் உள்ள சிவப்பு கோடு பேருந்து வழியை காட்டுகிறது.
5028:现存	现存	现存	දැනට පවතින; ඉතිරිව ඇති	දැනට ඉතිරිව ඇති ඡායාරූප ඉතා අඩුයි.	தற்போதுள்ள; மீதமுள்ள	தற்போது மீதமுள்ள புகைப்படங்கள் மிகவும் குறைவாக உள்ளன.
5029:限度	限度	限度	සීමාව; ප්‍රමාණය	වේගය සඳහා ගුණාත්මකභාවය සීමාවක් නැතිව අඩු කළ නොහැක.	வரம்பு; அளவு	வேகத்திற்காக தரத்தை எல்லையில்லாமல் குறைக்க முடியாது.
5030:现货	现货	现货	ගබඩාවේ ඇති භාණ්ඩ; සූදානම් භාණ්ඩ	මේ මාදිලිය ගබඩාවේ ඇති නිසා අදම යවන්න පුළුවන්.	கையிருப்பு பொருள்; உடனடி பொருள்	இந்த மாடல் கையிருப்பில் உள்ளது, ஆகவே இன்று அனுப்பலாம்.
5033:限于	限于	限于	සීමා වීම; ඇතුළත පමණක් වීම	සාකච්ඡාව අයවැය ගැටලුවලට පමණක් සීමා වුණා.	வரையறுக்கப்படுதல்; மட்டுப்படுத்தப்படுதல்	விவாதம் பட்ஜெட் பிரச்சினைகளுக்கு மட்டும் வரையறுக்கப்பட்டது.
5036:相传	相传	相传	ජනප්‍රවාදයට අනුව; කියැවෙන පරිදි	ජනප්‍රවාදයට අනුව, මේ වැව අසල මකරාක් ජීවත් වී ඇත.	புராணப்படி; சொல்லப்படுவதுபோல்	புராணப்படி, இந்த ஏரிக்கரையில் ஒருகாலத்தில் ஒரு நாகம் வாழ்ந்ததாகச் சொல்லப்படுகிறது.
5038:相连	相连	相连	සම්බන්ධව තිබීම; එක්ව තිබීම	නගර දෙක දුම්රිය මාර්ගයකින් සම්බන්ධ කර ඇත.	இணைந்திருத்தல்; தொடர்புடையது	இரு நகரங்களும் ரயில் பாதையால் இணைக்கப்பட்டுள்ளன.
5039:香水	香水	香水	සුවඳ විලවුන්	ඇය මල් සුවඳ ඇති සුවඳ විලවුන් බෝතලයක් මිලදී ගත්තා.	வாசனைத் திரவியம்	அவள் மலர்மணம் கொண்ட வாசனைத் திரவிய பாட்டிலை வாங்கினாள்.
5052:小偷儿	小偷儿	小偷儿	හොරෙක්; සොරෙක්	පොලිසිය දුම්රිය ස්ථානයේ හොරෙක් අල්ලා ගත්තේය.	திருடன்	போலீசார் நிலையத்தில் ஒரு திருடனை பிடித்தனர்.
5053:笑容	笑容	笑容	සිනහව; සිනාමුසු මුහුණ	ඔහුගේ සිනහව මිනිසුන්ට සන්සුන් හැඟීමක් දෙයි.	புன்னகை	அவரின் புன்னகை மக்களுக்கு அமைதியான உணர்வை தருகிறது.
5054:效应	效应	效应	බලපෑම; ප්‍රතිඵලය	මේ ප්‍රතිපත්තියේ බලපෑම ලබන වසරේ තවත් පැහැදිලි වේ.	விளைவு; தாக்கம்	இந்த கொள்கையின் தாக்கம் அடுத்த ஆண்டு மேலும் தெளிவாகும்.
