hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
1004:安检	安检	安检	kontrola bezpieczeństwa	Przed wejściem na stację wszyscy pasażerowie muszą przejść kontrolę bezpieczeństwa.	veiligheidscontrole	Voordat passagiers het station binnengaan, moeten ze allemaal door de veiligheidscontrole.	säkerhetskontroll	Innan passagerarna går in på stationen måste alla gå igenom säkerhetskontrollen.	sikkerhetskontroll	Før passasjerene går inn på stasjonen, må alle gjennom sikkerhetskontrollen.	sikkerhedskontrol	Før passagererne går ind på stationen, skal alle igennem sikkerhedskontrollen.	turvatarkastus	Ennen asemalle menoa kaikkien matkustajien täytyy mennä turvatarkastuksen läpi.
1006:按	按	按	nacisnąć; według	Naciśnij zielony przycisk, żeby otworzyć drzwi.	drukken; volgens	Druk op de groene knop om de deur te openen.	trycka; enligt	Tryck på den gröna knappen för att öppna dörren.	trykke; ifølge	Trykk på den grønne knappen for å åpne døren.	trykke; ifølge	Tryk på den grønne knap for at åbne døren.	painaa; mukaan	Paina vihreää painiketta avataksesi oven.
1009:白酒	白酒	白酒	baijiu; chiński trunek	On nie pije baijiu, pije tylko herbatę.	baijiu; Chinese sterke drank	Hij drinkt geen baijiu, hij drinkt alleen thee.	baijiu; kinesisk sprit	Han dricker inte baijiu, bara te.	baijiu; kinesisk brennevin	Han drikker ikke baijiu, bare te.	baijiu; kinesisk spiritus	Han drikker ikke baijiu, kun te.	baijiu; kiinalainen väkevä juoma	Hän ei juo baijiuta, vaan vain teetä.
1010:办公	办公	办公	pracować biurowo; pracować	Dziś ona pracuje z domu.	kantoorwerk doen; werken	Zij werkt vandaag thuis.	arbeta på kontor; arbeta	Hon arbetar hemifrån i dag.	jobbe på kontor; arbeide	Hun jobber hjemmefra i dag.	arbejde på kontor; arbejde	Hun arbejder hjemmefra i dag.	tehdä toimistotyötä; työskennellä	Hän tekee tänään töitä kotoa.
1012:办事	办事	办事	załatwiać sprawy	Po południu idę do banku załatwić sprawy.	zaken regelen	Ik ga vanmiddag naar de bank om zaken te regelen.	uträtta ärenden	Jag ska till banken i eftermiddag för att uträtta ärenden.	ordne saker; gjøre ærend	Jeg skal i banken i ettermiddag for å ordne noen saker.	ordne sager; klare ærinder	Jeg går i banken i eftermiddag for at ordne nogle sager.	hoitaa asioita	Menen iltapäivällä pankkiin hoitamaan asioita.
1017:报考	报考	报考	zgłosić się do egzaminu; zapisać się na egzamin	On przygotowuje się do zapisania na egzamin z chińskiego.	zich aanmelden voor een examen	Hij bereidt zich voor om zich aan te melden voor het Chinese examen.	anmäla sig till ett prov	Han förbereder sig för att anmäla sig till kinesiskaprovet.	melde seg opp til eksamen	Han forbereder seg på å melde seg opp til kinesiskeksamen.	tilmelde sig en eksamen	Han forbereder sig på at tilmelde sig kinesiskeksamenen.	ilmoittautua kokeeseen	Hän valmistautuu ilmoittautumaan kiinan kokeeseen.
1021:背包	背包	背包	plecak	Mój plecak leży przy drzwiach.	rugzak	Mijn rugzak staat bij de deur.	ryggsäck	Min ryggsäck står vid dörren.	ryggsekk	Ryggsekken min står ved døren.	rygsæk	Min rygsæk står ved døren.	reppu	Reppuni on oven luona.
1022:北部	北部	北部	północna część	W północnej części tego miasta jest góra.	noordelijk deel; noorden	In het noordelijke deel van deze stad staat een berg.	norra delen; norr	I norra delen av staden finns ett berg.	nordlige del; nord	I den nordlige delen av byen ligger det et fjell.	nordlige del; nord	I den nordlige del af byen ligger der et bjerg.	pohjoisosa	Tämän kaupungin pohjoisosassa on vuori.
1028:笔试	笔试	笔试	test pisemny	Jutro rano odbędzie się test pisemny.	schriftelijke test	Er is morgenochtend een schriftelijke test.	skriftligt prov	Det är ett skriftligt prov i morgon förmiddag.	skriftlig prøve	Det er en skriftlig prøve i morgen formiddag.	skriftlig prøve	Der er en skriftlig prøve i morgen formiddag.	kirjallinen koe	Huomenaamulla on kirjallinen koe.
1030:毕业生	毕业生	毕业生	absolwent; absolwentka	Wielu absolwentów szuka pracy.	afgestudeerde	Veel afgestudeerden zoeken werk.	utexaminerad; nyexaminerad	Många nyexaminerade söker jobb.	uteksaminert; nyutdannet	Mange nyutdannede leter etter jobb.	dimittend; nyuddannet	Mange nyuddannede leder efter arbejde.	valmistunut	Monet valmistuneet etsivät työtä.
