simplified	MS	example_MS
挨	bertahan	Dia bertahan sepanjang malam dan akhirnya menunggu sampai subuh
癌症	kanser	Pengesanan awal kanser sangat penting
暧昧	samar-samar	Jawapannya sangat samar-samar
爱不释手	sayang hingga tidak mahu melepaskan	Dia sangat sayang akan buku ini hingga tidak mahu melepaskannya
爱戴	disayangi dan dihormati	Guru ini sangat disayangi dan dihormati oleh murid-murid
安宁	tenteram	Malam di sini sangat tenteram
安详	tenang	Ekspresi wajah orang tua itu sangat tenang
安置	menempatkan	Kerajaan menempatkan mangsa bencana
按摩	urutan	Saya telah menempah satu sesi urutan
暗示	memberi isyarat	Dia memberi isyarat supaya saya tidak bertanya lagi
案件	kes	Pihak polis sedang menyiasat kes ini
案例	contoh kes	Contoh kes ini sangat mewakili keadaan sebenar
昂贵	mahal	Peralatan ini sangat mahal
凹凸	tidak rata	Permukaan jalan ini tidak rata
熬	bertahan	Dia bertahan selama tiga hari sebelum menyiapkan laporan
奥秘	misteri mendalam	Para saintis ingin membongkar misteri mendalam ini
巴不得	tidak sabar	Saya tidak sabar untuk bertolak sekarang
巴结	mengampu	Dia tidak sanggup mengampu pemimpin
扒	berpaut	Kanak-kanak itu berpaut pada pintu sambil melihat ke luar
疤	parut	Ada satu parut pada lengannya
拔苗助长	terlalu memaksa hingga merosakkan	Memaksa anak belajar seperti ini hanya akan terlalu memaksa hingga merosakkan
把关	menyemak dengan teliti	Kontrak ini perlu disemak dengan teliti oleh peguam
把手	pemegang	Pemegang pintu itu rosak
罢工	mogok	Para pekerja memutuskan untuk mogok esok
霸道	dominan secara kasar	Cara dia bercakap terlalu dominan secara kasar
掰	mematahkan	Dia mematahkan roti itu menjadi dua bahagian
摆脱	melepaskan diri	Akhirnya dia melepaskan diri daripada tabiat buruk
拜访	melawat	Kami akan melawat guru pada hujung minggu
拜年	mengucapkan selamat tahun baharu	Semasa Tahun Baru Cina kami pergi mengucapkan selamat tahun baharu kepada datuk dan nenek
拜托	meminta bantuan	Urusan ini saya meminta bantuan kamu
败坏	merosakkan	Perbuatan seperti ini akan merosakkan nama baik syarikat
斑	tompok	Ada satu tompok hitam pada badan kucing
颁布	mengumumkan	Peraturan baharu akan diumumkan minggu depan
颁发	menganugerahkan	Sekolah menganugerahkan sijil penghargaan kepada murid cemerlang
版本	versi	Perisian ini mempunyai versi baharu
伴侣	teman	Dia menganggap anjing itu sebagai temannya
伴随	mengiringi	Kejayaan sering mengiringi tekanan
半途而废	berhenti separuh jalan	Kajian tidak boleh dihentikan separuh jalan
扮演	melakonkan	Dia melakonkan watak doktor dalam filem itu
榜样	teladan	Ibu bapa ialah teladan bagi anak-anak
绑架	penculikan	Polis berjaya menggagalkan satu kes penculikan
磅	paun	Kotak ini beratnya dua puluh paun
包庇	melindungi kesalahan	Tiada siapa boleh melindungi jenayah
包袱	beban	Selepas melepaskan beban itu, dia berasa jauh lebih lega
包围	mengepung	Wartawan mengepung pelakon itu
包装	pembungkusan	Pembungkusan hadiah ini sangat cantik
保管	menyimpan	Dokumen-dokumen ini saya yang menyimpan
保密	merahsiakan	Kandungan mesyuarat mesti dirahsiakan
保姆	pengasuh	Mereka mengupah seorang pengasuh
保守	konservatif	Pemikirannya agak konservatif
保卫	mempertahankan	Askar mempertahankan sempadan
保养	menyelenggara	Kereta ini perlu diselenggara secara berkala
保障	menjamin	Undang-undang menjamin hak warganegara
保重	menjaga diri	Semasa berada di luar, sila jaga diri baik-baik
饱和	tepu	Pasaran ini sudah hampir tepu
饱经沧桑	banyak mengalami perubahan	Orang tua ini telah banyak mengalami perubahan hidup
报酬	ganjaran	Dia menerima ganjaran yang munasabah
报仇	membalas dendam	Dia tidak mahu membalas dendam, hanya mahu mula semula
报答	membalas budi	Saya akan membalas budi bantuan kamu dengan tindakan
报复	membalas dendam	Tindakan membalas dendam hanya akan memperdalam konflik
报警	melaporkan kepada polis	Selepas menemui kebakaran, perlu segera melaporkannya kepada polis
报销	menuntut bayaran balik	Perbelanjaan perjalanan boleh dituntut bayaran balik
抱负	cita-cita	Sejak kecil dia mempunyai cita-cita besar
暴力	keganasan	Kami menentang sebarang bentuk keganasan
暴露	terdedah	Masalah ini beransur-ansur terdedah
曝光	didedahkan	Selepas foto ini didedahkan, ia menarik perhatian
爆发	meletus	Gunung berapi itu tiba-tiba meletus
爆炸	letupan	Satu letupan berlaku di makmal
卑鄙	keji	Cara keji seperti ini membuat orang marah
悲哀	sedih	Selepas mendengar berita itu, dia berasa sangat sedih
悲惨	tragis	Itu ialah satu tempoh sejarah yang tragis
北极	Kutub Utara	Para saintis menjalankan penyelidikan di Kutub Utara
备份	sandaran	Sila buat sandaran fail penting terlebih dahulu
备忘录	memo	Dia menulis perkara penting dalam memo
背叛	pengkhianatan	Dia tidak dapat menerima pengkhianatan kawannya
背诵	menghafal	Para pelajar sedang menghafal teks
被动	pasif	Dalam rundingan, kita tidak boleh terlalu pasif
被告	defendan	Defendan menafikan semua tuduhan
贝壳	cangkerang	Kanak-kanak mengutip cangkerang di tepi laut
奔波	berkejar-kejar	Dia berkejar-kejar ke sana sini demi kerja
奔驰	meluncur laju	Kereta meluncur laju di lebuh raya
本能	naluri	Melindungi anak ialah naluri ibu bapa
本钱	modal	Berniaga memerlukan modal
本人	diri saya sendiri	Diri saya sendiri sanggup memikul tanggungjawab
本身	pada dirinya sendiri	Rancangan ini pada dirinya sendiri tiada masalah
本事	kebolehan	Dia sangat berkebolehan
笨拙	kekok	Gerak-gerinya agak kekok
崩溃	ranap	Sistem tiba-tiba ranap
甭	tidak perlu	Perkara ini kamu tidak perlu risau
蹦	melompat-lompat	Anak anjing itu melompat-lompat di atas rumput
迸发	meledak	Tepukan tangan meledak daripada orang ramai
逼迫	memaksa	Mereka memaksa dia menandatangani kontrak
鼻涕	hingus	Kanak-kanak itu selesema dan hingusnya asyik mengalir
比方	contoh	Contohnya, kita boleh cuba dahulu selama sebulan
比喻	perumpamaan	Perumpamaan ini sangat jelas
比重	perkadaran	Perkadaran sektor perkhidmatan semakin tinggi
鄙视	memandang rendah	Jangan memandang rendah usaha orang lain
弊病	kelemahan	Sistem seperti ini mempunyai banyak kelemahan
弊端	keburukan	Rancangan baharu menyelesaikan keburukan sistem lama
臂	lengan	Lengan kanannya cedera
闭塞	terpencil	Dahulu pengangkutan ke kampung gunung ini sangat terpencil
编织	mengait	Nenek sedang mengait sehelai baju sejuk
边疆	kawasan sempadan	Ramai askar menjaga kawasan sempadan tanah air
边界	sempadan	Kedua-dua negara menetapkan semula sempadan
边境	wilayah sempadan	Wilayah sempadan memperketat pemeriksaan keselamatan
边缘	tepi	Cawan diletakkan di tepi meja
鞭策	mendorong	Kata-kata guru sentiasa mendorong saya
扁	leper	Kotak ini lebar dan leper
贬低	merendahkan	Jangan sesuka hati merendahkan usaha orang lain
贬义	makna negatif	Perkataan ini di sini membawa makna negatif
便利	mudah	MRT menjadikan perjalanan lebih mudah
便条	nota	Dia meninggalkan sekeping nota di atas meja
便于	memudahkan	Reka bentuk ini memudahkan orang tua menggunakannya
变故	peristiwa tidak dijangka	Keluarganya tiba-tiba mengalami peristiwa tidak dijangka
变迁	perubahan	Perubahan kota itu membuat dia banyak terharu
变质	rosak	Susu akan rosak jika dibiarkan terlalu lama
辨认	mengenal pasti	Polis meminta dia mengenal pasti orang dalam foto
辩护	membela	Peguam membela defendan
辩解	memberi alasan	Dia cuba memberi alasan bagi kesalahannya sendiri
辩证	secara dialektik	Kita perlu melihat masalah ini secara dialektik
辫子	tocang	Gadis kecil itu mengikat dua tocang
遍布	tersebar di seluruh	Tumbuhan ini tersebar di seluruh negara
标本	spesimen	Muzium mempamerkan spesimen haiwan
标记	tanda	Sila buat tanda di sebelah perenggan penting
标题	tajuk	Tajuk artikel ini sangat menarik
