simplified	KA	example_KA
啊	დადასტურების ნაწილაკი; ა	კარგი, ახლა წავიდეთ.
阿姨	დეიდა; ძიძა	დეიდა დიდ მაღაზიაში მუშაობს.
矮	დაბალი; ტანდაბალი	ეს მაგიდა ცოტა დაბალია.
爱好	ჰობი; ინტერესი	ჩემი ჰობი მუსიკის მოსმენაა.
安静	მშვიდი; წყნარი	ბიბლიოთეკაში ძალიან წყნარია.
把	დაჭერა; აღება; ობიექტის ნაწილაკი	გთხოვ, კარი დახურე.
搬	გადასვლა; გადატანა	ჩვენ ხვალ გადავდივართ.
班	კლასი; ჯგუფი	ჩვენს კლასში ოცი მოსწავლეა.
办法	მეთოდი; გზა	ეს მეთოდი ძალიან კარგია.
办公室	ოფისი; სამუშაო ოთახი	მენეჯერი ოფისშია.
半	ნახევარი	ნახევარი საათი ველოდე.
帮忙	დახმარება	შეგიძლია დამეხმარო?
包	ჩანთა; შეფუთვა	მან ახალი ჩანთა იყიდა.
饱	მაძღარი; დანაყრება	მე უკვე დავნაყრდი.
北方	ჩრდილოეთი; ჩრდილოეთის მხარე	ჩრდილოეთში ზამთარი ძალიან ცივია.
被	ვნებითი გვარის ნაწილაკი; მიერ	ჩემი ველოსიპედი მეგობარმა წაიღო.
鼻子	ცხვირი	მისი ცხვირი ცოტა გაწითლებულია.
比较	შედარება; საკმაოდ	დღეს საკმაოდ ცხელა.
比赛	შეჯიბრი; თამაში	ეს შეჯიბრი ძალიან მნიშვნელოვანია.
笔记本	რვეული; ბლოკნოტი	რვეული მაგიდაზე დავდე.
必须	აუცილებელი; უნდა	აუცილებლად ყურადღებით უნდა გაიმეორო.
变化	ცვლილება; შეცვლა	ეს ქალაქი ძალიან შეიცვალა.
别人	სხვები	სხვის ნივთებს ნუ აიღებ.
冰箱	მაცივარი	ხილი მაცივარშია.
不但…而且…	არა მხოლოდ... არამედ...	ის არა მხოლოდ ჭკვიანია, არამედ ძალიან შრომისმოყვარეც.
菜单	მენიუ	გთხოვ, ერთი მენიუ მომეცი.
参加	მონაწილეობა	ამ შეხვედრაში მონაწილეობა მინდა.
