source_headword	TH	example_TH
hunt	ล่า;ค้นหา	พวกเขาค้นหาเห็ดในฤดูใบไม้ร่วง.
hurricane	พายุเฮอริเคน	พายุเฮอริเคนทำลายบ้านหลายหลัง.
hurry	ความรีบเร่ง	วันนี้ไม่ต้องรีบ.
identity	ตัวตน;อัตลักษณ์	ตัวตนของเธอยังคงเป็นความลับ.
ignore	เพิกเฉย	อย่าเพิกเฉยต่อคำเตือนนี้.
illegal	ผิดกฎหมาย	การจอดรถที่นี่ผิดกฎหมาย.
imaginary	ในจินตนาการ	เรื่องนั้นมีเกาะในจินตนาการ.
immediate	ทันที	เราต้องการคำตอบทันที.
immigrant	ผู้อพยพ	ผู้อพยพคนนั้นเรียนภาษาอังกฤษได้เร็ว.
impact	ผลกระทบ	ข่าวนั้นมีผลกระทบแรง.
import	นำเข้า	ประเทศนั้นจะนำเข้าข้าวมากขึ้น.
importance	ความสำคัญ	เธอเข้าใจความสำคัญของการนอน.
impression	ความประทับใจ	ความประทับใจแรกของเขาเป็นบวก.
impressive	น่าประทับใจ	พิพิธภัณฑ์มีทางเข้าที่น่าประทับใจ.
improvement	การปรับปรุง	เดือนนี้มีการปรับปรุงชัดเจน.
incredibly	อย่างเหลือเชื่อ	ข้อสอบนั้นยากอย่างเหลือเชื่อ.
indeed	จริงๆ	มันเป็นวันที่แปลกจริงๆ.
indicate	บ่งชี้	ป้ายจะบ่งชี้ทางออก.
indirect	ทางอ้อม	เธอให้คำตอบทางอ้อม.
indoor	ในร่ม	โรงแรมมีสระว่ายน้ำในร่ม.
indoors	ในบ้าน	เราอยู่ในบ้านระหว่างพายุ.
influence	อิทธิพล	ครูของเขามีอิทธิพลมาก.
ingredient	ส่วนผสม	แป้งเป็นส่วนผสมหลัก.
injure	ทำให้บาดเจ็บ	อย่าทำให้หลังของคุณบาดเจ็บ.
injured	บาดเจ็บ	ผู้เล่นที่บาดเจ็บออกจากสนาม.
innocent	บริสุทธิ์;ไร้เดียงสา	เด็กคนนั้นดูไร้เดียงสาอย่างยิ่ง.
intelligence	สติปัญญา	เธอแสดงสติปัญญามากในชั้นเรียน.
intend	ตั้งใจ	ฉันตั้งใจจะไปเรียนต่างประเทศ.
intention	ความตั้งใจ	ความตั้งใจของเขาคือการช่วย.
invest	ลงทุน	พวกเขาลงทุนเงินในการศึกษา.
investigate	สอบสวน	ตำรวจจะสอบสวนอุบัติเหตุ.
involved	เกี่ยวข้อง	นักเรียนหลายคนเกี่ยวข้อง.
iron	เหล็ก	ประตูทำจากเหล็ก.
issue	ประเด็น	นี่เป็นประเด็นร้ายแรง.
IT	ไอที	เธอทำงานด้านไอที.
journal	สมุดบันทึก	เขาเขียนในสมุดบันทึก.
judge	ผู้พิพากษา	ผู้พิพากษาฟังอย่างระมัดระวัง.
keen	กระตือรือร้น	เธอกระตือรือร้นที่จะเรียนรู้.
keyboard	แป้นพิมพ์	แป้นพิมพ์ของฉันหยุดทำงาน.
kick	เตะ	เตะลูกบอลเบาๆ.
killing	การฆ่า	การฆ่านั้นทำให้หมู่บ้านตกใจ.
kind (caring)	ใจดี	นั่นเป็นสิ่งที่ใจดี.
kiss	จูบ	เธอจูบทารกหนึ่งครั้ง.
label	ป้ายฉลาก	อ่านป้ายฉลากก่อนใช้.
laboratory	ห้องทดลอง	ห้องทดลองปิดวันนี้.
lack	การขาด	การขาดการนอนทำร้ายความจำ.
latest	ล่าสุด	คุณอ่านรายงานล่าสุดหรือยัง.
lay	วาง	วางหนังสือบนโต๊ะ.
layer	ชั้น	เพิ่มสีอีกชั้นหนึ่ง.
leading	ชั้นนำ	เธอเป็นนักวิทยาศาสตร์ชั้นนำ.
leaf	ใบไม้	ใบไม้ตกลงบนเสื้อโค้ตของฉัน.
leather	หนัง	กระเป๋าของเขาทำจากหนัง.
legal	ทางกฎหมาย;ถูกกฎหมาย	เราต้องการคำแนะนำทางกฎหมาย.
leisure	เวลาว่าง	การอ่านเป็นกิจกรรมยามว่างที่ฉันชอบ.
length	ความยาว	วัดความยาวของห้อง.
lie2 (tell a lie)	โกหก	อย่าโกหกพ่อแม่ของคุณ.
limit	ขีดจำกัด	ขีดจำกัดความเร็วคือห้าสิบ.
lip	ริมฝีปาก	เธอกัดริมฝีปาก.
liquid	ของเหลว	น้ำเป็นของเหลวใส.
literature	วรรณคดี	เธอเรียนวรรณคดีฝรั่งเศส.
live2	สด	วงดนตรีเล่นสดเมื่อคืน.
living	มีชีวิต	พืชที่มีชีวิตต้องการแสง.
locate	ระบุตำแหน่ง	คุณระบุตำแหน่งไฟล์ได้ไหม.
located	ตั้งอยู่	สำนักงานตั้งอยู่ในตัวเมือง.
location	ตำแหน่ง	นี่เป็นตำแหน่งที่ดี.
lonely	เหงา	เขารู้สึกเหงาหลังย้ายบ้าน.
loss	การสูญเสีย	การสูญเสียนั้นยากสำหรับทุกคน.
luxury	ความหรูหรา	โรงแรมมอบความหรูหราจริงๆ.
mad	โกรธ	เธอโกรธเรื่องความล่าช้า.
magic	เวทมนตร์	การแสดงเต็มไปด้วยเวทมนตร์.
mainly	ส่วนใหญ่	กลุ่มนั้นส่วนใหญ่เป็นนักเรียน.
mall	ห้างสรรพสินค้า	เราพบกันที่ห้างสรรพสินค้า.
management	การจัดการ	การจัดการที่ดีช่วยประหยัดเวลา.
marketing	การตลาด	การตลาดช่วยขายสินค้า.
marriage	การแต่งงาน	การแต่งงานของพวกเขายาวนานสามสิบปี.
meanwhile	ในขณะเดียวกัน	ฉันทำอาหารเย็นในขณะเดียวกัน.
measure	วัด	วัดโต๊ะอย่างระมัดระวัง.
medium	ขนาดกลาง	ฉันสั่งพิซซ่าขนาดกลาง.
mental	ทางจิตใจ	ความเครียดกระทบสุขภาพทางจิตใจ.
mess	ความรก	เก็บความรกนี้ให้เรียบร้อย.
mild	อ่อน	ซุปมีรสอ่อน.
mine (hole in the ground)	เหมือง	เหมืองนั้นปิดเมื่อปีที่แล้ว.
mix	ผสม	ผสมไข่กับนม.
mixture	ส่วนผสม	ส่วนผสมเริ่มข้น.
mood	อารมณ์	ดนตรีเปลี่ยนอารมณ์ของเธอ.
mud	โคลน	รองเท้าของเขาเปื้อนโคลน.
murder	การฆาตกรรม	การฆาตกรรมเกิดขึ้นตอนกลางคืน.
muscle	กล้ามเนื้อ	การออกกำลังกายสร้างกล้ามเนื้อ.
mystery	ปริศนา	บ้านเก่าเป็นปริศนา.
nail	เล็บ	ฉันทำเล็บหักหนึ่งเล็บ.
narrative	เรื่องเล่า	นวนิยายมีเรื่องเล่าชัดเจน.
nation	ชาติ	ทั้งชาติฉลองกัน.
native	พื้นเมือง;เจ้าของภาษา	ภาษาสเปนเป็นภาษาของเธอ.
naturally	โดยธรรมชาติ	เด็กเรียนรู้โดยธรรมชาติผ่านการเล่น.
necessarily	จำเป็นต้อง	อาหารแพงไม่ได้ดีกว่าเสมอไป.
needle	เข็ม	เข็มนั้นคมมาก.
neighbourhood	ละแวกบ้าน	พวกเขาอยู่ในละแวกบ้านที่เงียบ.
net	ตาข่าย	ชาวประมงซ่อมตาข่ายของเขา.
nor	ก็ไม่	เขาไม่ยิ้มและก็ไม่พูด.
northern	ทางเหนือ	พวกเขาไปเยือนชายฝั่งทางเหนือ.
nuclear	นิวเคลียร์	การอภิปรายเกี่ยวกับพลังงานนิวเคลียร์.
obvious	ชัดเจน	คำตอบชัดเจน.
obviously	อย่างชัดเจน	อย่างชัดเจนว่าเราต้องการเวลามากขึ้น.
occasion	โอกาส	นี่เป็นโอกาสพิเศษ.
occur	เกิดขึ้น	อุบัติเหตุเกิดขึ้นได้ทุกที่.
odd	แปลก	นั่นเป็นคำถามแปลก.
official	เป็นทางการ	ผลอย่างเป็นทางการมาถึงวันนี้.
old-fashioned	ล้าสมัย	โทรศัพท์ของเธอดูล้าสมัย.
operation	การผ่าตัด;การดำเนินการ	การผ่าตัดใช้เวลาสองชั่วโมง.
organized	เป็นระเบียบ	โต๊ะของเธอเป็นระเบียบมาก.
organizer	ผู้จัด	ผู้จัดต้อนรับแขก.
originally	เดิมที	เดิมทีเธอมาจากแคนาดา.
ought modal	ควร	คุณควรพักผ่อน.
ours	ของเรา	โต๊ะตัวนี้เป็นของเรา.
outdoor	กลางแจ้ง	เราซื้อเฟอร์นิเจอร์กลางแจ้ง.
outdoors	ข้างนอก	เด็กควรเล่นข้างนอก.
package	พัสดุ	พัสดุมาถึงเช้านี้.
painful	เจ็บปวด	แผลนั้นเจ็บปวด.
pale	ซีด	ใบหน้าของเขาดูซีด.
pan	กระทะ	อุ่นกระทะก่อน.
participate	เข้าร่วม	ทุกคนสามารถเข้าร่วมได้.
particularly	โดยเฉพาะ	ฉันชอบเพลงนี้โดยเฉพาะ.
passion	ความหลงใหล	ดนตรีคือความหลงใหลของเธอ.
path	ทางเดิน	เดินตามทางเดินผ่านสวน.
payment	การชำระเงิน	การชำระเงินครบกำหนดพรุ่งนี้.
peaceful	สงบ	สวนนี้สงบ.
percentage	เปอร์เซ็นต์	เปอร์เซ็นต์เล็กๆเห็นด้วย.
