source_headword	NE	example_NE
machine	मेसिन; यन्त्र	यो मेसिनले कफी बनाउँछ।
magazine	पत्रिका	उनी पत्रिका पढ्छिन्।
main	मुख्य	यो मुख्य ढोका हो।
make	बनाउनु; गर्नु	म घरमा खाना बनाउँछु।
man	पुरुष; मान्छे	त्यो पुरुष मेरो शिक्षक हो।
many	धेरै	यहाँ धेरै विद्यार्थी छन्।
map	नक्सा	नक्सा हेर।
March	मार्च महिना	मेरो जन्मदिन मार्चमा छ।
market	बजार	हामी बजारमा फलफूल किन्छौँ।
married	विवाहित	मेरी दिदी विवाहित छिन्।
May	मे महिना	स्कूल मेमा सकिन्छ।
maybe	सायद; हुन सक्छ	सायद आज पानी पर्छ।
me	मलाई; म	कृपया मलाई मद्दत गर।
meal	खाना	यो खाना तातो छ।
mean	अर्थ हुनु	यो चिन्हको अर्थ के हो?
meaning	अर्थ	यो शब्दको अर्थ के हो?
meat	मासु	म बेलुकाको खानामा मासु खान्छु।
meet	भेट्नु	हामी कक्षापछि भेट्छौँ।
meeting	बैठक	बैठक अहिले सुरु हुन्छ।
member	सदस्य	उनी क्लबकी सदस्य हुन्।
menu	मेनु; खाना सूची	कृपया मेनु पढ।
message	सन्देश	म छोटो सन्देश पठाउँछु।
metre	मिटर	एक मिटर अगाडि हिँड।
midnight	मध्यरात	रेल मध्यरातमा छुट्छ।
mile	माइल	हामी एक माइल हिँड्यौँ।
milk	दूध	म बिहानको खानासँग दूध पिउँछु।
million	दस लाख	यहाँ दस लाख मानिस छन्।
minute1	मिनेट	कृपया एक मिनेट पर्ख।
miss	सम्झनु; छुटाउनु	म पुरानो स्कूल सम्झन्छु।
mistake	गल्ती	यो उत्तरमा गल्ती छ।
model	नमूना; मोडेल	यो सानो नमूना हो।
modern	आधुनिक	यो भान्सा आधुनिक छ।
moment	क्षण; एकछिन	कृपया एकछिन पर्ख।
Monday	सोमबार	हामी सोमबार काम सुरु गर्छौँ।
money	पैसा	मलाई केही पैसा चाहिन्छ।
month	महिना	जुन न्यानो महिना हो।
more	अझ; धेरै	मलाई अझ समय चाहिन्छ।
morning	बिहान	म बिहान पढ्छु।
most	धेरैजसो; सबैभन्दा धेरै	धेरैजसो विद्यार्थी संगीत मन पराउँछन्।
mother	आमा	मेरी आमा आज काम गर्नुहुन्छ।
mountain	पहाड	यो पहाड अग्लो छ।
mouse	मुसा	एउटा मुसा कुर्सीमुनि छ।
mouth	मुख	कृपया आफ्नो मुख खोल।
move	सार्नु; चल्नु	कुर्सी यहाँ सार।
movie	चलचित्र	हामी आज राति चलचित्र हेर्छौँ।
much	धेरै; कति	यसको मूल्य कति हो?
mum	आमा	मेरी आमा घरमा हुनुहुन्छ।
museum	संग्रहालय	संग्रहालय दस बजे खुल्छ।
music	संगीत	म संगीत सुन्छु।
must modal	पर्छ; जरुरी छ	तिमी यहाँ रोकिनुपर्छ।
