source_headword	SV	example_SV
incur	ådra sig	Förseningar kan medföra extra kostnader.
indicator	en indikator	Arbetslöshet är en ekonomisk indikator.
indictment	ett åtal	Åtalet innehöll tre åtalspunkter.
indigenous	inhemsk	Inhemska växter växer bra här.
induce	framkalla	Medicinen kan framkalla sömn.
indulge	hänge sig åt	Hon hänger sig inte åt dyra vanor.
inequality	en ojämlikhet	Inkomstojämlikhet förblir en viktig fråga.
infamous	ökänd	Fängelset blev ökänt över hela världen.
infant	ett spädbarn	Spädbarnet sov i spjälsängen.
infect	infektera / smitta	Viruset kan infektera friska celler.
inflict	tillfoga	Tillfoga inte djur smärta.
influential	inflytelserik	Hon är en inflytelserik juridisk forskare.
inherent	inneboende	Designen har inneboende risker.
inhibit	hämma	Rädsla kan hämma en ärlig diskussion.
initiate	initiera / inleda	Chefen kommer att initiera granskningen.
inject	injicera	Sjuksköterskan kommer att injicera vaccinet.
injection	en injektion	Injektionen minskade smärtan.
injustice	en orättvisa	Domen avslöjade en tydlig orättvisa.
inmate	en intagen	Den intagne bad om juridisk rådgivning.
insertion	ett införande	Formuläret kräver ett textinförande.
insider	en insider	En insider läckte rapporten.
inspect	inspektera	Tjänstemän inspekterar bron årligen.
inspection	en inspektion	Inspektionen fann allvarliga skador.
inspiration	en inspiration	Hennes tal gav mig inspiration.
instinct	en instinkt	Hans första instinkt var att hjälpa.
institutional	institutionell	Institutionella regler formade beslutet.
instruct	instruera	Manualen kommer att instruera ny personal.
instrumental	avgörande / bidragande	Hennes råd var avgörande i förhandlingarna.
insufficient	otillräcklig	Bevisen var otillräckliga för åtal.
insult	en förolämpning	Hans förolämpning avslutade samtalet.
intact	intakt	Den gamla muren förblev intakt.
intake	ett intag	Sockerintaget bör hållas måttligt.
integral	integrerad / väsentlig	Tillit är väsentligt för teamet.
integrated	integrerad	Skolan erbjuder integrerat stöd.
integration	en integration	Integration förbättrade hela systemet.
integrity	en integritet	Domaren visade stor integritet.
intensify	intensifiera	Stormen kan intensifieras under natten.
intensity	en intensitet	Träningens intensitet ökade.
intensive	intensiv	De slutförde intensiv språkutbildning.
intent	en avsikt	Hans avsikt var svår att bevisa.
interactive	interaktiv	Museet har interaktiva utställningar.
interface	ett gränssnitt	Gränssnittet är lätt att navigera.
interfere	lägga sig i	Lägg dig inte i utredningen.
interference	en störning / en inblandning	Signalstörningar avbröt samtalet.
interim	tillfällig / interims-	En interimsrapport anländer i morgon.
interior	inre	De inre väggarna behöver målas.
intermediate	medel- / mellannivå	Hon gick med i mellangruppen.
intervene	ingripa	Polisen var tvungen att ingripa snabbt.
intervention	ett ingripande / en intervention	Ett tidigt ingripande hjälpte patienten.
intimate	intim	De höll en intim familjeceremoni.
intriguing	fängslande / spännande	Datan avslöjade ett spännande mönster.
investigator	en utredare	Utredaren intervjuade varje vittne.
invisible	osynlig	Gasen är osynlig och farlig.
invoke	åberopa	Advokaten försökte åberopa prejudikat.
involvement	ett engagemang / en inblandning	Hans inblandning förblev oklar.
ironic	ironisk	Den ironiska kommentaren fick alla att skratta.
ironically	ironiskt nog	Ironiskt nog tog rutten längre tid.
irony	en ironi	Ironin var uppenbar för alla.
irrelevant	irrelevant	Den detaljen är irrelevant här.
isolation	en isolering	Isolering kan skada den mentala hälsan.
judicial	rättslig	Den rättsliga prövningen börjar på måndag.
junction	en korsning	Sväng vänster i korsningen.
jurisdiction	en jurisdiktion	Domstolen har begränsad jurisdiktion.
