source_headword	HI	example_HI
ability	क्षमता; योग्यता	उसकी तैरने की क्षमता साफ है.
able	सक्षम	वह आज आ सकता है.
abroad	विदेश में	वह विदेश में पढ़ना चाहती है.
accept	स्वीकार करना	कृपया यह छोटा उपहार स्वीकार करें.
accident	दुर्घटना	दुर्घटना स्कूल के पास हुई.
according to	के अनुसार	रिपोर्ट के अनुसार बारिश आने वाली है.
achieve	हासिल करना	तुम अपना लक्ष्य हासिल कर सकते हो.
act	अभिनय करना; काम	वह नाटक में अभिनय कर सकता है.
active	सक्रिय	वह हर दिन सक्रिय रहती है.
actually	वास्तव में	वास्तव में मुझे और समय चाहिए.
advantage	लाभ; फायदा	इस योजना का एक लाभ है.
adventure	रोमांच	उनकी यात्रा एक रोमांच थी.
advertise	विज्ञापन देना	वे नई नौकरी का विज्ञापन देते हैं.
advertisement	विज्ञापन	मैंने एक विज्ञापन देखा.
advertising	विज्ञापन	विज्ञापन भोजन बेचने में मदद करता है.
affect	प्रभावित करना	नींद तुम्हारे स्वास्थ्य को प्रभावित कर सकती है.
against	के खिलाफ; सहारे	दीवार के सहारे मत झुको.
ah	आह	आह, अब मैं समझ गया.
airline	विमान कंपनी	विमान कंपनी बहुत व्यस्त है.
alive	जीवित	छोटी मछली जीवित है.
all right	ठीक	अब सब कुछ ठीक है.
allow	अनुमति देना	वे यहाँ कुत्तों की अनुमति देते हैं.
almost	लगभग	हम लगभग तैयार हैं.
alone	अकेला; अकेली	वह अकेली रहती है.
along	के साथ-साथ	इस सड़क के साथ-साथ चलो.
already	पहले से ही	मुझे जवाब पहले से ही पता है.
alternative	विकल्प	यह ट्रेन एक विकल्प है.
although	हालांकि	हालांकि देर हो गई है, हम रुक सकते हैं.
among	के बीच	वह पेड़ों के बीच खड़ा था.
amount	मात्रा; राशि	राशि बहुत छोटी है.
ancient	प्राचीन	यह प्राचीन दीवार प्रसिद्ध है.
ankle	टखना	आज मेरा टखना दुख रहा है.
anybody	कोई भी	क्या कोई भी इसका जवाब दे सकता है?
any more	अब और	मुझे अब और जरूरत नहीं है.
anyway	वैसे भी	वैसे भी, हम अब शुरू कर सकते हैं.
anywhere	कहीं भी	जहाँ चाहो वहाँ बैठो.
app	ऐप	यह ऐप उपयोगी है.
appear	दिखाई देना	उसका नाम यहाँ दिखाई देगा.
appearance	दिखावट	उसकी दिखावट अलग है.
apply	आवेदन करना; लगाना	आज नौकरी के लिए आवेदन करो.
architect	वास्तुकार	वास्तुकार के पास एक योजना है.
architecture	वास्तुकला	मुझे आधुनिक वास्तुकला पसंद है.
argue	बहस करना	अपनी बहन से बहस मत करो.
argument	बहस	बहस छोटी थी.
army	सेना	सेना बड़ी है.
arrange	व्यवस्था करना	कृपया बैठक की व्यवस्था करो.
arrangement	व्यवस्था	यह व्यवस्था अच्छी तरह काम करती है.
asleep	सोया हुआ	बच्चा सोया हुआ है.
assistant	सहायक	सहायक ने मेरी मदद की.
athlete	खिलाड़ी	खिलाड़ी तेज दौड़ता है.
attack	हमला; हमला करना	कुत्ता हमला कर सकता है.
attend	उपस्थित होना	मैं आज कक्षा में उपस्थित हूँ.
attention	ध्यान	कृपया अब ध्यान दो.
attractive	आकर्षक	बगीचा आकर्षक है.
audience	दर्शक	दर्शक शांत थे.
author	लेखक	लेखक ने यह किताब लिखी.
available	उपलब्ध	भोजन अब उपलब्ध है.
average	औसत	औसत अंक अच्छे थे.
avoid	बचना; टालना	व्यस्त सड़क से बचो.
award	पुरस्कार	उसने पुरस्कार जीता.
awful	भयानक	मौसम भयानक था.
background	पृष्ठभूमि	चित्र की पृष्ठभूमि गहरी है.
badly	खराब तरह से	वह आज खराब तरह से खेला.
bar	बार	हम होटल के बार में मिले.
baseball	बेसबॉल	बेसबॉल यहाँ लोकप्रिय है.
based	आधारित	फिल्म एक किताब पर आधारित है.
basketball	बास्केटबॉल	हम स्कूल के बाद बास्केटबॉल खेलते हैं.
bean	फली	यह फली हरी है.
bear (animal)	भालू	भालू जंगल में रहता है.
beat	हराना; पीटना	हमारी टीम उन्हें हरा सकती है.
beef	गोमांस	मैंने रात के खाने में गोमांस खाया.
behave	व्यवहार करना	कृपया कक्षा में अच्छा व्यवहार करो.
behaviour	व्यवहार	उसका व्यवहार विनम्र था.
belong	का होना	ये जूते मेरे हैं.
belt	बेल्ट	उसकी बेल्ट काली है.
benefit	लाभ	व्यायाम का असली लाभ है.
billion	अरब	एक अरब बहुत बड़ी संख्या है.
bin	कूड़ेदान	कागज को कूड़ेदान में डालो.
biology	जीवविज्ञान	जीवविज्ञान मेरी सबसे अच्छी कक्षा है.
birth	जन्म	उसका जन्म मई में हुआ था.
biscuit	बिस्कुट	वह बिस्कुट खाती है.
bit	थोड़ा	मुझे थोड़ा और समय चाहिए.
blank	खाली जगह	खाली जगह में अपना नाम लिखो.
blood	खून	खून लाल होता है.
blow	बहना; फूँकना	हवा तेज बह सकती है.
board	बोर्ड	इसे बोर्ड पर लिखो.
boil	उबालना	पहले पानी उबालो.
bone	हड्डी	कुत्ते के पास हड्डी है.
borrow	उधार लेना	क्या मैं तुम्हारी कलम उधार ले सकता हूँ?
boss	बॉस	मेरा बॉस दोस्ताना है.
bottom	नीचे का हिस्सा	नीचे हस्ताक्षर करो.
bowl	कटोरा	कटोरा भरा हुआ है.
brain	दिमाग	तुम्हारे दिमाग को आराम चाहिए.
bridge	पुल	पुल पुराना है.
bright	चमकदार; रोशन	कमरा रोशन है.
brilliant	शानदार	वह विचार शानदार है.
broken	टूटा हुआ	कुर्सी टूटी हुई है.
brush	ब्रश करना; ब्रश	अब अपने दाँत ब्रश करो.
burn	जलाना; जलना	रोटी मत जलाओ.
businessman	व्यवसायी	व्यवसायी जल्दी पहुँचा.
button	बटन	लाल बटन दबाओ.
camp	शिविर; डेरा डालना	हम झील के पास डेरा डालते हैं.
camping	कैंपिंग	गर्मी में कैंपिंग मजेदार है.
can2	डिब्बा	डिब्बे को सावधानी से खोलो.
care	देखभाल	अपने स्वास्थ्य की देखभाल करो.
careful	सावधान	सीढ़ियों पर सावधान रहो.
carefully	सावधानी से	प्रश्न को सावधानी से पढ़ो.
carpet	कालीन	कालीन नरम है.
cartoon	कार्टून	यह कार्टून मजेदार है.
case	मामला; डिब्बा	इसे डिब्बे में रखो.
cash	नकद	मैंने नकद भुगतान किया.
castle	किला	किला बहुत पुराना है.
catch	पकड़ना	अब गेंद पकड़ो.
cause	कारण; पैदा करना	बारिश समस्याएँ पैदा कर सकती है.
celebrate	मनाना	हम मेरा जन्मदिन मनाते हैं.
celebrity	प्रसिद्ध व्यक्ति	प्रसिद्ध व्यक्ति बहुत दयालु था.
certain	निश्चित	मैं इस बारे में निश्चित हूँ.
certainly	निश्चित रूप से	मैं निश्चित रूप से मदद करूँगा.
chance	मौका	तुम्हारे पास मौका है.
character	पात्र; चरित्र	यह पात्र बहादुर है.
charity	दान संस्था	दान संस्था बच्चों की मदद करती है.
chat	बातचीत करना	हम कक्षा के बाद बातचीत करते हैं.
chef	रसोइया	रसोइए ने सूप बनाया.
chemistry	रसायन विज्ञान	रसायन विज्ञान मेरे लिए कठिन है.
chip	चिप्स	यह चिप्स नमकीन है.
choice	चुनाव; विकल्प	यह चुनाव महत्वपूर्ण है.
church	चर्च	चर्च यहाँ पास में है.
cigarette	सिगरेट	सिगरेट स्वास्थ्य के लिए खराब है.
circle	वृत्त; गोला	यहाँ एक वृत्त बनाओ.
classical	शास्त्रीय	मुझे शास्त्रीय संगीत पसंद है.
clear	स्पष्ट	जवाब स्पष्ट है.
clearly	स्पष्ट रूप से	कृपया स्पष्ट रूप से बोलो.
clever	होशियार	वह होशियार बच्ची है.
climate	जलवायु	जलवायु बदल रही है.
close2	पास	मेरा स्कूल घर के पास है.
closed	बंद	दुकान बंद है.
clothing	कपड़े	गर्म कपड़े उपयोगी हैं.
cloud	बादल	बादल सूरज को ढकता है.
coach	प्रशिक्षक	प्रशिक्षक ने टीम की मदद की.
coast	तट	हम तट के साथ चले.
code	कोड	यहाँ कोड दर्ज करो.
colleague	सहकर्मी	मेरे सहकर्मी ने मुझे फोन किया.
collect	इकट्ठा करना	मैं पुराने कार्ड इकट्ठा करता हूँ.
column	स्तंभ	पहला स्तंभ पढ़ो.
comedy	कॉमेडी	यह कॉमेडी मजेदार है.
comfortable	आरामदायक	यह कुर्सी आरामदायक है.
comment	टिप्पणी	नीचे टिप्पणी छोड़ो.
communicate	संवाद करना	हम ईमेल से संवाद करते हैं.
community	समुदाय	हमारा समुदाय दोस्ताना है.
compete	प्रतिस्पर्धा करना	वे हर साल प्रतिस्पर्धा करते हैं.
competition	प्रतियोगिता	प्रतियोगिता कल शुरू होती है.
complain	शिकायत करना	फिर शिकायत मत करो.
completely	पूरी तरह	मैं तुमसे पूरी तरह सहमत हूँ.
