simplified	UZ	example_UZ
爱	sevmoq; yoqtirmoq	Men onamni sevaman.
八	sakkiz	Menda sakkizta kitob bor.
爸爸	ota; dada	Dadam uyda.
杯子	stakan; piyola	Bu stakan katta.
北京	Pekin	Men Pekinda ishlayman.
本	kitoblar uchun hisob so'zi; jild	Menda bitta kitob bor.
不	emas; yo'q	Men guruch yemayman.
不客气	arzimaydi	Rahmat. Arzimaydi.
菜	taom; sabzavot	Bu taom mazali.
茶	choy	Men choy ichaman.
吃	yemoq	Men olma yeyman.
出租车	taksi	Men maktabga taksida boraman.
打电话	telefon qilmoq; qo'ng'iroq qilmoq	Men qo'ng'iroq qilyapman.
大	katta	Bu maktab katta.
的	-ning; egalik yuklamasi	Bu mening kitobim.
点	soat; nuqta; biroz	Hozir soat sakkiz.
电脑	kompyuter	Kompyuterim stol ustida.
电视	televizor	Men televizor ko'raman.
电影	kino; film	Menga kinolar yoqadi.
东西	narsa; buyum	Bu qanday narsa?
都	hamma; barchasi	Biz hammamiz o'quvchimiz.
读	o'qimoq	Men kitob o'qiyman.
对不起	kechirasiz; uzr	Kechirasiz, men sizni tanimayman.
多	ko'p; ko'proq	Mening do'stlarim ko'p.
多少	qancha; nechta	Bu stakan qancha turadi?
儿子	o'g'il; o'g'il farzand	Mening o'g'lim o'quvchi.
二	ikki	Fevralda sovuq bo'ladi.
饭馆	restoran; oshxona	Restoran maktab oldida.
飞机	samolyot	Men Pekinga samolyotda boraman.
分钟	daqiqa	Men besh daqiqa o'qiyman.
高兴	xursand; quvonchli	Bugun juda xursandman.
个	umumiy hisob so'zi	Menda bitta do'st bor.
工作	ishlamoq; ish	Men Pekinda ishlayman.
狗	it	Menga itlar yoqadi.
汉语	xitoy tili	Men xitoy tilini o'rganaman.
好	yaxshi	Bugun ob-havo yaxshi.
喝	ichmoq	Men suv ichaman.
和	va; bilan	Men do'stim bilan maktabga boraman.
很	juda	U juda chiroyli.
后面	orqa; orqasida	Maktab restoran orqasida.
回	qaytmoq	Men uyga qaytyapman.
会	qila olmoq; bilmoq	Men xitoycha gapira olaman.
火车站	vokzal; temiryo'l bekati	Vokzal katta.
几	nechta; bir nechta	Senda nechta do'st bor?
家	uy; oila	Mening uyim Pekinda.
叫	nomlanmoq; chaqirmoq	Isming nima?
今天	bugun	Bugun issiq.
九	to'qqiz	Hozir soat to'qqiz.
开	ochmoq; yoqmoq	Men kompyuterni yoqyapman.
看	qaramoq; ko'rmoq; o'qimoq	Men kitob o'qiyman.
看见	ko'rmoq	Men o'qituvchini ko'ryapman.
块	bo'lak; yuan	Bu kitob o'n yuan turadi.
来	kelmoq	U maktabga keladi.
老师	o'qituvchi	O'qituvchi maktabda.
了	tugallanganlik yuklamasi	Men guruch yedim.
冷	sovuq	Bugun sovuq.
里	ichida; -da	Stakanda suv bor.
零	nol	Nol bir emas.
六	olti	Hozir soat olti.
妈妈	ona; oyi	Onam choy ichyapti.
吗	ha-yo'q savol yuklamasi	Sen o'quvchimisan?
买	sotib olmoq	Men olma sotib olyapman.
猫	mushuk	Mushuk stul ustida.
没	yo'q; qilmagan	Menda pul yo'q.
没关系	hechqisi yo'q	Hechqisi yo'q.
米饭	guruch; pishgan guruch	Men guruch yeyman.
名字	ism	Isming nima?
明天	ertaga	Ertaga men Pekinga boraman.
哪	qaysi; qayer; qayerga	Sen qayerga ketyapsan?
那	u; o'sha; ana u	Ana u mening o'qituvchim.
呢	savol yuklamasi; -chi	Sen-chi?
能	qila olmoq; mumkin bo'lmoq	Men borsam bo'ladimi?
你	sen; siz	Ahvoling yaxshimi?
年	yil	Bir yilda o'n ikki oy bor.
女儿	qiz; qiz farzand	Uning qizi juda chiroyli.
朋友	do'st	U mening do'stim.
漂亮	chiroyli	U juda chiroyli.
苹果	olma	Menga olmalar yoqadi.
七	yetti	Hozir soat yetti.
前面	old; oldida	Restoran do'kon oldida.
钱	pul	Menda pul yo'q.
请	iltimos; taklif qilmoq; so'ramoq	Iltimos, choy iching.
去	bormoq	Men maktabga boraman.
热	issiq	Bugun issiq.
人	odam; kishi; odamlar	Maktabda odamlar ko'p.
认识	tanimoq; bilmoq	Men uni taniyman.
日	kun; sana	Bugun birinchi mart.
三	uch	Menda uchta stakan bor.
商店	do'kon	Do'kon maktab oldida.
上	ustida; yuqorida	Kitob stol ustida.
上午	ertalab; tushdan oldin	Ertalab men xitoy tilini o'rganaman.
少	kam; oz	O'quvchilar kam.
什么	nima	Bu nima?
十	o'n	Menda o'nta kitob bor.
