simplified	SW	example_SW
爱	kupenda; kuvutiwa na	Ninampenda mama yangu.
八	nane	Nina vitabu nane.
爸爸	baba	Baba yuko nyumbani.
杯子	kikombe	Kikombe hiki ni kikubwa.
北京	Beijing	Ninafanya kazi Beijing.
本	kihesabio cha vitabu; juzuu	Nina kitabu kimoja.
不	hapana; si; kuto-	Sili wali.
不客气	karibu; si kitu	Asante. Karibu.
菜	chakula; mboga	Chakula hiki ni kitamu.
茶	chai	Ninakunywa chai.
吃	kula	Ninakula tufaha.
出租车	teksi	Ninaenda shuleni kwa teksi.
打电话	kupiga simu	Ninapiga simu.
大	kubwa	Shule hii ni kubwa.
的	partikeli ya umilikaji	Hiki ni kitabu changu.
点	saa; nukta; kidogo	Sasa ni saa nane.
电脑	kompyuta	Kompyuta yangu iko mezani.
电视	televisheni	Ninatazama televisheni.
电影	sinema; filamu	Ninapenda filamu.
东西	kitu; vitu	Hiki ni kitu gani?
都	wote; vyote	Sisi sote ni wanafunzi.
读	kusoma	Ninasoma kitabu.
对不起	samahani; pole	Samahani, sikufahamu.
多	nyingi; zaidi	Nina marafiki wengi.
多少	ngapi; ni bei gani	Kikombe hiki ni bei gani?
儿子	mwana wa kiume; kijana	Mwanangu wa kiume ni mwanafunzi.
二	mbili	Mwezi wa Februari huwa baridi.
饭馆	mkahawa; mgahawa	Mgahawa uko mbele ya shule.
飞机	ndege	Ninaenda Beijing kwa ndege.
分钟	dakika	Ninasoma kwa dakika tano.
高兴	furaha; mwenye furaha	Leo nina furaha sana.
个	kihesabio cha jumla	Nina rafiki mmoja.
工作	kufanya kazi; kazi	Ninafanya kazi Beijing.
狗	mbwa	Ninapenda mbwa.
汉语	Kichina	Ninajifunza Kichina.
好	nzuri; vyema	Leo hali ya hewa ni nzuri.
喝	kunywa	Ninakunywa maji.
和	na; pamoja na	Ninaenda shuleni pamoja na rafiki yangu.
很	sana	Yeye ni mrembo sana.
后面	nyuma; upande wa nyuma	Shule iko nyuma ya mgahawa.
回	kurudi	Ninarudi nyumbani.
会	kuweza; kujua	Ninaweza kuzungumza Kichina.
火车站	kituo cha treni	Kituo cha treni ni kikubwa.
几	ngapi; kadhaa	Una marafiki wangapi?
家	nyumba; familia	Nyumba yangu iko Beijing.
叫	kuitwa; kuita	Unaitwa nani?
今天	leo	Leo kuna joto.
九	tisa	Sasa ni saa tisa.
开	kufungua; kuwasha	Ninawasha kompyuta.
看	kuangalia; kuona; kusoma	Ninasoma kitabu.
看见	kuona	Ninamwona mwalimu.
块	kipande; yuan	Kitabu hiki ni yuan kumi.
来	kuja	Anakuja shuleni.
老师	mwalimu	Mwalimu yuko shuleni.
了	partikeli ya tendo lililokamilika	Nimekula wali.
冷	baridi	Leo kuna baridi.
里	ndani; katika	Kuna maji ndani ya kikombe.
零	sifuri	Sifuri si moja.
六	sita	Sasa ni saa sita.
妈妈	mama	Mama anakunywa chai.
吗	partikeli ya swali la ndiyo-hapana	Je, wewe ni mwanafunzi?
买	kununua	Ninanunua tufaha.
猫	paka	Paka yuko juu ya kiti.
没	hakuna; hajafanya	Sina pesa.
没关系	si shida; haijalishi	Si shida.
米饭	wali uliopikwa; wali	Ninakula wali.
名字	jina	Jina lako ni nani?
明天	kesho	Kesho ninaenda Beijing.
哪	gani; wapi; kwenda wapi	Unaenda wapi?
那	hiyo; yule; zile	Yule ni mwalimu wangu.
呢	partikeli ya swali; je	Na wewe je?
能	kuweza; kuruhusiwa	Je, ninaweza kwenda?
你	wewe; nyinyi	U hali gani?
年	mwaka	Kuna miezi kumi na miwili katika mwaka mmoja.
女儿	binti; mtoto wa kike	Binti yake ni mrembo sana.
朋友	rafiki	Yeye ni rafiki yangu.
漂亮	mrembo; mzuri	Yeye ni mrembo sana.
苹果	tufaha	Ninapenda tufaha.
七	saba	Sasa ni saa saba.
前面	mbele; upande wa mbele	Mgahawa uko mbele ya duka.
钱	pesa	Sina pesa.
请	tafadhali; kualika	Tafadhali kunywa chai.
去	kwenda	Ninaenda shuleni.
热	joto; moto	Leo kuna joto.
人	mtu; watu	Kuna watu wengi shuleni.
认识	kumjua; kufahamiana	Ninamjua.
日	siku; tarehe	Leo ni tarehe 1 Machi.
三	tatu	Nina vikombe vitatu.
商店	duka	Duka liko mbele ya shule.
上	juu; juu ya	Kitabu kiko juu ya meza.
上午	asubuhi; kabla ya adhuhuri	Asubuhi ninajifunza Kichina.
少	chache; kidogo	Wanafunzi ni wachache.
什么	nini	Hiki ni nini?
十	kumi	Nina vitabu kumi.
时候	wakati; muda	Utakuja lini?
是	kuwa; ni	Mimi ni mwanafunzi.
书	kitabu	Ninasoma kitabu.
谁	nani	Yeye ni nani?
水	maji	Ninakunywa maji.
水果	tunda; matunda	Ninanunua matunda.
睡觉	kulala	Ninaenda kulala.
说话	kuzungumza	Mwalimu anazungumza.
四	nne	Nina marafiki wanne.
岁	umri; mwenye miaka	Nina miaka kumi.
他	yeye; mwanaume	Yeye ni mwalimu.
她	yeye; mwanamke	Yeye ni mwanafunzi wa kike.
太	sana; mno	Kikombe hiki ni kikubwa mno.
天气	hali ya hewa	Leo hali ya hewa ni nzuri.
听	kusikiliza; kusikia	Ninamsikiliza mwalimu akizungumza.
同学	mwanafunzi mwenzangu; mwenzangu wa darasa	Yeye ni mwanafunzi mwenzangu.
喂	halo	Halo?
我	mimi; yangu	Mimi ni daktari.
我们	sisi	Sisi tunaenda shuleni.
五	tano	Nina matufaha matano.
喜欢	kupenda; kuvutiwa na	Ninapenda kunywa chai.
下	chini; chini ya; inayofuata	Kitabu kiko chini ya meza.
下午	alasiri; baada ya adhuhuri	Alasiri ninaenda dukani.
下雨	kunyesha mvua	Leo mvua inanyesha.
先生	bwana; mume	Habari, bwana.
现在	sasa; hivi sasa	Sasa niko shuleni.
想	kutaka; kufikiria	Nataka kunywa maji.
