source_headword	TR	example_TR
clothes	giysi; kıyafet	Kıyafetlerim temiz.
club	kulüp	O müzik kulübüne gider.
coat	palto	Paltom sıcak tutar.
coffee	kahve	Sabah kahve içerim.
cold	soğuk; nezle	Su soğuk.
college	kolej; üniversite	Kız kardeşim kolejde okuyor.
colour	renk	En sevdiğim renk mavi.
come	gelmek	Lütfen buraya gel.
common	yaygın	Bu ad yaygın.
company	şirket	Annem bir şirkette çalışıyor.
compare	karşılaştırmak	Bu iki resmi karşılaştır.
complete	tam; tamamlamak	Form tam.
computer	bilgisayar	Bu bilgisayar yeni.
concert	konser	Bu akşam konsere gidiyoruz.
conversation	sohbet	Kısa bir sohbet ettik.
cook	yemek yapmak; aşçı	Evde akşam yemeği yaparım.
cooking	yemek yapma	Babamla yemek yapmayı severim.
cool	serin; havalı	Oda serin.
correct	doğru	Cevabın doğru.
cost	maliyet; tutmak	Bu ne kadar tutar?
could modal	-ebilirdi	Sana yardım edebilirdim.
country	ülke	Kanada büyük bir ülkedir.
course	kurs	İngilizce kursuna gidiyorum.
cousin	kuzen	Kuzenim yakında yaşıyor.
cow	inek	İnek ot yer.
cream	krema	Kahveye krema koyarım.
create	yaratmak	Onlar yeni bir oyun yaratır.
culture	kültür	Yerel kültürü öğreniyoruz.
cup	fincan; bardak	Bu fincan boş.
customer	müşteri	Müşteri soru sorar.
cut	kesmek	Elmayı ikiye kes.
dad	baba	Babam işte.
dance	dans; dans etmek	Akşam yemeğinden sonra dans ederiz.
dancer	dansçı	Dansçı hızlı hareket eder.
dancing	dans	Dans eğlencelidir.
dangerous	tehlikeli	Bu yol tehlikeli.
dark	karanlık; koyu	Oda karanlık.
date	tarih	Bugünün tarihi ne?
daughter	kız evlat	Onun kızı altı yaşında.
day	gün	İyi günler.
dear	sevgili	Sevgili arkadaşım, teşekkür ederim.
December	aralık	Doğum günüm aralıkta.
decide	karar vermek	Lütfen şimdi karar ver.
delicious	lezzetli	Bu çorba lezzetli.
describe	tanımlamak; betimlemek	Odanı anlat.
description	açıklama	Kısa açıklamayı oku.
design	tasarım; tasarlamak	Basit bir kart tasarlarım.
desk	çalışma masası	Kitap masamın üstünde.
detail	ayrıntı	Bir ayrıntı eksik.
dialogue	diyalog	Şimdi diyaloğu oku.
dictionary	sözlük	Sınıfta sözlük kullan.
die	ölmek	Çiçekler susuz ölür.
diet	beslenme düzeni	Beslenmemde meyve var.
difference	fark	Bir fark var.
different	farklı	İsimlerimiz farklı.
difficult	zor	Bu soru zor.
dinner	akşam yemeği	Akşam yemeği hazır.
dirty	kirli	Ayakkabılarım kirli.
discuss	tartışmak; konuşmak	Planı konuşuyoruz.
dish	yemek	Bu yemek sıcak.
do1	yapmak	Ne yapıyorsun?
doctor	doktor	Doktor meşgul.
dog	köpek	Köpek dışarıda koşar.
dollar	dolar	Bu bir dolar tutar.
door	kapı	Lütfen kapıyı kapat.
down	aşağı	Buraya otur.
downstairs	alt katta	Mutfak alt katta.
draw	çizmek	Küçük bir ev çiz.
dress	elbise	O kırmızı elbise giyer.
drink	içecek; içmek	Su içerim.
drive	sürmek	İşe arabayla giderim.
driver	sürücü	Sürücü burada durur.
during	sırasında	Uçuş sırasında uyurum.
DVD	DVD	Bu DVD eski.
each	her	Her çocuğun kitabı var.
ear	kulak	Kulağım ağrıyor.
early	erken	Erken kalkarım.
east	doğu	Güneş doğudan doğar.
easy	kolay	Bu test kolay.
eat	yemek	Birlikte öğle yemeği yeriz.
egg	yumurta	Yumurta yerim.
eight	sekiz	Sekiz kartım var.
eighteen	on sekiz	O on sekiz yaşında.
eighty	seksen	Dedem seksen yaşında.
elephant	fil	Fil büyük.
eleven	on bir	Ders on birde başlar.
else	başka	Başka neye ihtiyacın var?
email	e-posta	Bana e-posta gönder.
end	son; bitmek	Bu son.
enjoy	keyif almak	Bu şarkıdan keyif alıyorum.
enough	yeterli	Yeterli zamanımız var.
euro	avro	Bu bir avro tutar.
even	bile	Bunu kardeşim bile biliyor.
evening	akşam	Bu akşam buluşuyoruz.
event	etkinlik	Etkinlik bugün başlıyor.
ever	hiç	Hiç yemek yapar mısın?
every	her	Her gün ders çalışırım.
everybody	herkes	Herkes burada.
everyone	herkes	Herkes müziği sever.
everything	her şey	Her şey hazır.
exam	sınav	Sınav yakında başlıyor.
example	örnek	Bu iyi bir örnek.
excited	heyecanlı	Bugün heyecanlıyım.
exciting	heyecan verici	Oyun heyecan verici.
exercise	egzersiz; alıştırma	Kahvaltıdan önce egzersiz yaparım.
expensive	pahalı	Bu palto pahalı.
explain	açıklamak	Lütfen bu kelimeyi açıkla.
extra	ek; fazladan	Ek zamana ihtiyacım var.
eye	göz	Gözüm kırmızı.
face	yüz	Yüzünü yıka.
fact	gerçek	Bu gerçek önemli.
fall	düşmek; sonbahar	Sonbaharda yapraklar düşer.
false	yanlış	Bu cevap yanlış.
family	aile	Ailem küçük.
famous	ünlü	O ünlü bir şarkıcı.
fantastic	harika	Konser harikaydı.
far	uzak	Okul uzak.
farm	çiftlik	Onlar çiftlikte yaşıyor.
farmer	çiftçi	Çiftçi yiyecek yetiştirir.
fast	hızlı	Bu tren hızlı.
fat	şişman	Kedi şişman.
father	baba	Babam uzun boylu.
favourite	favori; en sevilen	Bu en sevdiğim şarkı.
February	şubat	Şubat burada soğuktur.
feel	hissetmek	Kendimi mutlu hissediyorum.
feeling	duygu	Bu duyguyu biliyorum.
festival	festival	Festival yarın başlıyor.
few	birkaç	Burada birkaç öğrenci var.
fifteen	on beş	On beş yaşındayım.
fifth	beşinci	Bu beşinci ders.
fifty	elli	Annem elli yaşında.
fill	doldurmak	Bardağı suyla doldur.
film	film	Film izliyoruz.
final	son	Bu son soru.
find	bulmak	Anahtarlarımı buluyorum.
fine	iyi	Şimdi iyiyim.
finish	bitirmek	Ödevini bitir.
fire	ateş	Ateş sıcak.
first	birinci	O sırada birinci.
fish	balık	Akşam yemeğinde balık yerim.
five	beş	Beş kitabım var.
flat	daire	Dairem küçük.
flight	uçuş	Uçuş geç.
floor	zemin; kat	Çanta yerde.
flower	çiçek	Bu çiçek sarı.
fly	uçmak	Kuşlar gökte uçar.
follow	takip etmek	Lütfen beni takip et.
food	yemek; yiyecek	Yemek hazır.
foot	ayak	Ayağım ağrıyor.
football	futbol	Bugün futbol oynuyoruz.
for	için	Bu hediye senin için.
forget	unutmak	Anahtarlarını unutma.
form	form	Formu doldur.
forty	kırk	Babam kırk yaşında.
four	dört	Dört kuş görüyorum.
fourteen	on dört	O on dört yaşında.
fourth	dördüncü	Bu dördüncü kat.
free	ücretsiz; boş	Bilet ücretsiz.
Friday	cuma	Cuma günü buluşuyoruz.
friend	arkadaş	Arkadaşım burada.
friendly	arkadaş canlısı	Öğretmen arkadaş canlısı.
from	-den; -dan	Ben buradanım.
front	ön	Önde dur.
fruit	meyve	Her gün meyve yerim.
full	dolu	Şişe dolu.
fun	eğlence; eğlenceli	Bu oyun eğlenceli.
funny	komik	Film komik.
future	gelecek	Geleceğini düşün.
game	oyun	Oyun şimdi başlıyor.
garden	bahçe	Bahçe güzel.
geography	coğrafya	Okulda coğrafya çalışıyorum.
get	almak; varmak	Eve altıda varırım.
girl	kız	Kız gülümsüyor.
girlfriend	kız arkadaş	Onun kız arkadaşı nazik.
give	vermek	Kitabı bana ver.
glass	bardak	Bardaktan içerim.
go	gitmek	Şimdi eve gidiyoruz.
good	iyi	Bu kahve iyi.
goodbye	hoşça kal	Hoşça kal, yarın görüşürüz.
grandfather	dede	Dedem yaşlı.
grandmother	büyükanne	Anneannem çorba yapar.
grandparent	büyükanne veya büyükbaba	Bir büyüğümüz bizimle yaşıyor.
great	harika	Bu harika bir fikir.
green	yeşil	Kapı yeşil.
grey	gri	Gökyüzü gri.
group	grup	Küçük bir grupta çalışın.
grow	büyümek	Bitkiler bahçede büyür.
guess	tahmin etmek	Cevabı tahmin et.
guitar	gitar	O gitar çalar.
gym	spor salonu	Spor salonuna giderim.
hair	saç	Onun saçı uzun.
half	yarım	Pastayı ikiye böl.
hand	el	Elini kaldır.
happen	olmak	Sonra ne olacak?
happy	mutlu	Bugün mutluyum.
hard	sert; zor	Bu sandalye sert.
hat	şapka	Şapkam siyah.
hate	nefret etmek	Soğuk çaydan nefret ederim.
have	sahip olmak; var	Arabam var.
have to modal	gerek; zorunda olmak	Ders çalışmam gerek.
he	o	O benim kardeşim.
head	baş	Başım ağrıyor.
health	sağlık	İyi yemek sağlığına yardım eder.
healthy	sağlıklı	Bu yemek sağlıklı.
hear	duymak	Müzik duyuyorum.
hello	merhaba	Merhaba, tanıştığıma memnun oldum.
help	yardım; yardım etmek	Lütfen bana yardım et.
her	onun; onu	Bu onun çantası.
here	burada	Şimdi buraya gel.
hey	hey	Hey, beni bekle.
hi	merhaba	Merhaba, nasılsın?
high	yüksek	Duvar yüksek.
him	onu	Onu tanıyorum.
his	onun	Onun paltosu mavi.
history	tarih	Tarih çalışıyorum.
hobby	hobi	Okumak benim hobim.
holiday	tatil	Temmuzda tatile çıkarız.
home	ev; evde	Evdeyim.
homework	ödev	Ödevini bu akşam yap.
hope	umut etmek	Umarım gelirsin.
horse	at	At hızlı koşar.
hospital	hastane	Hastane buraya yakın.
hot	sıcak	Çorba sıcak.
hotel	otel	Otel temiz.
hour	saat	Bir saat bekle.
house	ev	Bu ev eski.
how	nasıl	Nasılsın?
however	ancak	Ancak burada kalabilirim.
hundred	yüz	Yüz kişi geldi.
hungry	aç	Açım.
husband	koca; eş	Onun kocası doktor.
I	ben	Ben çayı severim.
ice	buz	Buz soğuk.
ice cream	dondurma	Dondurma istiyorum.
idea	fikir	Bu iyi bir fikir.
if	eğer	Yardıma ihtiyacın olursa beni ara.
imagine	hayal etmek	Küçük bir ev hayal et.
important	önemli	Bu ders önemli.
improve	geliştirmek	Gelişmek istiyorum.
in	içinde	Anahtarlar çantamda.
include	dahil etmek	Lütfen adını ekle.
