source_headword	UZ	example_UZ
abolish	bekor qilmoq	Qonun eski to'lovni bekor qiladi.
abortion	abort	Abort nozik tibbiy masala bo'lib qolmoqda.
absence	yo'qlik	Uning yo'qligi yakuniy qarorni kechiktirdi.
absent	yo'q	Sinfda ikki a'zo yo'q edi.
absurd	bema'ni	Da'vo hammaga bema'ni tuyuldi.
abundance	mo'l-ko'llik	Vodiydagi suv mo'l-ko'l.
abuse	suiiste'mol	Hisobotda ish joyidagi suiiste'mol tasvirlangan.
academy	akademiya	Akademiya yosh musiqachilarni tayyorlaydi.
accelerate	tezlashtirmoq	Yangi mablag' tadqiqotni tezlashtiradi.
acceptance	qabul qilish	Uning tanqidni qabul qilishi menda taassurot qoldirdi.
accessible	qulay	Muzey nogironlar aravachasidagilar uchun qulay.
accomplishment	yutuq	Kitobni tugatish haqiqiy yutuq edi.
accordance	muvofiq	Ish siyosatga muvofiq bajarildi.
accordingly	shunga ko'ra	Dalillar o'zgardi va biz shunga ko'ra harakat qildik.
accountability	javobgarlik	Siyosat menejerlarning javobgarligini oshiradi.
accountable	javobgar	Menejerlar xavfsizlik uchun javobgardir.
accumulate	to'planmoq	Ekran orqasida chang to'planishi mumkin.
accumulation	to'planish	Ma'lumotlarning to'planishi bir necha oy davom etdi.
accusation	ayblov	Ayblov qo'mitani hayratda qoldirdi.
accused	ayblanuvchi	Ayblanuvchi sudda hozir bo'ldi.
acquisition	sotib olish	Sotib olish kompaniyani tezda kengaytirdi.
acre	akr	Ferma bir akr maydonni egallaydi.
activation	faollashtirish	Kartani faollashtirish bir necha daqiqa davom etadi.
activist	faol	Faol mitingda so'zga chiqdi.
acute	o'tkir	U yugurishdan keyin o'tkir og'riqni his qildi.
adaptation	moslashuv	Moslashuv romanning oxirini o'zgartirdi.
adhere	amal qilmoq	Xodimlar xavfsizlik qoidalariga amal qilishlari kerak.
adjacent	qo'shni	Mehmonxona bekatga qo'shni.
adjustment	moslash	Kichik bir moslashuv muammoni hal qildi.
administer	yubormoq	Hamshiralar vaksinani ehtiyotkorlik bilan yuborishadi.
administrative	ma'muriy	Ma'muriy xodimlar shakllar bilan ishlaydi.
administrator	ma'mur	Ma'mur mening parolimni tikladi.
admission	kirish	Muzeyga kirish bepul.
adolescent	o'smir	O'smirga qo'shimcha yordam kerak edi.
adoption	asrab olish	Asrab olish bolaga barqaror uy berdi.
adverse	salbiy	Dori salbiy ta'sir ko'rsatdi.
