source_headword	BG	example_BG
heal	лекувам	Почивката помага на тялото да се лекува.
healthcare	здравеопазване	Разходите за здравеопазване се повишиха тази година.
helmet	каска	Носете каска на велосипеда.
hence	следователно	Следователно променихме графика.
herb	билка	Босилекът е полезна билка.
hidden	скрит	Ключът беше скрит под изтривалката.
highway	магистрала	Магистралата беше затворена след снега.
hilarious	много смешен	Филмът беше много смешен.
hip	ханш	Тя нарани ханша си по време на тренировка.
historian	историк	Историкът изучаваше стари писма.
homeless	бездомен	Приютът помага на бездомни семейства.
honesty	честност	Честността изгражда доверие.
hook	кука	Закачете палтото на куката.
hopefully	да се надяваме	Да се надяваме, че влакът ще пристигне скоро.
hunger	глад	Гладът може да повлияе на концентрацията.
hypothesis	хипотеза	Експериментът тества хипотезата.
icon	икона	Иконата на приложението се промени днес.
ID	лична карта	Покажете личната си карта на рецепцията.
identical	идентичен	Близнаците носеха идентични якета.
illusion	илюзия	Огледалото създава илюзия.
immigration	имиграция	Имиграционната политика се промени миналата година.
immune	имунен	Ваксинацията може да направи хората имунни.
implement	прилагам	Училището ще приложи политиката.
implication	последица	Последицата беше ясна.
incentive	стимул	Бонусът даде стимул на работниците.
incorporate	включвам	Включете повече зеленчуци в ястията.
incorrect	грешен	Отговорът беше грешен.
independence	независимост	Страната празнува независимост.
index	азбучен указател	Проверете азбучния указател за темата.
indication	признак	Усмивката беше признак на облекчение.
inevitable	неизбежен	Известно забавяне беше неизбежно.
inevitably	неизбежно	Неизбежно цените се повишиха след недостига.
infer	заключавам	Можем да заключим отговора от контекста.
inflation	инфлация	Инфлацията увеличи цените на храните.
info	информация	Уебсайтът съдържа полезна информация.
infrastructure	инфраструктура	Бурята повреди местната инфраструктура.
inhabitant	жител	Всеки жител получи чиста вода.
inherit	наследявам	Тя ще наследи семейната къща.
ink	мастило	Принтерът се нуждае от черно мастило.
innovation	иновация	Иновацията движи индустрията напред.
innovative	иновативен	Компанията пусна иновативен продукт.
input	принос	Мениджърът поиска принос.
insert	вмъквам	Вмъкнете картата в машината.
inspector	инспектор	Инспекторът провери сградата.
installation	инсталация	Инсталацията отне два часа.
instant	мигновен	Приложението изпрати мигновен отговор.
instantly	мигновено	Екранът се включи мигновено.
integrate	интегрирам	Софтуерът може да интегрира нови инструменти.
intellectual	интелектуален	Дебатът беше интелектуален, но приятелски.
interact	взаимодействам	Учениците взаимодействат по време на групова работа.
interaction	взаимодействие	Взаимодействието беше учтиво.
interpretation	интерпретация	Нейната интерпретация на стихотворението беше оригинална.
interval	интервал	Имаше кратък интервал между действията.
invade	нахлувам	Армията се опита да нахлуе на острова.
invasion	нашествие	Нашествието повреди много градове.
investor	инвеститор	Инвеститорът финансира нов стартъп.
isolate	изолирам	Лекарите изолират пациенти със сериозни инфекции.
isolated	изолиран	Селото беше изолирано от снега.
jail	затвор	Крадецът отиде в затвора.
jet	реактивен самолет	Реактивният самолет кацна по обед.
joint	съвместен	Те обявиха съвместен проект.
journalism	журналистика	Журналистиката изисква точни факти.
jury	жури	Журито стигна до решение.
kit	комплект	Комплектът за ремонт включва винтове.
ladder	стълба	Стълбата беше облегната на стената.
landing	кацане	Самолетът направи гладко кацане.
lane	лента	Останете в дясната лента.
lately	напоследък	Напоследък спя лошо.
leaflet	листовка	Листовката обяснява услугата.
legend	легенда	Легендата разказва за скрит град.
lens	обектив	Почистете внимателно обектива на камерата.
lifetime	цял живот	Той спестяваше пари цял живот.
lighting	осветление	Доброто осветление подобрява стаята.
likewise	също	Тя се усмихна; той направи същото.
limitation	ограничение	Планът има едно ограничение.
