source_headword	TL	example_TL
stranger	estranghero	Isang estranghero ang nagtanong ng direksyon.
strength	lakas	Nakatulong ang kanyang lakas sa koponan.
string	tali	Itali ang kahon gamit ang tali.
strongly	nang mariin	Mariin akong hindi sumasang-ayon sa ideyang iyon.
studio	estudyo	Nagtatrabaho ang artista sa isang maliit na estudyo.
stuff	mga gamit	Ilagay mo ang iyong mga gamit sa istante.
substance	substansya	Nakakita ang pulisya ng isang kakaibang substansya.
successfully	nang matagumpay	Matagumpay nilang natapos ang proyekto.
sudden	biglaan	Nagising kami sa isang biglaang ingay.
suffer	magdusa	Maraming halaman ang nagdurusa sa tuyong panahon.
suitable	angkop	Ang jacket na ito ay angkop para sa paaralan.
summarize	ibuod	Maaari mo bang ibuod ang artikulo?
summary	buod	Sumulat ng maikling buod ngayong gabi.
supply	suplay	Kailangan ng bayan ng malinis na suplay ng tubig.
supporter	tagasuporta	Malakas na naghiyawan ang bawat tagasuporta.
surely	tiyak	Tiyak na masosolusyunan natin ito.
surface	ibabaw	Malamig at makinis ang ibabaw.
survive	mabuhay	Nabubuhay ang mga hayop na ito sa malalamig na taglamig.
switch	patayin	Patayin ang ilaw sa kusina.
symptom	sintomas	Ang ubo ay maaaring isang sintomas.
tail	buntot	Ang aso ay may mahabang buntot.
talent	talento	Mayroon siyang talento sa musika.
talented	talentado	Isa siyang talentadong batang aktor.
tape	teyp	Gumamit ng teyp upang isara ang kahon.
tax	buwis	Dapat bayaran ng lahat ang buwis na ito.
technical	teknikal	Nagkaroon kami ng teknikal na problema.
technique	teknik	Nakakatipid ng oras ang teknik na ito.
tend	madalas	Madalas na mabilis matuto ang mga bata.
tent	tolda	Natulog kami sa isang maliit na tolda.
theirs	kanila	Kanila ang mga asul na bisikleta.
theme	tema	May temang dalampasigan ang party.
theory	teorya	Ipinapaliwanag ng kanyang teorya ang problema.
therefore	samakatuwid	Umulan, kaya nanatili kami sa loob.
though	bagaman	Bagaman pagod, patuloy siyang nagtrabaho.
throat	lalamunan	Masakit ang aking lalamunan ngayong umaga.
throughout	sa buong	Sumayaw ang mga tao sa buong gabi.
tight	masikip	Masyadong masikip ang mga sapatos na ito.
till	hanggang	Maghintay rito hanggang sa bumalik ako.
tin	lata	Buksan ang isang lata ng beans.
tiny	napakaliit	Isang napakaliit na ibon ang dumapo sa malapit.
toe	daliri sa paa	Nasugatan ang daliri ko sa paa kahapon.
tongue	dila	Napaso ang kanyang dila sa tsaa.
total	kabuuan	Mababa ang kabuuang halaga.
totally	lubos	Lubos kong nauunawaan ang iyong pag-aalala.
trade	kalakalan	Lumilikha ng mga trabaho ang internasyonal na kalakalan.
translate	isalin	Pakisalin ang pangungusap na ito.
translation	pagsasalin	Likas pakinggan ang pagsasalin.
treat	tratuhin	Tratuhin ang lahat nang may paggalang.
treatment	paggamot	Kailangan ng pasyente ng paggamot ngayon.
