hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
2002:哎呀	哎呀	哎呀	jao; ej	Jao, zaboravio sam ključeve kod kuće.	joj; hej	Joj, ključe sem pustil doma.	oi; na	Oi, raktus palikau namuose.	ak vai; hei	Ak vai, es atstāju atslēgas mājās.	oi; hei	Oi, ma jätsin võtmed koju.	æ; hæ	Æ, ég gleymdi lyklunum heima.
2005:安	安	安	miran; spokojan	Kada je dete zaspalo, soba je odjednom utihnula.	miren; spokojen	Ko je otrok zaspal, se je soba nenadoma umirila.	ramus; taikus	Vaikui užmigus, kambarys staiga nutilo.	mierīgs; rāms	Kad bērns aizmiga, istaba pēkšņi kļuva klusa.	rahulik; vaikne	Pärast lapse uinumist jäi tuba korraga vaikseks.	rólegur; friðsæll	Þegar barnið sofnaði varð herbergið skyndilega hljótt.
2006:安全带	安全带	安全带	sigurnosni pojas	Pre vožnje vežite sigurnosni pojas.	varnostni pas	Pred vožnjo si pripnite varnostni pas.	saugos diržas	Prieš vairuodami prisisegkite saugos diržą.	drošības josta	Pirms braukšanas piesprādzējiet drošības jostu.	turvavöö	Enne sõitma hakkamist kinnitage turvavöö.	öryggisbelti	Spennið öryggisbeltið áður en þið akið.
2013:半夜	半夜	半夜	ponoć; kasno noću	Neko ga je pozvao usred noći.	polnoč; pozno ponoči	Nekdo ga je poklical sredi noči.	vidurnaktis; vėlai naktį	Kažkas jam paskambino vidury nakties.	pusnakts; vēlu naktī	Kāds viņam piezvanīja nakts vidū.	südaöö; hilisöö	Keegi helistas talle keset ööd.	miðnætti; seint um nótt	Einhver hringdi í hann um miðja nótt.
2020:宝	宝	宝	blago; miljenik	Ovaj stari žad je porodično blago.	zaklad; ljubljenec	Ta stari žad je družinski zaklad.	lobis; brangusis	Šis senas nefritas yra šeimos lobis.	dārgums; mīļais	Šis vecais nefrīts ir ģimenes dārgums.	aare; kallis	See vana jadeiit on pere aare.	fjársjóður; elskan	Þessi gamli jaði er fjársjóður fjölskyldunnar.
2021:保	保	保	čuvati; zaštititi	Moramo sačuvati ovaj deo šume.	varovati; ohraniti	Ta del gozda moramo ohraniti.	saugoti; išlaikyti	Turime išsaugoti šį miško plotą.	sargāt; saglabāt	Mums jānosargā šī meža daļa.	kaitsma; säilitama	Me peame selle metsatüki alles hoidma.	vernda; halda	Við þurfum að vernda þennan skógarreit.
2022:保安	保安	保安	čuvar; obezbeđenje	Čuvar na ulazu proverio je moj dokument.	varnostnik; varovanje	Varnostnik pri vhodu je preveril moj dokument.	apsaugos darbuotojas; apsauga	Prie įėjimo apsaugininkas patikrino mano dokumentą.	apsargs; drošība	Apsargs pie ieejas pārbaudīja manu dokumentu.	turvatöötaja; valve	Sissepääsu juures kontrollis turvatöötaja mu dokumenti.	öryggisvörður; öryggi	Öryggisvörðurinn við innganginn athugaði skilríkin mín.
2029:保质期	保质期	保质期	rok trajanja	Pre kupovine mleka proverite rok trajanja.	rok uporabnosti	Pred nakupom mleka preverite rok uporabnosti.	galiojimo laikas	Prieš pirkdami pieną patikrinkite galiojimo laiką.	derīguma termiņš	Pirms piena pirkšanas pārbaudiet derīguma termiņu.	säilivusaeg	Enne piima ostmist kontrollige säilivusaega.	geymsluþol; fyrningartími	Athugaðu geymsluþolið áður en þú kaupir mjólk.
2034:暴雨	暴雨	暴雨	jaka kiša; pljusak	Posle jakog pljuska na putu se nakupilo mnogo vode.	močan naliv	Po močnem nalivu se je na cesti nabralo veliko vode.	stipri liūtis	Po stiprios liūties ant kelio susikaupė daug vandens.	stipra lietusgāze	Pēc stiprās lietusgāzes uz ceļa sakrājās daudz ūdens.	tugev vihmasadu; paduvihm	Pärast paduvihma kogunes teele palju vett.	úrhelli; mikil rigning	Eftir úrhellið safnaðist mikið vatn á veginn.
2037:背后	背后	背后	iza; pozadina	Iza uspeha stoji mnogo truda.	zadaj; ozadje	Za uspehom je veliko truda.	už; užkulisiai	Už sėkmės slypi daug pastangų.	aiz; fons	Aiz panākumiem ir daudz pūļu.	taga; taust	Edu taga on palju pingutust.	á bak við; bakgrunnur	Á bak við árangurinn er mikil vinna.
2041:本地	本地	本地	lokalni; mesni	Ova prodavnica uglavnom prodaje lokalno voće.	lokalen; krajeven	Ta trgovina prodaja predvsem lokalno sadje.	vietinis	Ši parduotuvė daugiausia parduoda vietinius vaisius.	vietējais	Šis veikals galvenokārt pārdod vietējos augļus.	kohalik	See pood müüb peamiselt kohalikke puuvilju.	staðbundinn; heimamaður	Þessi verslun selur aðallega staðbundna ávexti.
