source_headword	TE	example_TE
heal	నయమగు	విశ్రాంతి తీసుకోవడం వల్ల శరీరం నయమవుతుంది.
healthcare	ఆరోగ్య సంరక్షణ	ఈ సంవత్సరం ఆరోగ్య సంరక్షణ ఖర్చులు పెరిగాయి.
helmet	హెల్మెట్	బైక్‌పై హెల్మెట్ ధరించండి.
hence	అందువల్ల	అందువల్ల, మేము షెడ్యూల్‌ను మార్చాము.
herb	మూలిక	తులసి ఒక ఉపయోగకరమైన మూలిక.
hidden	దాచిన	తాళం చెవి మ్యాట్ కింద దాచబడింది.
highway	రహదారి	మంచు పడిన తర్వాత హైవే మూసివేయబడింది.
hilarious	అత్యంత హాస్యభరితమైన	ఆ సినిమా చాలా హాస్యభరితంగా ఉంది.
hip	తుంటి	ప్రాక్టీస్ సమయంలో ఆమె తుంటికి గాయమైంది.
historian	చరిత్రకారుడు	ఆ చరిత్రకారుడు పాత ఉత్తరాలను అధ్యయనం చేశాడు.
homeless	నిరాశ్రయులైన	ఆ ఆశ్రయం నిరాశ్రయులైన కుటుంబాలకు సహాయం చేస్తుంది.
honesty	నిజాయితీ	నిజాయితీ నమ్మకాన్ని పెంచుతుంది.
hook	కొక్కెం	ఆ కోటును కొక్కినికి వేలాడదీయండి.
hopefully	ఆశాజనకంగా	ఆశాజనకంగా, రైలు త్వరలో వస్తుంది.
hunger	ఆకలి	ఆకలి ఏకాగ్రతను ప్రభావితం చేస్తుంది.
hypothesis	పరికల్పన	ఆ ప్రయోగం పరికల్పనను పరీక్షించింది.
icon	చిహ్నం	ఈ రోజు యాప్ ఐకాన్ మారిపోయింది.
ID	గుర్తింపు కార్డు	రిసెప్షన్ వద్ద మీ గుర్తింపు కార్డును చూపించండి.
identical	ఒకేలా ఉన్న	కవలలు ఒకేలా ఉన్న జాకెట్లను ధరించారు.
illusion	భ్రమ	అద్దం ఒక భ్రమను సృష్టిస్తుంది.
immigration	వలస	గత సంవత్సరం వలస విధానం మారిపోయింది.
immune	రోగనిరోధక శక్తి గల	టీకా వేయడం వల్ల ప్రజలకు రోగనిరోధక శక్తి వస్తుంది.
implement	అమలు చేయు	పాఠశాల ఆ విధానాన్ని అమలు చేస్తుంది.
implication	సూచన	అంతరార్థం స్పష్టంగా ఉంది.
incentive	ప్రోత్సాహకం	బోనస్ కార్మికులకు ప్రోత్సాహకాన్ని ఇచ్చింది.
incorporate	చేర్చు	భోజనంలో మరిన్ని కూరగాయలను చేర్చండి.
incorrect	తప్పు	ఆ సమాధానం తప్పు.
independence	స్వాతంత్ర్యం	దేశం స్వాతంత్ర్యాన్ని జరుపుకుంది.
index	సూచిక	ఆ విషయం కోసం సూచికను తనిఖీ చేయండి.
indication	సూచన	ఆ చిరునవ్వు ఉపశమనానికి ఒక సూచన.
inevitable	అనివార్యమైన	కొంత ఆలస్యం అనివార్యమైంది.
inevitably	అనివార్యంగా	కొరత తర్వాత అనివార్యంగా ధరలు పెరిగాయి.
infer	ఊహించు	మనం సందర్భం నుండి సమాధానాన్ని ఊహించవచ్చు.
inflation	ద్రవ్యోల్బణం	ద్రవ్యోల్బణం ఆహార ధరలను పెంచింది.
info	సమాచారం	వెబ్‌సైట్‌లో ఉపయోగకరమైన సమాచారం ఉంది.
infrastructure	మౌలిక సదుపాయాలు	తుఫాను స్థానిక మౌలిక సదుపాయాలను దెబ్బతీసింది.
inhabitant	నివాసి	ప్రతి నివాసికి స్వచ్ఛమైన నీరు లభించింది.
inherit	వారసత్వంగా పొందు	ఆమెకు కుటుంబ ఇల్లు వారసత్వంగా వస్తుంది.
ink	సిరా	ప్రింటర్‌కు నల్ల సిరా అవసరం.
innovation	ఆవిష్కరణ	ఆవిష్కరణ పరిశ్రమను ముందుకు నడిపిస్తుంది.
innovative	వినూత్నమైన	ఆ సంస్థ ఒక వినూత్నమైన ఉత్పత్తిని ప్రారంభించింది.
input	ఇన్‌పుట్	మేనేజర్ సూచనల కోసం అడిగాడు.
insert	చొప్పించు	కార్డును మిషన్‌లో పెట్టండి.
inspector	ఇన్స్పెక్టర్	ఇన్స్పెక్టర్ భవనాన్ని తనిఖీ చేశాడు.
installation	సంస్థాపన	ఇన్‌స్టాలేషన్‌కు రెండు గంటలు పట్టింది.
instant	తక్షణ	ఆ యాప్ తక్షణ ప్రత్యుత్తరాన్ని పంపింది.
instantly	తక్షణమే	స్క్రీన్ తక్షణమే ఆన్ అయింది.
integrate	సమీకృతం చేయు	సాఫ్ట్‌వేర్ కొత్త సాధనాలను సమీకృతం చేయగలదు.
intellectual	మేధోపరమైన	ఆ చర్చ మేధోపరమైనది కానీ స్నేహపూర్వకంగా జరిగింది.
interact	పరస్పరం వ్యవహరించు	సమూహ పని సమయంలో విద్యార్థులు పరస్పరం మాట్లాడుకుంటారు.
interaction	సంభాషణ	వారి సంభాషణ మర్యాదపూర్వకంగా జరిగింది.
interpretation	వివరణ	ఆ పద్యం గురించి ఆమె వివరణ కొత్తగా ఉంది.
interval	విరామం	ప్రదర్శనల మధ్య ఒక చిన్న విరామం ఉంది.
