source_headword	CS	example_CS
strengthen	posílit	Nová politika posílí bezpečnost na internetu.
strictly	přísně	Vstupenky jsou přísně omezeny na dvě na osobu.
striking	nápadný	Obraz má nápadné barvy.
stroke	tah	Udělala jeden tah přes papír.
stunning	ohromující	Výhled na hory byl ohromující.
subsequent	následný	Následná schůzka potvrdila rozpočet.
subsequently	následně	Silnice se uzavřela; následně se doprava pohybovala pomalu.
suburb	předměstí	Žijí na klidném předměstí.
suffering	utrpení	Lék zmírnil jeho utrpení.
sufficient	dostatečný	Tým má dostatek času.
sufficiently	dostatečně	Místnost je dostatečně teplá.
super	super	Nový tablet je super rychlý.
surgeon	chirurg	Chirurg opravil poškozené koleno.
survival	přežití	Čistá voda je nezbytná pro přežití.
survivor	přeživší	Přeživší popsal povodeň.
suspend	pozastavit	Škola může výlet pozastavit.
sustainable	udržitelný	Farma využívá udržitelné metody.
swallow	polknout	Spolkněte tabletu s vodou.
sympathetic	soucitný	Manažer byl k jejímu problému soucitný.
tackle	řešit	Musíme řešit problém s bydlením.
tag	štítek	Taška měla cenovku.
tap	kohoutek	Zavřela kohoutek.
technological	technologický	Technologická změna ovlivňuje každé pracoviště.
teens	teenager	Mnoho teenagerů používá sociální sítě denně.
temple	chrám	Chrám stál blízko řeky.
temporarily	dočasně	Kancelář je dočasně uzavřena.
tendency	sklon	Má sklon chodit pozdě.
tension	napětí	Během diskuse vzrostlo napětí.
terms	podmínka	Podmínky smlouvy byly jasné.
terribly	strašně	Dítě bylo strašně rozrušené.
terrify	vyděsit	Hlasité zvuky psa děsí.
territory	území	Mapa ukazuje nové území.
terror	hrůza	Po útoku se šířila hrůza.
terrorism	terorismus	Terorismus ohrožuje veřejnou bezpečnost.
terrorist	terorista	Policie včera zatkla teroristu.
testing	testování	Testování produktu začíná v pondělí.
textbook	učebnice	Zapomněla si učebnici biologie.
theft	krádež	Krádeže v oblasti vzrostly.
therapist	terapeut	Terapeut mu pomohl zvládat úzkost.
thesis	diplomová práce	Její diplomová práce zkoumá online vzdělávání.
thorough	důkladný	Důkladná kontrola nenašla žádné chyby.
thoroughly	důkladně	Ránu důkladně vyčistěte.
thumb	palec	Zvedl palec na znamení souhlasu.
timing	načasování	Načasování hovoru bylo perfektní.
tissue	papírový kapesník	Sklenici utřela papírovým kapesníkem.
ton	tuna	Nákladní auto vezlo jednu tunu písku.
tonne	tuna	Zásilka vážila jednu tunu.
tournament	turnaj	Tenisový turnaj začíná zítra.
trace	vystopovat	Vědci mohou vystopovat zdroj viru.
trading	obchodování	Obchodování s akciemi se v poledne zastavilo.
tragedy	tragédie	Ta nehoda byla strašná tragédie.
tragic	tragický	Havárie měla tragické následky.
trait	rys	Trpělivost je užitečný rys.
transmit	přenášet	Komáři mohou přenášet nemoci.
transportation	doprava	Veřejná doprava je dnes přeplněná.
trap	chytit	Krabice dokáže bezpečně chytit hmyz.
treasure	poklad	Ve staré truhle byl poklad.
tribe	kmen	Kmen chránil své tradice.
trigger	spustit	Kouř může spustit alarm.
trillion	bilion	Dluh dosáhl jednoho bilionu dolarů.
troop	oddíl	Oddíl se přesunul k hranici.
tsunami	tsunami	Tsunami zničila pobřežní domy.
ultimate	konečný	Konečným cílem je mír.
unacceptable	nepřijatelný	Zpoždění bylo pro cestující nepřijatelné.
uncertainty	nejistota	Nejistota dělala investory nervózními.
undergo	podstoupit	Pacient zítra podstoupí operaci.
undertake	provést	Tým provede průzkum.
unfold	rozvíjet se	Drama se začalo pomalu rozvíjet.
unfortunate	nešťastný	Chyba byla nešťastná, ale opravitelná.
unite	sjednotit	Lídři se snažili sjednotit stranu.
unity	jednota	Projev vyzýval k národní jednotě.
universal	univerzální	Aplikace využívá univerzální design.
urgent	naléhavý	Nemocnice přijala naléhavý hovor.
usage	použití	Průvodce vysvětluje správné použití.
useless	nepoužitelný	Rozbitá nabíječka je nepoužitelná.
valid	platný	Váš pas je stále platný.
variation	variace	V cenách je velká variace.
vertical	vertikální	Graf má vertikální osu.
viewpoint	úhel pohledu	Její úhel pohledu se po debatě změnil.
visa	vízum	Požádal o studentské vízum.
visible	viditelný	Značka je odtud viditelná.
voluntary	dobrovolný	Kurz zahrnuje dobrovolné workshopy.
voting	hlasování	Předčasné hlasování začíná příští týden.
wander	toulat se	Turisté se toulají starým trhem.
warming	oteplování	Globální oteplování ovlivňuje hladiny moří.
weekly	týdenní	Tým pořádá týdenní schůzku.
weird	divný	Ten zvuk zněl divně.
welfare	blaho	Program podporuje blaho dětí.
wheat	pšenice	Farmář pěstuje pšenici.
whoever	kdokoli	Kdokoli dorazí první, měl by počkat venku.
widespread	rozsáhlý	Bouře způsobila rozsáhlé škody.
wisdom	moudrost	Její babička sdílela praktickou moudrost.
withdraw	stáhnout	Rozhodl se stáhnout svou žádost.
workforce	pracovní síla	Pracovní síla potřebuje nové dovednosti.
workplace	pracoviště	Pracoviště má jasná bezpečnostní pravidla.
workshop	workshop	Workshop začíná v deset.
worm	červ	Po půdě se pohyboval červ.
wrist	zápěstí	Poranila si zápěstí.
