source_headword	KN	example_KN
heal	ಗುಣಮುಖವಾಗು	ವಿಶ್ರಾಂತಿಯು ದೇಹ ಗುಣಮುಖವಾಗಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
healthcare	ಆರೋಗ್ಯ ರಕ್ಷಣೆ	ಈ ವರ್ಷ ಆರೋಗ್ಯ ರಕ್ಷಣೆ ವೆಚ್ಚಗಳು ಹೆಚ್ಚಾಗಿವೆ.
helmet	ಹೆಲ್ಮೆಟ್	ಬೈಕ್ ಮೇಲೆ ಹೆಲ್ಮೆಟ್ ಧರಿಸಿ.
hence	ಆದ್ದರಿಂದ	ಆದ್ದರಿಂದ, ನಾವು ವೇಳಾಪಟ್ಟಿಯನ್ನು ಬದಲಾಯಿಸಿದ್ದೇವೆ.
herb	ಗಿಡಮೂಲಿಕೆ	ತುಳಸಿಯು ಒಂದು ಉಪಯುಕ್ತ ಗಿಡಮೂಲಿಕೆಯಾಗಿದೆ.
hidden	ಅಡಗಿದ	ಕೀಲಿಯನ್ನು ಚಾಪೆಯ ಕೆಳಗೆ ಬಚ್ಚಿಡಲಾಗಿತ್ತು.
highway	ಹೆದ್ದಾರಿ	ಹಿಮಪಾತದ ನಂತರ ಹೆದ್ದಾರಿಯನ್ನು ಮುಚ್ಚಲಾಯಿತು.
hilarious	ಅತ್ಯಂತ ಹಾಸ್ಯಮಯ	ಆ ಚಲನಚಿತ್ರವು ಅತ್ಯಂತ ಹಾಸ್ಯಮಯವಾಗಿತ್ತು.
hip	ಸೊಂಟ	ಅಭ್ಯಾಸದ ಸಮಯದಲ್ಲಿ ಅವಳ ಸೊಂಟಕ್ಕೆ ಪೆಟ್ಟಾಯಿತು.
historian	ಇತಿಹಾಸಕಾರ	ಇತಿಹಾಸಕಾರರು ಹಳೆಯ ಪತ್ರಗಳನ್ನು ಅಧ್ಯಯನ ಮಾಡಿದರು.
homeless	ನಿರಾಶ್ರಿತ	ಆಶ್ರಯ ಕೇಂದ್ರವು ನಿರಾಶ್ರಿತ ಕುಟುಂಬಗಳಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
