institute	The institute opened a new research program.
institution	The institution changed its admission rules.
insurance	Her insurance covered the hospital costs.
intended	The message reached its intended audience.
intense	The debate became intense very quickly.
internal	The company started an internal review.
interpret	Please interpret the results carefully.
interrupt	Do not interrupt the speaker now.
investigation	The investigation revealed serious mistakes.
investment	The investment created many local jobs.
joy	Their success brought great joy.
judgement	His judgement improved with experience.
junior	She joined the team as a junior analyst.
justice	The family demanded justice after the trial.
justify	You must justify that decision clearly.
labour	The project requires skilled labour.
landscape	The landscape changed after the storm.
largely	The plan was largely successful.
launch	They will launch the product tomorrow.
leadership	Strong leadership helped the team recover.
league	Our club joined a regional league.
lean	Do not lean against the wet wall.
licence	The licence expires next month.
limited	We have limited time today.
lively	The meeting became lively after lunch.
load	The truck carried a heavy load.
loan	The bank approved the loan.
logical	Her argument was clear and logical.
long-term	This is a long-term solution.
loose	The handle feels loose.
lord	The lord owned several villages.
lower	They lower prices during winter.
lung	Smoking can damage a lung.
maintain	We maintain regular contact.
majority	The majority supported the proposal.
mass	A mass of clouds covered the sky.
massive	The earthquake caused massive damage.
master	She became a master of negotiation.
matching	He wore matching shoes and belt.
maximum	The room reached maximum capacity.
means	Email is our main means of contact.
measurement	The measurement was slightly wrong.
melt	The snow will melt by noon.
military	The military base closed last year.
mineral	Iron is an important mineral.
minimum	The minimum age is eighteen.
minister	The minister answered difficult questions.
minor	The accident caused minor damage.
minority	A minority opposed the new rule.
mission	Their mission ended safely.
mixed	The news received mixed reactions.
modify	We can modify the design later.
monitor	The nurse will monitor his condition.
moral	The story has a moral lesson.
motor	The motor stopped without warning.
mount	They mount cameras near the entrance.
multiple	Multiple factors caused the delay.
multiply	Multiply the number by ten.
mysterious	A mysterious light appeared outside.
neat	Her desk is always neat.
nerve	The injury damaged a nerve.
nevertheless	The task was hard; nevertheless, we finished.
nightmare	The journey became a nightmare.
notion	Reject the notion that change is impossible.
numerous	Numerous studies support this idea.
obey	Drivers must obey the signs.
objective	Our objective is to reduce waste.
obligation	Parents have an obligation to protect children.
observation	His observation changed the discussion.
observe	Scientists observe the birds each spring.
obtain	You must obtain written permission.
occasionally	She occasionally works from home.
offence	The comment caused serious offence.
offend	I did not mean to offend anyone.
offensive	The poster contained offensive language.
opening	The job opening attracted many applicants.
operate	The machine can operate automatically.
opponent	Her opponent criticized the policy.
oppose	Many residents oppose the plan.
opposed	The groups held opposed views.
opposition	The proposal faced strong opposition.
organ	The heart is a vital organ.
origin	The origin of the fire is unknown.
otherwise	Leave now; otherwise, you will be late.
outcome	The outcome surprised everyone.
outer	The outer wall needs repair.
outline	Please outline your main argument.
overall	The overall result was positive.
owe	I owe you an apology.
pace	Walk at a steady pace.
panel	The panel discussed climate policy.
parliament	Parliament approved the new law.
participant	Each participant signed the form.
partly	The delay was partly our fault.
passage	Read the passage before answering.
pension1	His pension supports him after retirement.
permanent	They need a permanent solution.
permit	The rules permit short visits.
perspective	Try to see her perspective.
phase	The project entered its final phase.
phenomenon	The phenomenon occurs in many cultures.
philosophy	Her philosophy values practical action.
pile	A pile of papers covered the desk.
pitch	The team prepared the pitch carefully.
plain	The instructions were plain and direct.
pointed	He made a pointed remark.
popularity	The singer gained popularity online.
pose	The question may pose a problem.
possess	Few students possess that skill.
potential	The idea has real potential.
praise	The teacher gave honest praise.
pregnant	She is six months pregnant.
preparation	Good preparation reduces stress.
presence	His presence changed the mood.
preserve	We must preserve this historic building.
prime	The prime cause was poor planning.
principle	The decision followed a clear principle.
priority	Safety is our first priority.
privacy	Customers expect privacy online.
procedure	The procedure takes thirty minutes.
proof	We need proof before acting.
proposal	The proposal needs more detail.
propose	I propose a different solution.
prospect	The prospect of failure worried them.
protection	The helmet gives basic protection.
psychologist	The psychologist explained the test results.
psychology	She studies psychology at university.
publication	The publication attracted public attention.
pupil	Each pupil received a new textbook.
purchase	They purchase supplies every month.
pure	The water was pure and cold.
pursue	He will pursue a medical career.
rank	She holds a senior rank.
rapid	The country saw rapid growth.
rapidly	Prices rose rapidly this year.
raw	The chef prepared raw vegetables.
realistic	Set a realistic deadline.
reasonable	That seems a reasonable request.
recall	I recall his exact words.
recover	She will recover after treatment.
reduction	The reduction saved money.
regard	Many people regard her as honest.
regional	The regional office closed today.
register	Please register before the conference.
regret	I regret my earlier decision.
regulation	The new regulation affects all drivers.
relatively	The exam was relatively easy.
relevant	Choose only relevant details.
relief	The news brought great relief.
rely	Children rely on adult support.
remark	His remark ended the discussion.
representative	The representative met local workers.
reputation	The hotel has a good reputation.
requirement	Experience is a basic requirement.
rescue	They rescue people from floods.
reserve	We reserve seats for guests.
resident	Each resident received a notice.
resist	Try to resist the pressure.
resolve	They resolved the dispute peacefully.
resort	The island resort opened in May.
retain	The company wants to retain staff.
reveal	The report will reveal the truth.
revolution	The revolution changed the country.
reward	Hard work deserves a reward.
rhythm	The song has a steady rhythm.
rid	Get rid of those old files.
root	The root of the problem is money.
rub	Rub the surface with a cloth.
rubber	The rubber seal prevents leaks.
rural	Many rural schools need support.
rush	Do not rush this decision.
satellite	The satellite sent new images.
satisfied	The customer seemed satisfied.
satisfy	The answer did not satisfy him.
saving	Energy saving reduces monthly costs.
scale	The scale of damage was huge.
scheme	The scheme helps young workers.
scream	They heard a scream outside.
sector	The technology sector is growing.
secure	Lock the door to secure it.
seek	They seek advice from experts.
select	Select the best option.
selection	The store offers a wide selection.
self	She showed her true self.
senior	A senior doctor checked the patient.
sensitive	This topic is very sensitive.
sequence	Follow the sequence of steps.
session	The training session starts at noon.
settle	They settle the argument quickly.
severe	The storm caused severe flooding.
shade	Sit in the shade.
shadow	A shadow crossed the window.
shallow	The lake is shallow here.
shame	He felt shame after lying.
shelter	The school provided emergency shelter.
shock	The decision was a shock.
shocked	She looked shocked by the news.
shooting	The shooting happened near the station.
shot	The winning shot surprised everyone.
significant	The discovery was significant.
significantly	Costs increased significantly last year.
silence	The room fell into silence.
silk	The dress was made of silk.
sincere	Please accept my sincere thanks.
slave	The law freed every slave.
slide	The child went down the slide.
slight	There was a slight delay.
slip	Do not slip on the wet floor.
slope	The path follows a steep slope.
solar	The house uses solar energy.
somewhat	The instructions were somewhat confusing.
soul	Music lifted her soul.
specialist	The specialist examined the patient.
species	This species lives near rivers.
spiritual	She described a spiritual experience.
split	They split the bill equally.
sponsor	The company will sponsor the event.
stable	The patient is stable.
stare	Do not stare at strangers.
status	His status changed overnight.
steady	Keep a steady speed.
steel	The bridge is made of steel.
steep	The hill is steep.
sticky	The floor feels sticky.
stiff	His shoulder felt stiff.
stock	The shop has no stock left.
stream	A small stream crosses the field.
stretch	Stretch your legs after the flight.
strict	The school has strict rules.
strike	Workers may strike tomorrow.
struggle	Many families struggle with rent.
submit	Submit the form by Friday.
sum	The sum was higher than expected.
surgery	The surgery lasted two hours.
surround	Tall trees surround the house.
surrounding	The surrounding area is quiet.
suspect	Police suspect a local man.
swear	Do not swear in class.
sweep	Sweep the floor before guests arrive.
sympathy	She expressed sympathy for the victims.
tale	Grandmother told a strange tale.
tank	The tank holds clean water.
tear1	Do not tear the document.
tear2	A tear rolled down her cheek.
temporary	The office is a temporary shelter.
therapy	Physical therapy helped his recovery.
threat	The message contained a threat.
threaten	The storm may threaten crops.
thus	The road was closed; thus, we waited.
tone	His tone sounded calm.
tough	The interview was tough.
transfer	They transfer data every night.
transform	The new policy will transform services.
transition	The transition took several months.
trial	The trial begins next week.
tropical	Tropical storms are common here.
truly	I truly appreciate your help.
trust	Trust takes time to build.
tune	The band played a cheerful tune.
tunnel	The tunnel runs under the river.
ultimately	Ultimately, the plan succeeded.
unconscious	The patient remained unconscious.
unexpected	The delay was unexpected.
unique	Each design is unique.
universe	The universe is expanding.
unknown	The name remains unknown.
upper	The upper shelf is empty.
upwards	The smoke moved upwards.
urban	Urban areas need better transport.
urge	Doctors urge people to exercise.
vary	Prices vary by region.
vast	The desert covers a vast area.
venue	The venue holds five hundred people.
via	Send the document via email.
victory	The team celebrated its victory.
violence	The city suffered political violence.
virtual	The meeting is virtual.
vision	Her vision shaped the company.
visual	The report includes visual examples.
vital	Water is vital for life.
vitamin	Oranges contain vitamin C.
volume	Turn down the volume.
wage	The workers demanded a higher wage.
weakness	The plan has one weakness.
wealth	His wealth came from trade.
wealthy	The wealthy family funded the museum.
whereas	She likes tea, whereas I prefer coffee.
wherever	Sit wherever you feel comfortable.
whisper	Please whisper during the ceremony.
whom	Whom did you invite?
widely	The book is widely read.
wildlife	The park protects local wildlife.
willing	She is willing to help.
wind2	Wind the cable around the reel.
wire	The wire connects the two devices.
wise	That was a wise choice.
witness	A witness described the accident.
wound	Clean the wound carefully.
wrap	Wrap the gift in paper.
zone	This zone is closed to traffic.
