source_headword	HR	example_HR
stranger	stranac	Stranac je pitao za smjer.
strength	snaga	Njezina snaga je pomogla timu.
string	uzica	Zaveži kutiju uzicom.
strongly	snažno	Snažno se ne slažem s tom idejom.
studio	studio	Umjetnik radi u malom studiju.
stuff	stvari	Stavi svoje stvari na policu.
substance	tvar	Policija je pronašla čudnu tvar.
successfully	uspješno	Uspješno su završili projekt.
sudden	iznenadan	Iznenadna buka nas je probudila.
suffer	patiti	Mnoge biljke pate po suhom vremenu.
suitable	prikladan	Ova jakna je prikladna za školu.
summarize	sažeti	Možeš li sažeti članak?
summary	sažetak	Večeras napiši kratak sažetak.
supply	opskrba	Gradu treba opskrba čistom vodom.
supporter	navijač	Svaki navijač je glasno navijao.
surely	sigurno	Sigurno to možemo riješiti.
surface	površina	Površina je bila hladna i glatka.
survive	preživjeti	Ove životinje preživljavaju hladne zime.
switch	prekidač	Isključi svjetlo u kuhinji.
symptom	simptom	Kašalj može biti simptom.
tail	rep	Pas ima dug rep.
talent	talent	Ona ima talent za glazbu.
talented	talentiran	On je talentiran mladi glumac.
tape	ljepljiva traka	Upotrijebi ljepljivu traku da zatvoriš kutiju.
tax	porez	Svi moraju platiti ovaj porez.
technical	tehnički	Imali smo tehnički problem.
technique	tehnika	Ova tehnika štedi vrijeme.
tend	imati sklonost	Djeca obično brzo uče.
tent	šator	Spavali smo u malom šatoru.
theirs	njihov	Plavi bicikli su njihovi.
theme	tema	Zabava je imala temu plaže.
theory	teorija	Njegova teorija objašnjava problem.
therefore	stoga	Padala je kiša, stoga smo ostali unutra.
though	iako	Iako umorna, nastavila je raditi.
throat	grlo	Jutros me boli grlo.
throughout	tijekom	Ljudi su plesali tijekom cijele večeri.
tight	tijesan	Ove cipele su mi previše tijesne.
till	dok	Čekaj ovdje dok se ne vratim.
tin	konzerva	Otvori konzervu graha.
tiny	sićušan	Sićušna ptica je sletjela u blizini.
toe	nožni prst	Jučer sam ozlijedio nožni prst.
tongue	jezik	Opekla je jezik na čaj.
total	ukupan	Ukupni trošak je bio nizak.
totally	potpuno	Potpuno razumijem tvoju zabrinutost.
trade	trgovina	Međunarodna trgovina stvara radna mjesta.
translate	prevesti	Molim te, prevedi ovu rečenicu.
translation	prijevod	Prijevod zvuči prirodno.
treat	ponašati se	Ponašaj se prema svima s poštovanjem.
treatment	liječenje	Pacijent danas treba liječenje.
trend	trend	Ovaj trend raste širom svijeta.
trick	trik	Taj trik s kartama me iznenadio.
truth	istina	Molim te, reci istinu.
tube	tuba	Nježno stisni tubu.
typically	obično	Učenici obično stižu prije devet.
tyre	guma	Automobilu treba nova guma.
ugly	ružan	Ta boja zida izgleda ružno.
unable	nesposoban	Nije bio u mogućnosti odgovoriti.
uncomfortable	neudoban	Ova stolica je neudobna.
underwear	donje rublje	Spakiraj čisto donje rublje za put.
unemployed	nezaposlen	Bila je nezaposlena dva mjeseca.
unemployment	nezaposlenost	Nezaposlenost je porasla tijekom zime.
unfair	nepravedan	Odluka se činila nepravednom.
union	sindikat	Sindikat je tražio sigurniji rad.
unless	osim ako	Ne odlazi osim ako ne nazovem.
unlike	za razliku od	Za razliku od Toma, Ana voli zimu.
unlikely	malo vjerojatan	Snijeg je malo vjerojatan ovaj tjedan.
unnecessary	nepotreban	Dodatne torbe su nepotrebne.
unpleasant	neugodan	Soba je imala neugodan miris.
update	ažurirati	Moram ažurirati svoj telefon.
upon	na	Jednom davno, bio je jedan kralj.
upset	uzrujan	Osjećala se uzrujano nakon poziva.
used1	korišten	Ova soba se koristi za sastanke.
used2	naviknut	Navikao sam se na rana jutra.
valuable	vrijedan	Ovaj sat je vrijedan.
value	vrijednost	Kuća je prošle godine izgubila na vrijednosti.
various	razni	Probali smo razna lokalna jela.
version	verzija	Ova verzija radi bolje.
victim	žrtva	Žrtva je nazvala policiju.
viewer	gledatelj	Jedan gledatelj je postavio pitanje.
violent	nasilan	Film je bio previše nasilan.
volunteer	volonter	Volontiram u knjižnici.
vote	glasati	Sjeti se glasati sutra.
warn	upozoriti	Pokušao sam ga upozoriti.
warning	upozorenje	Upozorenje se pojavilo na ekranu.
waste	rasipanje	Ne rasipaj čistu vodu.
weapon	oružje	Nož je postao oružje.
weigh	izvagati	Pažljivo izvaži brašno.
western	zapadni	Gledali su vestern film.
whatever	što god	Izaberi što god želiš.
whenever	kad god	Nazovi kad god trebaš pomoć.
whether	da li	Ne znam slaže li se ona.
wing	krilo	Ptica je ozlijedila jedno krilo.
within	unutar	Molim te, odgovori u roku od dva dana.
wonder	pitati se	Pitam se što se dogodilo.
wool	vuna	Ovaj kaput je napravljen od vune.
worldwide	širom svijeta	Pjesma je postala popularna širom svijeta.
worth	vrijedan	Ovu knjigu vrijedi pročitati.
written	pismeni	Molim pošaljite pismene upute.
yard	dvorište	Djeca su se igrala u dvorištu.
youth	mladost	Klubovi za mlade podržavaju lokalne tinejdžere.
