source_headword	KK	example_KK
fridge	тоңазытқыш	Сүт тоңазытқышта тұр.
frog	бақа	Бақа тоғанның жанында отыр.
furniture	жиһаз	Бөлмедегі жиһаз жаңа.
further	әрі қарай	Біз жолмен әрі қарай жүрдік.
gallery	галерея	Суреттер галереяда ілулі тұр.
gap	аралық	Қабырғада кішкентай аралық бар.
gas	газ	Асүйде газ иісі шықты.
gate	қақпа	Мектеп қақпасы ашық.
general	жалпы	Бұл жалпы ереже.
gift	сыйлық	Ол анасына сыйлық берді.
goal	мақсат	Оның мақсаты анық.
god	Құдай	Ол Құдайға алғыс айтты.
gold	алтын	Жүзік алтыннан жасалған.
golf	гольф	Ол жексенбі күні гольф ойнады.
government	үкімет	Үкімет жаңа жоспар жариялады.
grass	шөп	Жаңбырдан кейін шөп жасыл болды.
greet	амандасу	Ол қонақпен амандасты.
ground	жер	Балалар жерде отырды.
guest	қонақ	Қонақ ерте келді.
guide	жолсерік	Жолсерік қала туралы айтты.
gun	қару	Полиция қаруды қауіпсіз жерге қойды.
guy	жігіт	Бұл жігіт өте мейірімді.
habit	әдет	Таңертең оқу жақсы әдет.
hall	зал	Жиналыс үлкен залда өтті.
happily	қуана	Олар үйге қуана қайтты.
headache	бас ауруы	Бүгін оның басы ауырып тұр.
heart	жүрек	Оның жүрегі тез соқты.
heat	жылу	Түсте жылу күшейді.
heavy	ауыр	Бұл қорап өте ауыр.
height	биіктік	Ғимараттың биіктігі үлкен.
helpful	пайдалы	Бұл кеңес өте пайдалы.
hero	қаһарман	Әңгімедегі қаһарман батыл.
hers	оныкі	Бұл сөмке оныкі.
herself	өзі	Ол есікті өзі ашты.
hide	жасыру	Ол кілтті жасырды.
hill	төбе	Үй төбенің үстінде тұр.
himself	өзі	Ол тамақты өзі пісірді.
hit	соғу	Доп терезеге соғылды.
hockey	хоккей	Олар кешке хоккей ойнады.
hold	ұстау	Өтініш, мына арқанды ұстаңыз.
hole	тесік	Жолда үлкен тесік бар.
huge	алып	Онда алып ағаш бар.
human	адам	Адам сусыз өмір сүре алмайды.
hurt	ауырту	Оның сөздері мені ауыртты.
ideal	мінсіз	Бұл оқу үшін мінсіз орын.
identify	анықтау	Ол құсты анықтауға тырысты.
ill	ауру	Бала кеше ауру болды.
illness	ауру	Бұл ауру тез таралады.
image	сурет	Экранда анық сурет көрінеді.
immediately	дереу	Ол дереу жауап берді.
impossible	мүмкін емес	Мұны жалғыз істеу мүмкін емес.
included	енгізілген	Салық бағаға енгізілген.
including	қоса алғанда	Барлығы, мұғалімді қоса алғанда, келді.
increase	арттыру	Бұл айда баға артты.
incredible	сенгісіз	Көрініс сенгісіз болды.
independent	тәуелсіз	Ол тәуелсіз шешім қабылдады.
individual	жеке	Әр оқушыға жеке көмек керек.
industry	өнеркәсіп	Бұл қалада үлкен өнеркәсіп бар.
informal	бейресми	Бұл бейресми әңгіме.
injury	жарақат	Ойыншы жеңіл жарақат алды.
insect	жәндік	Жапырақта кішкентай жәндік болды.
inside	ішінде	Балалар үйдің ішінде ойнап жүр.
instead	орнына	Ол шайдың орнына су ішті.
instruction	нұсқау	Өтініш, нұсқауды мұқият оқыңыз.
instructor	нұсқаушы	Нұсқаушы ережелерді түсіндірді.
instrument	аспап	Ол жаңа музыкалық аспап сатып алды.
intelligent	ақылды	Бұл бала өте ақылды.
international	халықаралық	Бұл халықаралық конференция.
introduction	кіріспе	Мұғалім қысқа кіріспе жасады.
invent	ойлап табу	Ғалым жаңа құрылғы ойлап тапты.
invention	өнертабыс	Бұл өнертабыс өмірді жеңілдетті.
invitation	шақыру	Біз тойға шақыру алдық.
invite	шақыру	Ол досын үйге шақырды.
involve	қатыстыру	Жоба көп адамды қатыстырады.
item	зат	Тізімдегі әр затты тексеріңіз.
itself	өзі	Машина өзі тоқтады.
jam	тосап	Ол нанға тосап жақты.
jazz	джаз	Ол джаз музыкасын жақсы көреді.
jewellery	зергерлік бұйымдар	Зергерлік бұйымдар қорапта тұр.
joke	әзіл	Оның әзілі бәрін күлдірді.
journalist	журналист	Журналист министрге сұрақ қойды.
jump	секіру	Бала суға секірді.
kid	бала	Бала саябақта ойнап жүр.
kill	өлтіру	У өсімдікті өлтіруі мүмкін.
king	патша	Патша сарайда тұрды.
knee	тізе	Оның тізесі ауырып тұр.
knife	пышақ	Пышақ үстелдің үстінде тұр.
knock	қағу	Біреу есікті қақты.
knowledge	білім	Оның бұл тақырыпта білімі бар.
lab	зертхана	Студенттер зертханада жұмыс істеді.
lady	әйел	Бұл әйел автобусқа мінді.
lake	көл	Көл ауылдың жанында.
lamp	шам	Үстелдегі шам жанып тұр.
laptop	ноутбук	Ол ноутбукта жұмыс істеп отыр.
last1 (taking time)	созылу	Жиналыс екі сағатқа созылды.
laughter	күлкі	Бөлме күлкіге толды.
law	заң	Бұл заң бәріне қатысты.
lawyer	заңгер	Заңгер сотта сөйледі.
lazy	жалқау	Ол бүгін өте жалқау.
lead1	басқару	Ол топты жақсы басқарды.
leader	жетекші	Жетекші жоспарды түсіндірді.
learning	оқу	Оқу күн сайын керек.
least	ең аз	Бұл ең аз баға.
lecture	дәріс	Дәріс таңертең басталды.
lemon	лимон	Ол суға лимон қосты.
lend	қарызға беру	Өтініш, маған қалам қарызға беріңіз.
less	азырақ	Бүгін адам азырақ.
level	деңгей	Оның ағылшын тілі деңгейі жақсарды.
lifestyle	өмір салты	Салауатты өмір салты маңызды.
lift	лифт	Лифт үшінші қабатта тоқтады.
light	жарық жағу	Ол шамды жақты.
light (not heavy)	жеңіл	Бұл сөмке жеңіл.
likely	ықтимал	Бүгін жаңбыр жаууы ықтимал.
link	байланыс	Бұл екі ойдың арасында байланыс бар.
listener	тыңдаушы	Тыңдаушы мұқият тыңдады.
lock	құлыптау	Шыққанда есікті құлыптаңыз.
lorry	жүк көлігі	Жүк көлігі тауарларды әкелді.
lost	жоғалған	Жоғалған телефон кейін табылды.
loud	қатты	Музыка өте қатты болды.
loudly	қатты дауыспен	Ол қатты дауыспен сөйледі.
lovely	тамаша	Бұл тамаша күн.
low	төмен	Бүгін температура төмен.
luck	сәттілік	Оған сәттілік серік болды.
lucky	жолды	Ол өте жолды адам.
mail	пошта	Бүгін пошта кеш келді.
major	негізгі	Бұл негізгі мәселе.
male	еркек	Еркек құс түрлі түсті.
manage	басқару	Ол уақытын жақсы басқарды.
manager	менеджер	Менеджер жиналыс шақырды.
manner	мәнер	Оның сөйлеу мәнері жұмсақ.
mark	белгі	Кітапта қызыл белгі бар.
marry	үйлену	Олар келесі айда үйленеді.
material	материал	Бұл материал жұмсақ.
mathematics	математика	Ол математика оқиды.
maths	математика	Ол математиканы жақсы көреді.
matter	мәселе	Бұл кішкентай мәселе емес.
may modal	мүмкін	Ол кеш келуі мүмкін.
media	бұқаралық ақпарат құралдары	Бұқаралық ақпарат құралдары хабар берді.
medical	медициналық	Оған медициналық көмек керек.
medicine	дәрі	Өтініш, дәріні уақытында ішіңіз.
memory	естелік	Бұл күн жақсы естелік.
mention	айту	Ол менің атымды да айтты.
metal	металл	Есік металдан жасалған.
method	әдіс	Бұл әдіс оңай.
middle	орта	Үстел бөлменің ортасында тұр.
might modal	мүмкін	Бүгін жаңбыр жаууы мүмкін.
mind	ой	Оның ойында сұрақ болды.
mine (belongs to me)	менікі	Бұл кітап менікі.
mirror	айна	Айна қабырғада ілулі тұр.
missing	жоғалған	Жоғалған кілт табылды.
mobile	ұялы телефон	Ұялы телефон үстелде тұр.
monkey	маймыл	Маймыл ағашқа шықты.
moon	ай	Түнде ай жарық болды.
mostly	көбіне	Бөлме көбіне бос болды.
motorcycle	мотоцикл	Мотоцикл тез жүрді.
movement	қозғалыс	Оның қол қозғалысы тез болды.
musical	музыкалық	Бұл музыкалық бағдарлама.
musician	музыкант	Музыкант сахнада ән айтты.
myself	өзім	Мен тамақты өзім пісірдім.
narrow	тар	Жол өте тар.
national	ұлттық	Бұл ұлттық мереке.
nature	табиғат	Табиғат тыныш.
nearly	дерлік	Ол дерлік дайын.
necessary	қажет	Бұл қажет құжат.
neck	мойын	Оның мойны ауырып тұр.
neither	ешқайсысы	Олардың ешқайсысы бұл түсті ұнатпады.
nervous	абыржыған	Емтихан алдында ол абыржыды.
network	желі	Бұл жерде телефон желісі әлсіз.
noise	шу	Сыртта қатты шу естілді.
noisy	шулы	Көше өте шулы.
none	ештеңе	Қорапта ештеңе жоқ.
normal	қалыпты	Бұл қалыпты жағдай.
normally	әдетте	Ол әдетте ерте келеді.
notice	байқау	Өтініш, өзгерісті байқаңыз.
novel	роман	Ол жаңа роман оқып жатыр.
nowhere	еш жерде	Кілт еш жерде жоқ.
nut	жаңғақ	Ол бір жаңғақ жеді.
ocean	мұхит	Мұхит өте кең.
offer	ұсыныс	Олар көмек ұсынысын берді.
officer	қызметкер	Қызметкер құжатты тексерді.
oil	май	Ол қазанға май құйды.
onto	үстіне	Мысық орындықтың үстіне секірді.
opportunity	мүмкіндік	Бұл жақсы мүмкіндік.
option	нұсқа	Бізде басқа нұсқа бар.
ordinary	кәдімгі	Бұл кәдімгі күн.
organization	ұйым	Ұйым балаларға көмектеседі.
organize	ұйымдастыру	Олар шараны ұйымдастырды.
original	түпнұсқа	Бұл түпнұсқа сурет.
ourselves	өзіміз	Біз бөлмені өзіміз тазаладық.
oven	пеш	Нан пеште қызып жатыр.
owner	иесі	Дүкен иесі сол жерде болды.
pack	жинау	Ол сөмкесін жинады.
pain	ауру	Оның аяғында ауру бар.
painter	суретші	Суретші қабырғаны бояды.
palace	сарай	Ескі сарай ашық.
pants	шалбар	Ол жаңа шалбар сатып алды.
parking	тұрақ	Бұл жерде тұрақ тегін.
particular	нақты	Оның нақты себебі болды.
pass	өту	Көлік көпірден өтті.
passenger	жолаушы	Жолаушы билетті көрсетті.
patient	сабырлы	Мұғалім өте сабырлы.
pattern	өрнек	Матада әдемі өрнек бар.
peace	бейбітшілік	Барлығы бейбітшілікті қалайды.
penny	ұсақ тиын	Ол ұсақ тиынды алды.
per	әр	Әр адамға бір билет берілді.
per cent	пайыз	Баға бес пайызға түсті.
perform	орындау	Балалар сахнада би орындады.
perhaps	мүмкін	Мүмкін ол үйде болар.
permission	рұқсат	Оған баруға рұқсат берілді.
personality	мінез	Оның мінезі мейірімді.
pet	үй жануары	Оның үй жануары ит.
