source_headword	NL	example_NL
strengthen	versterken	Het nieuwe beleid zal de online veiligheid versterken.
strictly	strikt	Tickets zijn strikt beperkt tot twee per persoon.
striking	opvallend	Het schilderij heeft opvallende kleuren.
stroke	de streek	Ze schilderde één streek over het papier.
stunning	prachtig	Het uitzicht op de bergen was prachtig.
subsequent	daaropvolgend	De daaropvolgende vergadering bevestigde het budget.
subsequently	vervolgens	De weg ging dicht; vervolgens reed het verkeer langzaam.
suburb	de buitenwijk	Ze wonen in een rustige buitenwijk.
suffering	het lijden	Het medicijn verminderde zijn lijden.
sufficient	voldoende	Het team heeft voldoende tijd.
sufficiently	voldoende	De kamer is voldoende warm.
super	super	De nieuwe tablet is supersnel.
surgeon	de chirurg	De chirurg repareerde de beschadigde knie.
survival	de overleving	Schoon water is essentieel voor de overleving.
survivor	de overlevende	De overlevende beschreef de overstroming.
suspend	opschorten	De school kan de reis opschorten.
sustainable	duurzaam	De boerderij gebruikt duurzame methoden.
swallow	doorslikken	Slik de tablet door met water.
sympathetic	meelevend	De manager was meelevend met haar probleem.
tackle	aanpakken	We moeten het huisvestingsprobleem aanpakken.
tag	het label	De tas had een prijskaartje.
tap	de kraan	Ze draaide de kraan dicht.
technological	technologisch	Technologische verandering beïnvloedt elke werkplek.
teens	de tieners	Veel tieners gebruiken dagelijks sociale media.
temple	de tempel	De tempel stond bij de rivier.
temporarily	tijdelijk	Het kantoor is tijdelijk gesloten.
tendency	de neiging	Hij heeft de neiging om laat te komen.
tension	de spanning	De spanning liep op tijdens de discussie.
terms	de voorwaarden	De contractvoorwaarden waren duidelijk.
terribly	verschrikkelijk	Het kind was verschrikkelijk overstuur.
terrify	bang maken	Harde geluiden maken de hond bang.
territory	het grondgebied	De kaart toont het nieuwe grondgebied.
terror	de terreur	De terreur verspreidde zich na de aanval.
terrorism	het terrorisme	Terrorisme bedreigt de openbare veiligheid.
terrorist	de terrorist	De politie arresteerde de terrorist gisteren.
testing	het testen	Het testen van het product begint op maandag.
textbook	het leerboek	Ze was haar biologieleerboek vergeten.
theft	de diefstal	De diefstal nam toe in het gebied.
therapist	de therapeut	De therapeut hielp hem zijn angst te beheersen.
thesis	de scriptie	Haar scriptie onderzoekt online leren.
thorough	grondig	Een grondige controle vond geen fouten.
thoroughly	grondig	Maak de wond grondig schoon.
thumb	de duim	Hij stak zijn duim op om goedkeuring aan te geven.
timing	de timing	De timing van het gesprek was perfect.
tissue	het zakdoekje	Ze veegde het glas af met een zakdoekje.
ton	de ton	De vrachtwagen droeg één ton zand.
tonne	de ton	De zending woog één ton.
tournament	het toernooi	Het tennistoernooi begint morgen.
trace	traceren	Wetenschappers kunnen de bron van het virus traceren.
trading	de handel	De aandelenhandel stopte om twaalf uur 's middags.
tragedy	de tragedie	Het ongeluk was een verschrikkelijke tragedie.
tragic	tragisch	De crash had tragische gevolgen.
trait	de eigenschap	Geduld is een nuttige eigenschap.
transmit	overbrengen	Muggen kunnen ziektes overbrengen.
transportation	het vervoer	Het openbaar vervoer is vandaag druk.
trap	vangen	De doos kan insecten veilig vangen.
treasure	de schat	De oude kist bevatte een schat.
tribe	de stam	De stam beschermde zijn tradities.
trigger	activeren	Rook kan het alarm activeren.
trillion	biljoen	De schuld bereikte één biljoen dollar.
troop	de troep	De troep trok naar de grens.
tsunami	de tsunami	De tsunami verwoestte huizen aan de kust.
ultimate	ultiem	Het ultieme doel is vrede.
unacceptable	onacceptabel	De vertraging was onacceptabel voor passagiers.
uncertainty	de onzekerheid	De onzekerheid maakte investeerders nerveus.
undergo	ondergaan	De patiënt zal morgen een operatie ondergaan.
undertake	uitvoeren	Het team zal een enquête uitvoeren.
unfold	zich ontvouwen	Het drama begon zich langzaam te ontvouwen.
unfortunate	ongelukkig	De fout was ongelukkig maar te herstellen.
unite	verenigen	De leiders probeerden de partij te verenigen.
unity	de eenheid	De toespraak riep op tot nationale eenheid.
universal	universeel	De app gebruikt een universeel ontwerp.
urgent	dringend	Het ziekenhuis ontving een dringende oproep.
usage	het gebruik	De gids legt het juiste gebruik uit.
useless	nutteloos	De kapotte oplader is nutteloos.
valid	geldig	Je paspoort is nog geldig.
variation	de variatie	Er is een grote variatie in prijzen.
vertical	verticaal	De grafiek heeft een verticale as.
viewpoint	het standpunt	Haar standpunt veranderde na het debat.
visa	het visum	Hij vroeg een studentenvisum aan.
visible	zichtbaar	Het bord is vanaf hier zichtbaar.
voluntary	vrijwillig	De cursus bevat vrijwillige workshops.
voting	het stemmen	Het vroege stemmen begint volgende week.
wander	ronddwalen	Toeristen dwalen door de oude markt.
warming	de opwarming	De opwarming van de aarde beïnvloedt de zeespiegel.
weekly	wekelijks	Het team houdt een wekelijkse vergadering.
weird	vreemd	Het geluid klonk vreemd.
welfare	het welzijn	Het programma ondersteunt het welzijn van kinderen.
wheat	de tarwe	De boer verbouwt tarwe.
whoever	wie dan ook	Wie het eerst aankomt, moet buiten wachten.
widespread	wijdverspreid	De storm veroorzaakte wijdverspreide schade.
wisdom	de wijsheid	Haar oma deelde praktische wijsheid.
withdraw	intrekken	Hij besloot zijn sollicitatie in te trekken.
workforce	het personeel	Het personeel heeft nieuwe vaardigheden nodig.
workplace	de werkplek	De werkplek heeft duidelijke veiligheidsregels.
workshop	de workshop	De workshop begint om tien uur.
worm	de worm	Een worm bewoog over de aarde.
wrist	de pols	Ze bezeerde haar pols.
